TSPID,SCIAN,SCIAL,Q1_1,Q2,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7A,Q2_7B,Q2_7C,Q2_7D,Q3A,Q3B,Q3C,Q3D,Q4,Q5,Q6,Q8,Q9,Q10AM1,Q10AM2,Q10AM3,Q10AM4,Q10AM5,Q11,Q12AM1,Q12AM2,Q12AM3,Q13,Q14,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q15,Q16,Q17,Q18,Q19,Q20M1,Q20M2,Q20M3,Q20M4,Q20M5,Q20M6,QENT1,Q21,Q24,Q25,Q26,Q23,Poids
1069,339110,Fabrication de fournitures et de matériel médicaux,3,1,2,2,2,2,2,2,,,,90,3,3,3,3,3,2,3,3,1,6,,,,,6,1,,,1,1,2,2,2,2,2,3,2,2,2,2,2,90,1,2,3,4,,,2,1,1,1,1,,0.918111855871192
1074,311823,Fabrication de pâtes alimentaires sèches,1,2,2,2,4,1,1,2,90,,,,2,2,2,2,2,2,2,2,1,6,,,,,6,1,,,3,2,1,1,1,1,2,1,1,1,1,2,1,90,6,2,,,,,1,1,1,1,2,,0.918111855871192
1106,337213,"Fabrication de meubles de bureau en bois, y compris les boiseries architecturale",2,2,3,9,3,2,2,3,,,,90,2,2,3,3,2,2,2,2,1,90,,,,,90,1,,,1,2,2,2,2,2,3,2,3,3,3,9,2,90,1,2,3,6,,,1,1,1,3,1,,0.972624747313544
1130,339910,Fabrication de bijoux et de pièces d'argenterie,4,2,4,4,4,2,4,2,,,90,,3,4,3,4,4,3,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,4,5,6,,,,1,2,1,1,2,,0.918111855871192
1131,339910,Fabrication de bijoux et de pièces d'argenterie,1,2,4,3,2,9,1,1,,99,,,2,3,3,2,2,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,0.918111855871192
1143,339950,Fabrication d'enseignes,3,2,3,2,2,2,2,3,,,,90,2,2,2,3,2,2,2,2,1,4,7,2,,,2,1,,,2,3,2,3,2,1,3,2,1,2,3,3,3,90,3,,,,,,1,1,4,1,1,,0.918111855871192
1175,316210,Fabrication de chaussures,1,2,2,2,1,2,2,1,,,,90,1,2,2,3,2,2,2,3,1,90,,,,,90,1,,,1,2,2,2,2,4,2,2,2,4,2,2,2,90,9,,,,,,1,1,1,1,1,,0.918111855871192
1188,311330,Fabrication de confiseries à partir de chocolat acheté,2,3,2,2,2,2,1,2,,90,,,3,4,3,4,3,3,3,2,1,90,,,,,90,1,,,1,4,4,4,4,2,4,4,4,2,3,3,3,90,9,,,,,,1,2,1,1,9,,0.918111855871192
1191,325610,Fabrication de savons et de détachants,3,2,3,9,4,2,1,2,,,90,,4,4,3,3,4,3,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,1,,0.918111855871192
1210,311811,Boulangeries de détail,2,2,2,2,2,1,1,1,,90,,,2,2,2,2,2,2,2,2,1,5,,,,,5,1,,,1,4,1,1,1,1,2,2,1,2,2,3,4,99,9,,,,,,1,2,1,1,9,,0.918111855871192
1226,335990,Fabrication de tous les autres types de matériel et composants électriques,1,4,4,4,4,2,2,2,,,90,,2,2,3,4,4,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,2,1,2,,0.918111855871192
1231,334110,Fabrication de matériel informatique et périphérique,2,9,2,2,3,2,2,9,99,,,,2,2,2,9,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,1,2,,0.918111855871192
1235,323115,Impression numérique,2,1,2,9,2,2,1,2,,,,90,2,2,2,2,2,2,2,3,1,12,,,,,12,2,,,2,4,2,2,2,2,3,2,2,4,3,3,4,90,9,,,,,,1,2,1,1,2,,0.918111855871192
1283,311811,Boulangeries de détail,9,4,4,9,9,2,2,2,,,99,,2,2,2,4,4,4,4,2,1,90,,,,,90,1,,,1,3,4,1,1,1,2,2,1,1,2,2,2,90,3,,,,,,1,2,1,1,1,,0.918111855871192
1286,323114,Impression instantanée,2,1,2,2,2,2,1,1,90,,,,1,1,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,0.918111855871192
1301,315234,"Fabrication de tailleurs, de manteaux, de vestons ajustés et de jupes coupés-cou",9,4,4,9,1,2,1,1,,,90,,3,2,2,3,3,4,3,9,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,0.918111855871192
1304,332710,Ateliers d'usinage,2,2,3,9,2,2,2,2,,,,99,2,2,3,9,2,3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,90,1,1,,0.918111855871192
1317,315222,"Fabrication de complets, de manteaux et de pardessus coupés-cousus pour hommes e",2,2,1,2,2,2,2,2,,,,99,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,2,,0.918111855871192
1329,335315,"Fabrication d'appareillage de connexion, de commutation et de relais et de comma",4,9,3,3,1,1,1,1,,,90,,1,1,1,1,3,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,0.918111855871192
1339,323119,Autres activités d'impression,2,2,3,9,2,2,1,2,90,,,,2,3,3,3,3,3,3,9,1,6,,,,,6,1,2,,4,4,2,2,3,1,3,3,1,3,2,3,3,90,9,,,,,,2,1,1,1,1,,0.918111855871192
1368,323113,Sérigraphie commerciale,2,1,4,9,4,2,1,1,,90,,,2,2,2,2,2,2,2,4,1,3,,,,,3,1,,,4,1,1,1,1,1,5,1,1,2,2,2,2,90,9,,,,,,1,2,4,1,2,,0.918111855871192
1373,322299,Fabrication de tous les autres produits en papier transformé,1,1,1,9,2,1,1,1,90,,,,1,1,1,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,3,1,2,,0.918111855871192
1384,315222,"Fabrication de complets, de manteaux et de pardessus coupés-cousus pour hommes e",4,3,3,9,2,3,2,3,,,90,,3,4,4,4,3,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,2,4,1,2,,0.918111855871192
1393,315190,Usines d'autres tricotage de vêtements,1,1,1,9,2,2,1,1,,,,90,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,2,1,1,2,,0.918111855871192
1408,315292,Fabrication de vêtements en fourrure et en cuir,1,1,1,1,2,2,1,1,,90,,,1,1,1,9,4,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,0.918111855871192
1459,332329,Fabrication d'autres produits métalliques d'ornement et d'architecture,4,4,4,4,4,4,4,4,,,90,,4,4,4,4,3,9,2,1,1,12,,,,,12,1,,,1,4,4,4,4,4,4,4,4,3,4,4,4,90,6,,,,,,1,2,1,2,2,,0.886177530449585
1520,332329,Fabrication d'autres produits métalliques d'ornement et d'architecture,4,9,9,9,9,4,2,4,,99,,,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,2,1,1,1,1,,0.918111855871192
1530,315292,Fabrication de vêtements en fourrure et en cuir,2,1,4,1,4,1,1,1,,,90,,4,2,2,2,2,2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,4,1,1,,0.918111855871192
1535,334512,Fabrication d'appareils de mesure et de commande et d'appareils médicaux,3,2,2,9,2,3,1,1,,,90,,2,2,1,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,2,1,1,2,,0.918111855871192
1594,332810,"Revêtement, gravure, traitement thermique et activités analogues",2,3,3,4,4,2,2,2,,90,,,2,2,2,3,3,2,2,2,1,90,,,,,90,1,,,1,2,2,3,3,2,2,3,3,2,3,3,2,90,9,,,,,,1,1,4,1,2,,0.918111855871192
1630,323115,Impression numérique,2,2,2,3,2,2,2,2,,,90,,2,2,2,9,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,2,3,3,2,,0.972624747313544
1634,339110,Fabrication de fournitures et de matériel médicaux,3,4,4,4,3,2,1,2,,,90,,3,3,3,2,4,4,3,3,1,99,,,,,,,,,,,,,,,,,,,,,,90,9,,,,,,1,1,1,1,1,,0.918111855871192
1663,311330,Fabrication de confiseries à partir de chocolat acheté,2,4,3,2,2,3,2,2,90,,,,2,2,3,3,3,3,3,2,1,2,5,,,,2,1,,,2,3,2,2,2,2,3,3,2,3,3,3,3,90,1,2,6,,,,1,2,1,1,9,,0.918111855871192
1673,311811,Boulangeries de détail,2,2,3,1,2,1,1,1,,90,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,1,4,2,2,,0.886177530449585
1675,339910,Fabrication de bijoux et de pièces d'argenterie,3,3,4,2,3,2,2,3,,90,,,3,3,2,3,2,3,3,9,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,3,1,1,,0.918111855871192
1691,339110,Fabrication de fournitures et de matériel médicaux,1,9,9,9,9,1,9,9,,,90,,2,2,2,2,2,2,2,2,1,6,90,,,,6,1,,,4,2,2,2,2,2,2,1,2,1,2,2,2,90,3,,,,,,1,1,90,2,2,,0.886177530449585
1720,313240,Usines de tricots,2,2,3,1,1,4,1,2,,,99,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,1,1,2,,0.918111855871192
1723,311811,Boulangeries de détail,2,2,4,2,2,2,2,2,,,,90,2,4,4,4,3,3,2,2,1,90,,,,,90,1,,,3,2,3,3,2,3,2,3,2,1,2,2,2,90,9,,,,,,1,2,4,2,2,,0.886177530449585
1730,323119,Autres activités d'impression,3,2,3,3,2,9,2,1,,,90,,3,2,3,2,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,2,1,,0.886177530449585
1754,325410,Fabrication de produits pharmaceutiques et de médicaments,2,2,2,9,2,2,2,2,,90,,,2,2,3,2,3,3,3,2,1,12,,,,,12,2,1,,2,3,3,3,2,2,2,2,3,2,3,3,3,90,3,,,,,,1,1,1,3,1,,0.972624747313544
1785,322230,Fabrication d'articles de papeterie,2,2,2,3,3,9,2,2,,,90,,2,3,2,9,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,1,3,3,2,,0.972624747313544
1810,311811,Boulangeries de détail,2,2,9,9,4,1,1,4,90,,,,9,2,2,2,2,9,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,3,1,2,,0.918111855871192
1817,311811,Boulangeries de détail,3,2,2,2,3,2,3,2,90,,,,1,3,2,3,2,3,2,9,1,6,,,,,6,1,,,2,4,3,3,3,1,3,3,1,3,2,3,3,90,1,2,5,6,,,1,1,4,1,1,,0.918111855871192
1867,337123,Fabrication d'autres meubles de maison en bois,9,2,4,9,4,1,1,2,,99,,,2,2,3,3,3,2,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,0.918111855871192
1885,311814,Boulangeries commerciales et fabrication de produits de boulangerie congelés,1,2,3,1,2,1,1,1,,,90,,1,1,1,2,2,2,2,2,1,90,,,,,90,1,,,1,2,1,2,1,1,2,1,1,1,1,2,1,90,9,,,,,,1,1,1,2,2,,0.886177530449585
1945,311330,Fabrication de confiseries à partir de chocolat acheté,9,2,4,2,4,2,2,2,,,90,,2,2,3,2,2,2,2,9,1,90,,,,,90,1,,,4,2,2,2,2,2,2,2,2,1,2,2,2,90,5,,,,,,1,2,1,2,2,,0.886177530449585
1956,323119,Autres activités d'impression,2,2,3,3,2,2,1,1,,,,90,2,3,2,3,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,,,1,2,3,1,2,,0.918111855871192
1962,314120,Usines de rideaux et de linge de maison,1,1,2,1,3,2,1,3,,90,,,2,2,2,4,4,3,4,2,1,12,,,,,12,3,,,3,2,2,2,2,2,2,2,2,2,2,2,2,90,9,,,,,,2,2,1,1,2,,0.918111855871192
1966,335990,Fabrication de tous les autres types de matériel et composants électriques,1,9,9,9,2,9,2,2,,,,90,2,2,2,4,4,3,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,4,1,2,,0.918111855871192
1997,332321,Fabrication de portes et de fenêtres en métal,4,2,9,9,9,2,2,3,,,,90,4,3,3,3,2,2,2,1,1,90,,,,,90,1,3,,3,4,3,2,4,2,2,1,2,4,2,4,4,90,9,,,,,,1,2,3,1,1,,0.918111855871192
2046,713930,Marinas,2,3,3,9,3,1,1,3,,90,,,3,3,4,3,2,3,2,3,1,90,,,,,90,2,,,2,2,2,2,2,2,2,3,3,2,3,3,2,90,9,,,,,,1,2,1,1,2,,0.929588254069582
2047,713950,Salles de quilles,2,2,2,2,2,1,2,2,90,,,,2,2,2,2,2,2,2,3,1,90,,,,,90,1,,,1,3,3,3,3,2,3,3,2,2,3,3,3,90,9,,,,,,2,1,3,1,2,,0.929588254069582
2049,713950,Salles de quilles,2,2,2,9,2,2,2,2,,,,99,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,4,1,2,,0.929588254069582
