ï»¿objectid,sport,nom,adresse,url,photo,photo_360
44,soccer,Parc multisport Manfredo-DeVito,"10e Avenue/ 13e Rue et 1290, 10e Avenue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
45,soccer,Complexe sportif du Domaine-LaflÃ¨che,"1699, 10e Rue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
46,basket,Parc de Sainte-Flore,"3531, rue Riopelle",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
47,patinoire extÃ©rieure,Parc de Sainte-Flore,"3531, rue Riopelle",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,http://jmap.shawinigan.ca/doc/photos/30.JPG,https://flic.kr/p/22SdDWj
48,tennis,Parc de Sainte-Flore,"3531, rue Riopelle",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
49,soccer,Parc Paul-AndrÃ©-Potvin,200e Avenue / 209e Rue,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
50,tennis,Parc Paul-AndrÃ©-Potvin,200e Avenue / 209e Rue,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
52,basket,Parc Morand,Rue Morand,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
54,soccer,Parc Turcotte,Chemin des Daniel,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
55,balle,Parc Gervais,"540, 207e Avenue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
56,patinoire extÃ©rieure,Parc Gervais,"540, 207e Avenue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,http://jmap.shawinigan.ca/doc/photos/23.JPG,https://flic.kr/p/22SdDyf
59,volley,Parc des Piles,Rue Morin,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
60,patinoire extÃ©rieure,Parc du Grand-Orme,Rue Morin,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,http://jmap.shawinigan.ca/doc/photos/32.JPG,https://flic.kr/p/23U9fNw
61,skate,Parc du Grand-Orme,Rue Morin,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
62,tennis,Parc du Grand-Orme,Rue Morin,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
63,volley,Terrain de volleyball de plage,"5790, Avenue du Tour-du-Lac",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
64,skate,Parc de la Plage IdÃ©ale,"5790, Avenue du Tour-du-Lac",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
66,patinoire extÃ©rieure,Parc Pierre-Garceau,Chemin des GenÃ©vriers,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,http://jmap.shawinigan.ca/doc/photos/31.JPG,https://flic.kr/p/23U9gbq
67,skate,Parc Pierre-Garceau,Chemin des GenÃ©vriers,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
68,piscine extÃ©rieure,Parc St-Maurice,"100, Rue Broadway",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
69,jeux d'eau,Parc St-Maurice,"100, Rue Broadway",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
70,tennis,Parc St-Maurice,"100, Rue Broadway",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
71,patinoire intÃ©rieure,Centre Gervais Auto (AmphithÃ©Ã¢tre municipal),"1, rue Jacques-Plante",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,http://jmap.shawinigan.ca/doc/photos/3630.jpg,
72,patinoire extÃ©rieure,Parc des Trois-L,Rue Viger / Av. Laval,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,http://jmap.shawinigan.ca/doc/photos/21.JPG,https://flic.kr/p/22SdDqE
74,dek-hockey,Parc Antoine-St-Onge,"2143, boulevard Royal",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
75,piscine extÃ©rieure,Parc Antoine-St-Onge,"2143, boulevard Royal",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
76,piscine intÃ©rieure,Centre des arts,"2100, boul. des HÃªtres",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
77,pÃ©tanque,Parc St-Maurice,"100, Rue Broadway",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
78,curling,Centre municipal de curling,"601, 3e Avenue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
80,patinoire extÃ©rieure,Parc du Beau-Rivage,Av. Beaurivage,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,https://flic.kr/p/22SdDKN
81,patinoire extÃ©rieure,Ãcole des BÃ¢tisseurs,"1125, 10e Avenue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,http://jmap.shawinigan.ca/doc/photos/17.JPG,https://flic.kr/p/FEKejs
82,patinoire extÃ©rieure,Centre-ville,3e rue de la Pointe/ Av. des CÃ¨dres,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,http://jmap.shawinigan.ca/doc/photos/20.JPG,https://flic.kr/p/JRFqxt
83,badminton,Ãcole secondaire Val-Mauricie,"1700, rue de Val-Mauricie",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
86,volley,Ãcole secondaire des Chutes,"5285, Avenue Albert-Tessier",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
