ï»¿id,municipalite,arrondissement,secteur,nom,type,sous_type,localisation,nb_aire_jeu,nb_amenagement_paysager,nb_infrastructure,nb_infrastructure_aquatique,nb_jeux_module,nb_mobilier_urbain,nb_terrain_sport,geom 
49,94068,JonquiÃ¨re,JonquiÃ¨re,PARC DU MONT-FORTIN,Parcs,Grand Ã©quipement,3492 rue Radin,0,0,12,3,2,5,1,"POLYGON ((-71.2276100670852 48.440202812122024,-71.22727864465475 48.44037997849873,-71.22713843377382 48.440500357256,-71.22692989055953 48.440512790347576,-71.22667481561918 48.4403265983376,-71.22663353227745 48.439636527325675,-71.22592564986094 48.439148869555545,-71.22529749850747 48.438371420226446,-71.22416059900974 48.43768303918248,-71.2230307674419 48.437490553170505,-71.2224704426912 48.437717855566724,-71.222451320618 48.43701033765135,-71.22260376537231 48.43622311696405,-71.22312402014842 48.435094886171186,-71.22382521863894 48.434283852596614,-71.22435391182144 48.4338633837728,-71.22490512647427 48.43332064614654,-71.22497615520486 48.4330924877187,-71.22497701710778 48.43308894678952,-71.22497741221348 48.433085369228145,-71.22497733820312 48.43308178203085,-71.2249767927834 48.43307821399253,-71.22497578442106 48.433074690242755,-71.22497431621564 48.43307123864303,-71.22497240205227 48.43306788518817,-71.22497005715472 48.43306465496512,-71.22496729675949 48.43306157396016,-71.22496414416032 48.43305866451121,-71.22496062265095 48.43305594895627,-71.22495675820232 48.43305344781759,-71.22495258082674 48.43305118069265,-71.22494812318811 48.43304916356462,-71.22494341796316 48.433047413316025,-71.22493850048018 48.433045943215085,-71.22493341007052 48.4330447629073,-71.22492818472689 48.43304388294596,-71.22531541262957 48.43309726522932,-71.22599183133701 48.43319048266678,-71.22569174525867 48.433290625705325,-71.2256099267839 48.433339158248515,-71.22550228224169 48.433403010969194,-71.2250463928216 48.433745456810435,-71.2244795628962 48.43415536458345,-71.22511211233147 48.434626157068216,-71.22613898028808 48.435390405993864,-71.22735329280954 48.43602133543962,-71.2275134344232 48.435901282699255,-71.22779565984821 48.43587814837931,-71.22851808479429 48.4361764606183,-71.22820787931613 48.436509096961984,-71.22851209390367 48.43663471374792,-71.22896410136812 48.43698004782083,-71.2302939860072 48.438127046739645,-71.22947649188109 48.43946972772577,-71.22931894301875 48.43972791722362,-71.2276100670852 48.440202812122024))"
50,94068,JonquiÃ¨re,JonquiÃ¨re,PARC DU MONT-JACOB,Parcs,Parc naturel,4160 rue du Vieux-Pont,0,0,10,0,0,9,0,"POLYGON ((-71.26927083496165 48.41276688798058,-71.26922283693777 48.41277574501731,-71.26917398121259 48.41278219649394,-71.26912453881201 48.4127862073201,-71.26906704548689 48.41278777432215,-71.26900956321556 48.41278604314593,-71.26895251774442 48.41278102533652,-71.26889633251105 48.41277275853763,-71.26884142456413 48.41276130472014,-71.26878819913266 48.412746748419444,-71.26873705367802 48.412729196708376,-71.26870384155194 48.41271569835165,-71.2686718667962 48.412700935266386,-71.26864123691541 48.41268495890027,-71.26824784662408 48.412467161053456,-71.26786843932564 48.41225643400985,-71.26783525299965 48.41223851201277,-71.26787630364922 48.41208248739442,-71.26788878553161 48.41203504473039,-71.26772815540939 48.411948894345585,-71.26743344258892 48.41179082771988,-71.2677466402639 48.411592347642426,-71.2677365343479 48.41117026220402,-71.26746805235388 48.41117309572884,-71.26744446625905 48.411219421621816,-71.26724949243307 48.41117543205556,-71.26738164062273 48.41091579613162,-71.26718666802712 48.41087180734947,-71.26717905402775 48.41085330002831,-71.26714391759938 48.41076789853166,-71.26720588661868 48.410603674276175,-71.26722399250225 48.41043139879628,-71.26720397231162 48.41027625735658,-71.26718147260009 48.410140017013305,-71.26715895277843 48.41000377859549,-71.26713643713369 48.40986754014239,-71.2671052347327 48.4097145598196,-71.26817240291143 48.409221407556224,-71.26873919961353 48.40972130152241,-71.26917860651643 48.409608185551185,-71.27008149429021 48.410976772476005,-71.26927402307238 48.4112340140646,-71.27002022532446 48.41256784284118,-71.26927083496165 48.41276688798058))"
51,94068,JonquiÃ¨re,JonquiÃ¨re,PARC MOUSSEAU,Parcs,Parc de quartier,4135 rue de la Loire,4,0,5,0,16,6,4,"POLYGON ((-71.26815356434066 48.42196305349931,-71.26597584285936 48.42209035375864,-71.26593052481901 48.42209311886015,-71.26589444437491 48.42209538175527,-71.26585842369992 48.42209802558341,-71.26582246956224 48.422101051198986,-71.26581373452754 48.422101547338805,-71.26580496636448 48.4221015472341,-71.2657962312772 48.42210105044428,-71.2657875914841 48.42210006105223,-71.26577910924401 48.422098585838754,-71.26577084551879 48.42209663519089,-71.26576286268886 48.4220942239832,-71.26575521506854 48.422091369842136,-71.26574796105243 48.42208809216576,-71.26574115237415 48.42208441669222,-71.26573483805154 48.42208036827841,-71.26572906313021 48.42207597720393,-71.26572387131806 48.422071274656744,-71.2657192996215 48.42206629546693,-71.26571538100708 48.42206107539086,-71.26571214307754 48.422055652918765,-71.26570961071974 48.422050065659555,-71.26570780078153 48.422044355772584,-71.26570672739503 48.42203856453587,-71.26568466265019 48.42186976329087,-71.26568128513502 48.42179935888049,-71.26568807317452 48.42172906310509,-71.26570496352043 48.42165952574463,-71.26596564945604 48.4208387197817,-71.2659908902793 48.420765273784035,-71.26639378764241 48.42082204439394,-71.26644213467618 48.420828856344976,-71.2664904830737 48.42083566826665,-71.26680877230577 48.42088051473863,-71.26685711944845 48.42088732651466,-71.26690546796841 48.42089413916059,-71.26722375662065 48.420938988086554,-71.2672721052098 48.42094579877924,-71.26732045381162 48.42095260945154,-71.26770724034027 48.421007091415966,-71.26805368378757 48.421055772278024,-71.26841630697787 48.42110685425193,-71.26839124872438 48.421180000065284,-71.26825325020951 48.421612931908015,-71.26823814696455 48.4216752958577,-71.26823233423912 48.42173834607121,-71.2682358663532 48.4218014706007,-71.26824724727467 48.421888861386314,-71.26824763185624 48.42189483437897,-71.26824723272239 48.42190080720787,-71.26824605323496 48.42190673398151,-71.26824410217368 48.42191256967167,-71.26824139373629 48.421918270113316,-71.26823795022707 48.42192379108726,-71.26823379670674 48.421929091953494,-71.26822896499158 48.42193413202688,-71.26822349096466 48.4219388714945,-71.26821741735954 48.42194327679345,-71.26821079092241 48.42194731163591,-71.2682036598726 48.421950947818665,-71.2681960805089 48.421954155285846,-71.2681881106033 48.421956912066264,-71.26817980926533 48.42195919528043,-71.26817124110381 48.42196098830788,-71.26816247078185 48.421962278125385,-71.26815356434066 48.42196305349931))"
52,94068,JonquiÃ¨re,JonquiÃ¨re,PARC NADEAU,Parcs,Parc de quartier,2329 rue Nadeau,1,0,4,0,4,5,1,"POLYGON ((-71.22077115562284 48.40981935152811,-71.22066280494039 48.41008609485882,-71.22041880256062 48.41004792367813,-71.22044162654615 48.409988366889664,-71.22040064176973 48.40987909276567,-71.22030314630938 48.40983420826996,-71.22028604055191 48.40974014264231,-71.21958101387136 48.409875529862,-71.21984785316162 48.409585598196806,-71.2201390931152 48.40930627081474,-71.22045378315357 48.40903845557488,-71.22049192501242 48.40901451863959,-71.2205330236548 48.40899285752657,-71.22057677066788 48.40897363425608,-71.22062284251548 48.40895699205613,-71.2206708978235 48.408943054480154,-71.22072057736716 48.40893192450786,-71.22077151218797 48.40892368539376,-71.22082332356815 48.408918398868735,-71.2208756270571 48.408916103316024,-71.22092803250925 48.40891681646915,-71.2209801507867 48.408920531772445,-71.22103159383516 48.40892722377692,-71.22108198133566 48.40893684090337,-71.2212717253149 48.408979453849255,-71.22099683148603 48.40984935699262,-71.22077115562284 48.40981935152811))"
53,94068,JonquiÃ¨re,JonquiÃ¨re,PARC NOTRE-DAME,Espaces verts,"Ãlot, halte et belvÃ©dÃ¨re",3690 rue Notre-Dame,0,0,4,0,0,3,0,"POLYGON ((-71.2378522767224 48.41992200146294,-71.23776852446971 48.42020437901739,-71.23715719877556 48.420116699430906,-71.23724510220292 48.419834870435416,-71.23733048627754 48.419561088169345,-71.23792683939384 48.41964666834155,-71.2378522767224 48.41992200146294))"
54,94068,JonquiÃ¨re,JonquiÃ¨re,PARC J.- ALCIDE-REID,Parcs,Parc de quartier,1930 rue Bourassa,4,0,27,0,24,34,7,"POLYGON ((-71.2307402386457 48.42636611829629,-71.23072195107419 48.42640657028993,-71.23070494946134 48.42644727044052,-71.23068924299787 48.42648819980312,-71.23047453140231 48.427073306021754,-71.23045023410522 48.427129240446874,-71.23041899013808 48.427183625242115,-71.23038101835 48.42723607947007,-71.23033658371637 48.42728623449111,-71.23029882891026 48.42732837850282,-71.23026586125685 48.42737226571848,-71.23023785839274 48.42741765487769,-71.23022076674172 48.427444763035844,-71.23020010755312 48.42747074710763,-71.23017604407663 48.427495400094834,-71.23014877078376 48.427518524694314,-71.23011850259651 48.427539936064484,-71.23008548437201 48.42755946356411,-71.23004997740287 48.42757695173736,-71.2300122675118 48.427592259363145,-71.22997265298035 48.42760526582761,-71.22993145259201 48.42761586657615,-71.22988899486063 48.42762397588,-71.22984561944577 48.427629531324285,-71.22980167028037 48.42763248575717,-71.22975750113008 48.42763281804728,-71.22971346465408 48.42763052415915,-71.22966991113087 48.42762562255776,-71.2296271884451 48.42761815330914,-71.22958563933331 48.427608174500264,-71.2283647555151 48.427273192720214,-71.22835069912296 48.42726878744099,-71.22833725727058 48.42726360209653,-71.22832452511125 48.42725767565796,-71.2283125964853 48.42725104980287,-71.22830155857953 48.42724377344617,-71.22829148916038 48.42723589826056,-71.22828246336876 48.427227481331656,-71.22827454561252 48.427218585209395,-71.22826779219187 48.42720927249498,-71.22826225272783 48.42719961122823,-71.22825796877228 48.42718967219817,-71.22825496971586 48.42717952627076,-71.22825327688012 48.42716924706113,-71.22825290485618 48.427158910025796,-71.22825385334556 48.42714858891663,-71.22825611802189 48.42713835930977,-71.22825968100777 48.4271282941689,-71.22870837581074 48.4260917177134,-71.22877390370152 48.425876800804424,-71.22893772037172 48.42533950790045,-71.22919981971535 48.424479838522785,-71.23160771888344 48.424805018439315,-71.23143182266082 48.42538203985285,-71.23140548644523 48.425453306778046,-71.23137047090148 48.4255228993343,-71.23132700982768 48.4255903501435,-71.23127539667321 48.42565520493775,-71.2310131238418 48.4259544329674,-71.23095729811232 48.4260210052298,-71.23090532019508 48.42608894527955,-71.23085726837908 48.42615815189287,-71.23081441350976 48.42622649714015,-71.23077538513688 48.426295851468836,-71.2307402386457 48.42636611829629))"
55,94068,JonquiÃ¨re,JonquiÃ¨re,PARC DES ORMEAUX,Espaces verts,"Ãlot, halte et belvÃ©dÃ¨re",2420 rue du Long-Sault,1,0,5,0,0,0,0,"POLYGON ((-71.23745012315857 48.40422107858999,-71.23759581399078 48.40376244848905,-71.23805330975098 48.40382688022588,-71.23790762284837 48.40428550998178,-71.23745012315857 48.40422107858999))"
56,94068,JonquiÃ¨re,JonquiÃ¨re,PARC PEDNEAULT,Parcs,Espace spÃ©cialisÃ©,1671 rue Croft,0,0,10,0,0,12,4,"POLYGON ((-71.13711476158196 48.43876295270422,-71.13658749536948 48.438646830605364,-71.13668809250473 48.43838100633881,-71.13628212810818 48.43831091228074,-71.13632774358895 48.43819043007083,-71.13637804252046 48.438057517601855,-71.13622571063769 48.43803701566918,-71.1362354863918 48.43803316710935,-71.13601901454803 48.43779674673057,-71.1361973155326 48.437724536909855,-71.13625479952415 48.43770125775561,-71.13610525549684 48.437537710805884,-71.13616348464376 48.437519132268434,-71.13622085483478 48.437490328827444,-71.13649397716631 48.43735319997907,-71.1367310085403 48.437257203964016,-71.13684588347255 48.43721068157828,-71.13721921468758 48.43709157770941,-71.1375711117037 48.436949054433015,-71.13772564726918 48.436854374107874,-71.13816631529076 48.43667589869174,-71.13825650121241 48.43663937178115,-71.13891336363608 48.43726617695475,-71.1386452176579 48.43730610161381,-71.13843774109544 48.437512173628626,-71.13863536521247 48.43760348092067,-71.13862545418083 48.43761549506733,-71.13898575511011 48.43768214514705,-71.1389911286919 48.437682855503894,-71.1389965741371 48.4376832605694,-71.13900205218297 48.437683355165234,-71.13900752095398 48.4376831413227,-71.13901294394688 48.43768261834513,-71.13901827931997 48.43768179096179,-71.13902349066026 48.43768066567064,-71.13902854021454 48.43767924987642,-71.13903339026342 48.43767755368182,-71.13903800581319 48.437675588973285,-71.13904235461841 48.43767337121944,-71.1390464044336 48.43767091588898,-71.13905012709054 48.43766824022668,-71.13905349445488 48.43766536417535,-71.13905648245817 48.43766230855454,-71.13905569796073 48.437663989367785,-71.13887206084033 48.437862208528074,-71.1388750990808 48.43785798343067,-71.13887756625292 48.43785359691591,-71.13887943979763 48.437849082386364,-71.1388807079909 48.43784447498326,-71.1388813591312 48.43783981164638,-71.13888138825236 48.437835127479424,-71.13888079582814 48.43783046025398,-71.13887958502417 48.43782584682732,-71.13887776708155 48.43782132131371,-71.1388753559896 48.4378169214097,-71.1388723710874 48.437812680285155,-71.13886883305436 48.43780863020318,-71.13886477205318 48.437804805172924,-71.13886021951927 48.437801232900824,-71.13885520961354 48.43779794287694,-71.13884978318707 48.43779495915783,-71.13884398245365 48.43779230669194,-71.13883785092226 48.43779000592354,-71.1388314388145 48.43778807366215,-71.13882479500037 48.437786526724736,-71.13851227094374 48.43772867867033,-71.13843106789652 48.43782487520481,-71.13833019131461 48.43794437778972,-71.13822931425011 48.43806387938647,-71.13809835423005 48.43821867144775,-71.13845838351148 48.43835191435876,-71.13842834707086 48.438387848702774,-71.13839831058804 48.438423783038914,-71.13803827687495 48.438290538166974,-71.13793739844586 48.438410039506635,-71.13774535802017 48.438338966856726,-71.13758162183746 48.43827836871633,-71.13750100984551 48.43837480504122,-71.13711232181909 48.438465701912506,-71.13710339199017 48.43846758879828,-71.13711476158196 48.43876295270422))"
57,94068,JonquiÃ¨re,JonquiÃ¨re,PARC DES PEINTRES,Parcs,Parc de quartier,1840 rue Pellan,2,0,7,2,8,23,12,"POLYGON ((-71.26503742279948 48.431056246429605,-71.26447647184813 48.43056094948549,-71.26441541190141 48.43050141434312,-71.26436301573104 48.43043832838524,-71.26431974308626 48.43037225068885,-71.26428597564248 48.430303761534184,-71.26426426818405 48.430239838521935,-71.2642508355812 48.43017491618654,-71.26424577409682 48.43010946787032,-71.26424911922389 48.43004397001559,-71.26426084972711 48.42997890123848,-71.2642808780904 48.429914736096514,-71.2646606581808 48.42996927214759,-71.26487524779441 48.43000011519248,-71.26508989856669 48.43003096372645,-71.26527573540994 48.430057671127486,-71.26546140720642 48.43008435414349,-71.26562259352875 48.430107518572306,-71.26578362287798 48.43013065953654,-71.26594465101957 48.43015380028357,-71.26610583777357 48.43017696403288,-71.26635287585009 48.43021246388137,-71.2664438845476 48.43022554196473,-71.2664329293789 48.43025930970483,-71.2663165879354 48.43061788912155,-71.26619501778143 48.43099258431461,-71.26608830868346 48.43132146799458,-71.26544455756246 48.43122898839378,-71.26538489043904 48.431218678039414,-71.26532684914181 48.43120485641307,-71.26527089755504 48.431187634654755,-71.26521748511502 48.43116715188242,-71.26516704133675 48.43114357073136,-71.2651199704624 48.43111708098712,-71.26507664733955 48.43108789511586,-71.26503742279948 48.431056246429605))"
58,94068,JonquiÃ¨re,JonquiÃ¨re,PARC POWELL,Parcs,Parc Ã©cole,2896 rue Berthier,2,0,5,0,8,7,3,"POLYGON ((-71.18447163676666 48.43552843707886,-71.18426581449167 48.43535473649536,-71.18415404509484 48.43526039781197,-71.1839163628048 48.43526713954815,-71.18363489600837 48.43540665853414,-71.18339816218247 48.435206841033455,-71.18339813569986 48.43485900469427,-71.18415421760864 48.43485096030276,-71.18415469391114 48.433716201307476,-71.18588690574204 48.43371520362157,-71.18585983179568 48.43376290845177,-71.18580191047921 48.43386496367499,-71.18574752188641 48.43396079293561,-71.18569313309067 48.43405662216986,-71.18607849997099 48.43415347466185,-71.18606103461589 48.434184247927206,-71.18567566753481 48.4340873953782,-71.18562395597495 48.43417850932161,-71.18559033572272 48.43423774816756,-71.18558232525324 48.43425202691112,-71.1855744802123 48.43426634604034,-71.1855668005879 48.434280704655954,-71.1855497500435 48.43431390641741,-71.1855335833314 48.43434730437372,-71.18551830433817 48.4343808859107,-71.18550232838521 48.43441852064253,-71.18548746745991 48.434456357387745,-71.18547372946763 48.43449438081004,-71.18546243154782 48.434528424293475,-71.18545203412043 48.43456259552107,-71.1854425383693 48.43459688189462,-71.18543291147488 48.43463568757398,-71.18542444175532 48.43467461227398,-71.18541713037115 48.43471364159775,-71.18541152122087 48.434748999373,-71.18540686437385 48.4347844171309,-71.18540315971107 48.434819885878426,-71.18540021608109 48.43485847726492,-71.1853984000629 48.434897098809735,-71.18539771282909 48.43493573701512,-71.1853982086411 48.434976416080296,-71.18539995580291 48.435017079597436,-71.18540295408764 48.43505771047942,-71.18540380475778 48.435066893560496,-71.1854047202624 48.43507607355721,-71.18540569925007 48.43508525047763,-71.18541381104671 48.4351588746297,-71.18542525448886 48.43526274064293,-71.18543637014552 48.435363637027876,-71.18544769527233 48.43546643706598,-71.1854589910064 48.43556895756666,-71.1853768223668 48.435572966296114,-71.18521838812576 48.43576013797828,-71.18515153104961 48.43575366923964,-71.18504973848975 48.435743818986154,-71.18484485545906 48.43587482286932,-71.18479974648677 48.436081231014946,-71.18457481906941 48.43605795578158,-71.18461807468579 48.435768467003506,-71.18453166240243 48.43578460433782,-71.18447163676666 48.43552843707886))"
60,94068,JonquiÃ¨re,JonquiÃ¨re,PARC DE LA RIVIERE-AUX-SABLES,Parcs,Parc urbain,2310 rue Vaillancourt,2,19,19,7,24,184,8,"POLYGON ((-71.25879935886303 48.41014083147788,-71.25872524649937 48.410117152607555,-71.2586496469332 48.41009565912848,-71.25857270531911 48.41007639235224,-71.25856174372049 48.410073831195604,-71.25876971853465 48.40979988785541,-71.2588057735478 48.4098069207802,-71.25894791924425 48.40959515999091,-71.25913182968647 48.409656956466975,-71.25929994149517 48.40940651097705,-71.25955742275997 48.40948906132398,-71.25978988422119 48.40919054040858,-71.25966801634684 48.40914892338949,-71.2596783612239 48.409130768279724,-71.2596863152668 48.40911208572078,-71.25969181844621 48.40909301731436,-71.2596948296169 48.409073702738496,-71.25969532663815 48.40905428784136,-71.25969330490236 48.4090349165564,-71.25966821835863 48.4088871391102,-71.25963147252257 48.4088771331234,-71.25974201397096 48.40868614729881,-71.26012310204104 48.408789911687265,-71.26025013032758 48.40857618320324,-71.26025562735592 48.40857004179616,-71.26038317980286 48.40842751650438,-71.26049468580949 48.40830292131687,-71.26048586062163 48.40829785040424,-71.26064276801452 48.408048120899885,-71.2612807906754 48.408191367650524,-71.26191523021069 48.4072626684591,-71.26232149001451 48.40676989043118,-71.26238078712213 48.4066897149808,-71.26242916362254 48.40660635245957,-71.2624662376613 48.40652046107004,-71.26249171681953 48.40643271730668,-71.26250540078628 48.406343814138836,-71.2625071798847 48.406254452925715,-71.26249704176908 48.406165339774276,-71.26247506588541 48.406077176581896,-71.26244142617013 48.40599066101872,-71.26239638679431 48.405906473065066,-71.26234030492988 48.40582527949058,-71.26204458635165 48.40544286160187,-71.26196002661837 48.405361833962445,-71.26186535728519 48.40528592330193,-71.26176127562226 48.405215688899524,-71.26314058129358 48.405409043702,-71.26325623014787 48.40542525444847,-71.26327706049405 48.40544961217033,-71.26331931895065 48.405499634953834,-71.26334753345559 48.40553188892423,-71.26336647767148 48.40554493037134,-71.26339992300214 48.40555032068923,-71.26342857160533 48.40555561690954,-71.26346422030547 48.40557374600139,-71.26355672293757 48.4056342100354,-71.26366812775865 48.40571571128691,-71.2637605446584 48.40578936084666,-71.26379118318575 48.405822893744286,-71.26380712643663 48.40585110983477,-71.26382462634112 48.40589487511115,-71.26383984283233 48.405938601580004,-71.26384361443483 48.40598208923929,-71.26384229602219 48.40602574559889,-71.26383497773386 48.4060764660594,-71.26382724267056 48.4061228092355,-71.26381952096582 48.40616914332806,-71.26380295704033 48.40622126526021,-71.26380216765847 48.40626777817941,-71.26378806463174 48.40631374990295,-71.26376734504409 48.406358533375894,-71.26484784534104 48.406604394100526,-71.26488639514588 48.40639532096689,-71.26492578793528 48.40618167958065,-71.26497914774447 48.406047928451855,-71.26487938860141 48.40595511042235,-71.26468286310919 48.40577386753883,-71.26465743874402 48.40570172070249,-71.26516172738543 48.40582831805872,-71.26523907798698 48.4058477360102,-71.26556718176691 48.40593010271763,-71.26582286831326 48.40599428808769,-71.26596278012158 48.406029405376664,-71.26593862830806 48.40620585105117,-71.2659373197588 48.406215412229564,-71.2661044611387 48.40624507762498,-71.2664666356493 48.40627021668679,-71.26645353768487 48.40633149423387,-71.26643933578914 48.40639266311056,-71.26642403387511 48.40645371429645,-71.26642846449185 48.406454518521656,-71.26639051925142 48.40659148191199,-71.26638001230098 48.40662940470532,-71.26637491259953 48.40664781239948,-71.26636730667376 48.40667527120227,-71.26606087157539 48.40660941839268,-71.26596683847987 48.406589210861505,-71.2659488435627 48.406625512389304,-71.26589077313724 48.406742652022984,-71.26587786917175 48.406768683644124,-71.26597182915411 48.4067890401346,-71.26631517657161 48.40686342812751,-71.26628880780122 48.40695860946013,-71.26625113601507 48.407094581636755,-71.26586214118095 48.40701030537049,-71.26580236817938 48.406997355312704,-71.26566638724896 48.40696789404527,-71.26547063363897 48.40692548238499,-71.26527488035101 48.40688307038962,-71.26507912874926 48.40684065894952,-71.26488337610535 48.40679824628401,-71.26481483931353 48.40678339689115,-71.26483114183235 48.40669498149996,-71.26373067923532 48.40644004962566,-71.26372368283741 48.40645616464396,-71.26370942528769 48.406479193834485,-71.263683160724 48.40649512555272,-71.26364488311249 48.40651438380997,-71.26360418774078 48.40653365810033,-71.26355623568749 48.40655455447365,-71.26353732502288 48.40657536603599,-71.2635041524477 48.40660899866386,-71.26346102964743 48.40663306479437,-71.26342280716457 48.40665872629807,-71.26340145192428 48.406679572045434,-71.26336839212404 48.40671804262595,-71.26332560700948 48.40675655972948,-71.26328467651734 48.4067818074429,-71.26324143910183 48.40680274435861,-71.26319311201843 48.406820270338635,-71.26314749009282 48.40683983796844,-71.26311398883742 48.406862365143596,-71.26307338106434 48.4068929440482,-71.2630278220444 48.406920335942246,-71.2629896071979 48.40695105184471,-71.26294907208008 48.40698830372761,-71.26290116474257 48.40702397657474,-71.26288459531713 48.40703878253867,-71.26287017801492 48.40705477941912,-71.2628509098137 48.40706616758612,-71.26281930713166 48.40707114390067,-71.26280483978577 48.40707928039979,-71.26279049895517 48.407092263792755,-71.26277648351069 48.40711977923595,-71.26275973560227 48.40713439749206,-71.26273588272736 48.40715085263994,-71.26270167067811 48.40716832981025,-71.26267545189764 48.40718646450775,-71.26264933607342 48.407207872311346,-71.26262022682906 48.40722874232533,-71.26260124000447 48.40724992298687,-71.26256545109413 48.40729204497209,-71.2625565725762 48.40732614588205,-71.26253246736634 48.40735826111051,-71.26249428790774 48.40738777142267,-71.26246782952174 48.40740886666629,-71.262441535307 48.40743642745925,-71.26243463546231 48.407457411075356,-71.26244034999057 48.407494491201184,-71.26244895789495 48.40755252602272,-71.26244940383827 48.40758777931463,-71.26243642815888 48.40764149616601,-71.26241535398371 48.40769475402437,-71.26239165266408 48.4077304101571,-71.26235315318326 48.407762935510505,-71.26231930690645 48.407784133632255,-71.26227799970762 48.40780053343998,-71.26223420715321 48.40781694969769,-71.26220754186856 48.40783326147397,-71.26218584171384 48.40785278716584,-71.26217641975563 48.407872240514315,-71.26215988348456 48.40790466527986,-71.26214302479723 48.40792093906237,-71.2621113541596 48.407934064140555,-71.26207973187948 48.40795042670806,-71.26206047670965 48.40796995416948,-71.26203383291477 48.40798952156878,-71.26200469335241 48.40800750456938,-71.26196820284456 48.4080271461591,-71.26196105104773 48.408038516891274,-71.26196383225022 48.40805468756457,-71.26195439706649 48.40807416796344,-71.26193524783463 48.40809536757457,-71.26192101697535 48.408108512018835,-71.26191857653475 48.40812781118593,-71.26192415243234 48.40816015244458,-71.26193707915287 48.40819082611565,-71.26194501397474 48.40821830401843,-71.26195675302458 48.40825266587202,-71.26191881688325 48.40833461084082,-71.26189374012662 48.4083515739771,-71.26185736387154 48.40837617043404,-71.26182089883535 48.408397538643,-71.26178375308794 48.40842298740035,-71.2617430814882 48.408468241657246,-71.2616891344193 48.40850922082378,-71.26160776049042 48.40854712750694,-71.2610983154522 48.40883108423803,-71.26108669827173 48.408851932583744,-71.2610746777222 48.40887082651537,-71.26104511400588 48.40890371413083,-71.26101051992657 48.4089387090119,-71.26096770983416 48.40897778660575,-71.26091558203362 48.409021262680945,-71.26084164217325 48.40907901154572,-71.26078314403816 48.40912180837037,-71.2607395476365 48.409152207429955,-71.26065659055239 48.40920708286988,-71.2605722482169 48.409259847535054,-71.26050023653588 48.409306532580366,-71.26045060519225 48.40934018225325,-71.2603992557405 48.40937792920472,-71.26033618885529 48.40943264327936,-71.2603003744655 48.409467120760674,-71.2602459157163 48.409509265537565,-71.26020350336074 48.40953322680203,-71.26015787168393 48.40954249973583,-71.2601173726501 48.409549455183225,-71.26008474392886 48.40957372142041,-71.26003689729382 48.40962645414996,-71.2600001565026 48.40967031293529,-71.25991833646529 48.409770510664984,-71.2598656113893 48.40983702816912,-71.2598072081576 48.409912513223844,-71.2597676175416 48.4099636029887,-71.25971924793602 48.41001383152557,-71.25966074745415 48.41007229522192,-71.25960443300261 48.41013631709869,-71.25955177975187 48.41019918334101,-71.25950244365194 48.41026391548921,-71.25944839077292 48.41033994814965,-71.25943740229039 48.41035609104221,-71.25943270503195 48.410363069860935,-71.25922974426774 48.410294598361524,-71.25923507824072 48.41028782850588,-71.25879935886303 48.41014083147788))"
62,94068,JonquiÃ¨re,JonquiÃ¨re,PARC SAINT-ALEXANDRE,Parcs,Parc de voisinage,4061 rue Saint-Alexandre,1,0,3,0,3,4,0,"POLYGON ((-71.26266462643487 48.413183331620445,-71.26268708773779 48.413140489441375,-71.26295297841817 48.413202226527105,-71.26338112952816 48.41330163604248,-71.263852096977 48.41340573517342,-71.26364048533232 48.41381767139733,-71.26352701773037 48.4140385571607,-71.26334073379448 48.413996244541444,-71.26265180782978 48.413839756827386,-71.26278540034967 48.41358046123806,-71.26258651120067 48.41353445081213,-71.26239207584801 48.413489469117636,-71.26219763949753 48.41344448800068,-71.26200320483754 48.41339950654408,-71.26180876915288 48.4133545238664,-71.26161434045471 48.41330953361884,-71.261677343545 48.413202384685555,-71.26174360639799 48.4130930699814,-71.2618193766764 48.4129680716272,-71.26266462643487 48.413183331620445))"
