an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU3001,POSTE_3171,RF35010601,POSTE_3163,POSTE_9615,RF01010601,RF31010601,RF01010103,POSTE_9600,RF01010104,POSTE_224b,POSTE_5428,RF31010402,RF01010201,POSTE_9641,RF01010525,RF31010501,POSTE_3181,RF35021001,POSTE_1443,POSTE_1508,POSTE_8978,POSTE_8958,POSTE_8938,RF05021002,RF06010101,POSTE_3047,RF12010101,POSTE_6805,PRN0300,POSTE_6827,POSTE_6833,PRN0200,PRN0100,POSTE_6825,PRC0300,PRC0301,PRC3100,PRC3102,PRC3101,PRC3103,PRC4300,PRC4302,PRC4301,PRC3200,PRC3202,PRC3201,PRC3203,PRC4400,PRC4402,PRC4401,PRC2700,PRC3500,PRC3600,PRC2800,PRC2900,PRC3700,PRC2500,PRC2100,PRC3800,PRC0100,PRC0102,PRC0101,PRC3000,PRC3002,PRC3001,PRC3003,PRC4500,PRC4502,PRC4501,PRC0200,PRC3900,PRC4000,PRC4001,PRC4200,PRC4202,PRC4201,IND0201,IND0401
2018,2017,03025,Murdochville,V,663,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,,21235263.475000,,2830805.000000,,921954.000000,,2284120.000000,,748224.000000,,173730.000000,,1062.000000,,68581.000000,,735669.000000,,2158543.000000,,257660.000000,,,,,1505.000000,5165536.000000,200000.000000,879636.000000,,,,,,,,0.101600,,2880.000000,,,,3614.000000,,,1844.000000,,,,1544.000000,,,0.403600,0.327600,0.076100,0.030000,0.322100,0.244300,0.385100,0.296500,0.073200,0.012100,,,344.000000,,,,432.000000,,,0.000800,0.038700,4.154200,,1272.000000,,,387.000000,647.000000
2018,2017,04005,Sainte-Madeleine-de-la-Rivière-Madeleine,M,283,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie--Îles-de-la-Madeleine,,,24352608.000000,,835013.000000,,334572.000000,,726304.000000,,235243.000000,,99329.000000,,319.000000,,32129.000000,,161444.000000,,845038.000000,,552440.000000,,,,,332355.000000,7808028.000000,2033249.000000,247190.000000,,,,,,,,0.034700,,1253.000000,,,,2470.000000,,,640.000000,,,,978.000000,,,0.460700,0.323900,0.136800,0.044200,0.222300,0.272800,0.340300,0.681500,0.038400,0.022700,,,820.000000,,,,1615.000000,,,0.374800,0.260400,1.368100,,952.000000,,,127.000000,221.000000
2018,2017,04010,Saint-Maxime-du-Mont-Louis,M,1073,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie--Îles-de-la-Madeleine,,,59573974.600000,,2139256.000000,,872844.000000,,1857357.000000,,541198.000000,,331646.000000,,68657.000000,,99159.000000,,515812.000000,,2058802.000000,,1152944.000000,,,,,933234.000000,16576920.000000,4220823.000000,135797.000000,,,,,,,,0.033400,,1726.000000,,,,2661.000000,,,902.000000,,,,1167.000000,,,0.469900,0.291400,0.178600,0.053400,0.277700,0.199000,0.073100,0.682600,0.053100,0.019400,,,1000.000000,,,,1541.000000,,,0.409000,0.254600,1.579100,,1090.000000,,,147.000000,213.000000
2018,2017,04015,Mont-Saint-Pierre,VL,168,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie--Îles-de-la-Madeleine,,,10571168.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,
2018,2017,04020,Rivière-à-Claude,M,121,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie--Îles-de-la-Madeleine,,,9943674.000000,,377223.000000,,133852.000000,,221186.000000,,116327.000000,,17525.000000,,,,16669.000000,,60330.000000,,256363.000000,,524.000000,,,,,103.000000,1431154.000000,,142575.000000,,,,,,,,0.025800,,909.000000,,,,1858.000000,,,531.000000,,,,970.000000,,,0.605200,0.525900,0.079200,0.075400,0.272800,0.046700,0.644600,0.670500,0.089900,0.000100,,,2.000000,,,,4.000000,,,0.000500,,1.322500,,866.000000,,,123.000000,164.000000
2018,2017,04025,Marsoui,VL,292,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie--Îles-de-la-Madeleine,,,12915208.800000,,687045.000000,,314111.000000,,634673.000000,,208549.000000,,105562.000000,,5282.000000,,62333.000000,,193726.000000,,800601.000000,,542267.000000,,,,,67567.000000,4395484.000000,541600.000000,126800.000000,,,,,,,,0.061600,,2509.000000,,,,3805.000000,,,1126.000000,,,,1503.000000,,,0.494900,0.328600,0.166300,0.098200,0.305200,0.101600,0.199800,0.559100,0.008300,0.042000,,,1711.000000,,,,2595.000000,,,0.105100,0.123200,2.566100,,1349.000000,,,239.000000,392.000000
2018,2017,04030,La Martre,M,249,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie--Îles-de-la-Madeleine,,,13965700.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,
2018,2017,04037,Sainte-Anne-des-Monts,V,6676,2 000 @ 9 999,AR040,La Haute-Gaspésie,11,Gaspésie--Îles-de-la-Madeleine,,,419772206.400000,,10118181.000000,,7007563.000000,,9816948.000000,,5349055.000000,,1658508.000000,,183420.000000,,759239.000000,,1334592.000000,,9866162.000000,,3122541.000000,,,,,974585.000000,33891589.000000,3469627.000000,1652313.000000,,,,,,,,0.023100,,2403.000000,,,,2523.000000,,,1833.000000,,,,1826.000000,,,0.713800,0.544900,0.168900,0.077300,0.135900,0.072900,0.168300,0.513500,0.051000,0.007400,,,775.000000,,,,814.000000,,,0.108600,0.102400,1.692200,,1580.000000,,,163.000000,166.000000
2018,2017,04047,Cap-Chat,V,2451,2 000 @ 9 999,AR040,La Haute-Gaspésie,11,Gaspésie--Îles-de-la-Madeleine,,,155265338.800000,,3376838.000000,,2374513.000000,,3374473.000000,,1849076.000000,,525437.000000,,7768.000000,,150748.000000,,553542.000000,,3594022.000000,,234043.000000,,,,,10226.000000,10279385.000000,536487.000000,390879.000000,,,,,,,,0.023100,,1660.000000,,,,2185.000000,,,1182.000000,,,,1447.000000,,,0.703700,0.548000,0.155700,0.044700,0.164000,0.087600,0.115800,0.509800,0.057800,0.001500,,,108.000000,,,,143.000000,,,0.003300,0.052200,1.595700,,1278.000000,,,154.000000,166.000000
2018,2017,05010,Shigawake,M,282,1 @ 1 999,AR050,Bonaventure,11,Gaspésie--Îles-de-la-Madeleine,,,16504268.600000,,684690.000000,,190234.000000,,378654.000000,,154311.000000,,35923.000000,,,,3149.000000,,146465.000000,,405219.000000,,,,,,,1428.000000,1153252.000000,,88907.000000,,,,,,,,0.024600,,829.000000,,,,2133.000000,,,407.000000,,,,1001.000000,,,0.502400,0.407500,0.094900,0.008300,0.386800,0.102500,0.234800,0.674200,0.295900,,,,,,,,,,,0.003700,,1.144700,,802.000000,,,107.000000,157.000000
