an_profil,an_donnee,cod_mrc,nom_mrc,PRC0320,PRC3120,PRC4320,PRC3220,PRC4420,PRC2720,PRC3520,PRC3620,PRC2820,PRC2920,PRC3720,PRC2520,PRC2120,PRC3820,PRC0120,PRC3020,PRC4520,PRC0220,PRC3920,PRC4020,PRC4220
2020,2019,AR380,Becancour,0.016200,2934.000000,3683.000000,2732.000000,3179.000000,0.818600,0.596100,0.222500,0.009100,0.094300,0.078000,0.241800,0.571600,0.046000,0.024500,4439.000000,5572.000000,0.162600,0.307400,1.146000,1494.000000
2020,2019,AR390,Arthabaska,0.019200,4077.000000,3617.000000,3104.000000,2676.000000,0.745800,0.615000,0.130800,0.032300,0.079300,0.142600,0.164400,0.594200,0.069300,0.016700,3561.000000,3159.000000,0.121700,0.220200,1.311100,1820.000000
2020,2019,AR400,Les Sources,0.023700,3009.000000,3108.000000,1970.000000,1891.000000,0.615700,0.509300,0.106400,0.023800,0.205900,0.154500,0.162400,0.524900,0.065900,0.029100,3702.000000,3825.000000,0.108000,0.166200,1.358400,1367.000000
2020,2019,AR410,Le Haut-Saint-Francois,0.017300,2872.000000,3348.000000,1973.000000,2203.000000,0.675300,0.525200,0.150100,0.022300,0.151900,0.150500,0.194200,0.595400,0.053700,0.021700,3592.000000,4188.000000,0.111600,0.235100,1.107700,1559.000000
2020,2019,AR420,Le Val-Saint-Francois,0.012800,2906.000000,3052.000000,2226.000000,2255.000000,0.758500,0.586900,0.171600,0.018500,0.086000,0.136900,0.271600,0.559700,0.122300,0.009200,2084.000000,2189.000000,0.092300,0.210300,0.870700,1592.000000
2020,2019,AR431,Hors MRC - Sherbrooke,0.030100,9511.000000,5809.000000,4237.000000,2501.000000,0.433400,0.364400,0.069000,0.041100,0.038000,0.487500,0.067700,0.617200,0.048600,0.030000,9490.000000,5796.000000,0.168400,0.364400,1.207800,1840.000000
2020,2019,AR440,Coaticook,0.019200,4264.000000,4675.000000,2406.000000,2486.000000,0.529900,0.427800,0.102100,0.017000,0.114900,0.338200,0.369900,0.565600,0.073100,0.011800,2620.000000,2872.000000,0.075100,0.184800,1.001100,1493.000000
2020,2019,AR450,Memphremagog,0.013600,3388.000000,4010.000000,2207.000000,2532.000000,0.609300,0.473800,0.135500,0.012200,0.042600,0.336000,0.140100,0.602900,0.064400,0.010800,2696.000000,3191.000000,0.115500,0.259800,0.793800,2154.000000
2020,2019,AR460,Brome-Missisquoi,0.012900,3420.000000,3565.000000,2885.000000,2771.000000,0.735000,0.601100,0.133900,0.028500,0.057100,0.179400,0.236800,0.567700,0.048600,0.013100,3476.000000,3623.000000,0.146000,0.261000,0.904500,2113.000000
2020,2019,AR470,La Haute-Yamaska,0.014700,4065.000000,3103.000000,3482.000000,2541.000000,0.779700,0.619700,0.160000,0.021100,0.035300,0.163900,0.235500,0.619600,0.059800,0.011700,3234.000000,2469.000000,0.130100,0.162600,1.045300,1830.000000
