an_profil,an_donnee,cod_mrc,nom_mrc,PRC4320,PRC4420,PRC4520,PRC4220,PRC3720,PRC3920,PRC4120,PRC4020,PRC0120,PRC2820,PRC2920,PRC3020,PRC3220,PRC2120,PRC2720,PRC0220,PRC2520,PRC3520,PRC3620,PRC3820,PRC0320,PRC3120
2017,2016,AR760,Argenteuil,2721,2030,2799,1567,0.141,0.3031,2047,0.9971,0.0149,0.024,0.0614,1772,1379,0.5907,0.7737,0.228,0.1807,0.6448,0.1289,0.0492,0.0145,1723
2017,2016,AR770,Les Pays-d'en-Haut,2936,2508,3040,2163,0.1344,0.3484,2626,0.878,0.0114,0.0063,0.0386,2047,1770,0.5636,0.8207,0.1255,0.1023,0.6587,0.162,0.0453,0.011,1977
2017,2016,AR780,Les Laurentides,3032,2364,2971,1943,0.1421,0.2878,2087,0.8981,0.012,0.0164,0.0652,2144,1796,0.6413,0.7764,0.1337,0.2084,0.6467,0.1297,0.0467,0.0122,2187
2017,2016,AR790,Antoine-Labelle,2591,1782,2071,1431,0.1634,0.2863,1656,1.013,0.0123,0.061,0.1038,1652,1492,0.5928,0.6718,0.1449,0.1997,0.524,0.1478,0.0459,0.0153,2067
2017,2016,AR800,Papineau,2462,1907,1488,1650,0.1135,0.1964,1787,1.0153,0.0082,0.0208,0.1105,1162,1543,0.5805,0.7552,0.1139,0.2574,0.6235,0.1317,0.0436,0.0136,1923
2017,2016,AR811,Hors MRC - Gatineau,4625,3263,4519,2272,0.1694,0.3443,2907,1.2039,0.0178,0.0912,0.1106,6028,4470,0.6282,0.6288,0.1856,0.2725,0.5835,0.0453,0.0496,0.0182,6170
2017,2016,AR820,Les Collines-de-l'Outaouais,2908,2367,2783,2218,0.1262,0.3443,2595,0.8419,0.0099,0.025,0.0661,1987,1786,0.7215,0.7827,0.1067,0.2287,0.6846,0.0981,0.0747,0.0104,2076
2017,2016,AR830,La Vallée-de-la-Gatineau,2472,1710,1231,1466,0.1134,0.1796,1337,1.1136,0.0082,0.025,0.1768,885,1284,0.5918,0.6848,0.0926,0.1459,0.492,0.1928,0.0434,0.0165,1777
2017,2016,AR840,Pontiac,2130,1365,517,1163,0.0955,0.1433,1193,0.8385,0.0032,0.0367,0.2339,357,999,0.5791,0.634,0.0697,0.3395,0.4827,0.1512,0.0306,0.0131,1472
2017,2016,AR850,Témiscamingue,3182,1998,1955,1524,0.1743,0.1775,1895,1.3883,0.0139,0.0373,0.1569,1431,1611,0.5725,0.6315,0.1534,0.2796,0.4863,0.1452,0.0245,0.0226,2329
2017,2016,AR861,Hors MRC - Rouyn-Noranda,3349,2217,3810,1600,0.2038,0.3424,2379,1.046,0.0208,0.0496,0.0916,4070,2638,0.6264,0.655,0.1453,0.1356,0.5521,0.1029,0.0417,0.0183,3578
2017,2016,AR870,Abitibi-Ouest,3243,1675,1754,1448,0.2308,0.1753,1845,1.4005,0.0146,0.0333,0.2004,1384,1451,0.5174,0.5355,0.0884,0.2493,0.3904,0.1451,0.0407,0.027,2558
2017,2016,AR880,Abitibi,4227,2322,2949,1741,0.3384,0.2583,2323,1.3263,0.0193,0.0355,0.0868,2546,2198,0.5124,0.5393,0.1065,0.1232,0.4434,0.0959,0.0786,0.0276,3649
2017,2016,AR890,La Vallée-de-l'Or,3024,2273,3957,1715,0.141,0.3284,2571,1.2794,0.0249,0.0465,0.0693,3910,2557,0.5557,0.7433,0.244,0.0764,0.5136,0.2297,0.0436,0.019,2989
2017,2016,AR901,Hors MRC - La Tuque,2598,1526,3291,1148,0.1332,0.4427,1888,1.6931,0.04,0.0521,0.1852,3269,1655,0.4796,0.6295,0.166,0.0552,0.4666,0.1629,0.0342,0.0316,2581
2017,2016,AR910,Le Domaine-du-Roy,3029,2146,4025,1579,0.1177,0.1936,2099,1.4071,0.0281,0.0947,0.0663,3803,2147,0.5576,0.7212,0.1286,0.2689,0.5514,0.1698,0.049,0.0211,2862
2017,2016,AR920,Maria-Chapdelaine,3045,2085,4314,1546,0.1543,0.2085,1955,1.5098,0.032,0.0624,0.1003,4084,2108,0.5559,0.683,0.1282,0.1466,0.5054,0.1776,0.0341,0.0226,2883
2017,2016,AR930,Lac-Saint-Jean-Est,3622,2507,3412,1625,0.24,0.2686,2118,1.1974,0.0184,0.0558,0.0398,3435,2669,0.6546,0.6645,0.1508,0.0906,0.5122,0.1523,0.0438,0.0196,3646
2017,2016,AR941,Hors MRC - Saguenay,4423,2851,5292,1755,0.2289,0.3536,2507,1.2128,0.0283,0.0624,0.0567,6907,3910,0.6351,0.6519,0.1867,0.0169,0.56,0.0919,0.0317,0.0236,5773
2017,2016,AR942,Le Fjord-du-Saguenay,2559,1693,3347,1560,0.125,0.3091,1951,1.088,0.0183,0.1136,0.0974,2669,1442,0.5873,0.6639,0.2313,0.076,0.5293,0.1347,0.04,0.014,2040
2017,2016,AR950,La Haute-Côte-Nord,3183,1928,2712,1629,0.2742,0.2466,2069,2.0975,0.0293,0.0434,0.1411,2367,1896,0.6439,0.5413,0.2178,0.2997,0.4165,0.1247,0.0447,0.0344,2778
2017,2016,AR960,Manicouagan,4843,3170,6174,1997,0.2979,0.4376,2751,1.7524,0.042,0.0371,0.0462,7248,4052,0.6319,0.6188,0.1915,0.149,0.5598,0.0591,0.0545,0.033,5685
2017,2016,AR971,Sept-Rivières,5034,3774,6441,1652,0.1349,0.3493,2481,1.102,0.0296,0.0712,0.0554,7313,4853,0.516,0.7385,0.1677,0.189,0.6432,0.0952,0.0316,0.0231,5716
2017,2016,AR972,Caniapiscau,4201,2331,6511,2359,0.4317,0.1717,3121,1.9147,0.0494,0.0501,0.149,5482,2536,0.4737,0.3692,0.1532,0.2355,0.3004,0.0688,0.0231,0.0318,3536
2017,2016,AR981,Minganie,4560,1896,6637,1395,0.3542,0.273,1770,1.1694,0.0453,0.094,0.1131,5622,1827,0.6575,0.4387,0.1618,0.2906,0.3378,0.1009,0.0586,0.0312,3863
2017,2016,AR982,Le Golfe-du-Saint-Laurent,4388,1342,7057,1352,0.1672,0.2776,1470,1.8785,0.0759,0.1256,0.4431,4742,1262,0.6432,0.2642,0.5267,0.3976,0.1674,0.0968,0.0097,0.0472,2948
2017,2016,AR991,Hors MRC - Nord du Québec,5106,3061,3119,1674,0.2277,0.1217,2349,1.5484,0.0195,0.0642,0.1563,3169,3710,0.4743,0.5518,0.1161,0.6979,0.4666,0.0853,0.0662,0.0319,5188
