cod_mrc,an_profil,an_donnee,PRC1420,PRC1520,PRC1620,PRC2220,PRC2320,PRC2020,PFRAT0121,PFRAT0220,PRC3320,PRC3420,nom_mrc
AR190,2016,2016,0.6754,0.0871,0.186,0.0514,184435,160123,176244,1.0591,1960,1702,Bellechasse
AR200,2016,2016,0.7682,0.0333,0.1671,0.0315,331698,287073,297544,0.5566,1842,1594,L'Ile-d'Orleans
AR210,2016,2016,0.8452,0.0908,0.0163,0.0477,250211,215200,216094,0.9067,2302,1980,La Cote-de-Beaupre
AR220,2016,2016,0.8699,0.0553,0.0099,0.0649,304760,285112,271087,0.8337,2561,2396,La Jacques-Cartier
AR231,2016,2016,0.7922,0.1861,0.0037,0.018,285584,195147,414050,1.1473,3330,2276,Hors MRC - Quebec
AR251,2016,2016,0.8174,0.1448,0.0118,0.026,276819,216419,322680,0.9526,2696,2107,Hors MRC - Levis
AR260,2016,2016,0.6759,0.1137,0.1858,0.0246,191516,163361,197250,1.1402,2191,1869,La Nouvelle-Beauce
AR270,2016,2016,0.6365,0.2049,0.1461,0.0124,134973,114424,138817,1.4566,1970,1670,Robert-Cliche
AR280,2016,2016,0.6564,0.197,0.1252,0.0214,113721,96588,100739,1.2568,1435,1219,Les Etchemins
AR290,2016,2016,0.6717,0.2139,0.0903,0.0242,154538,124968,176853,1.2076,1870,1512,Beauce-Sartigan
AR300,2016,2016,0.6574,0.1663,0.1423,0.034,138674,115918,133037,1.1994,1675,1400,Le Granit
AR310,2016,2016,0.6926,0.1474,0.141,0.019,136526,108918,147447,1.3823,1890,1508,Les Appalaches
AR320,2016,2016,0.6154,0.1567,0.1952,0.0327,140993,112813,166137,1.1819,1667,1334,L'Erable
AR330,2016,2016,0.6212,0.1045,0.2326,0.0418,192109,168016,196705,0.9726,1870,1636,Lotbiniere
AR340,2016,2016,0.7824,0.1064,0.0656,0.0456,188351,160545,173640,1.0485,1987,1693,Portneuf
AR350,2016,2016,0.7283,0.1029,0.0906,0.0782,128165,108231,120181,1.0911,1404,1186,Mekinac
AR361,2016,2016,0.8119,0.1521,0.0085,0.0275,146386,94936,164989,1.7817,2608,1691,Hors MRC - Shawinigan
AR371,2016,2016,0.7878,0.1841,0.0055,0.0226,176212,117873,231315,1.582,2825,1890,Hors MRC - Trois-Rivieres
AR372,2016,2016,0.6988,0.0637,0.1984,0.0391,152923,134143,126927,1.1146,1711,1501,Les Chenaux
AR380,2016,2016,0.4988,0.2706,0.2003,0.0302,144139,122744,181573,1.1262,1635,1388,Becancour
AR390,2016,2016,0.6794,0.1687,0.1269,0.025,161490,127900,198032,1.3212,2179,1727,Arthabaska
AR400,2016,2016,0.707,0.0923,0.1647,0.036,124766,97344,126132,1.2792,1712,1455,Les Sources
AR410,2016,2016,0.5657,0.2692,0.1494,0.0157,162482,135414,165846,1.0297,1706,1415,Le Haut-Saint-Francois
AR420,2016,2016,0.7008,0.1203,0.135,0.0438,212615,165869,211868,0.8665,1856,1448,Le Val-Saint-Francois
AR431,2016,2016,0.7952,0.174,0.0053,0.0255,223315,141902,312792,1.2082,2698,1714,Hors MRC - Sherbrooke
AR440,2016,2016,0.5377,0.1016,0.3329,0.0279,175824,141103,205959,1.0208,1798,1443,Coaticook
AR450,2016,2016,0.8294,0.0684,0.0353,0.0669,268015,216409,237057,0.778,2108,1702,Memphremagog
AR460,2016,2016,0.7302,0.1061,0.1243,0.0395,262212,209945,267335,0.9112,2412,1931,Brome-Missisquoi
AR470,2016,2016,0.753,0.163,0.0562,0.0278,223365,161738,268065,1.0458,2347,1699,La Haute-Yamaska
AR480,2016,2016,0.6017,0.0887,0.2931,0.0164,170343,136540,195338,0.9525,1627,1304,Acton
AR490,2016,2016,0.6827,0.1915,0.0966,0.0291,186523,136326,224660,1.0007,1897,1387,Drummond
AR500,2016,2016,0.5454,0.1069,0.3249,0.0227,146363,121563,191782,1.0845,1590,1320,Nicolet-Yamaska
AR510,2016,2016,0.7064,0.1055,0.1507,0.0374,143433,120520,119735,1.146,1647,1384,Maskinonge
AR520,2016,2016,0.7341,0.0861,0.1446,0.0353,184511,156892,166105,1.0182,1884,1602,D'Autray
AR530,2016,2016,0.7366,0.1267,0.1215,0.0151,179821,138139,195081,1.1973,2153,1654,Pierre-De Saurel
AR540,2016,2016,0.6366,0.1377,0.2153,0.0104,228087,165075,316396,0.9248,2113,1529,Les Maskoutains
AR550,2016,2016,0.6807,0.1014,0.2054,0.0125,241617,188525,276171,0.9324,2260,1763,Rouville
AR560,2016,2016,0.7461,0.1125,0.1193,0.0222,249117,191732,301059,0.9737,2452,1887,Le Haut-Richelieu
AR570,2016,2016,0.8454,0.0864,0.0459,0.0223,308223,267876,308039,0.9355,2903,2524,La Vallee-du-Richelieu
AR581,2016,2016,0.8263,0.1574,0.0018,0.0146,317692,238574,397263,0.9109,2922,2194,Hors MRC - Longueuil
AR590,2016,2016,0.8046,0.1305,0.0451,0.0199,289815,250586,316663,0.8426,2482,2146,Marguerite-D'Youville
AR600,2016,2016,0.8695,0.1019,0.0198,0.0089,257584,221753,295813,1.1255,2908,2503,L'Assomption
AR610,2016,2016,0.753,0.1554,0.0688,0.0228,203601,150499,245753,1.0095,2068,1528,Joliette
AR620,2016,2016,0.8289,0.0731,0.0241,0.0739,194207,175570,127914,0.9099,1785,1614,Matawinie
AR630,2016,2016,0.76,0.0606,0.142,0.0374,186152,165917,170414,1.0151,1904,1697,Montcalm
AR640,2016,2016,0.834,0.1255,0.0085,0.032,272180,237970,306640,1.1466,3171,2772,Les Moulins
AR651,2016,2016,0.8228,0.1492,0.0032,0.0248,319708,252328,389201,1.0356,3129,2470,Hors MRC - Laval
AR661,2016,2016,0.7984,0.1922,0.0001,0.0093,418185,224186,585195,0.9017,3844,2061,Hors MRC - Montreal
AR670,2016,2016,0.8482,0.1085,0.0207,0.0225,282367,244119,306290,1.0186,2905,2511,Roussillon
AR680,2016,2016,0.5689,0.1008,0.3112,0.0191,243712,201373,282580,0.7973,1945,1607,Les Jardins-de-Napierville
AR690,2016,2016,0.518,0.0525,0.4113,0.0182,182504,157075,203464,0.6688,1275,1110,Le Haut-Saint-Laurent
AR700,2016,2016,0.729,0.1574,0.0865,0.0271,211713,156083,247974,1.1806,2507,1848,Beauharnois-Salaberry
AR710,2016,2016,0.8105,0.113,0.0431,0.0334,297577,262382,306080,0.9002,2703,2384,Vaudreuil-Soulanges
AR720,2016,2016,0.8355,0.1123,0.0297,0.0225,245346,212707,282247,1.0241,2518,2183,Deux-Montagnes
AR730,2016,2016,0.8365,0.1375,0.0086,0.0174,317593,258593,369572,0.9519,3070,2500,Therese-De Blainville
AR741,2016,2016,0.7092,0.1469,0.0905,0.0535,278042,227766,325781,0.6533,1939,1588,Hors MRC - Mirabel
AR750,2016,2016,0.8509,0.1058,0.0048,0.0385,231877,180214,224136,1.0235,2428,1887,La Riviere-du-Nord
AR760,2016,2016,0.7678,0.0873,0.0588,0.0861,201314,162976,127766,0.9974,2014,1630,Argenteuil
AR770,2016,2016,0.8404,0.0797,0.0006,0.0792,294366,255968,188396,0.8799,2609,2269,Les Pays-d'en-Haut
AR780,2016,2016,0.746,0.1564,0.0105,0.0871,229100,184234,188058,0.8987,2067,1662,Les Laurentides
AR790,2016,2016,0.7804,0.1054,0.0306,0.0836,160882,130089,141089,1.0084,1636,1320,Antoine-Labelle
AR800,2016,2016,0.8077,0.0839,0.0424,0.066,172921,149776,146312,1.015,1762,1526,Papineau
AR811,2016,2016,0.8076,0.1673,0.0034,0.0217,252516,197347,346281,1.1751,2879,2250,Hors MRC - Gatineau
AR820,2016,2016,0.8744,0.0302,0.0368,0.0586,301635,273586,210338,0.8398,2562,2324,Les Collines-de-l'Outaouais
AR830,2016,2016,0.8106,0.064,0.0405,0.0849,118707,102243,112427,1.1162,1332,1147,La Vallee-de-la-Gatineau
AR840,2016,2016,0.7794,0.0403,0.1043,0.0761,137496,115560,114468,0.8867,1201,1002,Pontiac
AR850,2016,2016,0.7221,0.1435,0.1169,0.0176,131664,110347,113520,1.4073,1885,1578,Temiscamingue
AR861,2016,2016,0.8038,0.1748,0.0071,0.0143,224153,154944,216661,1.0514,2385,1648,Hors MRC - Rouyn-Noranda
AR870,2016,2016,0.808,0.1044,0.0675,0.0201,129504,103872,103446,1.4126,1843,1473,Abitibi-Ouest
AR880,2016,2016,0.7839,0.1615,0.0251,0.0294,170444,131031,144063,1.3244,2262,1739,Abitibi
AR890,2016,2016,0.784,0.1923,0.0041,0.0196,199328,139236,178214,1.2801,2564,1791,La Vallee-de-l'Or
AR901,2016,2016,0.7576,0.213,0.0053,0.024,109862,78758,88832,1.6978,1865,1337,Hors MRC - La Tuque
AR910,2016,2016,0.7495,0.1584,0.0512,0.0409,146087,113165,142839,1.405,2059,1595,Le Domaine-du-Roy
AR920,2016,2016,0.716,0.1396,0.1075,0.0369,127648,100884,135685,1.5104,1943,1532,Maria-Chapdelaine
AR930,2016,2016,0.7207,0.2049,0.0483,0.0261,174530,134561,196403,1.2013,2088,1610,Lac-Saint-Jean-Est
AR941,2016,2016,0.7817,0.1902,0.0097,0.0184,205267,144199,254900,1.2228,2525,1774,Hors MRC - Saguenay
AR942,2016,2016,0.8524,0.0644,0.0375,0.0457,173699,146881,154968,1.0882,1899,1606,Le Fjord-du-Saguenay
AR950,2016,2016,0.7743,0.1619,0.0221,0.0418,102924,81680,91583,2.0528,2118,1681,La Haute-Cote-Nord
AR960,2016,2016,0.7417,0.2496,0.0029,0.0059,153014,115583,179481,1.7594,2694,2035,Manicouagan
AR971,2016,2016,0.6761,0.312,0.0009,0.0109,224813,152961,276867,1.107,2494,1697,Sept-Rivieres
AR972,2016,2016,0.3379,0.6569,0,0.0052,158171,133391,579608,1.01,1604,1352,Caniapiscau
AR981,2016,2016,0.8304,0.1586,0.0002,0.0108,151130,132777,137970,1.1732,1780,1564,Minganie
AR982,2016,2016,0.8301,0.1551,0,0.0148,76923,74013,81270,2.0795,1619,1557,Le Golfe-du-Saint-Laurent
AR991,2016,2016,0.6912,0.2949,0.0018,0.0121,140460,103024,190895,1.569,2323,1704,Hors MRC - Nord du Quebec
