cod_geo_n,an_profil,an_donnee,RFU3000,RFU3001,POSTE_3171,RF35010601,POSTE_3163,POSTE_9615,RF01010601,RF31010601,RF01010103,POSTE_9600,RF01010104,POSTE_224b,POSTE_5428,RF31010402,RF01010201,POSTE_9641,RF01010525,RF31010501,POSTE_3181,RF35021001,POSTE_1443,POSTE_1508,POSTE_8978,POSTE_8958,POSTE_8938,RF05021002,RF06010101,POSTE_3047,RF12010101,POSTE_6805,PRN0300,POSTE_6827,POSTE_6833,PRN0200,PRN0100,POSTE_6825,PRC0300,PRC0301,PRC3100,PRC3102,PRC3101,PRC3103,PRC3200,PRC3202,PRC3201,PRC3203,PRC2700,PRC3500,PRC3600,PRC2800,PRC2900,PRC3700,PRC2500,PRC2100,PRC3800,PRC0100,PRC0102,PRC0101,PRC3000,PRC3002,PRC3001,PRC3003,PRC0200,PRC3900,nom_mun,classe_population,designation,cod_mrc,nom_mrc,cod_ra,nom_ra,population
04005,2016,2015,21429240,0,1294583,0,381290,0,804018,0,224605,0,156685,0,0,0,31918,0,187878,0,875761,0,529280,0,0,0,0,328176,7871567,2571498,196096,0,0,0,0,0,0,0,0.0409,0,1292,0,0,0,610,0,0,0,0.4742,0.2794,0.1949,0.0397,0.2337,0.2524,0.2439,0.6996,0.0051,0.0247,0,0,781,0,0,0,0.3599,0.3267,Sainte-Madeleine-de-la-Riviere-Madeleine,1 @ 1 999,M,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,303
04010,2016,2015,61656930.79,0,1965221,0,865061,0,1848518,0,456175,0,408886,0,52461,0,124707,0,469081,0,2011347,0,984700,0,0,0,0,993447,17847926,5618132,138115,0,0,0,0,0,0,0,0.0318,0,1709,0,0,0,899,0,0,0,0.468,0.2468,0.2212,0.0675,0.2538,0.2108,0.0747,0.7195,0.0142,0.016,0,0,859,0,0,0,0.4393,0.3148,Saint-Maxime-du-Mont-Louis,1 @ 1 999,M,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,1074
04015,2016,2015,11655670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mont-Saint-Pierre,1 @ 1 999,VL,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,180
04020,2016,2015,7381908,0,214671,0,118973,0,213331,0,96057,0,22916,0,0,0,16669,0,68809,0,259105,0,1367,0,0,0,0,0,1114588,0,110673,0,0,0,0,0,0,0,0.0351,0,919,0,0,0,472,0,0,0,0.5577,0.4503,0.1074,0.0781,0.3225,0.0416,0.5188,0.6713,0.0034,0.0002,0,0,5,0,0,0,0,0,Riviere-a-Claude,1 @ 1 999,M,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,127
04025,2016,2015,12282172.812,0,1175789,0,308949,0,1131870,0,202813,0,106136,0,2250,0,60267,0,679898,0,1253203,0,644175,0,0,0,0,71928,4699332,641000,127309,0,0,0,0,0,0,0,0.1019,0,3909,0,0,0,1088,0,0,0,0.273,0.1792,0.0938,0.0532,0.6007,0.0731,0.1125,0.6091,0.0182,0.0524,0,0,2013,0,0,0,0.0657,0.1364,Marsoui,1 @ 1 999,VL,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,295
04030,2016,2015,9283312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,La Martre,1 @ 1 999,M,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,240
04037,2016,2015,425992105.04,0,10702981,0,6700897,0,9493458,0,4751632,0,1949265,0,171275,0,751800,0,1328163,0,9783119,0,1596317,0,0,0,0,549273,33959979,4832982,896191,0,0,0,0,0,0,0,0.0226,0,2382,0,0,0,1752,0,0,0,0.7058,0.5005,0.2053,0.0792,0.1399,0.0751,0.0944,0.5298,0.0343,0.0037,0,0,396,0,0,0,0.0647,0.1423,Sainte-Anne-des-Monts,2 000 @ 9 999,V,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,6841
04047,2016,2015,149238805.2,0,3208417,0,2492892,0,3198321,0,1825980,0,666912,0,9278,0,161641,0,318530,0,3393206,0,47500,0,0,0,0,53222,10272652,46840,408138,0,0,0,0,0,0,0,0.0227,0,1572,0,0,0,1245,0,0,0,0.7794,0.5709,0.2085,0.0505,0.0996,0.0704,0.1276,0.518,0.0274,0.0003,0,0,22,0,0,0,0.0179,0.0046,Cap-Chat,2 000 @ 9 999,V,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,2538
05010,2016,2015,15277490.47,0,305360,0,143124,0,305360,0,113221,0,29903,0,0,0,2944,0,130509,0,388381,0,0,0,0,0,0,992,517974,0,83484,0,0,0,0,0,0,0,0.0254,0,797,0,0,0,308,0,0,0,0.4687,0.3708,0.0979,0.0096,0.4274,0.0943,0.2734,0.5854,0.0038,0,0,0,0,0,0,0,0.0027,0,Shigawake,1 @ 1 999,M,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,303
05015,2016,2015,21029510,0,530513,0,207933,0,530513,0,172983,0,34950,0,0,0,2694,0,246488,0,546670,0,0,0,0,0,0,338,1011067,0,236559,0,0,0,0,0,0,0,0.026,0,1234,0,0,0,497,0,0,0,0.3919,0.3261,0.0659,0.0051,0.4646,0.1384,0.4459,0.6006,0.0815,0,0,0,0,0,0,0,0.0007,0,Saint-Godefroi,1 @ 1 999,CT,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,441
