an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU3001,POSTE_3171,RF35010601,POSTE_3163,POSTE_9615,RF01010601,RF31010601,RF01010103,RF31010101,RF01010104,RF31010102,POSTE_5428,RF31010402,RF01010201,POSTE_9641,RF01010525,RF31010501,POSTE_3181,RF35021001,POSTE_1443,POSTE_8978,POSTE_8958,POSTE_4669,RF05021002,RF06010101,POSTE_3047,RF12010101,POSTE_6805,PRN0300,POSTE_6827,POSTE_6833,PRN0200,PRN0100,POSTE_6825,PRC0300,PRC0301,PRC3100,PRC3102,PRC3101,PRC3103,PRC4300,PRC4302,PRC4301,PRC3200,PRC3202,PRC3201,PRC3203,PRC4400,PRC4402,PRC4401,PRC2700,PRC3500,PRC3600,PRC2800,PRC2900,PRC3700,PRC2500,PRC2100,PRC3800,PRC0100,PRC0102,PRC0101,PRC3000,PRC3002,PRC3001,PRC3003,PRC4500,PRC4502,PRC4501,PRC0200,PRC3900,PRC4000,PRC4001,PRC4200,PRC4202,PRC4201,IND0201,IND0401
2020,2019,03025,Murdochville,V,635,1 @ 1 999,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,,,18823578.340000,,2015779.000000,,897916.000000,,1985866.000000,,721309.000000,,176607.000000,,4798.000000,,67881.000000,,739516.000000,,2226316.000000,,1032561.000000,,,1032561.000000,14384.000000,5042663.000000,185100.000000,814789.000000,,,,,,,,0.118000,,2982.000000,,,,3857.000000,,,1785.000000,,,,1559.000000,,,0.452200,0.363200,0.088900,0.034200,0.372400,0.141300,0.410300,0.317000,0.083700,0.054900,,,1386.000000,,,,1793.000000,,,0.007600,0.036700,4.722900,,1293.000000,,,431.000000,696.000000
2020,2019,04005,Sainte-Madeleine-de-la-Riviere-Madeleine,M,295,1 @ 1 999,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,,,28870728.000000,,1281006.000000,,385871.000000,,852481.000000,,250073.000000,,135798.000000,,7024.000000,,32255.000000,,174459.000000,,1090844.000000,,373840.000000,,,373840.000000,321671.000000,7576448.000000,1446081.000000,295575.000000,,,,,,,,0.037500,,1603.000000,,,,3132.000000,,,736.000000,,,,1115.000000,,,0.452600,0.293300,0.159300,0.037800,0.204600,0.304900,0.346700,0.642800,0.060500,0.012900,,,553.000000,,,,1080.000000,,,0.308000,0.190900,1.316800,,1070.000000,,,120.000000,221.000000
2020,2019,04010,Saint-Maxime-du-Mont-Louis,M,1127,1 @ 1 999,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,,,62676301.945000,,2767081.000000,,877230.000000,,1995450.000000,,543544.000000,,333686.000000,,74313.000000,,102789.000000,,581708.000000,,2479842.000000,,1367628.000000,,,1367628.000000,945995.000000,17134670.000000,3473570.000000,40058.000000,,,,,,,,0.038400,,2097.000000,,,,3220.000000,,,916.000000,,,,1174.000000,,,0.439600,0.272400,0.167200,0.051500,0.291500,0.217400,0.020100,0.662200,0.050000,0.021800,,,1192.000000,,,,1831.000000,,,0.360100,0.202700,1.523600,,1095.000000,,,139.000000,227.000000
2020,2019,04015,Mont-Saint-Pierre,VL,160,1 @ 1 999,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,,,10217592.000000,,1142392.000000,,365946.000000,,694468.000000,,186614.000000,,179332.000000,,,,12819.000000,,218793.000000,,765886.000000,,321134.000000,,,321134.000000,74107.000000,6023084.000000,405532.000000,329718.000000,,,,,,,,0.075000,,2623.000000,,,,4074.000000,,,1376.000000,,,,1947.000000,,,0.526900,0.268700,0.258200,0.018500,0.315100,0.139500,0.474800,0.670100,0.009300,0.031400,,,1100.000000,,,,1708.000000,,,0.119800,0.067300,3.550300,,1874.000000,,,324.000000,442.000000
2020,2019,04020,Riviere-a-Claude,M,126,1 @ 1 999,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,,,9972033.000000,,367320.000000,,129501.000000,,270348.000000,,112760.000000,,16741.000000,,,,16669.000000,,64935.000000,,304498.000000,,,,,,,1458109.000000,,196110.000000,,,,,,,,0.030500,,1099.000000,,,,2191.000000,,,529.000000,,,,932.000000,,,0.479000,0.417100,0.061900,0.061700,0.240200,0.219100,0.725400,0.642600,0.049600,,,,,,,,,,,,,1.288200,,833.000000,,,117.000000,180.000000
2020,2019,04025,Marsoui,VL,289,1 @ 1 999,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,,,12506586.300000,,657311.000000,,297112.000000,,634385.000000,,191144.000000,,105968.000000,,3905.000000,,61157.000000,,202016.000000,,751496.000000,,464952.000000,,,464952.000000,89906.000000,4478905.000000,464952.000000,177468.000000,,,,,,,,0.059800,,2307.000000,,,,3612.000000,,,1028.000000,,,,1435.000000,,,0.468300,0.301300,0.167000,0.096400,0.318400,0.116800,0.279700,0.534000,0.006600,0.037200,,,1435.000000,,,,2246.000000,,,0.152100,0.103800,2.496100,,1269.000000,,,228.000000,353.000000
2020,2019,04030,La Martre,M,231,1 @ 1 999,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,,,15461372.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,
2020,2019,04037,Sainte-Anne-des-Monts,V,6437,2 000 @ 9 999,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,,,451533854.500000,,11620768.000000,,7374735.000000,,10857447.000000,,5554722.000000,,1820013.000000,,172810.000000,,892324.000000,,1471640.000000,,10572028.000000,,3880443.000000,,,3880443.000000,1113901.000000,35426022.000000,3765900.000000,2023524.000000,,,,,,,,0.023000,,2560.000000,,,,2698.000000,,,1913.000000,,,,1914.000000,,,0.679200,0.511600,0.167600,0.082200,0.135500,0.103000,0.186400,0.498400,0.035500,0.008600,,,955.000000,,,,1007.000000,,,0.115000,0.106300,1.652300,,1611.000000,,,158.000000,159.000000
2020,2019,04047,Cap-Chat,V,2417,2 000 @ 9 999,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,,,162388218.950000,,4281376.000000,,2609136.000000,,4203269.000000,,2082629.000000,,526507.000000,,14930.000000,,190439.000000,,1015126.000000,,3872119.000000,,235384.000000,,,235384.000000,63084.000000,12523388.000000,1175053.000000,1407789.000000,,,,,,,,0.023800,,1777.000000,,,,2345.000000,,,1294.000000,,,,1586.000000,,,0.620700,0.495500,0.125300,0.045300,0.241500,0.092400,0.334900,0.491200,0.066400,0.001400,,,108.000000,,,,143.000000,,,0.019000,0.093800,1.670700,,1417.000000,,,160.000000,165.000000
2020,2019,05010,Shigawake,M,278,1 @ 1 999,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,,,17152794.945000,,638770.000000,,199757.000000,,551515.000000,,164092.000000,,35665.000000,,,,3176.000000,,311322.000000,,532466.000000,,,,,,6094.000000,1128164.000000,,126267.000000,,,,,,,,0.031000,,1096.000000,,,,2817.000000,,,431.000000,,,,1057.000000,,,0.362200,0.297500,0.064700,0.005800,0.564500,0.067600,0.228900,0.672200,0.074500,,,,,,,,,,,0.011900,,1.156100,,845.000000,,,105.000000,183.000000
