"Nom","Prénom","Parti","Nom-Co","Prénom-Co","Titre ","Poste no"
"JORG","Chantal","Coalition Montréal - Marcel Côté",,,,"1.3"
"RACINE","Laurette","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"1.3"
"RODRIGUE","Diane","Équipe Denis Coderre pour Montréal",,,,"1.3"
"THUILLIER","Émilie","Projet Montréal - Équipe Bergeron",,,,"1.3"
"BELKACEM","Ali","Indépendant",,,,"1.4"
"CHITILIAN","Harout","Équipe Denis Coderre pour Montréal",,,,"1.4"
"EL-KHOURY","Ibrahim Bruno","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"1.4"
"ESSERTAIZE","Marc","Intégrité Montréal",,,,"1.4"
"FLOREZ","Maria Ximena","Projet Montréal - Équipe Bergeron",,,,"1.4"
"HÉON","Jean","Coalition Montréal - Marcel Côté",,,,"1.4"
"MARCELLUS","Nyrlande","Coalition Montréal - Marcel Côté",,,,"2"
"MIRANDA","Luis","Équipe Anjou",,,,"2"
"OBREGON","René","Projet Montréal - Équipe Bergeron",,,,"2"
"TONDREAU","Rémi","Équipe Denis Coderre pour Montréal",,,,"2"
"ATTARD","Daniel","Projet Montréal - Équipe Bergeron",,,,"2.01"
"HARIRI","Youssef","Équipe Denis Coderre pour Montréal",,,,"2.01"
"HÉNAULT","Andrée","Équipe Anjou",,,,"2.01"
"WATSON-MOREAU","Charlotte","Coalition Montréal - Marcel Côté",,,,"2.01"
"BEAUDRY","Gilles","Équipe Anjou",,,,"2.1"
"GUILLOTTE","Blaise","Projet Montréal - Équipe Bergeron",,,,"2.1"
"LA ROSA","Agata","Équipe Denis Coderre pour Montréal",,,,"2.1"
"SARA","Mona","Coalition Montréal - Marcel Côté",,,,"2.1"
"EDOUARD","Nadia","Projet Montréal - Équipe Bergeron",,,,"2.2"
"PERRON","Paul-Yvon","Équipe Anjou",,,,"2.2"
"PLOURDE","Sylvain","Équipe Denis Coderre pour Montréal",,,,"2.2"
"TOURÉ","Boubacar","Coalition Montréal - Marcel Côté",,,,"2.2"
"DI GENOVA ZAMMIT","Michelle","Équipe Anjou",,,,"2.3"
"MANCINI","Angela","Équipe Denis Coderre pour Montréal",,,,"2.3"
"MOUSSALEM","Mona","Coalition Montréal - Marcel Côté",,,,"2.3"
"ROUSSY","Jean-Sébastien","Projet Montréal - Équipe Bergeron",,,,"2.3"
"COPEMAN","Russell","Coalition Montréal - Marcel Côté",,,,"3"
"COPPS","Kevin","Équipe Denis Coderre pour Montréal",,,,"3"
"ROSS","Andrew","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"3"
"SIMKIN","Michael","Projet Montréal - Équipe Bergeron",,,,"3"
"HAMON","Erik","Coalition Montréal - Marcel Côté",,,,"3.1"
"JEGATHEESWARAN","Kamala","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"3.1"
"PEREZ","Lionel","Équipe Denis Coderre pour Montréal",,,,"3.1"
"RASHIDAN","Kianoush","Projet Montréal - Équipe Bergeron",,,,"3.1"
"ASSOR","Raphaël","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"3.2"
"FOTOPULOS","Helen","Équipe Denis Coderre pour Montréal",,,,"3.2"
"CÔTÉ","Marcel","Coalition Montréal - Marcel Côté","PEREZ","Albert","Colistier","3.2"
"POPEANU","Magda","Projet Montréal - Équipe Bergeron",,,,"3.2"
"SIAZON","Elizabeth","Indépendant",,,,"3.2"
"GUTMAN","Sarah","Projet Montréal - Équipe Bergeron",,,,"3.3"
"ROTRAND","Marvin","Coalition Montréal - Marcel Côté",,,,"3.3"
"SAUVÉ-FRANKEL","Ginette","Équipe Denis Coderre pour Montréal",,,,"3.3"
"ADAMS","Anne E.","Indépendant",,,,"3.4"
"BERGERON","Martin","Coalition Montréal - Marcel Côté",,,,"3.4"
"JOLY","Mélanie","Vrai changement pour Montréal - Groupe Mélanie Joly","JOHNSON","Marie-Claude","Colistière","3.4"
"MCQUEEN","Peter","Projet Montréal - Équipe Bergeron",,,,"3.4"
"RETTA","Gabriel","Équipe Denis Coderre pour Montréal",,,,"3.4"
"ARSENEAULT","Christian","Projet Montréal - Équipe Bergeron",,,,"3.5"
"FORD","Margaret","Coalition Montréal - Marcel Côté",,,,"3.5"
"PENTSOS","George","Indépendant",,,,"3.5"
"RANDHAWA","Kashmir Singh","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"3.5"
"RANKIN","Deborah","Indépendant",,,,"3.5"
"ROSENFIELD","Ruth","Équipe Denis Coderre pour Montréal",,,,"3.5"
"SEARLE","Jeremy","Indépendant",,,,"3.5"
"BOSSY","Patricia","Projet Montréal - Équipe Bergeron",,,,"4"
"DAUPHIN","Claude","Équipe Dauphin Lachine",,,,"4"
"ENE","Pierre","Indépendant",,,,"4"
"BLANCHET","Bernard","Coalition Montréal - Marcel Côté",,,,"4.01"
"CARUSO","Carolina","Équipe Denis Coderre pour Montréal",,,,"4.01"
"CLOUTIER","Jean-François","Équipe Dauphin Lachine",,,,"4.01"
"LAKHOYAN","Hagop (Jacques)","Indépendant",,,,"4.01"
"LEFEBVRE","Jean-François","Projet Montréal - Équipe Bergeron",,,,"4.01"
"BORJA","Sergio","Équipe Denis Coderre pour Montréal",,,,"4.1"
"LANGLOIS","Julie","Indépendant",,,,"4.1"
"POULIN","Lise","Coalition Montréal - Marcel Côté",,,,"4.1"
"SYMON","John","Projet Montréal - Équipe Bergeron",,,,"4.1"
"VODANOVI?","Maja","Équipe Dauphin Lachine",,,,"4.1"
"DE BORDES","Antonio","Projet Montréal - Équipe Bergeron",,,,"4.2"
"DUBOIS","Michel","Indépendant",,,,"4.2"
"GUILBAULT","Kevin","Indépendant",,,,"4.2"
"MÉNARD","Catherine","Coalition Montréal - Marcel Côté",,,,"4.2"
"RACICOT","Daniel","Équipe Dauphin Lachine",,,,"4.2"
"DURANTE","Mario","Coalition Montréal - Marcel Côté",,,,"4.3"
"GIRARD","Jean-François","Équipe Denis Coderre pour Montréal",,,,"4.3"
"LEJEUNE","Christian","Indépendant",,,,"4.3"
"LEVASSEUR","Julie","Projet Montréal - Équipe Bergeron",,,,"4.3"
"NOËL","Pierre","Indépendant",,,,"4.3"
"POWELL","Patrick","Indépendant",,,,"4.3"
"SIMONYIK","Kymberley","Équipe Dauphin Lachine",,,,"4.3"
"ASCH","Patrick","Projet Montréal - Équipe Bergeron",,,,"5"
"BARBE","Manon","Équipe Barbe Team – Pro action LaSalle",,,,"5"
"KALUZNY","Oksana","Coalition Montréal - Marcel Côté",,,,"5"
"LABBÉ","Jean-François","Équipe Denis Coderre pour Montréal",,,,"5"
"MORENO","Francisco","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"5"
"VADACCHINO","Michael","Parti alternatif LaSalle Alternative Party",,,,"5"
"BENOIT","Michel","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"5.1"
"CATALANO","Frank","Parti alternatif LaSalle Alternative Party",,,,"5.1"
"D'AMBROSIO","Carlo","Équipe Denis Coderre pour Montréal",,,,"5.1"
"DESCHAMPS","Richard","Équipe Barbe Team – Pro action LaSalle",,,,"5.1"
"LUSSIER","Pierre","Coalition Montréal - Marcel Côté",,,,"5.1"
"NIEDBALSKI","Monika","Projet Montréal - Équipe Bergeron",,,,"5.1"
"BÉNARD","Jocelyne","Coalition Montréal - Marcel Côté",,,,"5.11"
"BLANCHET","Nancy","Équipe Barbe Team – Pro action LaSalle",,,,"5.11"
"BUFFONE","Patrizia","Projet Montréal - Équipe Bergeron",,,,"5.11"
"KWON","Andréa","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"5.11"
"LAFONTAINE","Julien","Équipe Denis Coderre pour Montréal",,,,"5.11"
"SICOLI","Luciano","Parti alternatif LaSalle Alternative Party",,,,"5.11"
"KARKAVILAS","Vas","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"5.12"
"NAKOUZI","Basile","Coalition Montréal - Marcel Côté",,,,"5.12"
"OKOU","Romarick","Projet Montréal - Équipe Bergeron",,,,"5.12"
"PALESTINI","Laura","Équipe Barbe Team – Pro action LaSalle",,,,"5.12"
"ROMANO","Daniela","Équipe Denis Coderre pour Montréal",,,,"5.12"
"AZZOUNI","Yosef","Projet Montréal - Équipe Bergeron",,,,"5.2"
"DI SANTE","Luciano","Équipe Barbe Team – Pro action LaSalle",,,,"5.2"
"DOLGIH","Kiril","Intégrité Montréal",,,,"5.2"
"LAPERRIÈRE","Steven","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"5.2"
"PACE","Enrico","Coalition Montréal - Marcel Côté",,,,"5.2"
"VALLÉE","Monique","Équipe Denis Coderre pour Montréal",,,,"5.2"
"BARRY","Mody Maka","Projet Montréal - Équipe Bergeron",,,,"5.21"
"DECLOS","Serge","Équipe Barbe Team – Pro action LaSalle",,,,"5.21"
"DHILLON","Anju","Équipe Denis Coderre pour Montréal",,,,"5.21"
"DUFORT","Raymond","Parti alternatif LaSalle Alternative Party",,,,"5.21"
"HAYECK","Héné","Indépendant",,,,"5.21"
"ORLANDO","Mario","Coalition Montréal - Marcel Côté",,,,"5.21"
"TREMBLAY","Eric","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"5.21"
"KHAN","Amir","Projet Montréal - Équipe Bergeron",,,,"5.22"
"MASANOTTI","Dino","Équipe Denis Coderre pour Montréal",,,,"5.22"
"PATEL","Sanjay","Coalition Montréal - Marcel Côté",,,,"5.22"
"TROILO","Josée","Équipe Barbe Team – Pro action LaSalle",,,,"5.22"
"URBANOWICZ","Artur Adam","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"5.22"
"ARSCOTT","Geoffrey Gordon","Équipe Denis Coderre pour Montréal",,,,"6"
"BÉLANGER","Richard","Équipe Richard Bélanger",,,,"6"
"GRENIER","Bruno","Projet Montréal - Équipe Bergeron",,,,"6"
"MARINACCI","Normand","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"6"
"CÔTÉ","Stéphane","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"6.1"
"FOURNIER","Éric","Projet Montréal - Équipe Bergeron",,,,"6.1"
"GAUTHIER","Louise","Équipe Denis Coderre pour Montréal",,,,"6.1"
"GIBB","Diane","Équipe Richard Bélanger",,,,"6.1"
"LIMOGES","Claude","Indépendant",,,,"6.1"
"GELLY","Marie-Andrée","Projet Montréal - Équipe Bergeron",,,,"6.2"
"LAROCQUE","Christian","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"6.2"
"LITTLE","Christopher","Équipe Richard Bélanger",,,,"6.2"
"MORAN","Steven","Équipe Denis Coderre pour Montréal",,,,"6.2"
"BROUILLARD","Daniel","Équipe Denis Coderre pour Montréal",,,,"6.3"
"LÉVESQUE-RENÉ","Jean-Dominic","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"6.3"
"RICHER","Angèle","Projet Montréal - Équipe Bergeron",,,,"6.3"
"ROBERT","François","Équipe Richard Bélanger",,,,"6.3"
"THEORET","Claude","Indépendant",,,,"6.3"
"DUGAS","Éric","Équipe Richard Bélanger",,,,"6.4"
"DUGAT","Jean Maxime","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"6.4"
"LECLERC","Roger","Équipe Denis Coderre pour Montréal",,,,"6.4"
"PROULX","Geneviève-Anaïs","Projet Montréal - Équipe Bergeron",,,,"6.4"
"VOISARD","Philippe","Indépendant",,,,"6.4"
"CANUEL","Serge","Intégrité Montréal",,,,"7"
"LESSARD-BLAIS","Pierre","Projet Montréal - Équipe Bergeron",,,,"7"
"MÉNARD","Réal","Coalition Montréal - Marcel Côté",,,,"7"
"POULIN","Daniel","Équipe Denis Coderre pour Montréal",,,,"7"
"CELZI","Richard","Équipe Denis Coderre pour Montréal",,,,"7.1"
"MIRON","Suzie","Projet Montréal - Équipe Bergeron",,,,"7.1"
"PRIMEAU","Gaëtan","Coalition Montréal - Marcel Côté",,,,"7.1"
"TALLA","Jonathan","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"7.1"
"TREMBLAY","Marc","Intégrité Montréal",,,,"7.1"
"KARATCHEVSKAYA","Alexandra","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"7.2"
"LAVIGNE LALONDE","Laurence","Projet Montréal - Équipe Bergeron",,,,"7.2"
"PAQUET","Pierre","Coalition Montréal - Marcel Côté",,,,"7.2"
"PINEL","Cindy","Équipe Denis Coderre pour Montréal",,,,"7.2"
"RACICOT","Yves","Indépendant",,,,"7.2"
"BLANCHARD","Laurent","Coalition Montréal - Marcel Côté",,,,"7.3"
"CALDWELL","Éric Alan","Projet Montréal - Équipe Bergeron",,,,"7.3"
"CHARBONNEAU","Patrick","Équipe Denis Coderre pour Montréal",,,,"7.3"
"DONNELLY","Nicole","Indépendant",,,,"7.3"
"ST-PIERRE","Mikael","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"7.3"
"BOIVIN ROY","Karine","Équipe Denis Coderre pour Montréal",,,,"7.4"
"BOUCHARD","Michel","Projet Montréal - Équipe Bergeron",,,,"7.4"
"ROBERT","Sonia","Intégrité Montréal",,,,"7.4"
"THÉRIAULT","Lyn","Coalition Montréal - Marcel Côté",,,,"7.4"
"BOIVIN","Suzanne","Projet Montréal - Équipe Bergeron",,,,"8"
"DEGUIRE","Gilles","Équipe Denis Coderre pour Montréal",,,,"8"
"RYAN","Guy","Coalition Montréal - Marcel Côté",,,,"8"
"ALLAIRE","Michelle","Coalition Montréal - Marcel Côté",,,,"8.1"
"COHEN","Andrea","Projet Montréal - Équipe Bergeron",,,,"8.1"
"ROSSI","Chantal","Équipe Denis Coderre pour Montréal",,,,"8.1"
"BERNIER","Henri-Paul","Indépendant",,,,"8.11"
"NELSON","David","Projet Montréal - Équipe Bergeron",,,,"8.11"
"RICOURT","Monica","Équipe Denis Coderre pour Montréal",,,,"8.11"
"ROY","Jean","Coalition Montréal - Marcel Côté",,,,"8.11"
"BELINGA","Renée-Chantal","Indépendant",,,,"8.2"
"FORTIN","Claude","Coalition Montréal - Marcel Côté",,,,"8.2"
"GELIN","Vladimir","Projet Montréal - Équipe Bergeron",,,,"8.2"
"CODERRE","Denis","Équipe Denis Coderre pour Montréal","GIBEAU","Jean-Marc","Colistier","8.2"
"CITTA","Claudia ","Projet Montréal - Équipe Bergeron",,,,"8.21"
"EDOUARD","Wilmann","Coalition Montréal - Marcel Côté",,,,"8.21"
"LO BIANCO","Sylvia","Équipe Denis Coderre pour Montréal",,,,"8.21"
"AMOUZOU","Comlan","Indépendant",,,,"9"
"CINQ-MARS","Marie","Équipe conservons Outremont",,,,"9"
"COUTU","Etienne","Projet Montréal - Équipe Bergeron",,,,"9"
"TÉTREAULT","Paul-André","Coalition Montréal - Marcel Côté",,,,"9"
"TILQUIN","Renaud","Équipe Denis Coderre pour Montréal",,,,"9"
"DUHAMEL","Paul-Guy","Coalition Montréal - Marcel Côté",,,,"9.1"
"GOLDBERG","Sheldon","Équipe Denis Coderre pour Montréal",,,,"9.1"
"LACERTE","Pierre","Indépendant",,,,"9.1"
"POLLAK","Mindy","Projet Montréal - Équipe Bergeron",,,,"9.1"
"PRÉVOST","Charles","Équipe conservons Outremont",,,,"9.1"
"FORGET","Céline","Indépendant",,,,"9.2"
"GALLET","Hubert","Coalition Montréal - Marcel Côté",,,,"9.2"
"NEPVEU","Bertrand","Équipe conservons Outremont",,,,"9.2"
"RAHMANI","Belgacem","Équipe Denis Coderre pour Montréal",,,,"9.2"
"TOMLINSON","Philipe","Projet Montréal - Équipe Bergeron",,,,"9.2"
"CARDYN","Lucie","Équipe conservons Outremont",,,,"9.3"
"LAPOINTE","Valérie","Équipe Denis Coderre pour Montréal",,,,"9.3"
"LEBLANC","Alexa","Projet Montréal - Équipe Bergeron",,,,"9.3"
"POTVIN","Marie","Coalition Montréal - Marcel Côté",,,,"9.3"
"BUGEL","Jérôme","Projet Montréal - Équipe Bergeron",,,,"9.4"
"GREMAUD","Jacqueline","Équipe conservons Outremont",,,,"9.4"
"KOBRYNSKY","Marc-Nicolas","Coalition Montréal - Marcel Côté",,,,"9.4"
"NUNES","Ana","Équipe Denis Coderre pour Montréal",,,,"9.4"
"BEIS","Dimitrios (Jim)","Équipe Denis Coderre pour Montréal",,,,"10"
"DUBOIS","Christian G.","Coalition Montréal - Marcel Côté",,,,"10"
"LABELLE","Michael","Projet Montréal - Équipe Bergeron",,,,"10"
"METWALLI","Karim","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"10"
"MARCEAU","Suzanne","Coalition Montréal - Marcel Côté",,,,"10.1"
"MCINTYRE","Justine","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"10.1"
"RAYMOND","Jean","Équipe Denis Coderre pour Montréal",,,,"10.1"
"ZUBERI","Sameer","Projet Montréal - Équipe Bergeron",,,,"10.1"
"CAMPEAU","Claudine","Équipe Denis Coderre pour Montréal",,,,"10.11"
"LEGAULT","Jean Charles","Indépendant",,,,"10.11"
"MORIN","Nathalie","Projet Montréal - Équipe Bergeron",,,,"10.11"
"SMITH","David-James","Coalition Montréal - Marcel Côté",,,,"10.11"
"STITT","Ross","Indépendant",,,,"10.11"
"TROTTIER","Roger","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"10.11"
"CLÉMENT-TALBOT","Catherine","Équipe Denis Coderre pour Montréal",,,,"10.2"
"GARNER","Linton","Coalition Montréal - Marcel Côté",,,,"10.2"
"McCARTY","Eric","Projet Montréal - Équipe Bergeron",,,,"10.2"
"GIGNAC","Yves","Équipe Denis Coderre pour Montréal",,,,"10.21"
"GOSWAMI","Bhaskar","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"10.21"
"MALTAIS","Odette","Coalition Montréal - Marcel Côté",,,,"10.21"
"SIRIGNANO","Lisa","Projet Montréal - Équipe Bergeron",,,,"10.21"
"BOYER","Martin","Indépendant",,,,"11"
"FERRANDEZ","Luc","Projet Montréal - Équipe Bergeron",,,,"11"
"LORAIN","Danièle","Coalition Montréal - Marcel Côté",,,,"11"
"THIBODEAU","Gilbert","Équipe Denis Coderre pour Montréal",,,,"11"
"CLAVET","Alain","Équipe Denis Coderre pour Montréal",,,,"11.1"
"RYAN","Richard","Projet Montréal - Équipe Bergeron",,,,"11.1"
"TREMBLAY","Isabelle","Intégrité Montréal",,,,"11.1"
"VAILLANCOURT","Galia","Coalition Montréal - Marcel Côté",,,,"11.1"
"CÔTÉ","David","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"11.11"
"GRONDIN","Stéphanie","Coalition Montréal - Marcel Côté",,,,"11.11"
"OLIVO RODRIGUEZ","Joaquin","Intégrité Montréal",,,,"11.11"
"PLOURDE","Marie","Projet Montréal - Équipe Bergeron",,,,"11.11"
"YEBA","Sandenga","Équipe Denis Coderre pour Montréal",,,,"11.11"
"COUSINEAU","Pierre","Indépendant",,,,"11.2"
"CRAIG","Suzanne","Coalition Montréal - Marcel Côté",,,,"11.2"
"LACOMBE","Simon","Indépendant",,,,"11.2"
"MAINVILLE","Louise","Projet Montréal - Équipe Bergeron",,,,"11.2"
"MARCHESSAULT","Carmelle","Équipe Denis Coderre pour Montréal",,,,"11.2"
"BRÛLÉ","Michel","Intégrité Montréal","RACINE","Crystal","Colistière","11.2"
"BOILEAU","Carl","Coalition Montréal - Marcel Côté",,,,"11.21"
"GIGUÈRE","Marianne","Projet Montréal - Équipe Bergeron",,,,"11.21"
"LAPIERRE","Sophie Stéphanie","Indépendant",,,,"11.21"
"TRUONG","Nam","Équipe Denis Coderre pour Montréal",,,,"11.21"
"CARON","Dominique","Intégrité Montréal",,,,"11.3"
"FAKOTAKIS-KOLAITIS","Eleni","Équipe Denis Coderre pour Montréal",,,,"11.3"
"HUGGINS","Piper","Coalition Montréal - Marcel Côté",,,,"11.3"
"NEVES","Joao","Indépendant",,,,"11.3"
"NORRIS","Alex","Projet Montréal - Équipe Bergeron",,,,"11.3"
"SIMON","Daniel","Indépendant",,,,"11.3"
"BISAILLON","Manon","Intégrité Montréal",,,,"11.31"
"GOSSELIN","Christine","Projet Montréal - Équipe Bergeron",,,,"11.31"
"PICARD","André","Coalition Montréal - Marcel Côté",,,,"11.31"
"RODRIGUES","Antonio","Équipe Denis Coderre pour Montréal",,,,"11.31"
"DELLA VALLE","Romeo","Projet Montréal - Équipe Bergeron",,,,"12"
"ROULEAU","Chantal","Équipe Denis Coderre pour Montréal",,,,"12"
"TAYLOR","Michel","Coalition Montréal - Marcel Côté",,,,"12"
"BOURGEOIS","Caroline","Coalition Montréal - Marcel Côté",,,,"12.1"
"GUAY","Richard","Équipe Denis Coderre pour Montréal",,,,"12.1"
"THERRIEN","Paul","Projet Montréal - Équipe Bergeron",,,,"12.1"
"BÉRARD","Gaëtan","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"12.11"
"BLANCHET","Mario","Coalition Montréal - Marcel Côté",,,,"12.11"
"GUEDES","Manuel","Équipe Denis Coderre pour Montréal",,,,"12.11"
"LEBOEUF McGREGOR","Tomy-Richard","Projet Montréal - Équipe Bergeron",,,,"12.11"
"DÉCARIE","Suzanne","Équipe Denis Coderre pour Montréal",,,,"12.2"
"LECLERC","Cindy","Coalition Montréal - Marcel Côté",,,,"12.2"
"SURPRENANT","Hugues","Projet Montréal - Équipe Bergeron",,,,"12.2"
"THÉORET","Yan","Indépendant",,,,"12.2"
"BEAUSÉJOUR","Audrey","Projet Montréal - Équipe Bergeron",,,,"12.21"
"BRIAND","Gérald","Indépendant",,,,"12.21"
"DÉZIEL","Gilles","Équipe Denis Coderre pour Montréal",,,,"12.21"
"PERRIER","Emmanuelle","Coalition Montréal - Marcel Côté",,,,"12.21"
"BARONE","Italo","Coalition Montréal - Marcel Côté",,,,"12.3"
"LATCHMAN","Jeffrey Scott","Projet Montréal - Équipe Bergeron",,,,"12.3"
"RAPANÀ","Giovanni","Équipe Denis Coderre pour Montréal",,,,"12.3"
"CARUSO","Danny","Coalition Montréal - Marcel Côté",,,,"12.31"
"CHIAZZESE","Gianni","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"12.31"
"FIRMIN","Marcel","Indépendant",,,,"12.31"
"HOMBRADOS","Steven","Projet Montréal - Équipe Bergeron",,,,"12.31"
"PIERRE-ANTOINE","Nathalie","Équipe Denis Coderre pour Montréal",,,,"12.31"
"BRETON","Josselin","Équipe Denis Coderre pour Montréal",,,,"13"
"CROTEAU","François W.","Projet Montréal - Équipe Bergeron",,,,"13"
"JOLIVET","Simon","Coalition Montréal - Marcel Côté",,,,"13"
"SAINT-LOUIS","Jean","Intégrité Montréal",,,,"13"
"AÏSSI","Marie-Thérèse","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"13.1"
"DA PONTE","Michel","Équipe Denis Coderre pour Montréal",,,,"13.1"
"LIMOGES","François","Projet Montréal - Équipe Bergeron",,,,"13.1"
"WU","Zhao Xin","Coalition Montréal - Marcel Côté",,,,"13.1"
"GADOURY","Marc-André","Projet Montréal - Équipe Bergeron",,,,"13.2"
"L'HEUREUX","Chantal","Coalition Montréal - Marcel Côté",,,,"13.2"
"MONETTE","Jacques","Équipe Denis Coderre pour Montréal",,,,"13.2"
"SEMIKIN","Ekaterina","Intégrité Montréal",,,,"13.2"
"VELASCO","Delphine","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"13.2"
"BOISGIBAULT","Pascal","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"13.3"
"DUCHESNE","Érika","Projet Montréal - Équipe Bergeron",,,,"13.3"
"GIRARDIN","Yvan","Coalition Montréal - Marcel Côté",,,,"13.3"
"MAY","Maximilien","Équipe Denis Coderre pour Montréal",,,,"13.3"
"PAPINEAU","Martin","Intégrité Montréal",,,,"13.3"
"LAVOIE","Guillaume","Projet Montréal - Équipe Bergeron",,,,"13.4"
"STANTON","Françoise","Équipe Denis Coderre pour Montréal",,,,"13.4"
"THERRIEN","Jean","Coalition Montréal - Marcel Côté",,,,"13.4"
"BARSALOU","Marcello","Coalition Montréal - Marcel Côté",,,,"14"
"DESOUSA","Alan","Équipe Denis Coderre pour Montréal",,,,"14"
"FAYAD","William","Projet Montréal - Équipe Bergeron",,,,"14"
"GHALI","François","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"14"
"COHEN","Eyal Albert","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"14.1"
"GORZALKA","Frances","Coalition Montréal - Marcel Côté",,,,"14.1"
"MIELE","Francesco","Équipe Denis Coderre pour Montréal",,,,"14.1"
"MINIER","Corinne","Projet Montréal - Équipe Bergeron",,,,"14.1"
"BASTIEN","Dominique","Projet Montréal - Équipe Bergeron",,,,"14.11"
"COHEN","Maurice","Équipe Denis Coderre pour Montréal",,,,"14.11"
"FARAH","Sara","Coalition Montréal - Marcel Côté",,,,"14.11"
"IVASCU","Viorel","Indépendant",,,,"14.11"
"SIEGMAN","Michael","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"14.11"
"KHANDJIAN","Naïri","Projet Montréal - Équipe Bergeron",,,,"14.2"
"RASOOL","Mubashar","Coalition Montréal - Marcel Côté",,,,"14.2"
"SALEM","Aref","Équipe Denis Coderre pour Montréal",,,,"14.2"
"TANNOUS","Mélanie","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"14.2"
"BIRON","Michèle D.","Équipe Denis Coderre pour Montréal",,,,"14.21"
"BITAR","Elias","Coalition Montréal - Marcel Côté",,,,"14.21"
"HRAIKY","Wael","Projet Montréal - Équipe Bergeron",,,,"14.21"
"IONESCU","Stefan","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"14.21"
"BISSONNET","Michel","Équipe Denis Coderre pour Montréal",,,,"15"
