Nom,Prénom,Parti politique ou candidat indépendant,Nom-Co,Prénom-Co,Titre,Poste no
DUCHESNE,Érika,Équipe Denis Coderre pour Montréal,,,,19.20
OUELLET,Sylvain,Projet Montréal - Équipe Valérie Plante,,,,19.20
FILATO,Rosannie,Projet Montréal - Équipe Valérie Plante,,,,19.30
LEFEBVRE,Elsie,Équipe Denis Coderre pour Montréal,,,,19.30
SOUNAN,Charles,Indépendant,,,,19.30
BENTABBEL,Rafik,Projet Montréal - Équipe Valérie Plante,,,,19.40
DEROS,Mary,Équipe Denis Coderre pour Montréal,,,,19.40
YOUSUF,Mohammad Tanbir,Coalition Montréal,,,,19.40
MANCINI,Angela,Équipe Denis Coderre pour Montréal,,,,2.00
MIRANDA,Luis,Équipe Anjou,,,,2.00
TONDREAU,Rémy,Projet Montréal - Équipe Valérie Plante,,,,2.00
GAGNÉ,Michèle,Équipe Denis Coderre pour Montréal,,,,2.01
HÉNAULT,Andrée,Équipe Anjou,,,,2.01
MAILHOT,Robert,Projet Montréal - Équipe Valérie Plante,,,,2.01
BEAUDRY,Gilles,Indépendant,,,,2.10
CAMBRIA,Stephanie,Projet Montréal - Équipe Valérie Plante,,,,2.10
GAUTHIER,René,Équipe Denis Coderre pour Montréal,,,,2.10
SHAND,Lynne,Équipe Anjou,,,,2.10
GHALEM,Nadia,Indépendant,,,,2.20
LEBLANC,Richard,Équipe Anjou,,,,2.20
PLOURDE,Sylvain,Projet Montréal - Équipe Valérie Plante,,,,2.20
ROBERT,Mario,Équipe Denis Coderre pour Montréal,,,,2.20
DE MARTINO,Julie,Projet Montréal - Équipe Valérie Plante,,,,2.30
DI GENOVA ZAMMIT,Michelle,Équipe Denis Coderre pour Montréal,,,,2.30
MARSOLAIS,Kristine,Équipe Anjou,,,,2.30
COPEMAN,Russell,Équipe Denis Coderre pour Montréal,,,,3.00
GHAVITIAN,Zaki,Coalition Montréal,,,,3.00
MONTGOMERY,Sue,Projet Montréal - Équipe Valérie Plante,,,,3.00
CARPENTER,Graham,Projet Montréal - Équipe Valérie Plante,,,,3.10
HAMON,Erik,Coalition Montréal,,,,3.10
PEREZ,Lionel,Équipe Denis Coderre pour Montréal,,,,3.10
ASSOR,Raphaël,Coalition Montréal,,,,3.20
CALLENDER,Tiffany,Équipe Denis Coderre pour Montréal,,,,3.20
CHIN,Maureen,Vrai changement pour Montréal,,,,3.20
POPEANU,Magda,Projet Montréal - Équipe Valérie Plante,,,,3.20
CABUGAO,Salvador B.,Équipe Denis Coderre pour Montréal,,,,3.30
GRECU,Irina Maria,Projet Montréal - Équipe Valérie Plante,,,,3.30
ROTRAND,Marvin,Coalition Montréal,,,,3.30
ETHIER,Elaine,Équipe Denis Coderre pour Montréal,,,,3.40
MCQUEEN,Peter,Projet Montréal - Équipe Valérie Plante,,,,3.40
ORCHARD,Caroline,Coalition Montréal,,,,3.40
ARSENEAULT,Christian,Projet Montréal - Équipe Valérie Plante,,,,3.50
CLARKE,Keeton,Coalition Montréal,,,,3.50
RETTA,Gabriel,Équipe Denis Coderre pour Montréal,,,,3.50
SANTILLAN AGUIRRE,Angeluz Valery,Indépendant,,,,3.50
SEARLE,Jeremy,Indépendant,,,,3.50
TRANI,Gianpaolo (Paolo),Indépendant,,,,3.50
BLANCHET,Bernard,Vrai changement pour Montréal,,,,4.00
DAUPHIN,Claude,Équipe Dauphin Lachine,,,,4.00
MÉNARD,Catherine,Équipe Denis Coderre pour Montréal,,,,4.00
VODANOVIC,Maja,Projet Montréal - Équipe Valérie Plante,,,,4.00
CLOUTIER,Jean-François,Équipe Denis Coderre pour Montréal,,,,4.01
RAMSAY,Julie,Équipe Dauphin Lachine,,,,4.01
ROULEAU,Micheline,Projet Montréal - Équipe Valérie Plante,,,,4.01
VERGE,Elizabeth,Vrai changement pour Montréal,,,,4.01
HAINES,Johanne,Équipe Dauphin Lachine,,,,4.10
HÉTU,Marc,Vrai changement pour Montréal,,,,4.10
LELIÈVRE,Anne-Marie,Équipe Denis Coderre pour Montréal,,,,4.10
PROVOST,Julie-Pascale,Projet Montréal - Équipe Valérie Plante,,,,4.10
BOUKALA,Younes,Projet Montréal - Équipe Valérie Plante,,,,4.20
LAMA,Mehdi,Équipe Denis Coderre pour Montréal,,,,4.20
LEJEUNE,Christian,Vrai changement pour Montréal,,,,4.20
RACICOT,Daniel,Équipe Dauphin Lachine,,,,4.20
FLANNERY,Michèle,Projet Montréal - Équipe Valérie Plante,,,,4.30
POITRAS,Stéphanie,Vrai changement pour Montréal,,,,4.30
ROSSI,Dominic,Équipe Dauphin Lachine,,,,4.30
SIMONYIK,Kymberley,Équipe Denis Coderre pour Montréal,,,,4.30
BARBE,Manon,Équipe Barbe Team,,,,5.00
LANDRY,Kathy,Projet Montréal - Équipe Valérie Plante,,,,5.00
VALLÉE,Monique,Équipe Denis Coderre pour Montréal,,,,5.00
DAFNIOTIS,Loren,Projet Montréal - Équipe Valérie Plante,,,,5.10
DESCHAMPS,Richard,Équipe Barbe Team,,,,5.10
MOUSSIENZA,Ben Lumière,Équipe Denis Coderre pour Montréal,,,,5.10
AUMONT-BLANCHETTE,Josée,Équipe Denis Coderre pour Montréal,,,,5.11
LAUZON,Alex,Projet Montréal - Équipe Valérie Plante,,,,5.11
PALESTINI,Laura,Équipe Barbe Team,,,,5.11
BLANCHET,Nancy,Équipe Barbe Team,,,,5.12
GENDRON,Roxanne,Projet Montréal - Équipe Valérie Plante,,,,5.12
IMAM,Balkis,Équipe Denis Coderre pour Montréal,,,,5.12
ASARO,Pino,Équipe Denis Coderre pour Montréal,,,,5.20
CARUSO,Carolina,Indépendant,,,,5.20
EL BABARTI JIMENEZ,Yasmina,Projet Montréal - Équipe Valérie Plante,,,,5.20
ZARAC,Lise,Équipe Barbe Team,,,,5.20
DECLOS,Serge,Équipe Barbe Team,,,,5.21
ERINDI,Anila,Projet Montréal - Équipe Valérie Plante,,,,5.21
SINGH,Devinderpal,Équipe Denis Coderre pour Montréal,,,,5.21
BARRY,Mody Maka,Indépendant,,,,5.22
LAPERRIÈRE,Steven,Équipe Denis Coderre pour Montréal,,,,5.22
OKOU,Romarick,Projet Montréal - Équipe Valérie Plante,,,,5.22
TROILO,Josée,Équipe Barbe Team,,,,5.22
CÔTÉ,Stéphane,Vrai changement pour Montréal,,,,6.00
DUGAS,Eric,Équipe Denis Coderre pour Montréal,,,,6.00
MARINACCI,Normand,Projet Montréal - Équipe Valérie Plante,,,,6.00
BAROUDI,Ghassan,Indépendant,,,,6.10
GIBB,Diane,Équipe Denis Coderre pour Montréal,,,,6.10
PAGEAU,Frédérick,Vrai changement pour Montréal,,,,6.10
SARAULT,Yves,Projet Montréal - Équipe Valérie Plante,,,,6.10
LAROCQUE,Christian,Projet Montréal - Équipe Valérie Plante,,,,6.20
RITCHOT,Stéphane,Vrai changement pour Montréal,,,,6.20
WILSON,Alain,Équipe Denis Coderre pour Montréal,,,,6.20
BÉLANGER,Richard,Équipe Denis Coderre pour Montréal,,,,6.30
DUBÉ,Marie-Ève,Vrai changement pour Montréal,,,,6.30
SAMOSZEWSKI,Robert,Projet Montréal - Équipe Valérie Plante,,,,6.30
LABROSSE,Geneviève,Projet Montréal - Équipe Valérie Plante,,,,6.40
MARCEAU,Suzanne,Équipe Denis Coderre pour Montréal,,,,6.40
SHABAN,Sherry,Vrai changement pour Montréal,,,,6.40
LESSARD-BLAIS,Pierre,Projet Montréal - Équipe Valérie Plante,,,,7.00
MÉNARD,Réal,Équipe Denis Coderre pour Montréal,,,,7.00
CELZI,Richard,Équipe Denis Coderre pour Montréal,,,,7.10
MIRON,Suzie,Projet Montréal - Équipe Valérie Plante,,,,7.10
CHARTRAND,Simon-Robert,Équipe Denis Coderre pour Montréal,,,,7.20
LAVIGNE LALONDE,Laurence,Projet Montréal - Équipe Valérie Plante,,,,7.20
BEAUPRÉ,Jean-François,Équipe Denis Coderre pour Montréal,,,,7.30
CALDWELL,Éric Alan,Projet Montréal - Équipe Valérie Plante,,,,7.30
BOIVIN ROY,Karine,Équipe Denis Coderre pour Montréal,,,,7.40
MEZA,Isi,Projet Montréal - Équipe Valérie Plante,,,,7.40
NEVES,Joao,Coalition Montréal,,,,7.40
BLACK,Christine,Équipe Denis Coderre pour Montréal,,,,8.00
HOLNESS,Balarama,Projet Montréal - Équipe Valérie Plante,,,,8.00
LÉONARD,Mathieu,Projet Montréal - Équipe Valérie Plante,,,,8.10
MICHEL,Marie-Carmel,Indépendant,,,,8.10
SARI,Abdelhaq,Équipe Denis Coderre pour Montréal,,,,8.10
BERNIER,Henri-Paul,Indépendant,,,,8.11
BISSONNETTE,Elaine,Indépendant,,,,8.11
MARCELIN,Anastasia,Projet Montréal - Équipe Valérie Plante,,,,8.11
POIRIER,Jean Marc,Équipe Denis Coderre pour Montréal,,,,8.11
CODERRE,Denis,Équipe Denis Coderre pour Montréal,ROSSI,Chantal,Colistière,8.20
MERAZIL,Sacha-Wilky,Projet Montréal - Équipe Valérie Plante,,,,8.20
BELINGA,Renée-Chantal,Équipe Denis Coderre pour Montréal,,,,8.21
CASIMIR,Stéphanie,Projet Montréal - Équipe Valérie Plante,,,,8.21
LUSSIER,Alexandre,Indépendant,,,,9.00
MOROZ,Ronald,Coalition Montréal,,,,9.00
POTVIN,Marie,Équipe Denis Coderre pour Montréal,,,,9.00
TOMLINSON,Philipe,Projet Montréal - Équipe Valérie Plante,,,,9.00
MURRAY,Jeremy,Équipe Denis Coderre pour Montréal,,,,9.10
POLLAK,Mindy,Projet Montréal - Équipe Valérie Plante,,,,9.10
RAYMOND,Chantal,Indépendant,,,,9.10
FORGET,Céline,Indépendant,,,,9.20
HABIB,William,Équipe Denis Coderre pour Montréal,,,,9.20
PATREAU,Valérie,Projet Montréal - Équipe Valérie Plante,,,,9.20
CORBEIL,Jean-Marc,Équipe Denis Coderre pour Montréal,,,,9.30
DESBAILLETS,David,Projet Montréal - Équipe Valérie Plante,,,,9.30
LECOQ,Frédéric,Indépendant,,,,9.30
GÉLINAS-ÉLIE,Christine,Équipe Denis Coderre pour Montréal,,,,9.40
GREMAUD,Jacqueline,Indépendant,,,,9.40
MAGINI,Fanny,Projet Montréal - Équipe Valérie Plante,,,,9.40
MITCHELL,Adrien,Coalition Montréal,,,,9.40
