,"BLACK, Christine","MASSICOTTE, Jacques","MIBEL, Kerlande","TEFFAHA, Rached","Nombre de bulletins valides","Nombre de bulletins rejet̩s","Total des bulletins"
"082-910","25","1","11","0","37","1","38"
"082-911","30","1","12","0","43","4","47"
"082-912","34","5","10","0","49","0","49"
"082-913","21","2","5","1","29","1","30"
"082-914","52","6","4","2","64","0","64"
"082-001","174","11","10","1","196","1","197"
"082-002","56","2","21","3","82","2","84"
"082-003","28","2","1","0","31","0","31"
"082-004","100","0","25","0","125","1","126"
"082-005","72","10","19","0","101","1","102"
"082-006","144","14","7","0","165","1","166"
"082-007","87","4","10","0","101","0","101"
"082-008","77","6","21","1","105","0","105"
"082-009","52","0","32","7","91","0","91"
"082-010","24","0","25","3","52","2","54"
"082-011","45","3","16","0","64","1","65"
"082-012","70","4","32","2","108","2","110"
"082-013","37","0","17","7","61","1","62"
"082-014","77","2","13","0","92","1","93"
"082-015","90","7","23","1","121","3","124"
"082-016","93","11","20","1","125","0","125"
"082-017","93","4","12","5","114","1","115"
"082-018","62","4","20","3","89","0","89"
"082-019","89","4","26","2","121","0","121"
"082-020","78","3","14","4","99","3","102"
"082-021","68","1","21","3","93","2","95"
"082-022","75","2","23","10","110","1","111"
"082-023","84","6","22","2","114","0","114"
"082-024","29","1","23","4","57","0","57"
"082-025","59","7","21","7","94","2","96"
"082-026","57","1","12","1","71","0","71"
"082-027","62","3","8","1","74","3","77"
"082-028","48","1","22","3","74","1","75"
"082-029","45","5","19","0","69","2","71"
"082-030","26","4","5","3","38","0","38"
"082-031","57","3","18","2","80","0","80"
"082-032","64","6","21","5","96","1","97"
"082-033","34","1","11","5","51","1","52"
"082-034","27","1","16","2","46","0","46"
"082-035","20","2","19","0","41","1","42"
"082-036","10","2","12","3","27","1","28"
"082-037","18","3","24","3","48","0","48"
"082-038","13","0","24","6","43","1","44"
"082-039","10","2","35","4","51","1","52"
"082-040","29","1","21","0","51","1","52"
"082-041","15","3","11","3","32","1","33"
"082-042","20","2","11","3","36","0","36"
"082-043","18","4","7","2","31","0","31"
"082-044","41","1","11","1","54","0","54"
"082-045","37","3","30","0","70","0","70"
"082-046","46","2","21","3","72","0","72"
"082-047","49","1","22","4","76","0","76"
"082-048","50","4","22","3","79","1","80"
"082-049","49","2","13","0","64","0","64"
"082-050","30","0","13","2","45","1","46"
"082-051","26","1","10","0","37","0","37"
"082-052","28","0","7","1","36","1","37"
"082-053","17","4","8","2","31","0","31"
"082-054","40","4","19","8","71","0","71"
"082-055","71","5","17","11","104","3","107"
"082-056","56","4","19","8","87","1","88"
"082-057","40","6","22","2","70","0","70"
"082-058","40","6","15","1","62","0","62"
