"Poste","Bureau de vote","Caroline Bourgeois ","Manuel Guedes","Marius Minier","Nombre de bulletins valides","Nombre de bulletins rejetés","Total des bulletins"
"12,00","122-009",10,15,10,35,0,35
"12,00","122-010",22,10,3,35,0,35
"12,00","122-011",15,11,4,30,1,31
"12,00","122-012",27,18,10,55,1,56
"12,00","122-013",27,15,6,48,0,48
"12,00","122-014",29,9,1,39,2,41
"12,00","122-015",11,2,2,15,0,15
"12,00","122-016",15,7,0,22,0,22
"12,00","122-017",34,23,13,70,1,71
"12,00","122-018",21,19,6,46,1,47
"12,00","122-019",18,13,10,41,1,42
"12,00","122-020",13,12,10,35,1,36
"12,00","122-021",22,16,3,41,5,46
"12,00","122-022",23,13,3,39,1,40
"12,00","122-023",24,10,4,38,0,38
"12,00","122-024",4,5,4,13,0,13
"12,00","122-025",18,5,11,34,0,34
"12,00","122-026",33,11,2,46,0,46
"12,00","122-027",13,8,1,22,1,23
"12,00","122-028",15,7,4,26,1,27
"12,00","122-029",13,13,3,29,0,29
"12,00","122-030",20,9,4,33,0,33
"12,00","122-031",17,14,5,36,3,39
"12,00","122-032",13,5,1,19,0,19
"12,00","122-033",27,17,4,48,1,49
"12,00","122-034",36,11,5,52,0,52
"12,00","122-035",9,2,2,13,0,13
"12,00","122-036",30,10,1,41,1,42
"12,00","122-037",15,10,5,30,0,30
"12,00","122-038",20,10,4,34,1,35
"12,00","122-039",19,5,8,32,1,33
"12,00","122-040",26,15,9,50,1,51
"12,00","122-041",27,19,2,48,0,48
"12,00","122-042",23,16,2,41,0,41
"12,00","122-043",21,14,4,39,0,39
"12,00","122-044",24,11,3,38,0,38
"12,00","122-045",28,12,5,45,0,45
"12,00","122-046",23,7,2,32,0,32
"12,00","122-047",32,10,1,43,0,43
"12,00","122-048",34,20,10,64,2,66
"12,00","122-049",38,12,3,53,0,53
"12,00","122-050",16,16,1,33,0,33
"12,00","122-051",23,16,5,44,0,44
"12,00","122-052",21,5,6,32,0,32
"12,00","122-053",22,17,6,45,0,45
"12,00","122-054",19,9,5,33,0,33
"12,00","122-055",13,14,2,29,0,29
"12,00","122-056",28,8,4,40,0,40
"12,00","122-057",25,14,3,42,0,42
"12,00","122-058",21,8,1,30,1,31
"12,00","122-059",11,11,7,29,0,29
"12,00","122-060",21,14,0,35,1,36
"12,00","122-061",17,14,2,33,2,35
"12,00","122-062",14,9,4,27,1,28
"12,00","122-063",19,13,0,32,0,32
"12,00","122-064",21,10,6,37,1,38
"12,00","122-065",23,10,3,36,0,36
"12,00","122-066",38,36,11,85,2,87
"12,00","122-067",23,8,0,31,2,33
"12,00","122-068",12,23,2,37,1,38
"12,00","122-069",11,12,4,27,0,27
"12,00","122-070",30,6,0,36,1,37
"12,00","122-071",17,9,0,26,1,27
"12,00","122-072",16,8,2,26,0,26
"12,00","122-073",16,8,0,24,0,24
"12,00","122-074",22,8,7,37,0,37
"12,00","122-075",10,6,3,19,0,19
"12,00","122-076",17,13,0,30,0,30
"12,00","122-077",29,12,3,44,0,44
"12,00","122-078",26,7,2,35,0,35
"12,00","122-079",15,15,3,33,0,33
"12,00","122-080",17,11,1,29,0,29
"12,00","122-081",27,15,3,45,1,46
"12,00","122-082",19,9,3,31,0,31
"12,00","122-083",28,27,3,58,1,59
"12,00","122-084",31,22,1,54,1,55
"12,00","122-901",33,14,13,60,1,61
"12,00","122-902",35,23,16,74,1,75
"12,00","122-903",28,25,8,61,0,61
"12,00","122-904",18,10,5,33,1,34
"12,00","122-905",12,9,3,24,0,24
"12,00","122-906",35,14,3,52,1,53
"12,00","122-907",20,13,8,41,0,41
"12,00","122-908",13,12,2,27,2,29
"12,00","122-909",20,9,4,33,0,33
"12,00","122-910",25,15,2,42,3,45
"12,00","122-911",23,19,4,46,0,46
"12,00","122-912",22,24,4,50,0,50
"12,00","122-913",36,21,3,60,0,60
"12,00","122-914",31,26,5,62,3,65
"12,00","122-915",24,17,2,43,0,43
"12,00","123-001",13,12,3,28,2,30
"12,00","123-002",3,21,0,24,0,24
"12,00","123-003",6,16,0,22,0,22
"12,00","123-004",11,22,0,33,0,33
"12,00","123-005",10,26,1,37,1,38
"12,00","123-006",9,31,2,42,2,44
"12,00","123-007",6,26,1,33,0,33
"12,00","123-008",10,25,1,36,1,37
"12,00","123-009",12,21,1,34,0,34
"12,00","123-010",6,9,0,15,0,15
"12,00","123-011",12,20,0,32,0,32
"12,00","123-012",6,14,0,20,0,20
"12,00","123-013",6,9,1,16,0,16
"12,00","123-014",6,9,0,15,1,16
"12,00","123-015",4,22,0,26,0,26
"12,00","123-016",9,34,1,44,3,47
"12,00","123-017",5,27,1,33,1,34
"12,00","123-018",5,6,0,11,0,11
"12,00","123-019",13,17,2,32,0,32
"12,00","123-020",17,22,1,40,2,42
"12,00","123-021",18,27,0,45,0,45
"12,00","123-022",11,18,1,30,0,30
"12,00","123-023",3,22,3,28,0,28
"12,00","123-024",11,15,1,27,0,27
"12,00","123-025",22,10,0,32,0,32
"12,00","123-026",8,23,2,33,0,33
"12,00","123-027",15,7,0,22,0,22
"12,00","123-028",15,13,0,28,0,28
"12,00","123-029",16,5,2,23,0,23
"12,00","123-030",21,21,0,42,1,43
"12,00","123-031",61,14,1,76,3,79
"12,00","123-032",58,18,2,78,0,78
"12,00","123-033",56,13,4,73,3,76
"12,00","123-034",82,28,1,111,0,111
"12,00","123-035",37,10,1,48,0,48
"12,00","123-036",71,27,7,105,2,107
"12,00","123-037",74,26,0,100,2,102
"12,00","123-038",13,23,0,36,1,37
"12,00","123-039",14,21,1,36,0,36
"12,00","123-040",16,25,0,41,1,42
"12,00","123-041",6,26,0,32,2,34
"12,00","123-042",15,18,0,33,2,35
"12,00","123-043",9,17,1,27,2,29
"12,00","123-044",8,17,2,27,1,28
"12,00","123-045",6,29,0,35,1,36
"12,00","123-046",6,27,0,33,0,33
"12,00","123-047",18,26,0,44,0,44
"12,00","123-048",9,22,0,31,1,32
"12,00","123-049",12,26,0,38,0,38
"12,00","123-050",6,44,0,50,0,50
"12,00","123-051",13,41,0,54,0,54
"12,00","123-052",10,19,2,31,1,32
"12,00","123-053",8,26,0,34,1,35
"12,00","123-054",21,25,0,46,0,46
"12,00","123-055",18,25,0,43,2,45
"12,00","123-056",7,32,1,40,0,40
"12,00","123-057",4,19,0,23,0,23
"12,00","123-058",4,13,0,17,0,17
"12,00","123-059",11,14,0,25,0,25
"12,00","123-060",20,42,3,65,1,66
"12,00","123-061",18,20,1,39,0,39
"12,00","123-062",6,24,0,30,0,30
"12,00","123-063",6,6,0,12,1,13
"12,00","123-064",24,22,0,46,1,47
"12,00","123-065",16,27,0,43,0,43
"12,00","123-066",15,20,0,35,1,36
"12,00","123-067",8,21,1,30,0,30
"12,00","123-068",14,24,2,40,0,40
"12,00","123-069",14,12,1,27,0,27
"12,00","123-901",30,31,1,62,0,62
"12,00","123-902",15,19,1,35,0,35
"12,00","123-903",18,50,1,69,1,70
"12,00","123-904",13,28,2,43,1,44
"12,00","123-905",4,26,1,31,0,31
"12,00","123-906",22,12,0,34,1,35
"12,00","123-907",5,5,0,10,0,10
"12,00","123-908",14,19,7,40,0,40
"12,00","123-909",8,34,1,43,1,44
"12,00","123-910",18,33,0,51,1,52
"12,00","123-911",15,45,0,60,1,61
"12,00","123-912",12,52,0,64,0,64
"12,00","123-913",4,31,1,36,1,37
"12,00","123-914",15,31,1,47,0,47
"12,00","123-915",13,21,1,35,0,35
