"Poste ","Bureau de vote","Marc-Antoine Desjardins","Luc Rabouin","Jean-Pierre Szaraz","Nombre de bulletins valides","Nombre de bulletins rejetés","Total des bulletins"
"11,00","111-077",5,26,19,50,3,53
"11,00","111-078",14,26,10,50,0,50
"11,00","111-079",15,34,6,55,0,55
"11,00","111-901",6,41,16,63,1,64
"11,00","111-902",3,34,8,45,0,45
"11,00","111-903",5,43,8,56,0,56
"11,00","111-904",16,78,15,109,0,109
"11,00","111-905",1,41,2,44,0,44
"11,00","111-906",7,55,5,67,2,69
"11,00","111-907",9,68,9,86,2,88
"11,00","111-908",10,36,0,46,1,47
"11,00","111-909",8,29,6,43,0,43
"11,00","111-910",15,49,9,73,0,73
"11,00","111-911",9,36,13,58,1,59
"11,00","111-912",14,68,12,94,1,95
"11,00","111-913",10,72,23,105,1,106
"11,00","111-914",11,35,13,59,3,62
"11,00","112-001",10,44,20,74,0,74
"11,00","112-002",9,45,10,64,0,64
"11,00","112-003",10,31,7,48,0,48
"11,00","112-004",8,39,11,58,1,59
"11,00","112-005",13,46,10,69,0,69
"11,00","112-006",8,49,12,69,0,69
"11,00","112-007",7,38,14,59,0,59
"11,00","112-008",13,43,22,78,0,78
"11,00","112-009",16,49,9,74,0,74
"11,00","112-010",16,58,16,90,1,91
"11,00","112-011",6,38,6,50,0,50
"11,00","112-012",7,37,9,53,0,53
"11,00","112-013",13,37,12,62,0,62
"11,00","112-014",6,42,19,67,0,67
"11,00","112-015",7,39,14,60,1,61
"11,00","112-016",4,39,2,45,0,45
"11,00","112-017",5,35,16,56,0,56
"11,00","112-018",6,40,9,55,0,55
"11,00","112-019",5,34,19,58,0,58
"11,00","112-020",9,52,16,77,2,79
"11,00","112-021",5,41,9,55,3,58
"11,00","112-022",16,31,6,53,5,58
"11,00","112-023",3,45,5,53,2,55
"11,00","112-024",6,33,14,53,0,53
"11,00","112-025",9,39,9,57,0,57
"11,00","112-026",12,21,4,37,1,38
"11,00","112-027",7,33,9,49,0,49
"11,00","112-028",11,33,4,48,0,48
"11,00","112-029",8,40,11,59,0,59
"11,00","112-030",10,36,19,65,1,66
"11,00","112-031",15,46,13,74,0,74
"11,00","112-032",5,20,7,32,1,33
"11,00","112-033",7,31,4,42,0,42
"11,00","112-034",12,44,10,66,0,66
"11,00","112-035",9,36,13,58,2,60
"11,00","112-036",6,28,4,38,0,38
"11,00","112-037",6,41,6,53,1,54
"11,00","112-038",9,35,4,48,0,48
"11,00","112-039A",17,16,10,43,0,43
"11,00","112-039B",13,22,14,49,3,52
"11,00","112-040",14,35,3,52,2,54
"11,00","112-041",11,24,5,40,1,41
"11,00","112-042",11,48,6,65,0,65
"11,00","112-043",9,26,9,44,0,44
"11,00","112-044",13,49,9,71,0,71
"11,00","112-045",9,22,5,36,2,38
"11,00","112-046",10,28,8,46,1,47
"11,00","112-047",6,30,6,42,0,42
"11,00","112-048",7,15,2,24,0,24
"11,00","112-049",17,47,2,66,0,66
"11,00","112-050",11,43,11,65,0,65
"11,00","112-051",11,41,8,60,1,61
"11,00","112-052",6,29,8,43,0,43
"11,00","112-053",9,26,17,52,2,54
"11,00","112-054",5,39,8,52,0,52
"11,00","112-055",11,33,9,53,1,54
"11,00","112-056",7,25,3,35,2,37
"11,00","112-057",9,38,8,55,2,57
"11,00","112-058",13,42,8,63,1,64
"11,00","112-059",4,41,7,52,0,52
"11,00","112-060",13,26,6,45,0,45
"11,00","112-061",15,33,9,57,0,57
"11,00","112-062",25,34,8,67,0,67
"11,00","112-063",8,33,10,51,2,53
"11,00","112-064",22,28,10,60,1,61
"11,00","112-065",12,30,9,51,0,51
"11,00","112-066",4,19,11,34,1,35
"11,00","112-067",10,44,7,61,0,61
"11,00","112-068",3,22,8,33,0,33
"11,00","112-069",8,24,14,46,1,47
"11,00","112-070",13,60,6,79,0,79
"11,00","112-071",4,32,5,41,0,41
"11,00","112-072",4,28,5,37,0,37
"11,00","112-073",10,27,12,49,1,50
"11,00","112-074",6,31,12,49,2,51
"11,00","112-075",16,30,7,53,0,53
"11,00","112-076",9,23,8,40,1,41
"11,00","112-077",16,36,11,63,0,63
"11,00","112-078",3,26,3,32,0,32
"11,00","112-079",11,40,13,64,0,64
"11,00","112-080",8,26,4,38,1,39
"11,00","112-081",6,33,9,48,0,48
"11,00","112-082",11,47,8,66,1,67
"11,00","112-083",7,44,12,63,0,63
"11,00","112-084",6,33,5,44,1,45
"11,00","112-085",12,47,6,65,1,66
"11,00","112-086",7,34,5,46,0,46
"11,00","112-087",7,38,3,48,1,49
"11,00","112-088",2,17,0,19,0,19
"11,00","112-089",8,33,4,45,0,45
"11,00","112-090",7,51,8,66,0,66
"11,00","112-091",11,30,12,53,1,54
"11,00","112-092",7,42,6,55,0,55
"11,00","112-093",12,33,6,51,0,51
"11,00","112-094",18,38,6,62,0,62
"11,00","112-095",14,27,12,53,1,54
"11,00","112-096",12,34,5,51,1,52
"11,00","112-901",3,30,10,43,1,44
"11,00","112-902",11,46,14,71,1,72
"11,00","112-903",15,56,18,89,0,89
"11,00","112-904",12,71,19,102,5,107
"11,00","112-905",16,54,11,81,6,87
"11,00","112-906",5,55,10,70,2,72
"11,00","112-907",20,70,12,102,2,104
"11,00","112-908",14,54,19,87,1,88
"11,00","112-909",12,46,10,68,0,68
"11,00","112-910",10,42,11,63,0,63
"11,00","112-911",6,43,8,57,4,61
"11,00","112-912",18,66,25,109,0,109
"11,00","112-913",7,66,8,81,0,81
"11,00","112-914",13,65,11,89,0,89
"11,00","112-915",14,85,21,120,1,121
"11,00","113-001",9,24,10,43,0,43
"11,00","113-002",10,24,10,44,0,44
"11,00","113-003",7,25,8,40,0,40
"11,00","113-004",6,7,8,21,0,21
"11,00","113-005",9,19,8,36,0,36
"11,00","113-006",7,34,7,48,3,51
"11,00","113-007",7,24,9,40,1,41
"11,00","113-008",3,37,8,48,0,48
"11,00","113-009",9,48,12,69,1,70
"11,00","113-010",9,31,17,57,0,57
"11,00","113-011",8,39,21,68,0,68
"11,00","113-012",0,0,0,0,0,0
"11,00","113-013",12,29,19,60,2,62
"11,00","113-014",8,16,15,39,0,39
"11,00","113-015",8,44,11,63,1,64
"11,00","113-016",6,31,11,48,0,48
"11,00","113-017",8,26,9,43,0,43
"11,00","113-018",7,22,7,36,0,36
"11,00","113-019",9,18,12,39,0,39
"11,00","113-020",4,26,10,40,0,40
"11,00","113-021",7,25,7,39,0,39
"11,00","113-022",4,44,14,62,1,63
"11,00","113-023",8,28,16,52,0,52
"11,00","113-024",10,22,10,42,1,43
"11,00","113-025",10,44,12,66,0,66
"11,00","113-026",7,34,10,51,1,52
"11,00","113-027",7,26,11,44,3,47
"11,00","113-028",13,53,11,77,1,78
"11,00","113-029",10,46,4,60,0,60
"11,00","113-030",11,28,13,52,0,52
"11,00","113-031",8,17,8,33,0,33
"11,00","113-032",9,30,0,39,0,39
"11,00","113-033",17,33,12,62,0,62
"11,00","113-034",7,22,8,37,0,37
"11,00","113-035",3,39,4,46,0,46
"11,00","113-036",10,31,15,56,0,56
"11,00","113-037",12,44,15,71,0,71
"11,00","113-038",8,40,5,53,3,56
"11,00","113-039",7,39,11,57,0,57
"11,00","113-040",4,30,6,40,1,41
"11,00","113-041",13,52,6,71,0,71
"11,00","113-042",6,25,4,35,2,37
"11,00","113-043",10,49,2,61,1,62
"11,00","113-044",6,32,7,45,0,45
"11,00","113-045",8,51,15,74,2,76
"11,00","113-046",5,26,11,42,0,42
"11,00","113-047",8,20,10,38,0,38
"11,00","113-048",5,25,12,42,0,42
"11,00","113-049",11,22,9,42,0,42
"11,00","113-050",2,41,6,49,0,49
"11,00","113-051",9,41,14,64,0,64
"11,00","113-052",4,35,15,54,0,54
"11,00","113-053A",20,47,14,81,1,82
"11,00","113-053B",10,42,8,60,0,60
"11,00","113-054",12,21,12,45,3,48
"11,00","113-055",10,23,8,41,0,41
"11,00","113-056",7,46,11,64,0,64
"11,00","113-057",7,29,10,46,0,46
"11,00","113-058",8,30,14,52,0,52
"11,00","113-059",9,28,9,46,1,47
"11,00","113-060",7,42,14,63,4,67
"11,00","113-061",7,34,15,56,0,56
"11,00","113-062",7,15,13,35,0,35
"11,00","113-063",12,27,8,47,1,48
"11,00","113-064",9,35,11,55,0,55
"11,00","113-065",7,32,16,55,0,55
"11,00","113-066",7,34,11,52,1,53
"11,00","113-067",11,37,22,70,1,71
"11,00","113-068",11,59,5,75,0,75
"11,00","113-069",2,36,7,45,1,46
"11,00","113-070",5,38,15,58,0,58
"11,00","113-901",8,22,7,37,0,37
"11,00","113-902",13,46,13,72,2,74
"11,00","113-903",22,87,20,129,0,129
"11,00","113-904",5,24,9,38,1,39
"11,00","113-905",8,56,10,74,1,75
"11,00","113-906",12,49,8,69,0,69
"11,00","113-907",4,20,5,29,0,29
"11,00","113-908",3,32,11,46,0,46
"11,00","113-909",7,30,5,42,0,42
"11,00","113-910",7,38,9,54,1,55
"11,00","113-911",10,54,16,80,5,85
"11,00","113-912",13,40,22,75,1,76
"11,00","113-913",10,61,15,86,0,86
"11,00","113-914",14,61,15,90,1,91
"11,00","113-915",13,77,18,108,2,110
