"Cote/Titre","Dates","Fichier TIFF - 300 dpi (CLIQUEZ SUR LE LIEN)","Mention de crédits"
"VM97,S3,D15,P101","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-101.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P102","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-102.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P103","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-103.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P104","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-104.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P105","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-105.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P106","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-106.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P107","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-107.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P108","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-108.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P109","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-109.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P110","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-110.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P111","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-111.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P112","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-112.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P113","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-113.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P114","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-114.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P115","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-115.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P116","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-116.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P117","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-117.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P118","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-118.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P119","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-119.TIF","Archives de la Ville de Montréal"
