Cote/Titre,Dates,Fichier TIFF - 300 dpi (CLIQUEZ SUR LE LIEN),Mention de crédits
"VM97,S3,D08,P090",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-090.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P091",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-091.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P092",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-092.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P093",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-093.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P094",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-094.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P095",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-095.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P096",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-096.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P097",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-097.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P098",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-098.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P099",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-099.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P100",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-100.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P101",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-101.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P102",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-102.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P103",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-103.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P104",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-104.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P105",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-105.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P106",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-106.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P107",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-107.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P108",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-108.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P109",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-109.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P110",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-110.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P111",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-111.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P112",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-112.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P113",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-113.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P114",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-114.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P115",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-115.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P116",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-116.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P117",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-117.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P118",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-118.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P119",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-119.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P120",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-120.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P121",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-121.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P122",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-122.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P123",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-123.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P124",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-124.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P125",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-125.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P126",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-126.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P127",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-127.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P128",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-128.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P129",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-129.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P130",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-130.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P131",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-131.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P132",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-132.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P133",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-133.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P134",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-134.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P135",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-135.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P136",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-136.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P137",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-137.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P138",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-138.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P139",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-139.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P140",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-140.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P141",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-141.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P142",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-142.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P143",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-143.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P144",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-144.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P145",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-145.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P146",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-146.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P147",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-147.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P148",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-148.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P149",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-149.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P150",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-150.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P151",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-151.TIF,Archives de la Ville de Montréal
