Date,Instance_politique ,Resolution,Nom,Genre,Titre_du_poste,Organisme
2015-10-29,conseil d'agglomération ,CG15 0655,Carl Minville,M,membre,Comité technique prévu au règlement RCG 05-002)
2015-11-25,comité exécutif,CE15 2145,Nathalie Maillé,F,représentante de la ville,Conseil d'administration - Les Arts et la Ville
2015-11-26,conseil d'agglomération,CG15 0724,Harold Faustin,M,membre,Conseil d'administration - Conseil des arts de Montréal
2015-11-26,conseil d'agglomération,CG15 0724,Philippe Lambert,M,membre,Conseil d'administration - Conseil des arts de Montréal
2015-11-26,conseil d'agglomération,CG15 0723,Claude Dauphin,M,représentant élu,PME MTL Ouest de l'île - Conseil d'administration CLD Ouest-de-l'île
2015-12-14,conseil municipal,CM15 1523,Mary Deros,F,maire suppléant,Conseil municipal
2015-12-14,conseil municipal,CM15 1464,Zina Laadj,F,membre,Conseil des Montréalaises
2015-12-14,conseil municipal,CM15 1464,Sharon Hackett,F,vice-présidente,Conseil des Montréalaises
2015-12-14,conseil municipal,CM15 1465,François Marquette,M,président,Conseil jeunesse de Montréal
2015-12-14,conseil municipal,CM15 1465,Pascal Rousseau,M,vice-président,Conseil jeunesse de Montréal
2015-12-14,conseil municipal,CM15 1465,Albert Phung Kahi-Luan,M,membre,Conseil jeunesse de Montréal
2015-12-14,conseil municipal,CM15 1465,Michael Wrobel,M,membre,Conseil jeunesse de Montréal
2015-12-14,conseil municipal,CM15 1465,Jérémy Gareau,M,membre,Conseil jeunesse de Montréal
2015-12-16,comité exécutif,CE15 2318,Alan DeSousa,M,représentant-élu,Technoparc Montréal
2015-12-16,comité exécutif,CE15 2318,Serge Guérin,M ,représentant-fonctionnaire,Technoparc Montréal
2015-12-17,conseil d'agglomération,CG15 0808,Jean-François Parenteau ,M,représentant de l'arrondissement,PME MTL Grand-Sud-Ouest
2015-12-17,conseil d'agglomération,CG15 0810,Beny Masella,M,membre du CA,STM
2015-12-17,conseil d'agglomération,CG15 0811,Philippe Roy,M,vice-président,Commission de la sécurité publique
2015-12-17,conseil d'agglomération,CG15 0811,Jane Guest,F,membre,"Commission sur l'eau, l'environnement, le développement durable et les grands parcs"
2015-12-17,conseil d'agglomération,CG15 0811,Michel Gibson,M,vice-président,Commission sur les travaux publics et le transport
2015-12-17,conseil d'agglomération,CG15 0811,Michel Gibson,M,vice-président,Commission sur le développement économique et urbain et l'habitation
2015-12-17,conseil d'agglomération,CG15 0811,Michel Gibson,M,vice-président,"Commission sur la culture, le patrimoine et les sports"
2015-12-17,conseil d'agglomération,CG15 0811,Michel Gibson,M,vice-président,Commission sur le développement social et la diversité montréalaise
2015-12-17,conseil d'agglomération,CG15 0811,Paola Hawa,F,membre,Commission sur les travaux publics et le transport
2015-12-17,conseil d'agglomération,CG15 0811,Robert Coutu,M,membre,Commission sur le développement économique et urbain et l'habitation
2015-12-17,conseil d'agglomération,CG15 0811,Robert Coutu,M,membre,"Commission sur la culture, le patrimoine et les sports"
2015-12-17,conseil d'agglomération,CG15 0811,Robert Coutu,M,membre,Commission sur le développement social et la diversité montréalaise
2015-12-17,conseil d'agglomération,CG15 0811,Paola Hawa,F,vice-présidente,Commission sur l'examen des contrats
2015-12-17,conseil d'agglomération,CG15 0811,Dida Berku,F,membre,Commission sur l'examen des contrats
2016-01-13,Comité exécutif,CE16 0049,Christine Plante,F,membre externe,Comité de sélection - Règlement régissant la cuisine de rue (15-039)
2016-01-13,Comité exécutif,CE16 0049,Pasquale Vari,H,membre externe,Comité de sélection - Règlement régissant la cuisine de rue (15-039)
2016-01-13,Comité exécutif,CE16 0049,Anne-Marie Winthenshaw,F,membre externe,Comité de sélection - Règlement régissant la cuisine de rue (15-039)
2016-01-13,Comité exécutif,CE16 0049,Maxime Gagné,H,membre externe,Comité de sélection - Règlement régissant la cuisine de rue (15-039)
2016-01-26,Conseil municipal,CM16 0153,Jacques Ulysse,H,membre,Commission des services électriques de la Ville de Montréal
2016-01-26,Conseil municipal,CM16 0153,Benoit Dagenais,H,membre,Commission des services électriques de la Ville de Montréal
2016-01-26,Conseil municipal,Dépôt séance tenante,Richard Bergeron,H,membre,Conseil d'agglomération
2016-01-26,Conseil municipal,Dépôt séance tenante,Manon Gauthier,F,membre,Conseil d'agglomération
2016-01-28,Conseil d'agglomération,CG16 0001,Benoit Dorais,H,président,Conseil d'agglomération
2016-01-28,Conseil d'agglomération,CG16 0096,François William Croteau,H,représentant de l'arrondissement,PME MTL Centre-Est
2016-01-28,Conseil d'agglomération,CG16 0100,Harout Chitilian,H,membre,Communauté métropolitaine de Montréal
2016-01-28,Conseil d'agglomération,CG16 0099,Joseph Nammour,H,vice-président,Comité de vérification élargi de la Ville de Montréal
2016-01-28,Conseil d'agglomération,CG16 0098,Madeleine Féquière,F,première vice-présidente,Conseil des arts de Montréal
2016-01-28,Conseil d'agglomération,CG16 0098,Philippe Baylaucq,H,deuxième vice-président,Conseil des arts de Montréal
2016-01-28,Conseil d'agglomération,CG16 0097,Chantal Rouleau,F,représentante de l'arrondissement,PME MTL Est-de-l'île
2016-02-22,Conseil municipal,CM16 0266,Andrée Hénault,F,représentante de l'arrondissement,Corporation Anjou 80
2016-02-22,Conseil municipal,CM16 0266,Martin Savaria,H,membre,Corporation Anjou 80
2016-02-22,Conseil municipal,CM16 0266,Gérard Séguin,H,membre,Corporation Anjou 80
2016-02-22,Conseil municipal,CM16 0266,Johanne Du Bois,F,membre,Corporation Anjou 80
2016-02-22,Conseil municipal,CM16 0266,Mario Beaulieu,H,membre,Corporation Anjou 80
2016-02-22,Conseil municipal,CM16 0266,René Gauthier,H,membre,Corporation Anjou 80
2016-02-25,Conseil d'agglomération,CG16 0167,Lili-Anne Tremblay,F,représentante de l'arrondissement,PME MTL Est-de-l'île
2016-03-24,Conseil d'agglomération,CG16 0226,Robert Coutu,H,représentant de la Ville,PME MTL Est-de-l'île
2016-04-18,Conseil municipal,CM16 0429,Jessica Mandziya-Sathoud,F,membre,Conseil jeunesse de Montréal
2016-04-18,Conseil municipal,CM16 0429,Xiya Ma,F,membre,Conseil jeunesse de Montréal
2016-04-18,Conseil municipal,CM16 0488,Mary Deros,F,mairesse suppléante,Conseil municipal
2016-04-21,Conseil d'agglomération,CG16 0279,Benoit Dorais,H,représentant de l'arrondissement,Conseil d'administration de PME MTL Grand-Sud-Ouest
2016-04-21,Conseil d'agglomération,CG16 0283,Andrée Hénault,F,représentante du conseil ,Conseil d'administration du Centre local de développement d'Anjou
2016-04-21,Conseil d'agglomération,CG16 0283,Gilles Beaudry,H,représentant du conseil ,Conseil d'administration du Centre local de développement d'Anjou
2016-04-21,Conseil d'agglomération,CG16 0282,Andrée Hénault,F,représentante de l'arrondissement ,Conseil d'administration du PME MTL Est-de-l'Île
2016-04-21,Conseil d'agglomération,CG16 0281,Daniel Robert,H,représentant élu,Conseil d'administration de PME MTL Centre-Ouest
2016-04-21,Conseil d'agglomération,CG16 0280,Richard Bergeron,H,représentant élu,Conseil d'administration de PME MTL Centre-Ville
2016-04-21,Conseil d'agglomération,CG16 0284,Robert Labelle,H,administrateur,Office municipal d'habitation de Montréal
2016-04-21,Conseil d'agglomération,CG16 0284,Johanne Goulet,F,administratrice,Office municipal d'habitation de Montréal
2016-04-21,Conseil d'agglomération,CG16 0284,Sylvie Crispo,F,membre,Office municipal d'habitation de Montréal
2016-04-21,Conseil d'agglomération,CG16 0284,Christian Champagne,H,membre,Office municipal d'habitation de Montréal
2016-04-21,Conseil d'agglomération,CG16 0284,Cheikh Diop,H,membre,Office municipal d'habitation de Montréal
2016-05-04,Comité exécutif,CE16 0753,Manon Gauthier,F,observatrice,Conseil d'administration de la Société des célébrations du 375e anniversaire de Montréal
2016-05-04,Comité exécutif,CE16 0753,Suzanne Laverdière,F,observatrice,Conseil d'administration de la Société des célébrations du 375e anniversaire de Montréal
2016-05-04,Comité exécutif,CE16 0753,Caroline Poirier,F,observatrice,Conseil d'administration de la Société des célébrations du 375e anniversaire de Montréal
2016-05-04,Comité exécutif,CE16 0753,Hugo Henderson,H,observateur,Conseil d'administration de la Société des célébrations du 375e anniversaire de Montréal
2016-05-17,Conseil municipal,CM16 0627,Pierre Corriveau,H,président,Comité Jacques-Viger
2016-05-17,Conseil municipal,CM16 0627,Josée Bérubé,F,première vice-présidente,Comité Jacques-Viger
2016-05-19,Conseil d'agglomération,CG16 0364,Richard Ryan,H,représentant élu de l'arrondissement,Conseil d'administration de PME MTL Centre-ville
