OBJECTID,NOM,NO_STATION,NB_VIGNETTE,NB_PAYANT,NB_TOTAL,TYPE,GEOM
746,Centre communautiare Arthur-Buies, ,0, ,23,,Polygone
747,Berges, ,0, ,24,,Polygone
748,Centre Communautaire Nazareth-De Verchères, ,0, ,8,,Polygone
749,Centre Communautaire Nazareth-Cartier, ,0, ,33,,Polygone
750,William-Price, ,0, ,4,,Polygone
751,Centre Communautaire Sacré-Coeur, ,0, ,29,,Polygone
752,Rue de la Plage, ,0, ,13,,Polygone
753,Garage municipal Sainte-Odile, ,0, ,12,,Polygone
754,Bibliothèque Lisette-Morin, ,0, ,48,,Polygone
755,Colisée, ,0, ,606,,Polygone
756,Tennis, ,0, ,143,,Polygone
757,95 Évêché, ,0, ,10,,Polygone
758,Claire-l'Heureux-Dubé, ,0, ,67,,Polygone
759,Porte Dorée, ,0, ,0,,Polygone
760,Caserne Pointe-au-Père, ,0, ,20,,Polygone
761, , ,0, ,0,,Polygone
762,Caserne Nazareth, ,0, ,6,,Polygone
763,Centre Communautaire Sainte-Blandine, ,0, ,38,,Polygone
764,Parc Beauséjour, ,0, ,265,,Polygone
765, , ,0, ,12,90 minutes gratuites,Polygone
766, , ,0, ,7,90 minutes gratuites,Polygone
768, , ,0,3,3,Parcomètre,Polygone
770, , ,0,2,2,Parcomètre,Polygone
771, , ,0,1,1,Parcomètre,Polygone
772, , ,0,2,2,Parcomètre,Polygone
773, , ,0,5,5,Parcomètre,Polygone
774, , ,0,1,1,Parcomètre,Polygone
775, , ,0,2,2,Parcomètre,Polygone
776, , ,0,2,2,Parcomètre,Polygone
777,Saint-Edmond, ,0, ,2,90 minutes gratuites,Polygone
778,"116, rue Saint-Germain Ouest", ,0,23,23,Horodateur,Polygone
779,Évêché Est,SR-3,4,6,6,Vignette,Polygone
780, , ,0,4,4,Horodateur,Polygone
781, , ,0,3,3,Horodateur,Polygone
782, , ,0,1,1,Horodateur,Polygone
783, , ,0,1,1,Horodateur,Polygone
784, , ,0,1,1,Horodateur,Polygone
785, , ,0,2,2,Horodateur,Polygone
786, , ,0,1,1,Horodateur,Polygone
787, , ,0,5,5,Horodateur,Polygone
788, , ,0,2,2,Horodateur,Polygone
789, , ,0,3,3,Horodateur,Polygone
790, , ,0,14,14,Horodateur,Polygone
791, , ,0,4,4,Horodateur,Polygone
792, , ,0,2,2,Horodateur,Polygone
793, , ,0, ,2,90 minutes gratuites,Polygone
794, , ,0, ,3,90 minutes gratuites,Polygone
795, , ,0, ,4,90 minutes gratuites,Polygone
796, , ,0, ,2,90 minutes gratuites,Polygone
797, , ,0, ,7,90 minutes gratuites,Polygone
798,"183, rue Saint-Germain Ouest", ,0, ,3,90 minutes gratuites,Polygone
799, , ,0, ,2,90 minutes gratuites,Polygone
800, , ,0, ,5,90 minutes gratuites,Polygone
801,Saint-Germain Ouest,SR-2,4,4,4,Vignette,Polygone
802, , ,0, ,2,90 minutes gratuites,Polygone
803, , ,0, ,3,90 minutes gratuites,Polygone
804, , ,0, ,1,90 minutes gratuites,Polygone
805, , ,0, ,4,90 minutes gratuites,Polygone
806,"122, rue Saain-Germain Oeust", ,0,2,2,Horodateur,Polygone
807, , ,0,3,3,Horodateur,Polygone
808, , ,0,3,3,Horodateur,Polygone
809, , ,0,4,4,Horodateur,Polygone
810, , ,0,2,2,Horodateur,Polygone
811, , ,0,3,3,Parcomètre,Polygone
812, , ,0,1,1,Parcomètre,Polygone
813, , ,0,2,2,Parcomètre,Polygone
814, , ,0,2,2,Parcomètre,Polygone
815, , ,0,2,2,Parcomètre,Polygone
816, , ,0,1,1,Parcomètre,Polygone
817, , ,0,3,3,Parcomètre,Polygone
818, , ,0,3,3,Parcomètre,Polygone
819, , ,0,2,2,Parcomètre,Polygone
820, , ,0,2,2,Parcomètre,Polygone
821, , ,0,2,2,Parcomètre,Polygone
822, , ,0,4,4,Parcomètre,Polygone
823, , ,0,1,1,Parcomètre,Polygone
824, , ,0,2,2,Parcomètre,Polygone
825, , ,0,2,2,Parcomètre,Polygone
826, , ,0,1,1,Parcomètre,Polygone
827, , ,0,3,3,Parcomètre,Polygone
828, , ,0,3,3,Parcomètre,Polygone
829, , ,0,3,3,Parcomètre,Polygone
830, , ,0,2,2,Parcomètre,Polygone
831, , ,0,4,4,Parcomètre,Polygone
832, , ,0,2,2,Parcomètre,Polygone
833, , ,0,3,3,Parcomètre,Polygone
834, , ,0,2,2,Parcomètre,Polygone
835, , ,0,1,1,Parcomètre,Polygone
836, , ,0,3,3,Parcomètre,Polygone
837, , ,0,1,1,Parcomètre,Polygone
838, , ,0,1,1,Parcomètre,Polygone
839, , ,0,7,7,Parcomètre,Polygone
840, , ,0,3,3,Horodateur,Polygone
842, , ,0,5,5,Parcomètre,Polygone
843, , ,0,2,2,Parcomètre,Polygone
844, , ,0,4,4,Parcomètre,Polygone
845, , ,0,4,4,Parcomètre,Polygone
846,Rue Sainte-Marie,SR-4,4,4,4,Vignette,Polygone
847,Rue Sainte-Marie,SR-4,1,1,1,Vignette,Polygone
848,Rue Sainte-Marie,SR-4,2,2,2,Vignette,Polygone
849,Rue Sainte-Marie,SR-4,2,2,2,Vignette,Polygone
850, , ,0,3,3,Parcomètre,Polygone
851, , ,0,1,1,Parcomètre,Polygone
852, , ,0,5,5,Horodateur,Polygone
853, , ,0,4,4,Horodateur,Polygone
854, , ,0,3,3,Parcomètre,Polygone
855,Cathédrale,SR-9,2,1 double,2,"Vignette, Parcomètre",Polygone
856, , ,0,3,3,Parcomètre,Polygone
857, , ,0,4,4,Parcomètre,Polygone
858, , ,0,3,3,Parcomètre,Polygone
859, , ,0,1,1,Parcomètre,Polygone
860, , ,0,3,3,Parcomètre,Polygone
861, , ,0,1,1,Parcomètre,Polygone
862, , ,0,2,2,Parcomètre,Polygone
863, , ,0,1,1,Parcomètre,Polygone
864, , ,0,1,1,Parcomètre,Polygone
865, , ,0,2,2,Parcomètre,Polygone
866, , ,0,1,1,Parcomètre,Polygone
867, , ,0,2,2,Parcomètre,Polygone
868, , ,0,2,2,Parcomètre,Polygone
869, , ,0,1,1,Parcomètre,Polygone
870, , ,0,1,1,Parcomètre,Polygone
871, , ,0,1,1,Parcomètre,Polygone
872, , ,0,2,2,Parcomètre,Polygone
873, , ,0,4,4,Parcomètre,Polygone
874, , ,0,3,3,Parcomètre,Polygone
875, , ,0,2,2,Parcomètre,Polygone
876, , ,0,2,2,Parcomètre,Polygone
877, , ,0,2,2,Parcomètre,Polygone
878, , ,0,2,2,Parcomètre,Polygone
879, , ,0,2,2,Parcomètre,Polygone
880, , ,0,2,2,Parcomètre,Polygone
881, , ,0,3,3,Parcomètre,Polygone
882, , ,0, ,4,90 minutes gratuites,Polygone
883, , ,0, ,3,90 minutes gratuites,Polygone
884, , ,0, ,2,90 minutes gratuites,Polygone
885, , ,0, ,3,90 minutes gratuites,Polygone
886, , ,0, ,2,90 minutes gratuites,Polygone
887, , ,0, ,2,90 minutes gratuites,Polygone
888, , ,0, ,3,90 minutes gratuites,Polygone
889, , ,0, ,2,90 minutes gratuites,Polygone
890, , ,0, ,2,90 minutes gratuites,Polygone
891, , ,0, ,1,90 minutes gratuites,Polygone
892,"160, rue de l'Évéché Ouest", ,0, ,1,90 minutes gratuites,Polygone
893, , ,0, ,5,90 minutes gratuites,Polygone
894, , ,0, ,2,90 minutes gratuites,Polygone
895, , ,0, ,2,90 minutes gratuites,Polygone
896, , ,0, ,3,90 minutes gratuites,Polygone
897, , ,0,2,2,Parcomètre,Polygone
898, , ,0,1,1,Parcomètre,Polygone
899, , ,0,2,2,Parcomètre,Polygone
900, , ,0,4,4,Parcomètre,Polygone
901, , ,0,2,2,Parcomètre,Polygone
902, , ,0,1,1,Parcomètre,Polygone
903, , ,0,2,2,Parcomètre,Polygone
904, , ,0,2,2,Parcomètre,Polygone
905, , ,0,2,2,Parcomètre,Polygone
906, , ,0,4,4,Parcomètre,Polygone
907, , ,0,2,2,Parcomètre,Polygone
908, , ,0,2,2,Parcomètre,Polygone
909, , ,0,1,1,Parcomètre,Polygone
910, , ,0,2,2,Parcomètre,Polygone
911, , ,0,2,2,Parcomètre,Polygone
912, , ,0,3,3,Parcomètre,Polygone
913, , ,0,2,2,Parcomètre,Polygone
914, , ,0,2,2,Parcomètre,Polygone
915, , ,0,2,2,Parcomètre,Polygone
916, , ,0,1,1,Parcomètre,Polygone
917, , ,0,2,2,Parcomètre,Polygone
918, , ,0,1,1,Parcomètre,Polygone
919, , ,0,1,1,Parcomètre,Polygone
920, , ,0,1,1,Parcomètre,Polygone
921, , ,0,1,1,Parcomètre,Polygone
922, , ,0,2,2,Parcomètre,Polygone
923, , ,0,2,2,Parcomètre,Polygone
924, , ,0,1,1,Parcomètre,Polygone
925, , ,0,1,1,Parcomètre,Polygone
926, , ,0,2,2,Parcomètre,Polygone
927, , ,0,3,3,Parcomètre,Polygone
928, , ,0,2,2,Parcomètre,Polygone
929, , ,0,1,1,Parcomètre,Polygone
930, , ,0, ,1,90 minutes gratuites,Polygone
931, , ,0, ,1,90 minutes gratuites,Polygone
932, , ,0, ,2,90 minutes gratuites,Polygone
933, , ,0, ,2,90 minutes gratuites,Polygone
934, , ,0, ,3,90 minutes gratuites,Polygone
935, , ,0, ,1,90 minutes gratuites,Polygone
936, , ,0, ,1,90 minutes gratuites,Polygone
937, , ,0, ,1,90 minutes gratuites,Polygone
938, , ,0, ,4,90 minutes gratuites,Polygone
939, , ,0, ,1,90 minutes gratuites,Polygone
940, , ,0, ,1,90 minutes gratuites,Polygone
941, , ,0, ,2,90 minutes gratuites,Polygone
942, , ,0, ,2,90 minutes gratuites,Polygone
943, , ,0, ,2,90 minutes gratuites,Polygone
944, , ,0, ,4,90 minutes gratuites,Polygone
945, , ,0, ,4,90 minutes gratuites,Polygone
946, , ,0, ,1,90 minutes gratuites,Polygone
947, , ,0, ,1,90 minutes gratuites,Polygone
948, , ,0, ,1,90 minutes gratuites,Polygone
949, , ,0,2,2,Parcomètre,Polygone
950, , ,0,2,2,Parcomètre,Polygone
951, , ,0,2,2,Parcomètre,Polygone
952, , ,0,4,4,Parcomètre,Polygone
953, , ,0,1,1,Parcomètre,Polygone
954, , ,0,6,6,Parcomètre,Polygone
955,Sainte-Marie (Hôpital),SR-1,16,16,16,Vignette,Polygone
956, , ,0, ,1,90 minutes gratuites,Polygone
957, , ,0, ,2,90 minutes gratuites,Polygone
958, , ,0, ,2,90 minutes gratuites,Polygone
959, , ,0, ,1,90 minutes gratuites,Polygone
960, , ,0, ,1,90 minutes gratuites,Polygone
961, , ,0, ,3,90 minutes gratuites,Polygone
962, , ,0, ,2,90 minutes gratuites,Polygone
963, , ,0,1,1,Parcomètre,Polygone
964, , ,0,3,3,Horodateur,Polygone
965, , ,0,2,2,Horodateur,Polygone
966, , ,0,1,1,Parcomètre,Polygone
967, , ,0,2,2,Parcomètre,Polygone
968, , ,0,1,1,Parcomètre,Polygone
969, , ,0,1,1,Parcomètre,Polygone
970, , ,0,2,2,Parcomètre,Polygone
971, , ,0,2,2,Parcomètre,Polygone
972, , ,0, ,1,90 minutes gratuites,Polygone
973, , ,0,1,1,Parcomètre,Polygone
974, , ,0,1,1,Parcomètre,Polygone
975, , ,0,1,1,Parcomètre,Polygone
976, , ,0,1,1,Parcomètre,Polygone
977, , ,0,1,1,Parcomètre,Polygone
978,"180, rue de l'Évéché Ouest", ,0, ,4,90 minutes gratuites,Polygone
979, , ,0,1,1,Parcomètre,Polygone
980, , ,0,2,2,Parcomètre,Polygone
983, , ,0, ,3,,Polygone
984, , ,0, ,2,,Polygone
985, , ,0, ,1,,Polygone
986, , ,0, ,2,,Polygone
987, , ,0, ,1,,Polygone
989, , ,0, ,3,,Polygone
990, , ,0, ,1,,Polygone
991, , ,0, ,3,,Polygone
992, , ,0, ,1,,Polygone
993, , ,0,6,6,Parcomètre,Polygone
994, , ,0,2,2,Parcomètre,Polygone
995, , ,0,2,2,Parcomètre,Polygone
996, , ,0,3,3,Parcomètre,Polygone
997, , ,0,3,3,Parcomètre,Polygone
998,Parc Ernest-Lepage, ,0, ,39,,Polygone
999,Centre communautaire Pointe-au-Père, ,0, ,80,,Polygone
1000,Info-Touristique,,,12,12,Parcomètre,Polygone
1001,Rue Sainte-Marie,SR-4,25,25,25,Vignette,Polygone
1007, , ,0, ,1,90 minutes gratuites,Polygone
1010,Parc Beauséjour - de la Rivière,,0,,46,,Polygone
1011,Complexe sportif Desjardins,,0,,357,,Polygone
1023,Jules-A.-Brillant,SR-3,2,2,2,Vignette,Polygone
1026,Jules-A.-Brillant,SR-5,4,4,4,Vignette,Polygone
1027,Jules-A.-Brillant,SR-5,2,2,2,Vignette,Polygone
1028,Jules-A.-Brillant,SR-5,2,2,2,Vignette,Polygone
1029,Jules-A.-Brillant,SR-7,2,2,2,Vignette,Polygone
1030,Jules-A.-Brillant,SR-7,2,2,2,Vignette,Polygone
1031,Jules-A.-Brillant,SR-7,1,1,1,Vignette,Polygone
1032,Jules-A.-Brillant,SR-7,1,1,1,Vignette,Polygone
1033,,,,3,3,Parcomètre,Polygone
1034,,,,4,4,Parcomètre,Polygone
1035,,,,3,3,Parcomètre,Polygone
1036,,,,4,4,Parcomètre,Polygone
1037,,,,2,2,Parcomètre,Polygone
1038,,,,2,2,Parcomètre,Polygone
1039,,,,2,2,Parcomètre,Polygone
1040,,,,3,3,Parcomètre,Polygone
1041,,,,2,2,Parcomètre,Polygone
1042,,,,5,5,Parcomètre,Polygone
1043,,,,6,6,Parcomètre,Polygone
1044,,,,6,6,Parcomètre,Polygone
1045,,,,2,2,Parcomètre,Polygone
1046,,,,6,6,Parcomètre,Polygone
1047,,,,1,1,Parcomètre,Polygone
1048,,,,2,2,Parcomètre,Polygone
1055,C-2,,,,,,Polygone
1064,Salle Desjardins-Telus,S-7,23,0,29,Stationnement,Polygone
1069,Anciens combattants,,0,,173,,Polygone
1070,Anciens combattants,S-8,14,14,173,Vignette,Polygone
1071,Anciens combattants,S-8,14,14,173,Vignette,Polygone
1073,Anciens combattants,,0,,173,,Polygone
1074,Anciens combattants,S-8,33,33,173,Vignette,Polygone
1075,Anciens combattants,S-8,12,12,173,Vignette,Polygone
1080,Évêché Est (Parc de la gare),SR-3,16,7,7,Vignette,Polygone
1081,Les Halles,,,,33,90 minutes gratuites,Polygone
1082,,,,,2,90 minutes gratuites,Polygone
1083,,,,,4,90 minutes gratuites,Polygone
1084,,,,,2,90 minutes gratuites,Polygone
1085,,,,,2,90 minutes gratuites,Polygone
1086,,,,,3,90 minutes gratuites,Polygone
1087,,,,,1,90 minutes gratuites,Polygone
1089,,,,,9,90 minutes gratuites,Polygone
1092,,,,,,,Polygone
1093,,,,,,,Polygone
1094,,,,,,,Polygone
