quest,ville,codep,rta,arron,debut,mess1,q1,q2_m1,q2_m2,q2_m3,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14_m1,q14_m2,q14_m3,q15,q16,q17,q18,q19,q20,q20a,q21,q22,q23,q24,q25,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,pond
00079,MONTREAL,H3X3R6,H3X,31,1,1,1,2, , ,4,1,1,2,2,2,2,2,2,1,2, , , ,4,4,4,1,4,5,2,1,6,1,1,3,3,4,3,3,1,2,1,1,1,1,3,.56147799073084
00082,MONTREAL,H1B5S5,H1B,17,1,1,2, , , , , , , , , , , , , , ,1,4, ,3,1,3,1,4,1, ,1,2,2,1,1,1,3,1,2,1,2,1,2,1,2, ,.76672607558491
00085,SAINT-LEONARD,H1S2P9,H1S,15,1,1,1,1, , ,2,1,2,2,2,1,1,2,1,1,1, , , ,4,4,2,1,4,2,0,2,1,2,1,1,1,4,3,1,1,2,2,2,1,1,1,.71318334403313
00089,COTE SAINT-LUC,H4X2A3,H4X,32,1,1,1,2, , ,3,3,2,2,2,1,1,1,2,1,2, , , ,4,4,4,1,4,4,1,1,3,1,1,3,3,4,3,3,1,2,1,1,1,1,2,.56147799073084
00094,POINTE-AUX-TREMBLES,H1B3B9,H1B,17,1,1,1,2, , ,2,3,2,2,2,1,2,2,2,2,2, , , ,2,1,3,4,4,3,1,1,5,2,1,1,1,2,1,2,3,2,1,2,1,1,1,.98007152863766
00104,MONTREAL,H1L5S6,H1L,13,1,1,2, , , , , , , , , , , , , , ,1, , ,3,1,2,4,4,4,0,1,2,2,1,1,1,3,1,1,3,2,1,2,1,2, ,.76672607558491
00134,MONTREAL-NORD,H1G2L9,H1G,14,1,1,1,2,1, ,4,2,1,2,2,2,2,1,1,1,2, , , ,2,1,4,1,4,2,3,2,6,1,1,1,1,2,1,3,1,2,2,1,1,1,3,.91357010076408
00137,SAINT-LEONARD,H1S1E5,H1S,15,1,1,2, , , , , , , , , , , , , , ,5, , ,1,2,3,1,4,1, ,2,2,2,1,1,1,1,1,2,1,2,2,2,1,2, ,2.16279574167529
00145,MONTREAL,H2G2M8,H2G,4,1,1,1,1, , ,3,1,2,2,2,2,1,1,2,1,2, , , ,1,3,4,2,3,2,0,2,5,2,1,2,2,1,2,3,2,1,2,2,1,1,2,2.16279574167529
00149,MONTREAL,H2M1X8,H2M,9,1,1,2, , , , , , , , , , , , , , ,9, , ,4,4,1,1,4,2,0,1,9,2,1,2,2,4,3,1,1,2,1,2,1,2, ,.71318334403313
00151,MONTREAL,H1E7C6,H1E,3,1,1,2, , , , , , , , , , , , , , ,3,16, ,3,4,4,1,4,2,0,1,4,2,1,1,1,3,3,3,1,2,1,2,1,2, ,.76672607558491
00158,SAINT-LAURENT,H4L3B3,H4L,27,1,1,1,2, , ,4,1,1,2,2,2,4,1,1,1,2, , , ,3,1,4,3,4,3,0,1,3,2,1,3,3,3,1,3,2,2,1,2,1,1,3,.76672607558491
00160,MONTREAL,H1W3X9,H1W,13,1,1,2, , , , , , , , , , , , , , ,13, , ,4,4,1,1,4,1, ,2,1,2,1,1,1,4,3,1,1,2,2,2,1,2, ,.71318334403313
00165,MONTREAL,H2M2R4,H2M,9,1,1,2, , , , , , , , , , , , , , ,1,2, ,3,1,3,1,4,2,0,1,9,1,1,2,2,3,1,2,1,2,1,1,1,2, ,.81856585972332
00168,VERDUN,H4G2Z8,H4G,7,1,1,1,2, , ,2,2,2,2,2,1,1,1,1,2,2, , , ,2,2,2,1,4,4,0,2,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,.91357010076408
00171,WESTMOUNT,H3Y3J2,H3Y,8,1,1,2, , , , , , , , , , , , , , ,5, , ,4,4,4,4,4,2,0,1,9,1,1,2,2,4,3,3,3,2,1,1,1,2, ,.56147799073084
00174,MONTREAL,H1N,H1N,13,1,1,2, , , , , , , , , , , , , , ,12,1, ,4,1,3,2,4,1, ,1,3,1,1,1,1,4,1,2,2,2,1,1,1,2, ,.56147799073084
00199,SAINT-LEONARD,H1R2N7,H1R,15,1,1,2, , , , , , , , , , , , , , ,3,4, ,3,1,3,1,4,1, ,2,9,1,1,1,1,3,1,2,1,2,2,1,1,2, ,.81856585972332
00201,VERDUN,H4H1T3,H4H,7,1,1,2, , , , , , , , , , , , , , ,13,5, ,4,4,2,1,4,1, ,1,3,2,2,2,2,4,3,1,1,2,1,2,2,2, ,.71318334403313
00205,MONTREAL,H4A3E9,H4A,11,1,1,2, , , , , , , , , , , , , , ,1,4, ,3,1,4,1,4,2,0,1,6,2,1,2,2,3,1,3,1,2,1,2,1,2, ,.76672607558491
00207,MONTREAL,H1V3G3,H1V,13,1,1,2, , , , , , , , , , , , , , ,4, , ,2,1,3,2,4,2,0,1,4,1,1,1,1,2,1,2,2,2,1,1,1,2, ,.91357010076408
00212,MONTREAL,H2P2K4,H2P,6,1,1,2, , , , , , , , , , , , , , ,4, , ,3,1,4,1,4,2,0,1,6,2,1,2,2,3,1,3,1,2,1,2,1,2, ,.76672607558491
00215,MONTREAL,H1C2A9,H1C,3,1,1,2, , , , , , , , , , , , , , ,3, , ,4,4,2,4,4,1, ,9,1,1,1,1,1,4,3,1,3,2, ,1,1,2, ,.56147799073084
00217,MONTREAL,H1T3X1,H1T,4,1,1,1,1, , ,2,1,2,2,2,2,1,2,2,2,1, , , ,4,4,4,1,4,2,0,2,6,1,1,2,2,4,3,3,1,2,2,1,1,1,1,.56147799073084
00221,MONTREAL,H1A0A1,H1A,3,1,1,2, , , , , , , , , , , , , , ,97, , ,4,4,1,2,4,1, ,2,1,2,1,1,1,4,3,1,2,2,2,2,1,2, ,.71318334403313
00227,MONTREAL,H1X1N1,H1X,4,1,1,1,1, , ,2,1,2,2,2,2,2,2,1,1,2, , , ,2,1,4,4,4,4,2,1,5,2,1,2,2,2,1,3,3,2,1,2,1,1,1,.98007152863766
00229,MONTREAL,H4C3M5,H4C,5,1,1,2, , , , , , , , , , , , , , ,13, , ,4,4,3,2,4,1, ,2,1,2,1,2,2,4,3,2,2,2,2,2,1,2, ,.71318334403313
00232,MONTREAL,H2B2B5,H2B,9,1,1,1,2,1, ,1,1,1,2,2,1,1,1,2,1,2, , , ,2,1,4,1,4,2,1,1,6,1,1,2,2,2,1,3,1,2,1,1,1,1,1,.91357010076408
00234,MONTREAL,H2X3R4,H2X,2,1,1,2, , , , , , , , , , , , , , ,4,1, ,4,4,4,2,4,1, ,2,2,1,1,2,2,4,3,3,2,2,2,1,1,2, ,.56147799073084
00246,SAINT-LAURENT,H4R3N1,H4R,27,1,1,2, , , , , , , , , , , , , , ,4, , ,4,4,4,1,4,2,0,1,6,1,1,3,3,4,3,3,1,2,1,1,1,2, ,.56147799073084
00273,MONTREAL,H3S1K2,H3S,11,1,1,1,5, , ,2,1,2,2,2,2,1,2,2,1,2, , , ,2,1,2,4,4,2,6,2,9,2,1,2,2,2,1,1,3,2,2,2,1,1,1,.98007152863766
00276,MONTREAL,H2L1Z3,H2L,16,1,1,2, , , , , , , , , , , , , , ,1,3, ,2,1,3,4,3,2,0,2,2,1,1,2,2,2,1,2,3,1,2,1,1,2, ,.91357010076408
00281,ANJOU,H1M3B8,H1M,13,1,1,2, , , , , , , , , , , , , , ,8, , ,3,1,4,2,4,2,0,1,6,2,1,1,1,3,1,3,2,2,1,2,1,2, ,.76672607558491
00283,ANJOU,H1K3M4,H1K,10,1,1,1,5,2, ,4,1,1,2,2,2,1,1,2,1,1, , , ,3,4,4,1,4,3,0,1,6,1,1,1,1,3,3,3,1,2,1,1,1,1,3,.81856585972332
00304,SAINT-MICHEL,H1G,H1G,14,1,1,1,2, , ,3,3,1,2,2,2,4,1,2,1,1, , , ,1,3,3,4,4,5,1,1,4,2,1,1,1,1,2,2,3,2,1,2,1,1,2,2.16279574167529
00306,MONTREAL,H4V1P2,H4V,18,1,1,2, , , , , , , , , , , , , , ,4, , ,1,6,4,4,2,2,2,2,2,2,1,3,3,1,4,3,3,1,2,2,1,2, ,2.16279574167529
00321,BEACONSFIELD,H9W6H2,H9W,30,1,1,1,2, , ,4,1,2,2,2,2,1,2,1,1,2, , , ,2,1,4,4,4,2,2,1,6,1,2,3,3,2,1,3,3,2,1,1,2,1,3,.91357010076408
00327,MONTREAL,H3S1H2,H3S,11,1,1,2, , , , , , , , , , , , , , ,3,4, ,1,2,2,1,4,2,0,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2, ,2.30148156975812
00339,MONTREAL,H4C2P8,H4C,5,1,1,2, , , , , , , , , , , , , , ,1,9, ,2,1,3,2,4,1, ,2,9,2,1,2,2,2,1,2,2,2,2,2,1,2, ,.98007152863766
00340,MONTREAL,H4B2K6,H4B,11,1,1,2, , , , , , , , , , , , , , ,4,6, ,2,1,3,4,2,2,1,2,2,2,1,2,2,2,1,2,3,1,2,2,1,2, ,.98007152863766
00349,MONTREAL,H2Z1G6,H2Z,16,1,1,2, , , , , , , , , , , , , , ,97, , ,9,9,9,9,9,99,99,9,9,1,2,2,2, , , , , , ,1,2,2, ,.91357010076408
00360,MONTREAL,H3C2G8,H3C,5,1,1,2, , , , , , , , , , , , , , ,5,3, ,2,1,4,1,4,1, ,2,2,1,1,2,2,2,1,3,1,2,2,1,1,2, ,.91357010076408
00370,KIRKLAND,H9J1L3,H9J,21,1,1,1,2, , ,4,1,1,2,2,1,1,1,1,1,1, , , ,3,1,3,1,4,4,0,1,4,2,2,3,3,3,1,2,1,2,1,2,2,1,3,.76672607558491
00376,BAIE-D'URFE,H9X3T8,H9X,29,1,1,1,1, , ,2,1,2,2,2,2,1,2,1,1,2, , , ,4,1,4,1,4,1, ,1,4,2,2,3,3,4,1,3,1,2,1,2,2,1,1,.71318334403313
00386,MONTREAL,H2J1M6,H2J,2,1,1,2, , , , , , , , , , , , , , ,1,4, ,1,3,4,1,2,3,0,2,1,1,1,2,2,1,2,3,1,1,2,1,1,2, ,2.30148156975812
00394,MONTREAL,H1L,H1L,13,1,1,1,1, , ,4,1,2,2,2,1,1,2,2,1,1, , , ,4,4,2,1,4,1, ,2,9,2,1,1,1,4,3,1,1,2,2,2,1,1,3,.71318334403313
00398,MONTREAL,H1Y1N2,H1Y,4,1,1,1,2, , ,2,3,2,2,2,2,4,1,2,1,1, , , ,4,4,4,2,4,2,0,2,1,1,1,2,2,4,3,3,2,2,2,1,1,1,1,.56147799073084
00408,COTE SAINT-LUC,H4W2C7,H4W,18,1,1,2, , , , , , , , , , , , , , ,3, , ,2,6,2,1,4,2,5,1,9,2,1,3,3,2,4,1,1,2,1,2,1,2, ,.98007152863766
00422,MONTREAL,H1B4P2,H1B,17,1,1,1,2, , ,2,1,2,2,2,2,1,2,2,1,1, , , ,1,1,4,1,4,2,2,1,6,2,1,1,1,1,1,3,1,2,1,2,1,1,1,2.16279574167529
00443,ROXBORO,H8Y,H8Y,25,1,1,2, , , , , , , , , , , , , , ,9, , ,2,1,4,4,3,2,2,1,6,1,1,3,3,2,1,3,3,1,1,1,1,2, ,.91357010076408
00472,DORVAL,H9S2R3,H9S,20,1,1,1,1,2, ,4,2,2,2,2,2,2,1,1,1,1, , , ,3,4,4,1,4,2,0,1,3,1,2,3,3,3,3,3,1,2,1,1,2,1,3,.81856585972332
00477,POINTE-AUX-TREMBLES,H1A1J7,H1A,3,1,1,2, , , , , , , , , , , , , , ,3,1, ,2,1,4,4,4,2,2,1,9,1,1,1,1,2,1,3,3,2,1,1,1,2, ,.91357010076408
00480,MONTREAL,H2K,H2K,16,1,1,2, , , , , , , , , , , , , , ,99, , ,1,3,2,1,3,2,1,2,9,1,1,2,2,1,2,1,1,1,2,1,1,2, ,2.30148156975812
00495,MONTREAL,H2M2R2,H2M,9,1,1,1,2, , ,2,1,2,2,2,2,1,2,1,9,1, , , ,3,4,4,1,2,1, ,1,9,2,1,2,2,3,3,3,1,1,1,2,1,1,1,.76672607558491
00497,MONTREAL,H3L2N5,H3L,9,1,1,1,2, , ,2,2,2,2,2,2,1,1,2,2,1, , , ,1,1,2,1,4,6,4,1,9,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2.30148156975812
00508,MONTREAL,H1T1E3,H1T,4,1,1,2, , , , , , , , , , , , , , ,1, , ,1,1,4,2,2,2,99,2,2,2,1,2,2,1,1,3,2,1,2,2,1,2, ,2.16279574167529
00510,MONTREAL,H1Y1L6,H1Y,4,1,1,2, , , , , , , , , , , , , , ,1, , ,3,1,2,3,4,1, ,1,9,2,1,2,2,3,1,1,2,2,1,2,1,2, ,.76672607558491
00521,MONTREAL,H1X1R9,H1X,4,1,1,2, , , , , , , , , , , , , , ,11, , ,3,4,4,1,4,2,0,1,3,2,1,2,2,3,3,3,1,2,1,2,1,2, ,.76672607558491
00533,MONTREAL,H3M1Y1,H3M,9,1,1,1,2, , ,4,2,2,1,2,2,1,1,2,1,1, , , ,4,4,1,4,4,2,99,1,1,2,1,2,2,4,3,1,3,2,1,2,1,1,3,.71318334403313
00535,DOLLARD-DES-ORMEAUX,H9G2R9,H9G,19,1,1,1,2, , ,4,2,1,2,2,1,2,1,1,1,1, , , ,3,1,3,1,4,2,0,1,9,2,2,3,3,3,1,2,1,2,1,2,2,1,3,.76672607558491
00536,PIERREFONDS,H8Y2B7,H8Y,25,1,1,2, , , , , , , , , , , , , , ,4, , ,2,3,2,4,2,2,2,2,2,1,1,3,3,2,2,1,3,1,2,1,1,2, ,.91357010076408
00538,MONTREAL,H1B,H1B,17,1,1,2, , , , , , , , , , , , , , ,1,2, ,1,1,3,1,4,2,2,1,6,2,1,1,1,1,1,2,1,2,1,2,1,2, ,2.16279574167529
00559,MONTREAL,H2L2L5,H2L,16,1,1,2, , , , , , , , , , , , , , ,3, , ,3,1,2,2,4,1, ,1,3,1,1,2,2,3,1,1,2,2,1,1,1,2, ,.81856585972332
00570,MONTREAL-NORD,H1G6L9,H1G,14,1,1,2, , , , , , , , , , , , , , ,3, , ,4,4,3,1,4,2,0,1,4,1,1,1,1,4,3,2,1,2,1,1,1,2, ,.56147799073084
00572,MONTREAL,H1L5M4,H1L,13,1,1,2, , , , , , , , , , , , , , ,1, , ,1,3,3,4,4,3,0,2,3,1,1,1,1,1,2,2,3,2,2,1,1,2, ,2.30148156975812
00573,MONTREAL,H2M2M6,H2M,9,1,1,1,2, , ,4,1,2,2,2,2,2,2,2,1,1, , , ,3,1,4,2,4,2,0,1,6,1,1,2,2,3,1,3,2,2,1,1,1,1,3,.81856585972332
00577,POINTE-AUX-TREMBLES,H1B3G5,H1B,17,1,1,1,1, , ,3,1,2,2,2,1,1,2,2,9,2, , , ,2,1,3,1,4,2,2,1,5,2,1,1,1,2,1,2,1,2,1,2,1,1,2,.98007152863766
00587,MONTREAL,H2J3K7,H2J,2,1,1,2, , , , , , , , , , , , , , ,4, , ,2,1,4,4,4,2,1,1,6,2,1,2,2,2,1,3,3,2,1,2,1,2, ,.98007152863766
00595,MONTREAL,H4E1V4,H4E,5,1,1,2, , , , , , , , , , , , , , ,1, , ,9,9,9,9,9,99,99,9,9,1,1,2,2, , , , , , ,1,1,2, ,.81856585972332
00607,MONTREAL,H3M2V1,H3M,9,1,1,2, , , , , , , , , , , , , , ,97,2, ,4,4,4,4,4,3,0,1,3,1,1,2,2,4,3,3,3,2,1,1,1,2, ,.56147799073084
00627,MONTREAL,H1X3G5,H1X,4,1,1,2, , , , , , , , , , , , , , ,5, , ,4,4,1,2,4,1, ,2,9,1,1,2,2,4,3,1,2,2,2,1,1,2, ,.56147799073084
00629,MONT-ROYAL,H3P2G1,H3P,33,1,1,2, , , , , , , , , , , , , , ,19, , ,3,1,3,4,4,1, ,2,9,1,2,2,2,3,1,2,3,2,2,1,2,2, ,.81856585972332
00638,MONTREAL,H1T2E2,H1T,4,1,1,1,1, , ,2,1,2,2,2,1,1,2,2,1,1, , , ,2,2,2,4,4,2,2,2,3,2,1,2,2,2,1,1,3,2,2,2,1,1,1,.98007152863766
00650,MONTREAL,H1X2C8,H1X,4,1,1,2, , , , , , , , , , , , , , ,4,5, ,2,1,4,4,4,3,0,2,3,1,1,2,2,2,1,3,3,2,2,1,1,2, ,.91357010076408
00658,MONTREAL,H3G1B9,H3G,16,1,1,2, , , , , , , , , , , , , , ,4, , ,4,4,4,4,2,1, ,1,3,1,2,2,2,4,3,3,3,1,1,1,2,2, ,.56147799073084
00671,VERDUN,H4H1X9,H4H,7,1,1,2, , , , , , , , , , , , , , ,3,1, ,4,1,2,1,4,1, ,2,2,2,2,2,2,4,1,1,1,2,2,2,2,2, ,.71318334403313
00690,ROXBORO,H8Y1M7,H8Y,25,1,1,1,2, , ,4,2,1,2,2,2,1,2,2,1,2, , , ,4,4,2,4,4,2,0,1,4,1,2,3,3,4,3,1,3,2,1,1,2,1,3,.56147799073084
00695,MONTREAL,H2X2C8,H2X,2,1,1,2, , , , , , , , , , , , , , ,4, , ,1,3,4,4,3,1, ,2,1,2,2,2,2,1,2,3,3,1,2,2,2,2, ,2.16279574167529
00699,SAINT-LAURENT,H4R2B1,H4R,27,1,1,2, , , , , , , , , , , , , , ,5, , ,4,4,4,4,4,2,0,2,9,1,1,3,3,4,3,3,3,2,2,1,1,2, ,.56147799073084
00713,SAINT-MICHEL,H2E,H2E,6,1,1,1,2, , ,1,3,1,2,2,2,1,1,2,9,2, , , ,2,6,2,4,4,5,5,1,2,2,2,2,2,2,4,1,3,2,1,2,2,1,1,.98007152863766
00714,SAINT-LEONARD,H1R2V7,H1R,15,1,1,2, , , , , , , , , , , , , , ,4,5, ,3,6,2,4,4,2,0,2,5,2,1,1,1,3,4,1,3,2,2,2,1,2, ,.76672607558491
00718,MONTREAL,H4B2G6,H4B,11,1,1,2, , , , , , , , , , , , , , ,97,11,16,4,4,3,1,4,1, ,2,1,1,1,2,2,4,3,2,1,2,2,1,1,2, ,.56147799073084
00724,MONTREAL,H3M1V7,H3M,9,1,1,2, , , , , , , , , , , , , , ,2,3, ,2,1,4,1,4,1, ,1,9,2,1,2,2,2,1,3,1,2,1,2,1,2, ,.98007152863766
00739,MONTREAL,H4N1Z2,H4N,27,1,1,2, , , , , , , , , , , , , , ,6,4, ,3,1,2,1,4,2,0,2,4,1,1,3,3,3,1,1,1,2,2,1,1,2, ,.81856585972332
00742,MONTREAL,H1E1C2,H1E,3,1,1,1,2, , ,4,2,2,2,2,2,3,1,1,1,1, , , ,1,5,4,1,4,4,0,1,9,2,1,1,1,1,4,3,1,2,1,2,1,1,3,2.16279574167529
00752,MONTREAL,H1K2W6,H1K,10,1,1,2, , , , , , , , , , , , , , ,1,97, ,3,1,4,1,4,1, ,2,3,2,1,1,1,3,1,3,1,2,2,2,1,2, ,.76672607558491
00757,MONTREAL,H2K,H2K,16,1,1,2, , , , , , , , , , , , , , ,1, , ,1,1,2,4,4,2,2,2,3,1,1,2,2,1,1,1,3,2,2,1,1,2, ,2.30148156975812
00762,MONTREAL,H1E1R4,H1E,3,1,1,1,1, , ,3,1,1,2,2,2,1,2,2,1,1, , , ,2,2,2,1,4,2,0,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,.91357010076408
00763,MONTREAL,H1N1G6,H1N,13,1,1,1,2, , ,4,1,1,2,2,2,3,1,1,1,1, , , ,3,4,2,2,4,2,0,2,1,2,1,1,1,3,3,1,2,2,2,2,1,1,3,.76672607558491
00766,MONTREAL,H1K4R7,H1K,10,1,1,1,2, , ,4,1,1,2,2,2,2,2,1,1,1, , , ,3,4,2,2,4,3,0,1,3,2,1,1,1,3,3,1,2,2,1,2,1,1,3,.76672607558491
00771,MONTREAL,H1L,H1L,13,1,1,2, , , , , , , , , , , , , , ,3, , ,2,1,2,1,4,1, ,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2, ,.91357010076408
00778,MONTREAL,H1W1X9,H1W,13,1,1,2, , , , , , , , , , , , , , ,3,2, ,4,4,1,4,4,1, ,2,9,1,2,1,1,4,3,1,3,2,2,1,2,2, ,.56147799073084
00781,MONTREAL,H2S1J3,H2S,4,1,1,1,4, , ,2,2,1,2,2,2,3,1,1,1,2, , , ,1,1,4,2,2,2,1,1,6,1,1,2,2,1,1,3,2,1,1,1,1,1,1,2.30148156975812
00791,MONTREAL,H4E2N9,H4E,5,1,1,2, , , , , , , , , , , , , , ,2, , ,2,1,4,2,4,5,3,1,6,2,1,2,2,2,1,3,2,2,1,2,1,2, ,.98007152863766
00796,MONTREAL,H4E3A9,H4E,5,1,1,2, , , , , , , , , , , , , , ,1, , ,1,1,4,1,4,3,1,2,4,1,1,2,2,1,1,3,1,2,2,1,1,2, ,2.30148156975812
00805,MONTREAL,H1Z3H3,H1Z,6,1,1,1,2, , ,2,1,2,2,2,2,1,1,1,2,1, , , ,1,1,4,1,4,9,1,1,6,2,1,2,2,1,1,3,1,2,1,2,1,1,1,2.16279574167529
00811,MONTREAL,H3W1Z4,H3W,11,1,1,2, , , , , , , , , , , , , , ,1, , ,4,4,4,4,4,2,0,1,6,1,2,2,2,4,3,3,3,2,1,1,2,2, ,.56147799073084
00815,SAINT-LEONARD,H1P2Z6,H1P,15,1,1,2, , , , , , , , , , , , , , ,5, , ,2,1,4,4,4,2,4,2,9,1,1,1,1,2,1,3,3,2,2,1,1,2, ,.91357010076408
00816,MONTREAL-NORD,H1H5N1,H1H,14,1,1,2, , , , , , , , , , , , , , ,1, , ,4,4,2,1,4,1, ,2,2,1,1,1,1,4,3,1,1,2,2,1,1,2, ,.56147799073084
00817,MONTREAL,H4A3C5,H4A,11,1,1,2, , , , , , , , , , , , , , ,1, , ,3,2,4,3,4,3,0,1,9,1,1,2,2,3,1,3,2,2,1,1,1,2, ,.81856585972332
00820,MONTREAL,H3W2Z4,H3W,11,1,1,1,2, , ,2,4,1,2,2,2,2,1,2,1,1, , , ,3,1,4,2,4,2,2,1,3,1,1,2,2,3,1,3,2,2,1,1,1,1,1,.81856585972332
00824,MONTREAL,H3H1G7,H3H,16,1,1,2, , , , , , , , , , , , , , ,4,10, ,3,4,4,1,4,3,0,2,6,2,1,2,2,3,3,3,1,2,2,2,1,2, ,.76672607558491
00829,MONTREAL,H1W3K3,H1W,13,1,1,2, , , , , , , , , , , , , , ,6,1, ,1,1,3,2,1,5,0,2,6,2,1,1,1,1,1,2,2,1,2,2,1,2, ,2.16279574167529
00834,MONTREAL,H2L3B7,H2L,16,1,1,2, , , , , , , , , , , , , , ,4, , ,3,1,2,2,4,2,0,1,3,2,1,2,2,3,1,1,2,2,1,2,1,2, ,.76672607558491
00839,MONTREAL,H1E2X7,H1E,3,1,1,2, , , , , , , , , , , , , , ,4,1, ,3,1,2,1,4,2,0,2,3,2,1,1,1,3,1,1,1,2,2,2,1,2, ,.76672607558491
00841,MONTREAL,H2H1V8,H2H,2,1,1,2, , , , , , , , , , , , , , ,4, , ,1,1,3,2,3,1, ,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2, ,2.30148156975812
00842,PIERREFONDS,H9J3L2,H9J,21,1,1,2, , , , , , , , , , , , , , ,4,5, ,2,1,4,3,4,2,0,2,6,2,2,3,3,2,1,3,2,2,2,2,2,2, ,.98007152863766
00844,LASALLE,H8R2W6,H8R,28,1,1,2, , , , , , , , , , , , , , ,14, , ,4,4,2,1,4,2,0,2,5,1,2,3,3,4,3,1,1,2,2,1,2,2, ,.56147799073084
00854,VERDUN,H4H2A4,H4H,7,1,1,1,2, , ,2,3,2,2,2,2,3,1,2,1,2, , , ,2,1,4,1,4,2,2,1,6,2,1,2,2,2,1,3,1,2,1,2,1,1,1,.98007152863766
00855,MONTREAL,H3C0B1,H3C,5,1,1,2, , , , , , , , , , , , , , ,5,4,1,1,1,4,3,3,2,1,1,6,2,1,2,2,1,1,3,2,1,1,2,1,2, ,2.16279574167529
00867,MONTREAL-NORD,H1H5B6,H1H,14,1,1,1,2, , ,2,1,2,2,2,2,1,2,2,2,2, , , ,1,1,3,1,4,5,3,1,2,2,1,1,1,1,1,2,1,2,1,2,1,1,1,2.16279574167529
00868,MONTREAL,H1Y3N2,H1Y,4,1,1,1,1, , ,2,2,2,2,2,2,1,2,2,1,2, , , ,2,1,4,1,4,2,2,1,6,1,1,2,2,2,1,3,1,2,1,1,1,1,1,.91357010076408
00873,MONTREAL,H2T2L1,H2T,2,1,1,2, , , , , , , , , , , , , , ,1, , ,2,1,2,4,4,2,0,2,2,1,1,2,2,2,1,1,3,2,2,1,1,2, ,.91357010076408
