annee,organisme,site_internet
2017,"Association québécoise des personnes aphasiques, AQPA",http://aphasie.ca
2017,"Association Sportive des Sourds du Québec, ASSQ",http://www.assq.org/
2017,"Autisme Montréal, ATEDM",http://www.autisme-montreal.com
2017,Centre communautaire Radisson,http://centreradisson.com
2017,"Centre d'intégration à la vie active, CIVA ",https://civa.qc.ca/
2017,Centre de jour Maison l'Échelon Inc.,http://maisonechelon.ca
2017,Centre polyvalent d'activités action,http://www.centreaction.org
2017,Centre Viomax,http://viomax.ca
2017,Club des AS,http://www.clubdesas.com/
2017,Compagnons de Montréal,http://www.compagnonsdemontreal.com
2017,Corporation l'Espoir,http://corporationespoir.org
2017,Espace multisoleil,http://www.espacemultisoleil.org
2017,Fondation des aveugles du Québec (F.A.Q.),http://www.fondationdesaveugles.org/
2017,Fondation Papillon,http://www.fondationpapillon.ca
2017,GymnO Montréal,http://www.gymno.org
2017,La Gang à Rambrou,http://rambrou.ca
2017,La Joie des Enfants,https://www.arrondissement.com/montreal/joiedesenfantsmontreal
2017,Olympiques spéciaux Québec (section sud-ouest de l’Ile),http://www.olympiquesspeciauxquebec.ca/
2017,Regroupement pour la Trisomie 21,https://trisomie.qc.ca/
2017,Société canadienne de la sclérose en plaques (section Montréal),https://scleroseenplaques.ca/chapter/section-montreal
2017,Théâtre Aphasique,http://www.theatreaphasique.org
2017,Troupe «Atout-cœur»,http://www.troupe-atoucoeur.fr
2017,YMCA Hochelaga Maisonneuve,(fermé)
2018,"L'ami du déficient mental, ADMI-Montréal",http://admi-montreal.org
2018,"Association d'Entraide des Personnes Handicapées Physiques de Montréal, ALPHA",http://www.alpha-montreal.com
2018,"Association de Montréal pour la déficience intellectuelle, AMDI",http://www.amdi.info
2018,"Association de développement des arts martiaux adaptés, ADAMA",https://adamacanada.org/
2018,"Association du Québec pour enfants avec problèmes auditifs – Montréal régional, AQEPA",https://aqepa.org/
2018,"Association québécoise de voile adaptée, AQVA  ",http://www.aqva.org
2018,"Association québécoise des personnes aphasiques, AQPA",http://aphasie.ca
2018,"Association Sportive des Sourds du Québec, ASSQ",http://www.assq.org/
2018,"Autisme Montréal, ATEDM",http://www.autisme-montreal.com
2018,Centre Action,http://www.centreaction.org
2018,Centre communautaire Radisson,http://centreradisson.com
2018,"Centre d'intégration à la vie active, CIVA ",https://civa.qc.ca/
2018,Centre de jour Maison l'Échelon Inc.,http://maisonechelon.ca
2018,Centre Viomax,http://viomax.ca
2018,Club des AS,http://www.clubdesas.com/
2018,Compagnons de Montréal,http://www.compagnonsdemontreal.com
2018,Corporation l'Espoir,http://corporationespoir.org
2018,Espace multisoleil,http://www.espacemultisoleil.org
2018,Fondation des aveugles du Québec (F.A.Q.),http://www.fondationdesaveugles.org/
2018,Fondation Papillon,http://www.fondationpapillon.ca
2018,GymnO Montréal,http://www.gymno.org
2018,La Gang à Rambrou,http://rambrou.ca
2018,La Joie des Enfants,https://www.arrondissement.com/montreal/joiedesenfantsmontreal
2018,Olympiques spéciaux Québec (section sud-ouest de l’Ile),http://www.olympiquesspeciauxquebec.ca/
2018,Regroupement pour la Trisomie 21,https://trisomie.qc.ca/
2018,Société canadienne de la sclérose en plaques (section Montréal),https://scleroseenplaques.ca/chapter/section-montreal
2018,Théâtre Aphasique,http://www.theatreaphasique.org
2018,YMCA Hochelaga Maisonneuve,(fermé)
2019,"L'ami du déficient mental, ADMI-Montréal",http://admi-montreal.org
2019,"Association d'Entraide des Personnes Handicapées Physiques de Montréal, ALPHA",http://www.alpha-montreal.com
2019,"Association de Montréal pour la déficience intellectuelle, AMDI",http://www.amdi.info
2019,"Association de développement des arts martiaux adaptés, ADAMA",https://adamacanada.org/
2019,"Association du Québec pour enfants avec problèmes auditifs – Montréal régional, AQEPA",https://aqepa.org/
2019,"Association québécoise de voile adaptée, AQVA  ",http://www.aqva.org
2019,"Association québécoise des personnes aphasiques, AQPA",http://aphasie.ca
2019,"Association Sportive des Sourds du Québec, ASSQ",http://www.assq.org/
2019,"Autisme Montréal, ATEDM",http://www.autisme-montreal.com
2019,Autisme sans limites,https://autismesanslimites.org/
2019,Centre Action,http://www.centreaction.org
2019,Centre communautaire Radisson,http://centreradisson.com
2019,"Centre d'intégration à la vie active, CIVA ",https://civa.qc.ca/
2019,Centre de jour Maison l'Échelon Inc.,http://maisonechelon.ca
2019,Centre Viomax,http://viomax.ca
2019,Club des AS,http://www.clubdesas.com/
2019,Compagnons de Montréal,http://www.compagnonsdemontreal.com
2019,Corporation l'Espoir,http://corporationespoir.org
2019,Espace multisoleil,http://www.espacemultisoleil.org
2019,Fondation des aveugles du Québec (F.A.Q.),http://www.fondationdesaveugles.org/
2019,Fondation Papillon,http://www.fondationpapillon.ca
2019,GymnO Montréal,http://www.gymno.org
2019,La Gang à Rambrou,http://rambrou.ca
2019,La Joie des Enfants,https://www.arrondissement.com/montreal/joiedesenfantsmontreal
2019,Olympiques spéciaux Québec (section sud-ouest de l’Ile),http://www.olympiquesspeciauxquebec.ca/
2019,Regroupement pour la Trisomie 21,https://trisomie.qc.ca/
2019,Sans Oublier le Sourire,http://www.sansoublierlesourire.org
2019,Société canadienne de la sclérose en plaques (section Montréal),https://scleroseenplaques.ca/chapter/section-montreal
2019,Théâtre Aphasique,http://www.theatreaphasique.org
2019,YMCA Hochelaga Maisonneuve,(fermé)
2020,"L'ami du déficient mental, ADMI-Montréal",http://admi-montreal.org
2020,"Association d'Entraide des Personnes Handicapées Physiques de Montréal, ALPHA",http://www.alpha-montreal.com
2020,"Association de Montréal pour la déficience intellectuelle, AMDI",http://www.amdi.info
2020,"Association des sports pour aveugles du Montréal métropolitain, ASAMM ",http://asamm.ca
2020,"Association de développement des arts martiaux adaptés, ADAMA",https://adamacanada.org/
2020,"Association du Québec pour enfants avec problèmes auditifs – Montréal régional, AQEPA",https://aqepa.org/
2020,"Association québécoise de voile adaptée, AQVA  ",http://www.aqva.org
2020,"Association québécoise des personnes aphasiques, AQPA",http://aphasie.ca
2020,"Association Sportive des Sourds du Québec, ASSQ",http://www.assq.org/
2020,"Autisme Montréal, ATEDM",http://www.autisme-montreal.com
2020,Autisme sans limites,https://autismesanslimites.org/
2020,Centre Action,http://www.centreaction.org
2020,Centre communautaire Radisson,http://centreradisson.com
2020,"Centre d'intégration à la vie active, CIVA ",https://civa.qc.ca/
2020,Centre de jour Maison l'Échelon Inc.,http://maisonechelon.ca
2020,Centre Viomax,http://viomax.ca
2020,Club des AS,http://www.clubdesas.com/
2020,Compagnons de Montréal,http://www.compagnonsdemontreal.com
2020,Corporation l'Espoir,http://corporationespoir.org
2020,Espace multisoleil,http://www.espacemultisoleil.org
2020,Fondation Papillon,http://www.fondationpapillon.ca
2020,GymnO Montréal,http://www.gymno.org
2020,La Gang à Rambrou,http://rambrou.ca
2020,La Joie des Enfants,https://www.arrondissement.com/montreal/joiedesenfantsmontreal
2020,Olympiques spéciaux Québec (section sud-ouest de l’Ile),http://www.olympiquesspeciauxquebec.ca/
2020,Regroupement pour la Trisomie 21,https://trisomie.qc.ca/
2020,Sans Oublier le Sourire,http://www.sansoublierlesourire.org
2020,Société canadienne de la sclérose en plaques (section Montréal),https://scleroseenplaques.ca/chapter/section-montreal
2020,Théâtre Aphasique,http://www.theatreaphasique.org
2020,YMCA Hochelaga Maisonneuve,(fermé)
2021,"L'ami du déficient mental, ADMI-Montréal",http://admi-montreal.org
2021,"Association d'Entraide des Personnes Handicapées Physiques de Montréal, ALPHA",http://www.alpha-montreal.com
2021,"Association de Montréal pour la déficience intellectuelle, AMDI",http://www.amdi.info
2021,"Association des sports pour aveugles du Montréal métropolitain, ASAMM ",http://asamm.ca
2021,"Association de développement des arts martiaux adaptés, ADAMA",https://adamacanada.org/
2021,"Association du Québec pour enfants avec problèmes auditifs – Montréal régional, AQEPA",https://aqepa.org/
2021,"Association québécoise de voile adaptée, AQVA  ",http://www.aqva.org
2021,"Association québécoise des personnes aphasiques, AQPA",http://aphasie.ca
2021,"Association Sportive des Sourds du Québec, ASSQ",http://www.assq.org/
2021,"Autisme Montréal, ATEDM",http://www.autisme-montreal.com
2021,Autisme sans limites,https://autismesanslimites.org/
2021,Centre Action,http://www.centreaction.org
2021,Centre communautaire Radisson,http://centreradisson.com
2021,"Centre d'intégration à la vie active, CIVA ",https://civa.qc.ca/
2021,Centre de jour Maison l'Échelon Inc.,http://maisonechelon.ca
2021,Centre Viomax,http://viomax.ca
2021,Cercle de l'amitié,http://www.friendshipcircle.ca
2021,Compagnons de Montréal,http://www.compagnonsdemontreal.com
2021,Corporation l'Espoir,http://corporationespoir.org
2021,Espace multisoleil,http://www.espacemultisoleil.org
2021,Fondation Papillon,http://www.fondationpapillon.ca
2021,GymnO Montréal,http://www.gymno.org
2021,La Gang à Rambrou,http://rambrou.ca
2021,La Joie des Enfants,https://www.arrondissement.com/montreal/joiedesenfantsmontreal
2021,Olympiques spéciaux Québec (section sud-ouest de l’Ile),http://www.olympiquesspeciauxquebec.ca/
2021,Regroupement pour la Trisomie 21,https://trisomie.qc.ca/
2021,Sans Oublier le Sourire,http://www.sansoublierlesourire.org
2021,Société canadienne de la sclérose en plaques (section Montréal),https://scleroseenplaques.ca/chapter/section-montreal
2021,Théâtre Aphasique,http://www.theatreaphasique.org
2021,Un prolongement à la Famille de Montréal,http://www.upfm.ca/
2022,"L'ami du déficient mental, ADMI-Montréal",http://admi-montreal.org
2022,"Association d'Entraide des Personnes Handicapées Physiques de Montréal, ALPHA",http://www.alpha-montreal.com
2022,"Association de Montréal pour la déficience intellectuelle, AMDI",http://www.amdi.info
2022,"Association des sports pour aveugles du Montréal métropolitain, ASAMM ",http://asamm.ca
2022,"Association du Québec pour enfants avec problèmes auditifs – Montréal régional, AQEPA",https://aqepa.org/
2022,"Association québécoise de voile adaptée, AQVA  ",http://www.aqva.org
2022,"Association québécoise des personnes aphasiques, AQPA",http://aphasie.ca
2022,"Autisme Montréal, ATEDM",http://www.autisme-montreal.com
2022,Autisme sans limites,https://autismesanslimites.org/
2022,Centre Action,http://www.centreaction.org
2022,Centre communautaire Radisson,http://centreradisson.com
2022,"Centre d'intégration à la vie active, CIVA ",https://civa.qc.ca/
2022,Centre de jour Maison l'Échelon Inc.,http://maisonechelon.ca
2022,Centre Viomax,http://viomax.ca
2022,Cercle de l'amitié,http://www.friendshipcircle.ca
2022,Compagnons de Montréal,http://www.compagnonsdemontreal.com
2022,Corporation l'Espoir,http://corporationespoir.org
2022,Espace multisoleil,http://www.espacemultisoleil.org
2022,Fondation Papillon,http://www.fondationpapillon.ca
2022,GymnO Montréal,http://www.gymno.org
2022,La Gang à Rambrou,http://rambrou.ca
2022,La Joie des Enfants,https://www.arrondissement.com/montreal/joiedesenfantsmontreal
2022,Olympiques spéciaux Québec (section sud-ouest de l’Ile),http://www.olympiquesspeciauxquebec.ca/
2022,Regroupement pour la Trisomie 21,https://trisomie.qc.ca/
2022,Sans Oublier le Sourire,http://www.sansoublierlesourire.org
2022,Société canadienne de la sclérose en plaques (section Montréal),https://scleroseenplaques.ca/chapter/section-montreal
2022,Théâtre Aphasique,http://www.theatreaphasique.org
2022,Un prolongement à la Famille de Montréal,http://www.upfm.ca/
2023,ADMI inc.,http://admi-montreal.org
2023,Association d'Entraide des Personnes Handicapées Physiques de Montréal (ALPHA),http://www.alpha-montreal.com
2023,Association de Montréal pour la déficience intellectuelle,http://www.amdi.info
2023,Association des sports pour aveugles du Montréal métropolitain inc.,http://asamm.ca
2023,Association du Québec pour enfants avec problèmes auditifs - Montréal Régional,https://aqepa.org/
2023,Association québécoise de voile adaptée (A.Q.V.A.),http://www.aqva.org
2023,Association québécoise des personnes aphasiques,http://aphasie.ca
2023,Autisme Montréal,http://www.autisme-montreal.com
2023,Autisme sans limites,https://autismesanslimites.org/
2023,Centre Action,http://www.centreaction.org
2023,Centre communautaire Radisson inc.,http://centreradisson.com
2023,Centre d'intégration à la vie active pour les personnes vivant avec un handicap physique,https://civa.qc.ca/
2023,Cercle de l’amitié du Québec,http://www.friendshipcircle.ca
2023,Compagnons de Montréal,http://www.compagnonsdemontreal.com
2023,Corporation l’Espoir,http://corporationespoir.org
2023,Espace Multisoleil,http://www.espacemultisoleil.org
2023,Fondation Papillon,http://www.fondationpapillon.ca
2023,GymnO Montréal,http://www.gymno.org
2023,La Gang à Rambrou,http://rambrou.ca
2023,La joie des enfants (Montréal) inc.,https://www.arrondissement.com/montreal/joiedesenfantsmontreal
2023,Le centre Viomax,http://viomax.ca
2023,Le regroupement pour la trisomie 21,https://trisomie.qc.ca/
2023,Maison l'Échelon Inc.,http://maisonechelon.ca
2023,Olympiques spéciaux Québec (section sud-ouest de l’Ile),https://www.olympiquesspeciauxquebec.ca/fr/sections-locales
2023,Parrainage Civique Les Marronniers,https://www.jumeleurs.ca
2023,Sans Oublier le Sourire,http://www.sansoublierlesourire.org
2023,Société canadienne de la sclérose en plaques (section Montréal),https://scleroseenplaques.ca/
2023,Théâtre Aphasique,http://www.theatreaphasique.org
2023,Un prolongement à la Famille de Montréal,http://www.upfm.ca/qui-sommes-nous
