"date","contractant","nature","montant","no-reference"
"2012-01-11","SHERATON LAVAL","Service de rÃ©ception","11515,88",""
"2012-01-11","LIBRAIRIE CARCAJOU","Volumes","1793,5",""
"2012-01-11","LIBRAIRIE IMAGINE","Volumes","2673,75",""
"2012-01-11","COMPLEXE MULTI SPORTS DE LAVAL INC","Location de plateaux sportifs","10000,44",""
"2012-01-11","REPARATIONS MOTEURS ELECTRIQUES TROIS ETOILES INC","Entretien des Ã©quipements","6450",""
"2012-01-11","TECHNO FEU INC","Entretien d'Ã©quipements","2857,96",""
"2012-01-11","BELL CANADA","Entretien d'Ã©quipements","2682",""
"2012-01-11","BELL CANADA","Entretien d'Ã©quipements","10317,33",""
"2012-01-11","BELL CANADA","Entretien d'Ã©quipements","21944,03",""
"2012-01-11","CORP DE LA SALLE ANDRE MATHIEU","Location de locaux","2200",""
"2012-01-11","CORP DE LA SALLE ANDRE MATHIEU","Location de locaux","4000",""
"2012-01-11","ENTREPRISES GASPARD INC","Travaux d'aqueduc","1952953,7",""
"2012-01-11","ENTREPRISES GASPARD INC","Travaux d'aqueduc","2076371,5",""
"2012-01-11","GROUPE QUALITAS INC","Services de laboratoire","34935,94",""
"2012-01-11","GROUPE QUALITAS INC","Services de laboratoire","35550,31",""
"2012-01-11","L V M INC","Services de laboratoire","45626",""
"2012-01-11","M L C ASSOCIES.","Surveillance des travaux","16255,85",""
"2012-01-11","M L C ASSOCIES.","Surveillance des travaux","16807,98",""
"2012-01-11","M L C ASSOCIES.","Plans et devis","78400",""
"2012-01-11","NATURE ACTION QUEBEC","Services professionnels","9818",""
"2012-01-11","NATURE ACTION QUEBEC","Services professionnels","9818",""
"2012-01-11","NATURE ACTION QUEBEC","Services professionnels","11318",""
"2012-01-11 13:54:41","LOCATION IDEAL C H LTEE","Ãquipements et outillages","4081,71",""
"2012-01-12","COUREURS DE BOISES VIMONT AUTEUIL","Subvention","12000",""
"2012-01-12","CAPITALE ASSURANCES GENERALES","RÃ©clamation","6137,27",""
"2012-01-12","S O F I Q","Formation","9060",""
"2012-01-12","LITHOSOL INC","Impression de publication","5195",""
"2012-01-12","LITHOSOL INC","Impression de publication","3840",""
"2012-01-12","BOUTIQUE DU PLONGEUR LTEE","Ãquipements","5053,43",""
"2012-01-12","CENTRE INTERPRETATION BIOSCIENCES ARMAND FRAPPIER","Subvention","75000",""
"2012-01-12","FILIATRAULT MC NEIL ET ASSOCIES INC","Honoraires professionnels","5764,77",""
"2012-01-12","BERGER BLANC INC","Cueillette d'animaux errants","19836,15",""
"2012-01-12","EQUATION GROUPE CONSEIL","Honoraires professionnels","16000",""
"2012-01-12","SOC CAN DES POSTES","Services de messagerie","6724,97",""
"2012-01-12","AECOM CONSULTANTS INC","Honoraires professionnels","992771,79",""
"2012-01-12","ANETI INC","Services  professionnels","90450",""
"2012-01-12","CORP DE LA SALLE ANDRE MATHIEU","Services administratifs","12000",""
"2012-01-12","CORP DE LA SALLE ANDRE MATHIEU","Services administratifs","571622,76",""
"2012-01-12","ECOLE NATIONALE DE POLICE DU QUEBEC","Formation","4870",""
"2012-01-12","LOUISBOURG S B C S E C DIVISION SIMARD BEAUDRY CONSTRUCTION","Travaux de rÃ©novation","27346425",""
"2012-01-12","MEDIAS TRANSCONTINENTAL S E N C","PublicitÃ©","2995",""
"2012-01-12","MEDIAS TRANSCONTINENTAL S E N C","PublicitÃ©","4570",""
"2012-01-12","MEDIAS TRANSCONTINENTAL S E N C","PublicitÃ©","8995",""
"2012-01-12","PARIZEAU BERNARD DR","Services professionnels","40600",""
"2012-01-12","TECHNI DATA PERFORMANCE INC","Formation","20000",""
"2012-01-13","ELECTROMEGA LTEE","Ãquipement de signalisation","4120",""
"2012-01-13","JOHN MEUNIER INC","Ãquipements","3118,5",""
"2012-01-13","LIBRAIRIE RENAUD BRAY","Volumes","2050,05",""
"2012-01-13","LIBRAIRIE RENAUD BRAY","Volumes","2055,55",""
"2012-01-13","LIBRAIRIE RENAUD BRAY","Volumes","2707,69",""
"2012-01-13","LIBRAIRIE RENAUD BRAY","Volumes","2095,45",""
"2012-01-13","HANSON CONDUITE SOUS PRESSION INC","RÃ©paration d'Ã©quipement","9468",""
"2012-01-13","MEDIAS TRANSCONTINENTAL S E N C","Publication d'avis public","2537,16",""
"2012-01-16","SOC DE L ASSURANCE AUTOMOBILE DU QUEBEC","Immatriculation","2828,8",""
"2012-01-17","LAFERRIERE ET GRAVEL","Honoraires professionnels","2000",""
"2012-01-17","ACKLANDS GRAINGER INC","Produits chimiques","20000",""
"2012-01-17","NOUVELLE TECHNOLOGIE TEKNO INC","Ãquipements","8415",""
"2012-01-17","A A F INTERNATIONAL","Produits chimiques","65520",""
"2012-01-18","ASCENSEUR ELEVAPRO INC","Entretien des bÃ¢timents","3610",""
"2012-01-18","CIE DE CHEMIN DE FER CANADIEN PACIFIQUE","Entretien du rÃ©seau routier","2001,72",""
"2012-01-18","CIE DE CHEMIN DE FER CANADIEN PACIFIQUE","Entretien du rÃ©seau routier","2001,72",""
"2012-01-18","SAULNIER ROBILLARD LORTIE HUISSIERS DE JUSTICE INC","Huissier","7270,24",""
"2012-01-18","COMM SCOL SIR WILFRID LAURIER","Location de locaux et Ã©quipements","15979,81",""
"2012-01-18","SOFTCHOICE CORPORATION","Ãquipements informatiques","3597,04",""
"2012-01-18","COLLEGE LAVAL","Location de salle","3047,25",""
"2012-01-18","J DUFRESNE ASPHALTE LTEE","Location de matÃ©riel roulant","5399,05",""
"2012-01-18","RELIANCE PROTECTRON INC","Surveillance Ã©lectronique","3381",""
"2012-01-18","SERVICE D ENTRETIEN PERFORM NET","Entretien des bÃ¢timents","4714",""
"2012-01-18","SERVICE D ENTRETIEN PERFORM NET","Entretien des bÃ¢timents","6856,85",""
"2012-01-18","TELUS MOBILITE","TÃ©lÃ©phonie","2788,76",""
"2012-01-18","AURELE COTE INC","DÃ©neigement","5332",""
"2012-01-18","HANSON CONDUITE SOUS PRESSION INC","RÃ©paration d'Ã©quipement","3570",""
"2012-01-18","C A C ENTREPRENEUR ELECTRICIEN INC","Travaux Ã©lectriques","2849,69",""
"2012-01-18","GLOBOCAM","Entretien du matÃ©riel de roulant","4665,78",""
"2012-01-18","GLOBOCAM","PiÃ¨ces","4231,96",""
"2012-01-18","HYDRO QUEBEC","ÃlectricitÃ©","8176,48",""
"2012-01-18","HYDRO QUEBEC","ÃlectricitÃ©","9187,04",""
"2012-01-18","HYDRO QUEBEC","ÃlectricitÃ©","2355,13",""
"2012-01-18","HYDRO QUEBEC","ÃlectricitÃ©","3101,25",""
"2012-01-18","COMM SCOL DE LAVAL","Location de locaux et Ã©quipements","32945,86",""
"2012-01-18","COMM SCOL DE LAVAL","Location de locaux et Ã©quipements","51752,23",""
"2012-01-18","COMM SCOL DE LAVAL","Location de locaux et Ã©quipements","103737,59",""
"2012-01-18","COMM SCOL DE LAVAL","Location de locaux et Ã©quipements","175780,09",""
"2012-01-18","D ANNESSA GIUSEPPE","Terrain","450000",""
"2012-01-18","FRASER SYLVIE","Åuvre d'art","52632",""
"2012-01-18","INTER CEL RADIO MOBILE INC","Entretien d'Ã©quipements","82857,12",""
"2012-01-18","TECHNI DATA PERFORMANCE INC","Formation","21700",""
"2012-01-18","V SPEC TECHNO INC","AmÃ©nagement de matÃ©riel de transport","3723,74",""
"2012-01-18 10:25:45","LOCATION IDEAL C H LTEE","Ãquipements et outillages","7649,41",""
"2012-01-19","JASMIN ET PIRRO HUISSIERS DE JUSTICE","Huissier","5801,91",""
"2012-01-19","BIBLIO R P L LTEE","Fournitures de bibliothÃ¨que","4560",""
"2012-01-19","LITHOSOL INC","Impression de publication","3390",""
"2012-01-19","COMPLEXE MULTI SPORTS DE LAVAL INC","Location de plateaux sportifs","5517",""
"2012-01-19","SERVICE D ENTRETIEN PERFORM NET","Entretien des bÃ¢timents","4714",""
"2012-01-19","AURELE COTE INC","Location matÃ©riel","13184,765",""
"2012-01-19","SERV DOCUMENTAIRES MULTIMEDIA INC","Frais d'accÃ¨s","2236",""
"2012-01-19","SERVICES E X P INC","Honoraires professionnels","8900",""
"2012-01-19","GENIVAR INC","Honoraires professionnels","10750",""
"2012-01-19","AMTECH","AmÃ©nagement de matÃ©riel de transport","49256",""
"2012-01-19","ASPHALTE BETON CARRIERES RIVE NORD INC","Travaux de trottoirs et bordures","313500",""
"2012-01-19","ASPHALTE BETON CARRIERES RIVE NORD INC","Travaux de trottoirs et bordures","372990",""
"2012-01-19","CIMA+ S E N C","Honoraires professionnels","2942,2",""
"2012-01-19","CIMENTS LAVALLEE LTEE","Travaux de trottoirs et bordures","394120",""
"2012-01-19","EQUIPE ROCHON INC","Entretien de terrains de jeux","50572",""
"2012-01-19","MATRICIS INFORMATIQUE INC","Mise Ã  jour logiciel informatique","31556,25",""
"2012-01-19","V SPEC TECHNO INC","AmÃ©nagement de matÃ©riel de transport","81354",""
"2012-01-19 15:11:22","URBANIMMERSIVE INC","Promotion","21000",""
"2012-01-20","CHAPITEAUX LAVAL INC","Location de chapiteaux","8500",""
"2012-01-20","H Q DISTRIBUTION INC","Entretien des Ã©quipements","6100",""
"2012-01-20","AREO FEU LTEE","Entretien d'Ã©quipements","2910",""
"2012-01-20","INTER CEL RADIO MOBILE INC","Ãquipements","4088,72",""
"2012-01-23","ELECTRONIQUE SECURITE THOMAS LTEE","FusÃ©es routiÃ¨res","3960",""
"2012-01-23","BLEU PELICAN STE THERESE","Location matÃ©riel spÃ©cialisÃ©","2905,4",""
"2012-01-23","IMPRIMES ADMINISTRATIFS CONTINUUM LTEE","Services de messagerie","3862,09",""
"2012-01-23","QUENNEVILLE LOUIS","Services administratifs","2500",""
"2012-01-23","SERV ET CONSTRUCTION MOBILE LTEE","Entretien des Ã©quipements","3576",""
"2012-01-23","VILLE DE MONTREAL","Entretien des trottoirs","5250",""
"2012-01-23","LIBRAIRIE IMAGINE","Volumes","3145,83",""
"2012-01-23","CUBEX LTEE","Location de matÃ©riel spÃ©cialisÃ©","3950,88",""
"2012-01-23","MECANIQUE R H","Entretien des bÃ¢timents","3894",""
"2012-01-23","TOURISME LAVAL","PublicitÃ©","2490",""
"2012-01-23","J DUFRESNE ASPHALTE LTEE","Location de matÃ©riel roulant","2349,6",""
"2012-01-23","IMPRIMERIE V D L 1980 INC","Service d'impression","2065",""
"2012-01-23","POLY EXCAVATION INC","Travaux de rÃ©habilitation","5736,17",""
"2012-01-23","C A C ENTREPRENEUR ELECTRICIEN INC","Travaux Ã©lectriques","6720",""
"2012-01-23","TECHNO FEU INC","Entretien d'Ã©quipements","2553,63",""
"2012-01-23","NEPCON INC","Location de matÃ©riel spÃ©cialisÃ© ","5913,6",""
"2012-01-23","BELL MOBILITE","Location d'Ã©quipements","2183,67",""
"2012-01-23","BELL MOBILITE","Ãquipements","3585",""
"2012-01-23","ECO NATURE","ActivitÃ©s culturelles","2448",""
"2012-01-23","MEDIAS TRANSCONTINENTAL S E N C","PublicitÃ©","4550",""
"2012-01-23","RAYMOND CHABOT RESSOURCES HUMAINES INC","Services  professionnels","4000",""
"2012-01-23 15:28:55","LOCATION IDEAL C H LTEE","Ãquipements et outillages","4037,71",""
"2012-01-24","TRUDEL NADEAU AVOCATS","Honoraires professionnels","7000",""
"2012-01-24","LEROUX BEAUDOIN HURENS ET ASSOCIES","Honoraires professionnels","22900",""
"2012-01-24","TASSIMCO TECHNOLOGIES","Produits pour signalisation routiÃ¨re","4320",""
"2012-01-24","JODOIN LAREAU INC","Honoraires professionnels","10728",""
"2012-01-24","SECURMAX","Ãquipements","2742,46",""
"2012-01-24","TELUS MOBILITE","Ãquipements","2198",""
"2012-01-24","TRANE CANADA T42324C","Produits chimiques","3410",""
"2012-01-24","GLOBOCAM","Entretien du matÃ©riel roulant","12938,79",""
"2012-01-24","AMTECH","AmÃ©nagement de matÃ©riel de transport","3984,32",""
"2012-01-24","AMTECH","AmÃ©nagement de matÃ©riel de transport","15710",""
"2012-01-24","B P R TRIAX","Honoraires professionnels","37000",""
"2012-01-24","BISSON FORTIN ET ASSOCIES ARCHITECTES","Honoraires professionnels","15400",""
"2012-01-24","BISSON FORTIN ET ASSOCIES ARCHITECTES","Honoraires professionnels","23600",""
"2012-01-24","CENTRES D ADOPTIONS D ANIMAUX DE CIE DU QUEBEC","Services administratifs","29400",""
"2012-01-24","CIMA+ S E N C","Honoraires professionnels","250000",""
"2012-01-24","COMM SCOL DE LAVAL","Location de locaux et Ã©quipements","114966,2",""
"2012-01-24","CONSULTANTS S M INC","Honoraires professionnels","107000",""
"2012-01-24","CONSULTANTS S M INC","Honoraires professionnels","344000",""
"2012-01-24","ECOLE NATIONALE DE POLICE DU QUEBEC","Formation","2813",""
"2012-01-24","ECOLE NATIONALE DE POLICE DU QUEBEC","Contribution","539514",""
"2012-01-24","GROUPE QUALITAS INC","Services de laboratoire","31200",""
"2012-01-24","L V M INC","Services de laboratoire","8959",""
"2012-01-24","L V M INC","Services de laboratoire","33300",""
"2012-01-24","L V M INC","Services de laboratoire","47500",""
"2012-01-24","RAYMOND CHABOT RESSOURCES HUMAINES INC","Services  professionnels","2800",""
"2012-01-25","ENTREPRISES SABATINO INC","Location de matÃ©riel spÃ©cialisÃ© ","3278",""
"2012-01-25","LOUIS GARNEAU SPORTS INC","VÃªtements","1870",""
"2012-01-25","HEWITT EQUIPEMENT LTEE","Entretien et rÃ©paration du matÃ©riel spÃ©cialisÃ©","3989,79",""
"2012-01-25","BELL MOBILITE","TÃ©lÃ©phonie","9291,47",""
"2012-01-25","BELL MOBILITE","Location d'Ã©quipements","33705,59",""
"2012-01-25","ECOLE DES HAUTES ETUDES COMMERCIALES","Formation","16525",""
"2012-01-25","GROUPE QUALITAS INC","Services de laboratoire","3754,3",""
"2012-01-25","MIN DES FINANCES DU QUEBEC","Commissaire Ã  la dÃ©ontologie","30000",""
"2012-01-25","PRATTE MORRISSETTE INC","Assurances","814629,08",""
"2012-01-25","RAYMOND CHABOT RESSOURCES HUMAINES INC","Services  professionnels","21300",""
"2012-01-26","FILIATRAULT MC NEIL ET ASSOCIES INC","Honoraires professionnels","10000",""
"2012-01-26","SECURITE NATIONALE COMPAGNIE D ASSURANCE","RÃ©clamation","48000",""
"2012-01-27","BELL MOBILITE","Ãquipements","3049,64",""
"2012-01-27","LOUISBOURG S B C S E C DIVISION SIMARD BEAUDRY CONSTRUCTION","Pierre concassÃ©e ","818054,19",""
"2012-01-27","SECURITE DES DEUX RIVES LTEE","Services de gardiennage","209632",""
"2012-01-30","TELEVISION REGIONALE DE LAVAL","Location de locaux","15000",""
"2012-01-30","QUENNEVILLE LOUIS","Ãquipements","2260",""
"2012-01-30","LITHOSOL INC","Impression de publication","3985",""
"2012-01-30","COSMODOME","Subvention","210000",""
"2012-01-30","LAVOIE PIERRE NOTAIRE","Honoraires professionnels","2500",""
"2012-01-30","AREO FEU LTEE","MatÃ©riel de transport","172950",""
"2012-01-30","ECO NATURE","Subvention","347800",""
"2012-01-30","FED CAN DES MUNICIPALITES","Cotisation","48800,23",""
"2012-01-30","GROUPE QUALITAS INC","Services de laboratoire","3100",""
"2012-01-30","MARC ROUSSEAU LTEE","MatÃ©riaux de construction","40000",""
"2012-01-30","MEDIAS TRANSCONTINENTAL S E N C","PublicitÃ©","5940",""
"2012-01-30","ORACLE CORPORATION CANADA INC","Entretien de l'Ã©quipement informatique","30072,75",""
"2012-01-30","ORACLE CORPORATION CANADA INC","Entretien de l'Ã©quipement informatique","39542,84",""
"2012-01-30","ORACLE CORPORATION CANADA INC","Entretien de l'Ã©quipement informatique","64193,64",""
"2012-01-30","PANGEN DEVELOPMENT LTD","Terrain","178110",""
"2012-01-30","PLANIA INC","Services professionnels","42397,28",""
"2012-01-30","PRATTE MORRISSETTE INC","Assurances","60000",""
"2012-01-30","UNION DES MUNICIPALITES DU QUEBEC","Cotisation","195864,71",""
"2012-01-31","ENTREPRISES JEAN YVES FOURNIER INC","Entretien outils et Ã©quipements","3292,08",""
"2012-01-31","ENTREPRISES JEAN YVES FOURNIER INC","Ãquipements et outillages","3600",""
"2012-01-31","ROBERT LAPOINTE TRANSPORT INC","Cession terrain ","5963,49",""
"2012-01-31","DATAMARK SYSTEMS INC","Services d'impression","2874,96",""
"2012-01-31","DATAMARK SYSTEMS INC","Services d'impression","2874,96",""
"2012-01-31","FONDS D INFORMATION  SUR LE TERRITOIRE","Frais d'accÃ¨s","3544",""
"2012-01-31","HEWITT EQUIPEMENT LTEE","Entretien et rÃ©paration du matÃ©riel spÃ©cialisÃ©","2111,32",""
"2012-01-31","MECANIQUE R H","Entretien des bÃ¢timents","2282,17",""
"2012-01-31","FILIATRAULT MC NEIL ET ASSOCIES INC","Honoraires professionnels","7500",""
"2012-01-31","PROULX GESTION CONSEILS","Honoraires professionnels","21500",""
"2012-01-31","LAVALLEE ET FRERES (1959) LTEE","Location de matÃ©riel de transport","4200",""
"2012-01-31","SOLUTIONS ZOOM INC","Ameublement","2697",""
"2012-01-31","AECOM TECSULT INC","Surveillance des travaux","28000",""
"2012-01-31","BELANGER SAUVE EN FIDEICOMMIS","RÃ©clamation","90000",""
"2012-01-31","BELL CANADA","TÃ©lÃ©phonie","2744,14",""
"2012-01-31","BELL CANADA","TÃ©lÃ©phonie","6653,6",""
"2012-01-31","CIMA+ S E N C","Honoraires professionnels","11264,33",""
"2012-01-31","ECOLE DES HAUTES ETUDES COMMERCIALES","Formation","28350",""
"2012-01-31","ECOLE DES HAUTES ETUDES COMMERCIALES","Formation","32100",""
"2012-01-31","GROUPE QUALITAS INC","Services de laboratoire","4800",""
"2012-01-31","GROUPE QUALITAS INC","Services de laboratoire","79400,86",""
"2012-01-31","L V M INC","Services de laboratoire","6100",""
"2012-01-31","MARC ROUSSEAU LTEE","MatÃ©riaux de construction","98234,18",""
"2012-01-31","VERDI CONSTRUCTION LTEE","Travaux de rÃ©novation","625600",""
"2012-02-01","RESEAU ENVIRONNEMENT","Services administratifs","2817",""
"2012-02-01","SOLUTIONS CONSORTECH INC","Services informatiques","19380",""
"2012-02-01","R P M TECH INC","Entretien d'Ã©quipements","115318,12",""
"2012-02-01","TECHNO FEU INC","Entretien d'Ã©quipements","10812,21",""
"2012-02-01","TELE RECHARGE","Timbres","30000",""
"2012-02-01","HYDRO QUEBEC","ÃlectricitÃ©","2225,3",""
"2012-02-01","HYDRO QUEBEC","ÃlectricitÃ©","2101,15",""
"2012-02-01","HYDRO QUEBEC","ÃlectricitÃ©","2217,92",""
"2012-02-02","DEMIX AGREGATS","Pierre","4247,0424",""
"2012-02-02","MICHEL GOHIER LTEE","PiÃ¨ces","2548,6",""
"2012-02-02","BERGER BLANC INC","Cueillette d'animaux errants","20000",""
"2012-02-02","CHAUSSURES BELMONT INC","Chaussures","10000",""
"2012-02-02","NEWALTA","Collecte et Ã©limination des RDD","126666,26",""
"2012-02-03","JACQUES OLIVIER FORD INC","MatÃ©riel roulant","28998",""
"2012-02-03","P E BOISVERT AUTO LTEE","MatÃ©riel roulant","209616",""
"2012-02-03","ST RAYMOND CHRYSLER DODGE JEEP 2010","MatÃ©riel roulant","164514",""
"2012-02-06","ENTREPRISES NADEAU INC","Location matÃ©riel spÃ©cialisÃ©","2085,33",""
"2012-02-06","HANSON CONDUITE SOUS PRESSION INC","RÃ©paration d'Ã©quipement","2325",""
"2012-02-06","CHAUSSURES BELMONT INC","Chaussures","100077",""
"2012-02-06","GLOBOCAM","PiÃ¨ces","3232,86",""
"2012-02-06","GLOBOCAM","PiÃ¨ces","3716,79",""
"2012-02-06","HYDRO QUEBEC","ÃlectricitÃ©","2476,87",""
"2012-02-06","SOC CAN DES POSTES","Services de messagerie","17562,43",""
"2012-02-06","SOLUTIONS ZOOM INC","Ameublement","2529,76",""
"2012-02-06","WAJAX SYSTEMES DE PUISSANCE","Entretien d'Ã©quipements","48518,24",""
"2012-02-07","JASMIN ET PIRRO HUISSIERS DE JUSTICE","Huissier","1949,73",""
"2012-02-07","CONSTRUCTION INFRANOR INC","Location de matÃ©riel spÃ©cialisÃ© ","8057,93",""
"2012-02-07","QUENNEVILLE LOUIS","Ãquipements","2520,39",""
"2012-02-07","BELL CANADA","Entretien d'Ã©quipements","12432",""
"2012-02-07","BELL MOBILITE","TÃ©lÃ©phonie","8840,15",""
"2012-02-07","COMMUNAUTE METROPOLITAINE DE MONTREAL","Contribution","6952186,61",""
"2012-02-07","INTER CEL RADIO MOBILE INC","Entretien d'Ã©quipements","3871,25",""
"2012-02-07","LAVAL TECHNOPOLE","Subvention","4820000",""
"2012-02-07","SOC DE TRANSPORT DE VILLE DE LAVAL","Contribution","55550000",""
"2012-02-07","GAZ METROPOLITAIN","Gaz naturel","3806,15",""
"2012-02-07","GAZ METROPOLITAIN","Gaz naturel","4061,53",""
"2012-02-07","GAZ METROPOLITAIN","Gaz naturel","4447,48",""
"2012-02-07","GAZ METROPOLITAIN","Gaz naturel","7185,78",""
"2012-02-07","GAZ METROPOLITAIN","Gaz naturel","7349,8",""
"2012-02-07","GAZ METROPOLITAIN","Gaz naturel","8662,43",""
"2012-02-07","HYDRO QUEBEC","ÃlectricitÃ©","19034,06",""
"2012-02-07","HYDRO QUEBEC","ÃlectricitÃ©","148101,65",""
"2012-02-07","HYDRO QUEBEC","ÃlectricitÃ©","3067,28",""
"2012-02-07","HYDRO QUEBEC","ÃlectricitÃ©","2679,66",""
"2012-02-07","HYDRO QUEBEC","ÃlectricitÃ©","162521,13",""
"2012-02-07","HYDRO QUEBEC","ÃlectricitÃ©","16513,37",""
"2012-02-07","HYDRO QUEBEC","ÃlectricitÃ©","78663,07",""
"2012-02-07","HYDRO QUEBEC","ÃlectricitÃ©","26032,58",""
"2012-02-07","HYDRO QUEBEC","ÃlectricitÃ©","89497,51",""
"2012-02-07","HYDRO QUEBEC","ÃlectricitÃ©","51255,23",""
"2012-02-07","HYDRO QUEBEC","ÃlectricitÃ©","82964,83",""
"2012-02-07","HYDRO QUEBEC","ÃlectricitÃ©","39742,78",""
"2012-02-07","HYDRO QUEBEC","ÃlectricitÃ©","26683,21",""
"2012-02-07","HYDRO QUEBEC","ÃlectricitÃ©","44118,51",""
"2012-02-07","HYDRO QUEBEC","ÃlectricitÃ©","2472,67",""
"2012-02-07 17:13:19","LOCATION IDEAL C H LTEE","Ãquipements et outillages","2795,1",""
"2012-02-08","CIE DE CHEMIN DE FER CANADIEN PACIFIQUE","Entretien du rÃ©seau routier","2001,72",""
"2012-02-08","AQUAREHAB EAU POTABLE INC","Travaux d'excavation","3400",""
"2012-02-08","CENTRE D EXPERTISE ET DE RECHERCHE EN INFRASTRUCTURES URBAINES","Cotisation","13230",""
"2012-02-08","FONDS D INFORMATION  SUR LE TERRITOIRE","Frais d'accÃ¨s","2112",""
"2012-02-08","Q R X TECHNOLOGY GROUP","Fournitures de bureau","5344,89",""
"2012-02-08","SOFTCHOICE CORPORATION","Ãquipements informatiques","5072,3",""
"2012-02-08","GASTON CONTANT INC","DÃ©neigement","2191,14",""
"2012-02-08","GASTON CONTANT INC","DÃ©neigement","2191,14",""
"2012-02-08","GESTION ACHATS RAM INC","Fournitures de bureau","4207,23",""
"2012-02-08","TELUS MOBILITE","TÃ©lÃ©phonie","3183,11",""
"2012-02-08","DUFRESNE HEBERT COMEAU AVOCATS","Honoraires professionnels","21500",""
"2012-02-08","BELL CANADA","Ãquipements","3304,86",""
"2012-02-08","ECOLE NATIONALE DE POLICE DU QUEBEC","Formation","2212",""
"2012-02-08","ECOLE NATIONALE DE POLICE DU QUEBEC","Formation","2234",""
"2012-02-08","FONDATION MONTMORENCY","Subvention","50000",""
"2012-02-08","GLOBOCAM","PiÃ¨ces","3390,95",""
"2012-02-08","GLOBOCAM","PiÃ¨ces","4323,55",""
"2012-02-08","GLOBOCAM","PiÃ¨ces","3882,25",""
"2012-02-08","HARPAGON THEATRE","Subvention","25000",""
"2012-02-08","LAROSE ET FILS LTEE","Produits de nettoyage","450000",""
"2012-02-08","LAROSE ET FILS LTEE","Produits de nettoyage","50000",""
