,,,,,,,,,,,,
"Organisme Arrondissement CDN-NDG","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
"À deux mains/ Head & Hands","www.headandhands.ca","5833 Sherbrooke Ouest",,,,,"X",,,,,
"Centre communautaire NDG","www.ccndg.org","3757 Prud'Homme",,,,,"X",,,,,
"Centre Communautaire Mountain Sights",,"7802 ave. Mountain Sights",,,,,,,,,,
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement île Bizard Sainte-Geneviève","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique","Arts urbains"
"Jeunes Artisans","https://www.facebook.com/jeunes.artisans","490 montée de l'Église",,,,,,,,"X",,"X"
"Société patrimoine et histoire de l'île Bizard et Sainte-Geneviève","www.sphib-sg.org","13 rue Chauret Sainte-Geneviève",,,,,"X",,,,,
"Cercle de fermières L'Île-Bizard","http://cfq-ile-bizard.blogspot.ca/","490 montée de l’Église L'Île-Bizard","H9C 1G9",,,,,,,"X",,"X"
"AJOI","www.ajoi.info/","15632 boulevard Gouin O - Ste-Geneviève - Québec H9H 1C4",,,,,"X",,,,,
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement Lachine","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique","arts urbains"
"Atelier de verre de Lachine","http://www.atelierdeverredelachine.com/","2901 boulevard St-Joseph Lachine","H8S 4B7",,,,,,,"X",,
"Société d'arts visuels en direct inc. (La)","N/A","3130 Sherbrooke",,,,,"X",,,,,
"Ecole de Danse Nicola","www.ecolededansenicola.com","183 rue des Erable",,,,,,,"X",,,
"Émail sur cuivre","N/A","60 Avenue Duranceau",,,,,,,,,,"X"
"L'Oreille Musclée ; École de chant et de musique populaire","loreillemusclee.com","516 19e avenue Lachine Qc. ","H8S 3S5",,,,,,,,"X",
"Club Vision Photo de Lachine","http://www.clubvisionphoto.com/","800 rue Sherbrooke Lachine ","H6T 2E3 ",,,"X",,,,,,
"l'Académie de danse classique",,"2901 boul.Saint-Joseph Lachine",,,,,,,"X",,,
"Chœur Ambiance","www.choeurambiance.org","2901 boulevard Saint-Joseph Lachine QC",,,,,,,,,"X",
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement Lasalle","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
"Association musicale de LaSalle","n/a",,,,,,,,,,"X",
"Centre Action","www.centreaction.org","2214 Dollard LaSalle QC ","H8N 1S6",,,,"X",,,,,
"Centre culturel et communautaire Henri-Lemieux","www.ccchl.ca","7644 rue Edouard Lasalle",,,,,"X",,,,,
"Guilde des tisserands de LaSalle",,"55 ave Dupras Salle 403 LaSalle",,,,,"X",,,,,
"L'Avant-Scène de LaSalle","www.theatrelavantscene.com","55 Av Dupras LaSalle QC ","H8R 4A8",,,"X",,,,,,
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement Mercier-Hochelaga-M","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
"Loisirs Saint-Clément","http://stclement.ca.cx/","4711 Ste-Catherine",,,,,,,"X",,,
"Service de loisirs St-Fabien","http://www.loisirsstfabien.com/","5005 rue Duquesne",,,,,"X",,,,,
"École de percussions Samajam","http://www.samajam.com","2030 boul. Pie-IX bureau 212.1","H1V 2C8",,,,,,"X",,"X",
"La Maison des Familles de Mercier-Est","www.maisondesfamilles.ca","700 Georges-Bizet",,,,,"X",,,,,
"Fédération des associations musicales du Québec","www.famq.org","4545 av. Pierre-de-Coubertin Montréal (Québec) H1V 0B2",,,,,,,,,"X",
"Centre communautaire Hochelaga","cchochelaga.org","1884 rue Saint-Germain",,,,,"X",,,,,
"les Loisirs de Longue-Pointe","www.loisirslonguepointe.com","8695 rue Hochelaga  bureau 201",,,,,,,,,"X",
"CCSE Maisonneuve","www.ccse.ca","4375 Ontario Est",,,,,"X",,,,,
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement Montréal-Nord","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
"Artistes en arts visuels du nord de Montréal: AAVNM","http://aavnm.blogspot.ca/","3440 Fleury est Montréal-Nord",,,,,"X",,,,,
"Association de Place Normadie",,"01-6328 avenue Chartrand",,,,,,,,,,
"Organisme ","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
"Outremont en famille","http://outremontenfamille.com/","999 McEachran",,,,,"X",,,,,
"Casteliers","www.casteliers.ca","999 McEachran",,,"X",,,,,,,
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement Pierrefond-Roxboro","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
"Troupe de théâtre la Ruée Vers l'Art","N/A","5-7820 Marquette",,,"X",,,,,,,
"École de danse Grenier","www.dansegrenier.com","9501 boul. Gouin O",,,,,,,"X",,,
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement Plateau Mt-Royal","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
"Association Récréative Milton Parc","http://www.miltonpark.org/","3555 Saint-Urbain",,,,,"X",,"X",,"X",
"Artneuf","www.artneuf.ca","3819 rue Calixa-Lavallée",,,,,"X",,,,,
"Relance des loisirs tout 9 inc.","www.rdlt9.org","5115 rue Rivard",,,,,"X",,,,,
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement Rivières-des-prairies-PAT","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
"Troupe de théâtre RousScène","www.theatrerousscene.com","12125 rue Notre-Dame est",,,"X",,,,,,,
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement Rosemont","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art/ art urbains","Musique",
"Carrefour communautaire Montrose",,"5350 rue Lafond local R-170",,,,,,,,,"X",
"Loisirs communautaires et récréatifs de Rosemont","www.lrcr.qc.ca","6755 36e avenue",,,,,"X",,,,,
"La Maisonnée","www.lamaisonnee.org","6865 Ave. Christophe-Colomb H2S 2H3",,,,,,,,"X",,
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement Saint-Laurent","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement Saint-Léonard","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
"Théâtre la Galère","http://theatrelagalere.com/","8400 boul.Lacordaire Saint-Léonard",,,"X",,,,,,,
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement Sud-Ouest","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
"Centre communautaireTyndale St-Georges","http://www.tyndalestgeorges.com","870 Place Richmond ",,,,,"X",,,,,
"Centre culturel Georges-Vanier","www.ccgv.ca","2450 Workman",,,,,"X",,"X",,"X",
"Club de l'Âge d'or St-Zotique","N/A","75 Square Sir Georges-Étienne Cartier",,,,,,,,,,
"Compagnie de Danse Podhale","www.podhalefolk.com","2390 Ryde Montreal QC","H4E 1G5",,,,,,"X",,,
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement Verdun","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
"École chinoise Nouveau siècle","www.xsjschool.org","246 4e avenue Lasalle","H8P 2J5",,,,"X",,,,,
"Action prévetion Verdun","http://www.actionpreventionverdun.org/maison-intergenerationnelle/","3993 Wellington",,,,,"X",,,,,
"Club de photo de Verdun","www.verdun.ca/clubphoto/","4501 rue Bannantyne Verdun Qc"," H4G 1E3",,,"X",,,,,,
"Harmonie Richelieu Mgr-Richard","www.harmonieverdun.com",,,,,,,,,,"X",
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement Ville-Marie","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
"Association sportive et communautaire du Centre-Sud","http://asccs.qc.ca/","2093 rue de la Visitation","H2L 3C9",,"X","X","X","X","X",,"X",
"Centre Innovation Jeunes","www.innovationjeunes.ca","1410 rue Pierce bur.150",,,,,"X",,,,,
"Centre Jean-Claude-Malépart","www.cjcm.ca","2633 Ontario est",,,,,"X",,,,,
"Loisirs St-Jacques","http://www.loisirs-stjacques.org/","200 rue Ontario E suite 3004",,"X",,,,,,,,
"Centre Récréatif Poupart","http://www.crpoupart.qc.ca/","1552 Dufresne Montréal QC ","H2K 3J5",,,,"X",,,,,
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement Villeray-St-Michel-Parc-Extension","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
"Trans-Art 2000","http://www.trans-arts2000.com/","419 St-Roch bur.SS23",,,"X",,,,,,,
"Loisirs communautaires Saint-Michel","N/A","7110 8e Avenue",,,,,"X",,,,,
"La TOHU","tohu.ca","2345 Jarry Est",,,,,"X",,,,,
"Baladi et Danses de l'Orient: Tywalline",,"7475 rue Chabot Montréal Qc ","H2E2L2",,,,,,"X",,,
