ATTRIBUT,REFERENCE
PROPRIETAIRE_REF,Île-Bizard - Sainte-Geneviève
SAILLIE_REF,Inconnu
SAILLIE_REF,Non
SAILLIE_REF,Non applicable
SAILLIE_REF,Null
SAILLIE_REF,Oui
TYPEBORDURE_REF,Bordure simple
TYPEBORDURE_REF,Bordure surélevée (New Jersey)
TYPEBORDURE_REF,Bordure virtuelle
TYPEBORDURE_REF,Bordure-caniveau
TYPEBORDURE_REF,Inconnu
TYPEBORDURE_REF,Mur de soutènement
TYPEBORDURE_REF,Muret
TYPEBORDURE_REF,Non applicable
TYPEBORDURE_REF,Null
TYPEFONDATION_REF,Inconnu
TYPEFONDATION_REF,Mixte
TYPEFONDATION_REF,Non applicable
TYPEFONDATION_REF,Null
TYPEFONDATION_REF,Rigide
TYPEFONDATION_REF,Souple
TYPEFONDATION_REF,Souple + Polystyrène 
TYPEILOT_REF,Ilot central
TYPEILOT_REF,Ilot central - autoroute
TYPEILOT_REF,Ilot central giratoire
TYPEILOT_REF,Ilot déviateur
TYPEILOT_REF,Ilot séparateur
TYPEILOT_REF,Inconnu
TYPEILOT_REF,Non applicable
TYPEILOT_REF,Null
TYPEILOT_REF,Terre-plein central
TYPEILOT_REF,Terre-plein central - autoroute
TYPEILOT_REF,Terre-plein latéral - autoroute
TYPEILOT_REF,Terre-plein latéral - cyclable
TYPEILOT_REF,Terre-plein latéral - voirie
TYPEINTERSECTION_REF,Accès - Passage de piétons avec feux de circulation
TYPEINTERSECTION_REF,Inconnu
TYPEINTERSECTION_REF,Intersection de chemins privés
TYPEINTERSECTION_REF,Intersection de rues
TYPEINTERSECTION_REF,Non applicable
TYPEINTERSECTION_REF,Null
TYPETROTTOIR_REF,Inconnu
TYPETROTTOIR_REF,Non applicable
TYPETROTTOIR_REF,Null
TYPETROTTOIR_REF,Trottoir boulevard
TYPETROTTOIR_REF,Trottoir monolithe
TYPETROTTOIR_REF,Trottoir simple
TYPEUSAGECYCLABLE_REF,Bande cyclable avec mail
TYPEUSAGECYCLABLE_REF,Chaussée désignée
TYPEUSAGECYCLABLE_REF,Inconnu
TYPEUSAGECYCLABLE_REF,Non applicable
TYPEUSAGECYCLABLE_REF,Null
TYPEUSAGECYCLABLE_REF,Piste cyclable sans mail
TYPEUSAGECYCLABLE_REF,Traverse de piétons - vélo
TYPEUSAGECYCLABLE_REF,Trottoir cyclable P-120-11
TYPEUSAGECYCLABLE_REF,Trottoir cyclable exclusif
TYPEUSAGECYCLABLE_REF,Trottoir désigné
TYPEUSAGECYCLABLE_REF,Voie cyclable - Bande cyclable
TYPEUSAGECYCLABLE_REF,Voie cyclable - Piste cyclable
TYPEZONE_REF,Inconnu
TYPEZONE_REF,Non applicable
TYPEZONE_REF,Non traitée
TYPEZONE_REF,Null
TYPEZONE_REF,Urbaine
TYPEZONE_REF,Voirie
TYPEZONE_REF,Zone autoroute
UTILISATION_REF,Aménagement
UTILISATION_REF,Inconnu
UTILISATION_REF,Non applicable
UTILISATION_REF,Null
UTILISATION_REF,Passage à niveau
UTILISATION_REF,Piéton
UTILISATION_REF,Rue verte
UTILISATION_REF,Ruelle verte
UTILISATION_REF,Tramway
UTILISATION_REF,Traverse de piétons
UTILISATION_REF,Voie cyclable
UTILISATION_REF,Véhicule
