id_entente,date_signature_sys,nom_entente,arrondissement,adr_emplacement,lot,superf_resid_ajout,nb_log_ajout,contrib_social_fin,mnt_contrib_social_fin,contrib_social_tss,superf_resid_social_tss,prix_achat_tss,contrib_social_ths,superf_resid_social_prevu_ths,prix_achat_ths,contrib_social_cem,contrib_abord_fin,mnt_contrib_abord_fin,real_log_abord_ss,superf_tot_ss_entente,real_log_abord_hs,superf_tot_hs_entente,nb_log_famil_scdp
"1000482","2023-08-22",,"Villeray - Saint-Michel - Parc-Extension","7335, rue Chambord, H2E1W8",,510,8,"Oui",2712,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000437","2023-04-24","Multi logement rue de la Visitation","Ville-Marie",,,636,17,"Oui",8407,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000450","2023-05-29","Le Donatella","Rosemont - La Petite-Patrie","7095, rue Alexandra, H2S3J6",,1528,16,"Oui",48726,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000572","2024-07-10","240 Chemin de la Rive -boisée","Pierrefonds - Roxboro",,,18390,223,"Oui",679828,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000493","2023-09-21","ALG Groupe Conseil","Rosemont - La Petite-Patrie","2738, avenue Laurier Est, H1Y1Y7",,481,4,"Oui",1060,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000475","2023-08-09","4020 Hingston","Côte-des-Neiges - Notre-Dame-de-Grâce","4020, avenue Hingston, H4A2J7",,3025,10,"Oui",129902,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000560","2024-04-29",,"Ville-Marie","1050, rue Montagne, H3G1Y8",,15637,261,"Oui",1439630,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,13
"1000464","2023-06-12","2454, Notre Dame Ouest","Le Sud-Ouest",,,575,6,"Oui",5650,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000122","2022-04-22",,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,2731,37,"Oui",81089,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000507","2023-11-21","4256-4260, avenue Papineau","Le Plateau-Mont-Royal",,,542,3,"Oui",4158,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000202","2022-07-28","Agrandissement du Couvent","Le Sud-Ouest",,,731,3,"Oui",9147,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000435","2023-04-19","CONSTRUCTION D'UNE HABITATION UNIFAMILIALE ISOLÉE","LaSalle",,,488,1,"Oui",964,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000516","2024-04-19","1800 Nicolet","Mercier - Hochelaga-Maisonneuve","1800, rue Nicolet, H1W3K7",,9315,102,"Oui",382028,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,10
"1000368","2023-03-16","ORIS - 2485 Bélanger","Villeray - Saint-Michel - Parc-Extension","2485, rue Bélanger, H2G1E6",,2650,30,"Oui",108816,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000461","2023-07-24","Projet Saint-Denis","Villeray - Saint-Michel - Parc-Extension","8538, rue Saint-Denis, H2P2H2",,504,4,"Oui",2441,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000564","2024-06-13","Le Balt","Ville-Marie",,,7131,131,"Oui",548912,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,7
"1000421","2023-02-17","6260 SAINT-HUBERT","Rosemont - La Petite-Patrie","6260, rue Saint-Hubert, H2S2M2",,526,4,"Oui",3435,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000430","2023-03-16","4211 Hochelaga","Mercier - Hochelaga-Maisonneuve","4211, rue Hochelaga, H1V1B8",,802,13,"Oui",12031,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000366","2022-10-26","51 rue Deslauriers","Pierrefonds - Roxboro",,,517,1,"Oui",1618,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000121","2022-03-10","Clifton/De Maisonneuve","Côte-des-Neiges - Notre-Dame-de-Grâce",,,2444,34,"Oui",69638,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000185","2022-05-18","1845-1847 rue Bossuet","Mercier - Hochelaga-Maisonneuve","1845, rue Bossuet, H1N2R6",,770,8,"Oui",7728,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000465","2023-06-20","Hillside","Ville-Marie","1300, avenue Pins Ouest, H3G1A8",,1084,12,"Oui",41242,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000100","2021-11-16","  141, rue Saraguay Est","Pierrefonds - Roxboro",,,732,1,"Oui",6486,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000123","2022-03-23","3455, Jean-Gascon","Saint-Laurent",,,536,1,"Oui",2799,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000125","2022-03-16","4500 Sam-Borenstein","Saint-Laurent","4510, place Sam-Borenstein, H4R0H9",,589,1,"Oui",4524,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
