"Code de la
municipalité";Nom de la municipalité;"Type de
municipalité";"Code
de la
MRC";Nom de la MRC;"Code de la
région
administrative";"Nom de la région
administrative";"Code de
l'arrondissement";Nom de l'arrondissement;Nom du district électoral;"Identifiant
du poste";"Code
du
type
de
poste";Type de poste;Nom;Prénom;Sexe;Sortant;"Nom du parti ou de
l'équipe";"Nombre
d'électeurs";"Nombre
de votes
reçus
par le
candidat";"Nombre
de
votes
rejetés";"Statut du
candidat"
02010;Sainte-Thérèse-de-Gaspé;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;3;CV;Conseiller;Lelièvre;Joé;M;"Nouveau
candidat"; ;167;51;2;Non élu
02010;Sainte-Thérèse-de-Gaspé;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;3;CV;Conseiller;Cyr;Jean-Marie;M;"Nouveau
candidat"; ;167;9;2;Non élu
02010;Sainte-Thérèse-de-Gaspé;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;4;CV;Conseiller;Vallée;Roland;M;"Sortant
(même
poste)"; ;145;0;.;"Élu sans
opposition"
02010;Sainte-Thérèse-de-Gaspé;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;5;CV;Conseiller;Couture;Jeannot;M;"Sortant
(même
poste)"; ;116;0;.;"Élu sans
opposition"
02010;Sainte-Thérèse-de-Gaspé;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;6;CV;Conseiller;Roussy;Jacques;M;"Sortant
(même
poste)"; ;124;0;.;"Élu sans
opposition"
02015;Grande-Rivière;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;0;MA;Maire;CYR;GINO;M;"Sortant
(même
poste)"; ;2910;0;.;"Élu sans
opposition"
02015;Grande-Rivière;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;1;CV;Conseiller;ANDERSON;DENIS;M;"Nouveau
candidat"; ;422;83;0;Élu
02015;Grande-Rivière;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;1;CV;Conseiller;CHABOT;SOPHIE;F;"Nouveau
candidat"; ;422;40;0;Non élu
02015;Grande-Rivière;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;2;CV;Conseiller;MOREAU;CAROL;M;"Nouveau
candidat"; ;475;152;0;Élu
02015;Grande-Rivière;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;2;CV;Conseiller;MOREAU;CHRISTIAN;M;"Sortant
(même
poste)"; ;475;129;0;Non élu
