ï»¿Date_evaluation,Valeur
04/03/2022,144.0104
03/03/2022,144.0078
02/03/2022,144.0076
01/03/2022,144.0063
28/02/2022,144.0045
25/02/2022,144.0054
24/02/2022,144.0046
23/02/2022,144.005
22/02/2022,144.0065
21/02/2022,144.0079
18/02/2022,144.0009
17/02/2022,143.9984
16/02/2022,144.0004
15/02/2022,144.0071
14/02/2022,144.0074
11/02/2022,143.9975
10/02/2022,144.0024
09/02/2022,144.0087
08/02/2022,144.0072
07/02/2022,144.0045
04/02/2022,144
03/02/2022,143.9978
02/02/2022,143.993
01/02/2022,143.9921
31/01/2022,143.9923
28/01/2022,143.9874
27/01/2022,143.9883
26/01/2022,143.9841
25/01/2022,143.9686
24/01/2022,143.9662
21/01/2022,143.9568
20/01/2022,143.9549
19/01/2022,143.9535
18/01/2022,143.957
17/01/2022,143.9683
14/01/2022,143.9722
13/01/2022,143.9721
12/01/2022,143.9813
11/01/2022,143.9784
10/01/2022,143.9793
07/01/2022,143.9794
06/01/2022,143.9795
05/01/2022,143.979
04/01/2022,FÃ©riÃ©
03/01/2022,FÃ©riÃ©
