ï»¿Date_evaluation,Valeur
2021-07-19,143.8683
2021-07-16,143.8650
2021-07-15,143.8639
2021-07-14,143.8640
2021-07-13,143.8659
2021-07-12,143.8640
2021-07-09,143.8628
2021-07-08,143.8614
2021-07-07,143.8621
2021-07-06,143.8623
2021-07-05,143.8629
2021-07-02,143.8633
2021-07-01,FÃ©riÃ©
2021-06-30,143.8598
2021-06-29,143.8592
2021-06-28,143.8587
2021-06-25,143.8565
2021-06-24,FÃ©riÃ©
2021-06-23,143.8575
2021-06-22,143.8579
2021-06-21,143.8588
2021-06-18,143.8554
2021-06-17,143.8563
2021-06-16,143.8569
2021-06-15,143.8562
2021-06-14,143.8553
2021-06-11,143.8544
2021-06-10,143.8537
2021-06-09,143.8534
2021-06-08,143.8526
2021-06-07,143.8543
2021-06-04,143.8499
2021-06-03,143.8498
2021-06-02,143.8509
2021-06-01,143.8509
2021-05-31,143.8503
2021-05-28,143.8505
2021-05-27,143.8484
2021-05-26,143.8496
2021-05-25,143.8489
2021-05-24,FÃ©riÃ©
2021-05-21,143.8462
2021-05-20,143.8451
2021-05-19,143.8468
2021-05-18,143.8449
2021-05-17,143.8444
2021-05-14,143.8427
2021-05-13,143.8418
2021-05-12,143.8432
2021-05-11,143.8414
2021-05-10,143.8406
2021-05-07,143.8416
2021-05-06,143.8415
2021-05-05,143.8418
2021-05-04,143.8414
2021-05-03,143.8396
2021-04-30,143.8389
2021-04-29,143.8383
2021-04-28,143.8389
2021-04-27,143.8384
2021-04-26,143.8376
2021-04-23,143.8362
2021-04-22,143.8357
2021-04-21,143.8367
2021-04-20,143.8370
2021-04-19,143.8365
2021-04-16,143.8362
2021-04-15,143.8359
2021-04-14,143.8352
2021-04-13,143.8344
2021-04-12,143.8338
2021-04-09,143.8321
2021-04-08,143.8322
2021-04-07,143.8323
2021-04-06,143.8295
2021-04-05,FÃ©riÃ©
2021-04-02,FÃ©riÃ©
2021-04-01,143.8297
2021-03-31,143.8301
2021-03-30,143.8291
2021-03-29,143.8284
2021-03-26,143.8268
2021-03-25,143.8256
2021-03-24,143.8260
2021-03-23,143.8253
2021-03-22,143.8248
2021-03-19,143.8218
2021-03-18,143.8196
2021-03-17,143.8209
2021-03-16,143.8201
2021-03-15,143.8177
2021-03-12,143.8169
2021-03-11,143.8162
2021-03-10,143.8173
2021-03-09,143.8169
2021-03-08,143.8163
2021-03-05,143.8158
2021-03-04,143.8177
2021-03-03,143.8166
2021-03-02,143.8133
2021-03-01,143.8126
2021-02-26,143.8123
2021-02-25,143.8105
2021-02-24,143.8147
2021-02-23,143.8157
2021-02-22,143.8163
2021-02-19,143.8139
2021-02-18,143.8169
2021-02-17,143.8182
2021-02-16,143.8168
2021-02-15,143.8187
2021-02-12,143.8176
2021-02-11,143.8175
2021-02-10,143.8200
2021-02-09,143.8188
2021-02-08,143.8198
2021-02-05,143.8192
2021-02-04,143.8192
2021-02-03,143.8200
2021-02-02,143.8202
2021-02-01,143.8191
2021-01-29,143.8192
2021-01-28,143.8167
2021-01-27,143.8185
2021-01-26,143.8162
2021-01-25,143.8161
2021-01-22,143.8159
2021-01-21,143.8178
2021-01-20,143.8185
2021-01-19,143.8179
2021-01-18,143.8177
2021-01-15,143.8182
2021-01-14,143.8167
2021-01-13,143.8181
2021-01-12,143.8175
2021-01-11,143.8174
2021-01-08,143.8155
2021-01-07,143.8174
2021-01-06,143.8077
2021-01-05,143.8142
2021-01-04,FÃ©riÃ©
2021-01-01,FÃ©riÃ©
