ï»¿Rang;Pays_naissance;Immigration_economique_personnes_non_presente;Immigration_economique_personnes_presentes;Regroupement_familial_personnes_non_presente;Regroupement_familial_personnes_presentes;Refugies_personnes_en_situation_semblable_personnes_non_presente;Refugies_personnes_en_situation_semblable_personnes_presentes;Autres_immigrants_personnes_non_presente;Autres_immigrants_personnes_presentes;;
79;Libye;172;177;20;72;48;157;5;14;;
80;Hong Kong;376;155;28;101;0;x;0;x;;
81;Chili;32;197;53;322;x;17;x;8;;
82;Niger;82;280;10;139;x;91;x;x;;
83;Ãquateur;79;181;26;178;7;119;0;8;;
84;ThaÃ¯lande;44;54;54;374;19;41;0;x;;
85;JamaÃ¯que;81;43;92;321;x;9;5;18;;
86;Argentine;74;226;38;221;x;x;x;x;;
87;GrÃ¨ce;44;108;69;327;x;10;0;5;;
88;Gabon;97;288;15;102;6;22;x;10;;
89;ÃrythrÃ©e;x;0;10;29;133;340;0;0;;
90;Australie;69;84;89;248;0;0;0;x;;
91;Mauritanie;56;104;22;109;11;115;x;12;;
92;Ghana;41;46;40;176;25;91;0;6;;
93;Portugal;32;107;40;235;0;0;x;8;;
94;Pologne;31;125;45;205;0;x;5;x;;
95;OuzbÃ©kistan;92;160;25;84;21;14;x;x;;
96;Afrique du Sud;78;87;21;103;12;78;x;x;;
97;Hongrie;27;54;23;78;34;133;6;27;;
98;RÃ©union;51;300;x;22;0;0;0;0;;
99;IndonÃ©sie;31;72;23;157;10;50;0;17;;
100;Qatar;79;73;x;17;62;122;0;0;;
;Autres;1310;2360;720;2686;457;1460;41;247;;
