ï»¿OBJECTID,MUNICIPALITE,NO_ZONE,SHAPE.STArea(),SHAPE.STLength()
44,86042,7181,9004.99975,460.308976151104
45,86042,9083,487370.52176193,5050.51308461254
46,86042,5030,4378077.83691317,13964.3583899784
47,86042,9110,171396295.022205,202968.481652637
48,86042,7125,1008896.49938523,5608.12483653617
49,86042,7171,1198978.81450791,8950.66160011252
50,86042,4050,1343.31773424,227.305662820704
51,86042,7162,324883.46429294,3241.81632383322
52,86042,9140,414858.99965,3902.10262815016
53,86042,7090,176090.549508525,4668.21822180955
54,86042,8001,8910646.0913235,18369.7783171794
55,86042,5100,40286.780988505,1081.37833457242
56,86042,3065,847663.06657847,4706.29526222959
57,86042,3066,173631.315659525,2498.89919318024
58,86042,5031,882994.24037619,4913.02341423099
59,86042,7172,4118902.51880612,13010.6647278705
60,86042,7529,33950565.8260749,27546.1298499845
61,86042,8002,193121405.262488,117244.426703408
62,86042,4083,14823.895275885,552.82857640967
63,86042,7013,74577.13843094,2571.41749972874
64,86042,9023,120934116.608111,68723.2884917498
65,86042,9131,17069.56839323,514.724010050374
66,86042,7008,12611541.0105837,45132.4332366359
67,86042,5032,360818.498625405,3537.02786840814
68,86042,7126,133545.693858115,2715.11686333093
69,86042,7554,298269.470710505,2841.97301650364
70,86042,6000,144858.80134955,1652.04055930938
71,86042,7023,21821.91992113,688.76079369554
72,86042,7019,67932.85968561,1389.34461624435
73,86042,4076,51806.771114245,897.578395805858
74,86042,7064,1971987.77156585,33657.2920868907
75,86042,4099,17394.69322709,653.962862880132
76,86042,7027,70922.49334445,1974.13092879681
77,86042,9130,3013143.46992253,8547.85817482848
78,86042,9024,11961600.1181635,13881.3900109961
79,86042,3000,55861.78275771,1941.31826635731
80,86042,5001,4885921.70385186,9392.71132192498
81,86042,3001,258352.021268915,3479.55811640177
82,86042,7500,9566817.77955033,15514.0515721738
83,86042,7066,3959749.46748882,66348.2399321391
84,86042,3002,97329.866032265,2066.80490450423
85,86042,5065,797825.305392165,4212.36948705767
86,86042,5080,3138482.43184075,10965.4183395559
87,86042,7501,979469.37381691,4819.85330276102
88,86042,7048,31986082.7886815,168455.174829112
89,86042,4070,27894.699112565,705.003380799987
90,86042,4067,51138.810062775,1268.44783784294
91,86042,4073,44510.834909285,1185.91549746365
92,86042,5002,1911020.9999866,5869.06132473555
93,86042,9067,248298441.495264,114652.694114202
94,86042,3058,46069.62767437,969.963147905046
95,86042,9025,20969588.6059189,22157.0950965722
96,86042,6001,137407.829701775,1539.28828005837
97,86042,5003,1274840.01076548,10790.8233635773
98,86042,4039,21680.44806044,663.630773861028
99,86042,4071,48181.91235871,1040.97090328345
100,86042,9084,17587621.2377267,35228.7882637386
101,86042,4068,47978.18693516,1875.21263533896
102,86042,7079,2586276.18922741,43252.8198849696
103,86042,5101,44515.733922885,1440.96004875386
104,86042,4086,32922.509404385,929.592738300349
105,86042,9026,5618698.11806066,17408.4219684053
106,86042,5033,4288445.81303467,10222.3562281006
107,86042,3003,62349.70428433,1333.46212668897
108,86042,8003,1590014.48511804,7527.26354293802
109,86042,7038,33103344.7153164,58964.622617218
110,86042,7105,7480012.67227066,20302.7980343308
111,86042,5034,2723347.98288902,6937.08397198268
112,86042,7173,88908.241341395,1488.47681535816
113,86042,4085,20815.011686155,848.409759008666
114,86042,4092,31249.543171525,1340.40678587817
115,86042,4090,95610.69988904,1328.15462941921
116,86042,7017,3100196.50662847,22322.2762008644
117,86042,7127,478032.623721595,11016.8021161277
118,86042,7530,14157032.7139433,25391.4147378374
119,86042,9060,228203,2420.88312512344
120,86042,7155,15838.05873806,528.193746909316
121,86042,9061,331341,3009.05645493992
122,86042,3171,1415.0466226,191.021988178956
123,86042,4009,255655.46853427,3281.84241322969
124,86042,9028,262903.50005,2361.55224670677
125,86042,4034,24959.37038226,677.698204127006
126,86042,3067,74146.062707995,1260.467987694
127,86042,4060,25249.488102665,781.293816518324
128,86042,4057,14791.644237825,487.858882354867
129,86042,7163,83538.347752825,1648.62327890452
130,86042,4058,28837.19309395,913.018001159056
131,86042,4056,27422.599787035,825.732213109136
132,86042,4032,3162.20166328,247.930944460195
133,86042,9141,155450.805635815,1593.94553456988
134,86042,4033,14359.231094545,497.322574602987
135,86042,5024,2793349.5620118,7944.34023333156
136,86042,9128,38421.65387918,823.015734704234
137,86042,7128,66080.3869275,1571.20383421255
138,86042,7093,1794273.89775184,30758.1473256634
139,86042,9068,191176007.456564,144660.159365713
140,86042,8005,979354.78116882,4231.20790364831
141,86042,3004,10736.304079595,561.437504005521
142,86042,4010,96990.64545417,2654.88658463281
143,86042,4038,14758.838566,502.319733851212
144,86042,4078,180146.45234262,2433.19269918122
145,86042,7129,81116.31709947,1503.40179821435
146,86042,5114,1886012.59216094,6293.95977890334
147,86042,7130,23934.335119205,972.491032871847
148,86042,4007,34831.12596332,894.487693895573
149,86042,7514,418790.65172023,5200.21567834271
150,86042,7005,88647.00005,2007.59178649307
151,86042,7084,648478.581573305,11394.7752350497
152,86042,9085,24739207.9015682,38178.5436098423
153,86042,8031,129060133.478719,187393.336118778
154,86042,9112,849934.00015481,5869.78971633578
155,86042,9113,252109.998349985,3198.97307445416
156,86042,7052,4000.44687961,257.224772441649
157,86042,8006,339703.201632775,2680.1129286399
158,86042,7562,93089.460755125,1828.13946585986
159,86042,3056,1903.381936175,198.795413023049
160,86042,7531,17952455.745021,25462.2400731599
161,86042,4017,89318.37456088,1301.97327958355
162,86042,7532,19763441.0657638,27081.4753509815
163,86042,4103,46958.688995795,908.235353312766
164,86042,7174,80634.949059025,1633.86759979511
165,86042,5004,453425.93575028,4397.28420019291
166,86042,5005,321856.191213395,3793.02817281713
167,86042,4100,13920.73688841,482.362335800766
168,86042,4024,94274.928135375,1895.20475245289
169,86042,7175,55172.48021905,1277.67356279394
170,86042,7502,15498615.9954882,16666.1402455679
171,86042,4000,5118.28051779,286.403400797453
172,86042,4001,63423.878538445,1703.68812636983
173,86042,4025,37631.669840385,821.705303950693
174,86042,5035,7357406.01493885,21923.8715892988
175,86042,5036,3391255.97079572,7454.06223522481
176,86042,8007,5626680.97125066,17886.5697289564
177,86042,4023,181730.400736055,2662.09505171162
178,86042,3166,10134.40037687,499.562347036981
179,86042,7565,260139.91107166,3569.95946922723
180,86042,5081,2466462.80770028,10536.6553443666
181,86042,7131,54522.337047195,1322.83284981218
182,86042,9129,2118189.31147384,5871.92177883765
183,86042,3127,52741.16051913,1027.81829328872
184,86042,7176,77344.5626117,1734.61651178874
185,86042,3068,21428.33578208,765.479493294914
186,86042,3069,215108.090363075,2550.59844044463
187,86042,7132,283009.048869935,5671.92121739341
188,86042,7133,915123.087276425,6993.50951365571
189,86042,4027,44661.74648233,947.422685892015
190,86042,3070,88095.76027002,1612.5292578962
191,86042,5006,1280995.24290798,4836.4389610725
192,86042,4026,206137.525042595,2593.42039976847
193,86042,3071,796097.17740766,5952.74823172113
194,86042,3072,198129.48488137,2246.77187582521
195,86042,7075,598879.82492263,10531.4663565336
196,86042,8008,1131647.8609431,6064.7877344425
197,86042,7085,221992.05360313,3991.86425757459
198,86042,3073,323488.07957803,2851.86616287489
199,86042,3075,73124.566404095,1707.01166201961
200,86042,7083,8673204.68065377,20618.8518879618
201,86042,8009,1188589.16392378,5984.14213466905
202,86042,5007,11323987.3760717,23357.0291459516
203,86042,5008,174195.64507629,1842.0859319321
204,86042,3128,18064.91191002,543.348454322739
205,86042,4028,43426.83854799,1620.74976730597
206,86042,5108,37031.01088586,852.339625764753
207,86042,8010,1857746.83822231,11641.4825460275
208,86042,5037,6575641.69163055,14865.528773734
209,86042,7555,362980.897529545,2434.07023770239
210,86042,7533,4038166.87951403,8935.98521443824
211,86042,4051,24442.374241145,1568.19298018975
212,86042,3074,10778.63082306,623.16584748193
213,86042,8011,2473169.3118547,11524.0751945376
214,86042,7518,88370.558127645,1221.53940678683
215,86042,3164,20247.731558555,789.290902547577
216,86042,8012,655044.909142785,3719.39164919608
217,86042,3059,95032.94024319,1682.4566963274
218,86042,4098,35132.122245195,779.746905493575
219,86042,3076,95148.254396965,1580.86194603272
220,86042,4063,142021.450080965,2081.56093905306
221,86042,7534,11391590.1758632,17519.5004172383
222,86042,4095,113992.612904275,1902.51679074062
223,86042,9114,4984868.82562201,14389.239548534
224,86042,3060,86176.82240548,1319.97834767851
225,86042,4055,31407.71606922,1098.19240904703
226,86042,9086,4190502.13154344,8433.96391716529
227,86042,4072,185044.40796105,2544.32010942681
228,86042,7556,22288924.8968171,37398.0161153373
229,86042,3077,361447.667856315,3338.9258824801
230,86042,7535,8495963.08949909,13950.2130237054
231,86042,4101,33368.300584635,1025.44518013086
232,86042,3078,123115.01515183,1900.6119924353
233,86042,3081,47565.932300245,1190.94167555429
234,86042,3129,64433.5443789,1044.01936932639
235,86042,8013,4644135.63070685,17771.895369206
236,86042,3082,110179.97096572,3017.74340312221
237,86042,3083,181214.072711125,2348.20622316139
238,86042,7179,549258.374273595,4075.11329005143
239,86042,3085,434989.44214136,3981.08769206687
240,86042,7566,7619981.42563013,11715.3752204109
241,86042,9087,1530534.35621067,9087.41557636644
242,86042,7557,1547615.14268131,5500.38039657381
243,86042,5083,8496868.31719579,14603.5431844696
244,86042,7536,8279547.10842021,13864.2415402943
245,86042,3005,99579.85286829,1644.13613158604
246,86042,7166,367620.5,4817.58400063809
247,86042,3179,500645.031694065,6509.81067791911
248,86042,3061,318715.382248765,2359.80095384791
249,86042,7006,102127.5,1874.29929076926
250,86042,3084,94948.51959674,1297.11426438321
251,86042,9115,481480.01161,4121.9959609584
252,86042,5067,850583.21684169,8033.09962494299
253,86042,9116,388838.0017,3471.17571624214
254,86042,3131,71588.170759095,2385.84468517889
255,86042,3087,368209.7132131,5652.3134199952
256,86042,7116,10472278.4297745,36905.9657372556
257,86042,5084,899783.18280465,4262.6217636528
258,86042,9042,136934.4999,2105.99834201031
259,86042,3088,36754.369396055,917.894236799854
260,86042,7010,126266.0002,2447.58379338881
261,86042,4091,12249.46365626,636.939359854951
262,86042,3089,252620.55691668,2489.19158070748
263,86042,9134,240791.61214609,2740.23139846691
264,86042,3006,81886.98139491,1255.20387789988
265,86042,5009,419593.24794171,2889.73792366246
266,86042,5085,2925207.86041581,10571.999258867
267,86042,7537,8853639.73311428,13088.3288642827
268,86042,9065,292788.5,3459.15074867307
269,86042,7521,22345027.6362769,28692.5305449697
270,86042,5102,735657.74154705,4637.21715264539
271,86042,3090,214765.351826145,2202.79177836219
272,86042,7156,135456.79295545,2481.52091148961
273,86042,5068,1258322.57806115,7637.02795158411
274,86042,7538,3380289.34912552,8384.19029028213
275,86042,7134,45799.730824975,1300.90550255342
276,86042,7007,1547341.54171612,9322.78431109479
277,86042,7021,65563.844691325,1778.87258036624
278,86042,3092,209500.642408925,2395.63478184636
279,86042,9062,244953.5,2707.33809399184
280,86042,9003,16521869.4926231,29211.5195940531
281,86042,9117,233552.500382475,3419.93952894215
282,86042,9063,1575213.5,16154.2659420293
283,86042,9004,315206.5,2620.63182988364
284,86042,9088,1091475.00838629,7256.37546098212
285,86042,4037,53241.900157565,1498.68955465867
286,86042,9135,1643254.22320591,5479.87889172236
287,86042,4053,48562.795042495,1077.49545459983
288,86042,4041,36190.765357575,799.181717229865
289,86042,9118,350002.0021,3853.944295094
290,86042,3094,121680.038668745,1514.74497174442
291,86042,9119,225460.00075,2822.45044179719
292,86042,9120,221226.50122431,2556.66501371743
293,86042,9089,593016.00025,6016.78726053203
294,86042,9090,171242.5,3709.48869093139
295,86042,9064,291535.5,3642.16344076405
296,86042,9091,499913.49987947,5776.83374063072
297,86042,3007,12547.636587695,810.71472494432
298,86042,4059,30321.67849498,835.290868064083
299,86042,9009,238628.0017,3055.20488456087
300,86042,3091,663703.277040935,4912.83143551735
301,86042,3008,110606.64510709,2686.56372736305
302,86042,9030,302668,2432.2432783865
303,86042,7039,849291.5,5078.8667312615
304,86042,8015,434076,4033.33975878358
305,86042,7050,242520.500355295,2351.14863791334
306,86042,9041,359116,4402.98508671069
307,86042,9150,342798,3480.98724234263
308,86042,9043,207704,3126.91917359961
309,86042,5104,7935.39802728,607.498955929207
310,86042,3093,4050.519024385,290.7236278547
311,86042,9044,755853,3896.51114726399
312,86042,9143,253395.092955225,3442.71515545535
313,86042,9069,208917.9991,3226.70638505044
314,86042,9045,266815.5,3902.33546095176
315,86042,7076,1530547.50195,5985.91294049799
316,86042,9070,550966.00085,4788.81525998868
317,86042,9071,238005.00011156,3969.56278804731
318,86042,9046,216660.5,3037.44710772187
319,86042,9047,239065,2422.36513171878
320,86042,7118,230781.52015738,4522.82295481938
321,86042,7062,89718.58023669,1693.299278561
322,86042,7119,105585.489020765,2091.76218751676
323,86042,9048,813859,7310.12840529375
324,86042,9049,240728.5,3274.11794011558
325,86042,9050,253666,3123.3991106167
326,86042,9051,218982,2899.7671119459
327,86042,9052,936020.9991,9129.17592876217
328,86042,9053,812644,5256.2968466561
329,86042,7099,476884.9999,4419.67314891614
330,86042,7002,309893.50121726,3218.86416710563
331,86042,7161,427167.4998,10482.1324876462
332,86042,7034,21282.14733538,805.032417782563
333,86042,7098,304999.5,4155.95382378189
334,86042,9092,1544764.5,16567.7728693753
335,86042,9093,236667.5,5075.74955796457
336,86042,9094,384383.5,4029.31239086353
337,86042,9095,368169,6684.84857418245
338,86042,9010,176763.030099215,2523.78821511227
339,86042,7035,16438.28315729,645.30240929014
340,86042,9011,546645.77647718,3627.37622746841
341,86042,7036,11876.97028867,500.716762890234
342,86042,7081,130528,1900.07929379679
343,86042,5069,165593.268342985,2059.77698129951
344,86042,9054,214159.0027,2722.67216043325
345,86042,3095,54537.115688365,1130.75102035913
346,86042,9096,1129925.01913373,4416.39677826402
347,86042,8016,5430470.3323103,18219.831738002
348,86042,7558,396832.803843735,3975.33601775714
349,86042,3009,59621.26412129,1337.00652301839
350,86042,9097,12543758.5207655,20171.6400309787
351,86042,5060,1593301.81467617,6165.94694184145
352,86042,7037,8265.61341592,433.643305925589
353,86042,9072,14177360.0359196,47217.305749897
354,86042,7180,726850.928792965,5755.70754718594
355,86042,3167,3497.034886495,325.193300956707
356,86042,3134,16127.286542185,574.497136605819
357,86042,7559,525639.58183864,4224.08550764293
358,86042,7167,1101125.95289749,18887.7990087603
359,86042,5086,367675.530347825,3018.83950154539
360,86042,3135,251748.95211344,3255.0429201669
361,86042,3136,14963.356338885,844.461345568807
362,86042,7080,519480.080224775,5884.47704426995
363,86042,9121,62480764.1859775,57709.8210053188
364,86042,8032,33088.11220203,1082.67538301126
365,86042,5038,5466776.42210089,15681.211374848
366,86042,5039,674833.8072059,4258.97627478788
367,86042,4043,57184.953435635,1319.46535404987
368,86042,9098,442240.378494045,3854.30844992213
369,86042,7539,42044206.0258518,50797.230652122
370,86042,7522,15003861.1599293,19158.5954251596
371,86042,6023,793073.202178715,9252.42937917786
372,86042,7078,10079478.8919737,24367.9614559655
373,86042,5040,265574.271949015,2076.09267039093
374,86042,7519,1469382.23769074,6423.68511512965
375,86042,3133,13694.144890225,547.925357338998
376,86042,7070,97588.66558842,1977.57164532439
377,86042,3010,20990.671068785,687.842028068599
378,86042,5041,2310220.81003019,6412.27120986424
379,86042,7106,14973.573820775,491.816873214096
380,86042,4045,47363.97468061,875.814449412426
381,86042,7069,307261.022519655,5613.23201559796
382,86042,5042,856283.06892993,5359.44286955887
383,86042,8017,5537388.3063673,11862.0241190337
384,86042,7045,89190.038161475,2456.18599247833
385,86042,7071,210204.58435735,3756.91622455895
386,86042,8018,1327366.99903834,6643.07949856759
387,86042,7137,142563.559773705,3631.96169136568
388,86042,8019,1320203.84859969,8124.19314385475
389,86042,3011,114800.73711388,1618.08852952522
390,86042,5043,431968.31015411,2711.32261534113
391,86042,5087,2660206.21913438,8164.66930440402
392,86042,5044,429525.06190309,3218.03569213058
393,86042,3098,17128.55250434,642.990468659314
394,86042,9073,12044086.7280126,28026.5160223334
395,86042,7515,481460.484091015,5143.16779172883
396,86042,3099,40094.959198385,847.396749956932
397,86042,3097,73490.665381925,1097.84332426043
398,86042,3080,124001.870453255,2200.30749531552
399,86042,5088,1030178.72896296,5127.84476249015
400,86042,7138,34508.711501695,988.47129362723
401,86042,5089,384137.731748805,3548.85763761699
402,86042,4096,10706.497637765,906.641670588866
403,86042,5010,1401603.57282405,4845.71531470393
404,86042,7060,111540.827723725,2987.65312744584
405,86042,5011,95685.763736565,1875.83747384448
406,86042,3012,144484.434140015,1691.68084145976
407,86042,5063,206483.049747525,2170.42890293883
408,86042,4029,76450.020008875,1120.16528560549
409,86042,4052,874.880716725,135.512346820402
410,86042,9145,2668035.84466923,9195.45713707681
411,86042,4035,9743.238567595,397.849064778599
412,86042,4011,58398.04613135,1105.01781886914
413,86042,4008,137991.28229847,2056.43515509907
414,86042,5045,5107850.39158706,17085.9147682567
415,86042,8020,1782102.38869008,7837.08096938462
416,86042,9099,539414.92209521,3248.33406327532
417,86042,7139,87552.6733571,1593.97418060426
418,86042,6002,947129.14317672,6147.24097339106
419,86042,3100,60680.80656544,1073.10842276771
420,86042,3013,32236.321357125,792.997551654158
421,86042,4005,183576.782421455,3023.58905998234
422,86042,4002,441616.46075606,5092.61309186728
423,86042,9100,250449.49895,2598.61939764964
424,86042,7059,160765.82046423,2883.83927198556
425,86042,7026,63953.417938395,1133.55651878976
426,86042,3101,1014164.93502197,7537.92085485481
427,86042,4077,34454.751938385,808.857822577358
428,86042,5025,394023.928494705,3884.25588513678
429,86042,7560,419805.470442845,2700.8866516
430,86042,7523,4066488.42508352,11572.6530293232
431,86042,4030,82806.702404425,1265.52782325818
432,86042,7540,13401043.2327492,20566.2462427315
433,86042,5091,3206590.48698987,9737.26417065356
434,86042,7541,18173397.8141961,28138.9316907063
435,86042,9031,6516896.49831519,12756.7376518626
436,86042,4046,64953.911563065,1287.48474850383
437,86042,9080,203150.50035,2979.76089152339
438,86042,7033,949457.00343168,7358.37380591375
439,86042,9012,289194.49945,3353.20097901805
440,86042,9136,396744.917512735,3328.66889117102
441,86042,7089,679547.41761733,7836.21249367707
442,86042,8021,2447731.07175526,9829.19218867661
443,86042,4036,23967.341924875,833.474408996343
444,86042,6024,2894856.15138428,8633.18811821386
445,86042,4047,30551.85392789,776.289069299614
446,86042,9144,424251.00015,3465.79193177867
447,86042,9101,1920234,10099.6803003327
448,86042,7140,39032.40038034,1207.18037501687
449,86042,6003,819092.68034258,4049.32133076149
450,86042,5070,1382403.57897649,5157.07884249314
451,86042,3139,166760.67380628,1990.98956242541
452,86042,6025,2440790.54861681,9976.98532278897
453,86042,5046,4291208.78493032,11771.5562054909
454,86042,5047,1089775.34118325,5887.77258516972
455,86042,6026,243657.67909959,2203.02768605363
456,86042,3140,15194.29761287,1230.54658596578
457,86042,7040,238290.545093715,2378.25080465783
458,86042,5012,4750030.27505688,16828.091464112
459,86042,6027,885310.25000937,5833.93031010034
460,86042,7022,35111.873926065,976.405378365623
461,86042,7003,442957.5013,3445.70533571105
462,86042,5026,414298.833370085,5141.53027202902
463,86042,7018,1184591.99845,5577.61521107546
464,86042,7004,254159.496522195,3120.12006789917
465,86042,8022,10438725.3664597,16785.2770880254
466,86042,5109,2223822.29923733,8901.28135925141
467,86042,9147,406732.99985,3418.81068454033
468,86042,9014,261492.4991,3873.31192139075
469,86042,3141,84817.7745514,1732.20853348379
470,86042,9148,518701.5005,4409.07037329929
471,86042,9015,204804.49995,4708.97611333582
472,86042,9122,231134.00269184,2672.41097028397
473,86042,7056,887696.498830555,4706.79279455742
474,86042,7015,1448853.99955,8266.98468354251
475,86042,9123,466466.4127135,5004.44671403264
476,86042,9124,245488.49943191,2988.15910346857
477,86042,3142,3402.503072685,272.9312394774
478,86042,9102,12516180.5852672,23109.1617525859
479,86042,7168,635916.00028379,5127.44440253203
480,86042,7169,1381919.0024,9684.18122695928
481,86042,9146,357064.00055,2437.29904100287
482,86042,4094,139982.992210365,1733.48551158147
483,86042,9032,6227535.97925073,11929.3405288974
484,86042,7063,101684.009947035,1940.45419868827
485,86042,4088,31678.244966735,1043.20675957726
486,86042,5048,2211671.72196979,7650.25991744627
487,86042,8034,246237.49955084,3662.11087934267
488,86042,5013,64414.90140452,1531.81864644953
489,86042,9055,1137307.4998,9376.008058173
490,86042,9005,8723511.38291172,26983.4608069132
491,86042,3143,97950.08534436,2024.9805003939
492,86042,9103,1398134.01975115,6974.72668230994
493,86042,8033,364959.5007,3556.94808030407
494,86042,4049,8399.55409727,814.93546957402
495,86042,4003,70135.025057585,3514.27485841156
496,86042,3144,36307.746981275,833.358011040065
497,86042,4004,15354.20587613,556.127909046537
498,86042,5059,308077.046767,3690.50685548321
499,86042,5014,411220.978702235,3234.66008489725
500,86042,5103,31066.39099021,1503.9194792346
501,86042,7009,1650475.50082745,6782.39959752091
502,86042,5092,378855.128006105,3744.91334031519
503,86042,5049,8747431.13348535,22685.5525297022
504,86042,7503,42039072.3017461,42274.3319315889
505,86042,5015,2576422.41585551,9715.80037996121
506,86042,7030,84625.374989545,2432.430329168
507,86042,7028,1201500.83587301,7243.1996046307
508,86042,5016,320707.10466768,2429.08849536609
509,86042,3102,1928723.66296136,10025.323296046
510,86042,4016,32250.67729672,1047.12700656685
511,86042,5017,15735780.7563932,30177.5026994524
512,86042,3145,67043.271746195,1569.11866375862
513,86042,5027,647855.31168211,5844.93009200906
514,86042,9056,413589115.303354,270142.932932334
515,86042,8023,222561626.090251,67788.2910679856
516,86042,4044,120671.05041656,2265.46176090485
517,86042,5018,528834.35669775,4709.3353745753
518,86042,7141,105925.95384321,2243.07164996017
519,86042,9104,1200608.35281365,7087.76594644715
520,86042,7142,411381.23053542,8735.37628366976
521,86042,7143,182808.24478041,2433.01607609532
522,86042,5019,9958310.78126902,22812.6664241521
523,86042,7144,65691.173003515,1692.8311252312
524,86042,9074,78998083.2626515,61542.6865917832
525,86042,7100,91885.503885195,2031.29445215874
526,86042,5071,473956.10613653,4669.70709585479
527,86042,4018,98879.5713848,1357.30274346833
528,86042,7145,339011.96537692,7129.77538553354
529,86042,9006,122590390.108325,65429.8419493162
530,86042,6028,690522.762238205,3880.98208237305
531,86042,9018,20478207.0173531,34934.4367396476
532,86042,7504,6733422.74652062,17175.7011607647
533,86042,5020,3612236.60907481,14705.2025807381
534,86042,9019,29013829.4691981,33852.8234285496
535,86042,4040,24834.96759117,657.304708128304
536,86042,4084,52599.2928839,948.071926973004
537,86042,5093,8841889.89755178,34660.1789088862
538,86042,7542,5095547.05630216,10061.6661573149
539,86042,7092,24289869.9858147,87565.5595686691
540,86042,8024,811295.423642705,5579.89417307457
541,86042,9034,3199711.83257544,19577.9621152
542,86042,7072,32458.96043411,895.389382352378
543,86042,7563,3225454.35825159,14149.11060479
544,86042,7012,111901.14758067,2099.35531124155
545,86042,5072,530536.923817375,3427.15517872894
546,86042,7146,158615.628024,2947.31413973389
547,86042,7091,16764.49585792,594.095766920622
548,86042,5113,7540129.36938472,14923.2983685717
549,86042,5073,1221579.16789046,5132.60173825551
550,86042,7051,2350369.99005364,16099.0734295951
551,86042,5094,148621.26325447,1657.36713529606
552,86042,7154,847090.741697635,15179.5476794319
553,86042,4093,96596.354226775,1310.21989516954
554,86042,7046,18121.800441645,725.940219088651
555,86042,9035,112135098.56333,65171.7622221658
556,86042,5021,1476758.06408625,5015.28668798003
557,86042,7147,302428.317307525,5245.39912433559
558,86042,7107,28232.27388806,760.775940271286
559,86042,4014,85627.133812295,1358.55488310103
560,86042,4015,200421.780465195,3163.95146871754
561,86042,7054,1700644.67515392,24059.4466477142
562,86042,4006,125542.58340591,1822.02411480092
563,86042,7505,14454239.5005101,15762.3685012408
564,86042,4019,41121.428020805,1262.02945455651
565,86042,4105,1568381.31286751,6031.558074511
566,86042,7543,16300539.2559884,30543.6546461773
567,86042,7544,26950017.2304537,37369.2956816826
568,86042,8025,11121561.6101333,17132.187601178
569,86042,7053,118400.780032885,1877.79228096194
570,86042,7506,2588108.14426535,8467.52770470886
571,86042,4020,24592.184086975,707.863434675107
572,86042,9036,8777638.08500023,16009.6534378051
573,86042,4021,15006.59958537,660.409057415378
574,86042,5061,526936.812407625,4990.6979654863
575,86042,3014,203407.369836805,2359.69336692139
576,86042,4012,143103.9046827,1922.46564221585
577,86042,5022,1577795.05103261,6884.63525251154
578,86042,7507,4191636.45003396,10200.5968632373
579,86042,3015,163559.56291701,2288.46710741168
580,86042,7508,28176178.1791775,30744.4004639741
581,86042,7055,2657329.33821704,21770.666491181
582,86042,7509,18134711.8881817,21108.3903258799
583,86042,4013,110413.28300111,1682.64688027489
584,86042,4080,309551.68732607,4906.55991089705
585,86042,7031,246411.981738675,2829.33380481746
586,86042,5106,47645.215117135,1159.38172874086
587,86042,4069,24833.27785038,803.561933632008
588,86042,4064,271602.65358719,3259.32820380639
589,86042,7510,33055453.0531545,32734.6099081329
590,86042,3104,243574.112773655,2762.64486837051
591,86042,7101,172575.653924735,3324.66467559261
592,86042,7148,94760.09722832,2252.12219096215
593,86042,7149,41419.884807165,1765.34370397797
594,86042,7511,14296604.7738711,20983.4832458161
595,86042,7512,38024497.3573918,31157.6365825507
596,86042,7011,34558.20923193,1502.51230814058
597,86042,7001,75187.617970585,1478.87305508287
598,86042,5107,202952.633524405,2977.04048113583
599,86042,7545,6088061.95776207,13201.5727029791
600,86042,7150,311601.070507865,6071.47891409427
601,86042,3105,202525.35286585,2642.45174381075
602,86042,8026,58573583.2210267,63791.3735368692
603,86042,9105,590356.72625713,4428.92691012955
604,86042,9075,131224225.818159,110778.198732119
605,86042,9076,3130683.60439368,10566.80092431
606,86042,7067,322729.30105094,5411.9643755794
607,86042,5105,33880.959762655,1207.47680914642
