OBJECTID,MUNICIPALITE,USAGE,ADRESSE,DATE_CREATION,HAUTEUR,ALTITUDE_TOIT,TYPE,SUPERFICIE,GEOM,Suivit_JP
238508,10043,Résidentielle,"366, Dollard Sud (Rue)",20061010,-0.45528447,14.62528515,4,28.8754,Polygone,
238509,10043,Résidentielle,"184, Braves (Rue des)",20160501,0.94768844,21.36537552,4,29.09506856,Polygone,
238510,10043,Résidentielle,"237, Mélèzes (Rue des)",20061010,0.25301679,40.58230972,4,37.728470385,Polygone,
238511,10043,Résidentielle,"488, De Denonville (Rue)",20061010,0.77328249,35.08821106,4,32.67195626,Polygone,
238512,10043,Résidentielle,"168, Braves (Rue des)",20061010,1.24818783,15.3753643,4,28.85373009,Polygone,
238513,10043,Résidentielle,"406, William-Price (Rue)",20061010,-1.64085061,13.82073879,4,33.4968,Polygone,
238514,10043,Résidentielle,"466, Cathédrale (Avenue de la)",20061010,0.67291005,53.62631989,4,56.9922,Polygone,
238515,10043,Résidentielle,"0, 13e Ouest (Rue)",20160501,-0.61891535,49.46564484,4,76.173989675,Polygone,
238516,10043,Résidentielle,"405, Vanier (Rue)",20061010,0.94881506,19.47510719,4,33.003324165,Polygone,
238517,10043,Résidentielle,"246, Maurice Sud (Rue)",20061010,0.93362836,41.60634613,4,32.96252409,Polygone,
238518,10043,Résidentielle,"241, Roy Sud (Rue)",20061010,0.53930806,37.7877655,4,32.46888014,Polygone,
238519,10043,Résidentielle,"359, Rouleau (Avenue en)",20061010,0.05618352,21.78387833,4,43.8708,Polygone,
238520,10043,Résidentielle,"16, 11e Ouest (Rue)",20061010,1.06437868,50.41335678,4,23.72782405,Polygone,
238521,10043,Résidentielle,"255, Notre-Dame Ouest (Rue)",20061010,1.29531581,12.22171116,4,31.52043764,Polygone,
238522,10043,Services,"55, 11e Est (Rue)",20061010,-1.30313502,50.60832977,4,53.493,Polygone,
238523,10043,Résidentielle,"177 - 179, Ouellet (Rue);172, Saint-Robert (Rue)",20160501,0.05514887,21.28049278,4,30.4432,Polygone,
238524,10043,Résidentielle,"253, Pineau (Rue)",20061010,0.63363445,31.9238205,4,31.63852806,Polygone,
238525,10043,Résidentielle,"498, Esplanade (Rue de l')",20061010,4.17118665,32.23697281,4,22.34798693,Polygone,
238526,10043,Résidentielle,"33, 8e Est (Rue)",20061010,0.52632657,44.48625946,4,27.77371474,Polygone,
238527,10043,Résidentielle,"29, Saint-Pierre (Rue)",20061010,-1.42046362,8.40074635,4,32.1294,Polygone,
238528,10043,Résidentielle,"327, Elzéar-Sasseville (Rue)",20160501,0.94692762,37.30200958,4,14.7468701,Polygone,
238529,10043,Résidentielle,"365, Saint-Jean-Baptiste Est (Rue)",20061010,-0.16809204,30.60995674,4,9.2544,Polygone,
238530,10043,Résidentielle,"123, Côté (Rue)",20160501,-1.00869238,2.83234048,4,58.1911,Polygone,
238531,10043,Résidentielle,"395, Pouliot Nord (Rue)",20061010,-0.56146378,5.21943569,4,39.1003,Polygone,
238532,10043,Résidentielle,"703, Commandant (Rue du)",20061010,0.85258441,18.43091774,4,35.0654,Polygone,
238533,10043,Résidentielle,"703, Mariniers (Rue des)",20061010,1.0934483,17.40078163,4,41.59801688,Polygone,
238534,10043,Résidentielle,"690, Marée (Rue de la)",20160501,1.52990409,8.65802097,4,33.144663875,Polygone,
238535,10043,Immeubles non exploités et étendues d'eau,"0, Chassé (Chemin)",20160501,-666,-666,2,20.137580915,Polygone,
238536,10043,Production et extraction de richesses naturelles,"0, 3e Rang",20061010,-666,-666,2,5.6752,Polygone,
238537,10043,Production et extraction de richesses naturelles,"1275, Bel-Air (Route du)",20061010,-666,-666,2,25.3336,Polygone,
238538,10043,Production et extraction de richesses naturelles,"1169 à 1183, Bel-Air (Route du)",20061010,-666,-666,2,4.6272,Polygone,
238539,10043,Résidentielle,"1411, Bel-Air (Route du)",20061010,-666,-666,2,144.8896,Polygone,
238540,10043,Services,"1351, Bel-Air (Route du)",20061010,-666,-666,2,185.1208,Polygone,
238541,10043,Production et extraction de richesses naturelles,"0, 3e Rang",20160501,-666,-666,2,8.73542412,Polygone,
238542,10043,, ,20160501,-666,-666,2,32.91380614,Polygone,
238543,10043,Résidentielle,"0, 3e Rang",20061010,-666,-666,2,104.8630565,Polygone,
238544,10043,Services,"1351, Bel-Air (Route du)",20061010,-666,-666,2,134.9008,Polygone,
238545,10043,Production et extraction de richesses naturelles,"0, 3e Rang",20061010,-666,-666,2,38.0688,Polygone,
238546,10043,Résidentielle,"1311, Bel-Air (Route du)",20061010,-666,-666,2,9.6728,Polygone,
238547,10043,Résidentielle,"1320, Bel-Air (Route du)",20061010,-666,-666,2,140.70225,Polygone,
