# accreditation;Nom_employeur;Adresse_employeur;Nom_association;Syndicat;Statut_arret_de_travail;Secteur_Prive_Public;Secteur_activite_economique;Code_activite_economique;Region_administrative;Nombre_de_travailleurs_touches;Nombre_de_jours_personnes_perdus_dans_annee;Debut_du_conflit;Date_de_fin;Date_expiration_derniere_convention_collective;Nombre_ jours_personnes_perdus_depuis_debut_du_conflit;Duree_jours_ouvrables_depuis_debut 
AQ10036679;College Notre-Dame des Champs;Sully Temiscouata (Quebec) ;Syndicat national des employes du College de Sully (CSN);CSN;Greve;Prive;Services d'enseignement;8521;Bas-Saint-Laurent;300;0;2023-11-21;2024-02-23;;1200;4
AQ20015361;Commission scolaire Eastern Shores (Eastern Shores School Board);40. rue Mount-sorrel.  New Carlisle G0C1Z0;Eastern Shores Union Support Staff (CSQ);CSQ;Greve;Public;Services d'enseignement;8511;Gaspesie--iles-de-la-Madeleine;139;0;2023-11-21;2024-02-16;2023-03-31;1167;8
AC30001464;The ILSC Education Group inc.;443. AV University   M5G2H6;Syndicat des travailleurs et travailleuses ILSC (Montreal) - CSN;CSN;Greve;Prive;Services d'enseignement;8521;Montreal;40;40;2023-11-22;2024-04-24;;80;2
AC30001464;ILSC Education Group;443 Av University M5G2H6;STT ILSC (Montreal);CSN;Greve;Public;Services d'enseignement;8541;Montreal;40;0;2023-11-22;2024-02-23;;40;1
AR20009861;Comite patronal de negociation pour les centres de services scolaires francophones (CPNCF);150. boulevard Rene-Levesque Est. 16e etage Quebec QC;Federation autonome de l'enseignement (FAE);IND LOC;Greve;Public;Services d'enseignement;8511;Plus d'une region;24696;0;2023-11-23;2024-02-02;2023-03-31;642096;26
AM10052942;College Regina Assumpta (1995);1750. rue Sauriol Est.  Montreal H2C1X4;Syndicat des enseignantes et des enseignants du College Regina Assumpta - CSN;CSN;Greve;Prive;Services d'enseignement;8511;Montreal;110;110;2023-10-05;;2022-06-30;330;3
AC30002626;Centre d'hebergement et de soins de longue duree Cote-Jardin inc.;880.  avenue Painchaud.  Quebec G1S0A3;Syndicat des professionnelles en soins de Quebec (SPSQ) (FIQP);IND PRO;Greve;Public;Services de sante et services sociaux;8628;Capitale-Nationale;0;0;2023-11-08;;;0;2
AR20007486;Comite patronal de negociation du secteur de la sante et des services sociaux (CPNSSS);3700. rue Berri. bureau 300. Montreal;Federation interprofessionelle de la sante du Quebec - (FIQ- Org.);IND PRO;Greve;Public;Services de sante et services sociaux;8600;Plus d'une region;5786;0;2023-11-08;;2023-03-31;3937;8
AM20017338;Le Renoir. societe en commandite;505. rue Cardinal.  Laval H7V3Y8;Syndicat des travailleuses et travailleurs des centres d'hebergement du Grand Montreal (CSN);CSN;Greve;Prive;Services de sante et services sociaux;8628;Laval;50;250;2023-12-20;2024-02-13;2023-03-31;400;8
AM20020158;La Presse inc.;750. boulevard Saint-Laurent.  Montreal H2Y2Z4;Syndicat des employes de bureau de journaux  (Region de Montreal);CSN;Greve;Prive;Imprimerie. edition et industries connexes;2841;Montreal;4;80;2023-12-27;2024-01-26;2021-12-31;92;23
AM10009197;Ville de Sainte-Marthe-sur-le-Lac;3000. chemin d'Oka.  Sainte-Marthe-sur-le-Lac J0N1P0;Syndicat canadien de la fonction publique Section locale 2804;FTQ;Greve;Public;Services des administrations locales;8351;Laurentides;28;3080;2023-11-28;;2019-12-31;3752;134
AM10013956;ecole de technologie superieure;1100. rue Notre-Dame Ouest.  Montreal H3C1K3;Syndicat canadien de la fonction publique. section locale 3187;FTQ;Greve;Public;Services d'enseignement;8531;Montreal;613;613;2024-01-17;2024-02-09;2022-03-31;613;1
AM20007153;Ro-Bus inc.;2825. boulevard Ford.  Chateauguay J6J4Z2;Unifor;FTQ;Greve;Prive;Transports;4573;Monteregie;55;605;2024-01-24;2024-02-07;2023-06-30;605;11
AM10009199;Ville de Sainte-Marthe-sur-le-Lac;3000. chemin d'Oka.  Sainte-Marthe-sur-le-Lac J0N1P0;Syndicat canadien de la fonction publique. section locale 1962 (FTQ);FTQ;Greve;Public;Services des administrations locales;8351;Laurentides;12;1320;2023-11-28;;2019-12-31;1608;134
AM20014516;Les autobus Robert ltee;204. boulevard du Richelieu.  Saint-Basile-le-Grand J3N1M4;Syndicat des travailleuses et travailleurs des Autobus Robert - CSN;CSN;Greve;Prive;Transports;4573;Monteregie;27;1188;2023-12-04;;2022-12-31;1728;64
AQ10033105;Ville de Chateau-Richer;8006. avenue Royale.  Chateau-Richer G0A1N0;Syndicat des employes municipaux de la  Cote de Beaupre (CSN);CSN;Greve;Public;Services des administrations locales;8351;Capitale-Nationale;6;9;2024-01-08;;2022-12-31;9;2
AQ10047156;Societe des etablissements de plein air du Quebec;Place de la Cite. Tour Cominar 2640. boulevard Laurier. bureau 1300 Quebec QC ;Travailleurs et travailleuses unis de l'alimentation et du commerce Section locale 501;FTQ;Greve;Public;Services de l'administration provinciale;8264;Capitale-Nationale;116;1740;2024-01-29;;2023-12-31;1740;15
