NO_REF_BIO,SUPERFICIE,NO_REG_ADM,NM_REG_ADM,MODE_GEST,STATUT,DTMAJ,DATE_PUBLI
08751R005,163.2,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08151R013,125.6,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
02551R137,105.2,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
09451R062,216.2,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
08351R119,184.2,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
02351R309,277.9,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
09452R013,141,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
06451R046,63.5,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
08651R007,109.1,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20210225000000,2023-04-01
01253R035,252.4,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
09751R008,180.4,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
07351R061,61.9,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
04151R042,82.9,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
11154R085,133.7,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
006-007,202.4,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08763R013,320.2,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
08152R010,251.3,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08751R034,195.6,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02662R019,123.7,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
08251R004,189,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02551R122,307.4,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
06252R036,198.2,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
06451R016,139.5,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
01251R060,163.2,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
11255R130,445.3,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
09751R016,150.1,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
08665R011,449.8,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
07352R041,91.9,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
09451R008,186.5,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
04352R085,72.7,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
09352R056,414.1,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
09451R105,221.2,09,Côte-Nord,59,Refuge biologique désigné,20221118000000,2023-04-01
11255R103,312.4,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02352R079,187.7,02,Saguenay--Lac-Saint-Jean,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
06252R044,68.9,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
08664R016,264.3,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02451R030,127.4,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
09452R028,766,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
08665R012,143.7,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
07152R046,84.5,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
08764R019,107.8,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
06451R174,56.6,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
06451R106,99.3,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
04251R088,391.6,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
02666R004,137.2,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
04251R148,139.1,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
07151R003,98.3,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
06451R133,54.7,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
09452R052,115.1,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
02551R102,330.3,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
11153R071,403.8,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02661R058,399.8,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
06451R192,105.5,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
08462R008,140,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
02665R018,216.4,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
09351R099,498.5,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
07451R021,169.1,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
08762R001,465.2,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
08151R034,142.5,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
09351R069,528.5,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
06451R138,94.8,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
08151R018,92.9,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
08551R003,166.7,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20210517000000,2023-04-01
01253R036,397.8,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
01253R027,361.8,01,Bas-Saint-Laurent,59,Refuge biologique désigné,20200619000000,2023-04-01
08351R056,109.1,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
04251R203,129.2,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
09351R005,102.1,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
02751R020,281.7,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
04251R503,149.7,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
02451R039,105,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
08351R078,260.4,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20230306000000,2023-04-01
04352R991,107.5,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
07451R100,136.9,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
03151R011,119.1,03,Capitale-Nationale,59,Refuge biologique désigné,20230228000000,2023-04-01
08351R060,132.9,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
11153R069,367.7,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
06451R094,305.7,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
11257R200,291.7,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02551R092,407.2,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
086-011,52.6,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
07351R031,111.3,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
06451R104,66.3,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
06252R031,55.6,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
03153R002,111.9,03,Capitale-Nationale,59,Refuge biologique désigné,20230228000000,2023-04-01
09751R042,129.9,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
08551R049,131.5,10,Nord-du-Québec,59,Refuge biologique désigné,20200619000000,2023-04-01
11153R038,354.6,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02665R021,142.5,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
02451R025,410.5,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
03551R011,51.6,12,Chaudière-Appalaches,59,Refuge biologique désigné,20230228000000,2023-04-01
07152R041,113,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
07352R053,72.7,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
01253R028,199.8,01,Bas-Saint-Laurent,59,Refuge biologique désigné,20200619000000,2023-04-01
07151R023,79.4,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
06152R023,60.2,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
09452R062,112.6,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
04151R051,118.1,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
04352R916,110.2,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
02664R016,364.5,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
07351R050,107.6,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
04251R179,188.7,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
07152R083,50.2,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
09751R094,56.2,09,Côte-Nord,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
09751R057,211.8,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
04151R019,136.9,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
01251R069,113.1,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
06451R051,101.4,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
06251R047,56.9,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
06452R016,91.2,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
02662R018,188.8,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
04251R504,116,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
088-007,29.9,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
09751R010,446,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
09451R092,450.9,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
08666R022,221.4,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
06151R011,114,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
04251R017,371.4,04,Mauricie,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
07351R008,177.1,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
11256R169,1968.1,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08351R017,149.5,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08451R003,245.3,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
06152R021,73.5,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
02551R047,256.9,02,Saguenay--Lac-Saint-Jean,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
07151R051,87.3,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
07352R056,68.7,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
08351R041,124.6,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
07352R025,52.5,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
01253R068,213.2,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
04251R132,201.5,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
04351R008,246.4,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
06451R099,60.8,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
09551R015,329.8,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
04352R052,147.4,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
04352R084,93.9,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
08251R022,297.9,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
09751R169,88.6,09,Côte-Nord,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
04251R192,106.1,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
06452R010,127.5,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
03351R052,141.9,03,Capitale-Nationale,59,Refuge biologique désigné,20230228000000,2023-04-01
04151R076,211.6,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
02352R009,407.3,03,Capitale-Nationale,59,Refuge biologique désigné,20200619000000,2023-04-01
07151R012,57.7,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
11256R145,355.6,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20220823000000,2023-04-01
07152R047,155.6,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
08651R002,128.6,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
09452R006,145.6,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
01252R040,150,01,Bas-Saint-Laurent,59,Refuge biologique désigné,20200619000000,2023-04-01
03153R015,261.7,03,Capitale-Nationale,59,Refuge biologique désigné,20230228000000,2023-04-01
087-002,38.5,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
07451R037,98.5,07,Outaouais,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
07351R009,124.7,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
021-001,68.1,03,Capitale-Nationale,59,Refuge biologique désigné,20200619000000,2023-04-01
08451R029,129.3,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20210225000000,2023-04-01
07351R002,130.4,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
03351R027,104,03,Capitale-Nationale,59,Refuge biologique désigné,20230228000000,2023-04-01
02661R074,150.5,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
01151R010,87.9,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
06452R022,78.2,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
02351R022,296.9,03,Capitale-Nationale,59,Refuge biologique désigné,20200619000000,2023-04-01
01254R004,152.1,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
07152R066,71.7,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
07351R051,70.9,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
08152R045,180.8,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
09452R058,158.1,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
02751R048,284.3,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
06452R033,64.2,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
03351R049,137.3,03,Capitale-Nationale,59,Refuge biologique désigné,20230228000000,2023-04-01
09451R041,144.8,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
03351R010,100,03,Capitale-Nationale,59,Refuge biologique désigné,20230228000000,2023-04-01
11151R008,411.5,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02451R005,113.9,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
08751R011,145,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
08351R044,27.9,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
088-003,95.1,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08652R032,173.5,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
09751R130,105.7,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
11256R154,303.5,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
09352R024,158.1,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
013-003,74.2,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02451R017,101.5,02,Saguenay--Lac-Saint-Jean,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
06451R068,141,15,Laurentides,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
11154R084,142.7,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
08751R036,270.9,10,Nord-du-Québec,59,Refuge biologique désigné,20200619000000,2023-04-01
09351R004,114.7,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
04251R099,127.6,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
07352R043,106.6,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
09751R092,104.5,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
083-001,104.7,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
08351R059,166.7,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
04251R202,229.3,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
04151R055,82,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
09451R030,482.3,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
01251R057,62.8,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
11257R196,145,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
08751R027,183.8,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08551R078,105.1,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08562R004,121.9,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
06451R105,69.5,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
09451R074,111.3,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
09352R020,131,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
08351R026,141.2,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20220718000000,2023-04-01
08451R042,101.6,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
09751R162,229.4,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
11152R033,136,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
03153R008,242,03,Capitale-Nationale,59,Refuge biologique désigné,20230228000000,2023-04-01
07152R030,115.5,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
09551R007,121.5,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
02352R029,360.4,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
02352R003,180.6,03,Capitale-Nationale,59,Refuge biologique désigné,20200619000000,2023-04-01
02663R011,190.9,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
06451R132,68.2,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
02352R030,179.2,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
04351R709,34.6,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
01151R002,363.8,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20220302000000,2023-04-01
11152R023,110.7,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
09351R113,231.1,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
02352R058,178.4,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
04251R217,175.6,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
08666R004,298.1,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
09751R152,136.9,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
07152R084,86.9,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
01254R007,146.5,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08651R032,101.9,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20210225000000,2023-04-01
11255R123,275.4,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
09751R154,328.6,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
08462R015,277.2,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
04251R036,171.7,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
08652R003,177.8,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
012-001,65.7,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
04352R747,114.7,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
04351R022,111.2,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
06251R008,76,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
021-002,56.1,03,Capitale-Nationale,59,Refuge biologique désigné,20200619000000,2023-04-01
09751R311,483.5,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
08551R071,210.4,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02664R029,130.3,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
08151R050,180.1,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
09551R005,125.3,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
02551R134,146.1,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
07151R031,106.8,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
07152R014,128,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
07351R006,158.5,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
02551R063,1120.8,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
01252R042,99,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
08152R024,146.2,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
09352R034,276.9,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
04351R044,211.3,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
08762R013,358.3,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
06451R159,107.1,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
02351R065,173.6,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20211209000000,2023-04-01
06152R007,66.6,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
09451R011,117.3,09,Côte-Nord,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
11153R074,1745.4,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
03451R001,134.3,12,Chaudière-Appalaches,55,Projet de refuge biologique exclu de la production forestière,20230228000000,2023-04-01
02751R054,598.5,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
06451R064,63.7,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
02352R015,373.1,03,Capitale-Nationale,59,Refuge biologique désigné,20200619000000,2023-04-01
