PrjName,RecordNo,JOUR,PERIO,QC,QB,Q13,Q1AM1,Q1AM1O,Q1AM2,Q1AM2O,Q1AM3,Q1AM3O,Q1AM4,Q1AM4O,Q1AM5,Q1AM5O,Q1B,Q1BO,Q1C,Q2AA,Q2AB,Q2AC,Q2AD,Q2AE,Q2BA,Q2BB,Q2BC,Q2BD,Q2BE,Q3,Q4M1,Q4M1O,Q4M2,Q4M2O,Q4M3,Q4M3O,Q4M4,Q4M4O,Q4M5,Q4M5O,Q5,Q6,Q7,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q10,Q11,Q12,Q14,Q14O,Q15,Q16,Q16B,Q16BO,Q16C,Q16CO,Q17,LANG;,,,,,
12000_112B,1022,2,1,H1A1W6,12,5,10, ,1, , , , , , , ,10, ,1,1,1,2,2,2,1,2, , , ,2, , , , , , , , , , ,1,2, ,4,3,2,2,2,1,4,2,2,3,4,10,1, ,1,2,3, ,1, ,1,FR;,,,,,
12000_112B,1025,4,2,H1H4J5,8,2,14,un arbre devant la maison à abattre,1, , , , , , , ,14,un arbre devant la maison à abattre.,2,2,2,2,2,2, , , , , ,1,12,on ne voulait pas m'écouter., , , , , , , , ,9,2, ,4,4,4,4,4,4,9,4,4,4,4,10,2, ,1,4,8,travailleur autonome,9, ,2,FR;,,,,,
12000_112B,1031,1,2,H4E4J2,16,5,4, ,21,Des chiens qui se promènent sans laisse, , , , , , ,4, ,4,2,1,2,2,1, ,10, , ,4,1,3, , , , , , , , , ,2,2, ,4,4,4,4,4,4,4,4,4,4,4,10,3, ,2,3,5, ,1, ,2,FR;,,,,,
12000_112B,1036,3,1,H4A2R4,3,3,1,Par rapport aux encombrants., , , , , , , , , , ,1,2,2,2,1,2, , , ,1, ,2, , , , , , , , , , ,9,2, ,1,1,9,1,1,1,3,3,1,2,2,7,3, ,2,3,1, ,1, ,2,FR;,,,,,
12000_112B,1037,2,1,H3G1X8,18,6,6,about circulation, , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,1,1,1,1,1,1,9,1,2,2,1,1, ,2,2,3, ,2, ,1,EN;,,,,,
12000_112B,1038,2,2,H2R1X1,19,5,14,Arbre, , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,1,1,1,1,1,1,1,1,2,1,1,4, ,2,2,3, ,1, ,2,FR;,,,,,
12000_112B,1039,5,2,H2L2X4,18,6,4, , , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,2,4,2,3,2,2,3,3,2,3,3,10,4, ,2,3,1, ,1, ,2,FR;,,,,,
12000_112B,1044,1,2,H1R2X3,15,5,14,TO CUT BRANCHES OF THE TREES FACING MY HOUSE., , , , , , , , , , ,3,2,2,2,2,2, , , , , ,1,8,THEY GIVE ME EXCUSES., , , , , , , , ,2,2, ,4,4,4,3,4,2,3,4,1,4,4,8,1, ,2,3,1, ,7, ,2,EN;,,,,,
12000_112B,1047,5,2,H4H2C9,17,2,1, , , , , , , , , , , ,2,2,1,2,2,2, ,1, , , ,2, , , , , , , , , , ,1,2, ,5,2,2,2,2,1,2,2,2,2,2,7,3, ,2,9,1, ,1, ,2,FR;,,,,,
12000_112B,1049,5,2,H1E3B5,12,5,1, ,7, ,97,Inspecteur compteur d'eau, , , , ,25,Inspecteur compteur d'eau,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,3,2,3,2,1,3,2,3,3,3,2,4, ,2,3,1, ,1, ,2,FR;,,,,,
12000_112B,1052,3,2,H2N2T5,1,2,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,2,1,1,1,1,1,9,9,1,2,1,2,3, ,2,2,99, ,1, ,1,FR;,,,,,
12000_112B,1053,2,2,H3A2B4,17,4,7, , , , , , , , , , , ,2,2,1,2,2,2, ,1, , , ,2, , , , , , , , , , ,1,2, ,3,9,2,2,2,2,3,3,2,3,3,6,2, ,2,2,1, ,1, ,1,FR;,,,,,
12000_112B,1054,1,2,H1S2B2,15,6,14,QUELQU'UN ÉTAIT EN TRAIN DE COUPER UN ARBRE EN ARRIERE DE CHEZ NOUS., , , , , , , , , , ,1,2,2,2,2,2, , , , , ,1,11,ATTENTE TROP LONGUE. AI FERMÉ LA LIGNE., , , , , , , , ,9,9, ,4,4,9,9,9,9,4,9,4,3,4,1,1, ,2,4,3, ,1, ,1,FR;,,,,,
12000_112B,1055,3,2,H1N0B6,7,5,11, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,1,2,1,1,4, ,2,3,3, ,1, ,1,FR;,,,,,
12000_112B,1062,1,2,H1T2W1,13,4,14,cutting a tree et egout,7, , , , , , , , , ,7,1,2,2,2,2,1, , , , ,1,7, , , , , , , , , ,2,2, ,4,3,3,3,3,2,3,3,2,4,4,7,2, ,1,3,1, ,2, ,1,EN;,,,,,
12000_112B,1063,5,2,H2H2A9,11,1,14,Branche d'arbre tombée dans cour, , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,2,1,2,1,1,2,2,2,2,2,2,5, ,2,4,1, ,1, ,2,FR;,,,,,
12000_112B,1067,3,2,H3S1M8,3,6,15,Balayage des trottoires, , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,2,2,2,2,2,2,2,2,2,2,2,8,1,Moi et mon marie,2,3,3, ,99,Romaine,2,FR;,,,,,
12000_112B,1068,1,2,H2J3W5,11,3,1, , , , , , , , , , , ,3,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,4,9,2,2,2,2,2,9,2,4,4,1,2, ,2,4,5, ,1, ,2,FR;,,,,,
12000_112B,1076,5,1,H1Y1P2,13,4,20,Demande avoir des arbres, , , , , , , , , , ,10,2,2,1,2,2, , ,1, , ,2, , , , , , , , , , ,9,2, ,4,2,9,2,2,2,4,3,1,3,2,8,3, ,1,4,1, ,1, ,2,FR;,,,,,
12000_112B,1077,4,2,H1G2G5,8,6,12, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,2,2, ,4,2,2,3,2,2,2,2,2,3,3,6,1, ,1,1,3, ,1, ,2,FR;,,,,,
12000_112B,1078,1,1,H1Y2Z7,13,3,19,Rénovations, , , , , , , , , , ,5,1,2,2,2,2,4, , , , ,1,16,N'a pas eu le temps de parler à un employé même si je suis arrivé avant la fermeture (ils voulaient pas rester plus tard qur 4h30), , , , , , , , ,2,2, ,3,3,3,2,3,2,3,3,4,3,3,5,2, ,1,4,1, ,1, ,2,FR;,,,,,
12000_112B,1082,5,1,H4A2L6,3,3,14,trees / speed bumps on his street, , , , , , , , , , ,4,2,2,2,2,2, , , , , ,1,10, , , , , , , , , ,2,2, ,5,2,3,2,3,2,9,3,2,3,3,8,2, ,1,3,1, ,2, ,1,EN;,,,,,
12000_112B,1083,2,2,H2K2C5,18,3,4,POUR DES TRAVAUX MAL FAITS AU NIVEAU DE LA VOIRIE., , , , , , , , , , ,4,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,2,2,2,2,2,2,2,2,2,9,4, ,1,4,1, ,1, ,2,FR;,,,,,
12000_112B,1086,5,2,H1G1M8,8,1,3, , , , , , , , , , , ,1,2,1,2,1,2, ,4, ,1, ,1,14,Un message enregistré disait que le numéro n'est pas pas valide., , , , , , , , ,1,2, ,1,2,9,3,2,2,3,2,2,3,2,6,4, ,2,2,4, ,1, ,1,FR;,,,,,
12000_112B,1089,2,2,H1A5E5,12,4,1, ,4, , , , , , , ,1, ,7,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,1,2,1,1,1, ,1,4,1, ,1, ,1,FR;,,,,,
12000_112B,1090,5,2,999999,13,6,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,2,1,1,1,2,1,1,1,1,1,1,1,4, ,2,3,3, ,1, ,1,FR;,,,,,
"""12000_112B",1091,5,1,H4C2S5,16,4,25,"""""A fait des travaux"," a telephone a la ville pour savoir si une subvention était disponible pour elle mais c'était trop tard.""""", , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,2,3,2,2,2,2,2,4,2,2,1, ,1,2,1, ,1, ,2,"FR"";",,,,
12000_112B,1094,5,2,H2P2X9,11,4,16,film making in my neighborhood (disturb me 7 or 8) take all the parking can't walk my dog, , , , , , , , , , ,1,2,1,2,2,2, ,1, , , ,2, , , , , , , , , , ,1,2, ,4,2,2,9,2,1,2,9,2,3,3,98,2, ,1,4,1, ,2, ,1,EN;,,,,,
12000_112B,1095,1,2,H2E2H5,13,3,25,pour mon Entreprise, , , , , , , , , , ,1,1,1,2,2,2,1,1, , , ,2, , , , , , , , , , ,1,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2, ,2,4,1, ,1, ,1,FR;,,,,,
12000_112B,1098,1,2,H1T3M7,13,4,9, ,25,CLSC, , , , , , ,9, ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,2,2, ,1,2,2,2,2,2,2,1,2,2,2,4,4,Je vis seule avec ma famille et elle est autonome,2,2,6, ,1, ,2,FR;,,,,,
12000_112B,1107,3,2,H1K1C2,2,3,27,Avait reçu un avis de la ville pour une haie trop haute., , , , , , , , , , ,1,2,2,2,1,2, , , ,1, ,2, , , , , , , , , , ,9,2, ,1,1,1,1,1,1,1,1,1,2,1,1,2, ,1,4,1, ,1, ,1,FR;,,,,,
12000_112B,1109,1,2,H2T2C1,11,4,12, , , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,4,2,1,1,1,1,2,1,1,2,2,3,4, ,2,4,8,Autonome,1, ,2,FR;,,,,,
12000_112B,1121,5,2,H4C3A6,16,4,7,Baisse de pression d'eau., , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,9,1,1,1,1,1,1,1,2,1,6,3, ,2,3,6, ,1, ,2,FR;,,,,,
12000_112B,1122,5,2,H3W1B8,3,3,7, , , , , , , , , , , ,1,1,1,2,2,2,2,2, , , ,1,7, , , , , , , , , ,1,2, ,1,2,2,2,2,1,2,2,2,2,2,2,2, ,2,4,8,Self employee,99,Tagalog,2,EN;,,,,,
12000_112B,1126,2,2,H2P2E9,19,4,16,Stationnement (zones de résidents non respectées),4, , , , , , , ,16,Stationnement (zones de résidents non respectées),99,2,2,1,2,2, , ,2, , ,1,3, ,10, ,8, , , , , ,2,2, ,4,4,9,3,9,2,4,3,2,4,4,10,1, ,1,4,1, ,1, ,1,FR;,,,,,
12000_112B,1129,3,1,H8R1S7,16,2,10, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,2,2,2,2,2,2,2,2,2,5,4, ,2,3,1, ,1, ,1,FR;,,,,,
12000_112B,1130,2,2,H2L0A8,18,3,15,signaler oiseau mort,4,panneau de signalisation temporaire déplacé., , , , , , ,21,signaler oiseau mort,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,9,9,1,1,1,1,9,1,2,1,1,4, ,1,4,1, ,1, ,1,FR;,,,,,
12000_112B,1135,5,1,H2H1M6,11,2,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,9,1,1,1,1,1,2,1,2,4, ,2,3,4, ,1, ,1,FR;,,,,,
12000_112B,1138,5,2,H3J2T4,16,6,1, , , , , , , , , , , ,1,2,2,2,1,2, , , ,2, ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,1,2,1,6,1, ,1,4,3, ,1, ,1,FR;,,,,,
12000_112B,1144,3,2,H1V2C1,7,3,15,Pour faire nettoyer un dégat qui avait eu lieu sur le trottoir.,7, , , , , , , ,4,Le dégat sur le trottoir. Un immense caca de chien devant un arret de bus.,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,4,4,1,1,1,1,4,2,1,4,3,2,3, ,2,2,1, ,1, ,2,FR;,,,,,
12000_112B,1147,4,2,H9H3X7,10,2,1,latte de métal qui manquait dans les égouts et le compostage,7, , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,9,9,2,3,2,2,9,2,9,3,3,98,2, ,1,2,5, ,2, ,2,FR;,,,,,
12000_112B,1150,1,2,H1X2G3,13,6,1, , , , , , , , , , , ,2,1,2,2,2,2,2, , , , ,2, , , , , , , , , , ,1,2, ,5,2,1,2,1,2,2,2,1,2,2,8,1, ,1,2,8,À son compte,1, ,2,FR;,,,,,
12000_112B,1151,4,2,H2E1Y6,19,6,1, , , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,2,2,1,3,1, ,2,3,2, ,1, ,1,FR;,,,,,
12000_112B,1155,5,2,H2T2W4,11,3,12, ,1, , , , , , , ,12, ,2,2,1,2,2,2, ,3, , , ,2, , , , , , , , , , ,1,2, ,2,2,2,2,2,2,2,2,2,2,2,7,2, ,2,4,1, ,1, ,1,FR;,,,,,
12000_112B,1156,4,1,H1H4N5,8,6,97,replacer le gazon devant l'école, , , , , , , , , , ,3,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,2,1,2,2,2,1,2,9,2,2,2,8,4, ,1,2,3, ,1, ,2,FR;,,,,,
12000_112B,1158,5,2,H8T2X9,5,1,1, , , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,4,1, ,2, ,1,FR;,,,,,
12000_112B,1159,3,2,H4A2L4,3,6,4, ,7, , , , , , , ,7, ,3,1,2,2,2,2,1, , , , ,1,20,Les délais pour faire les travaux, , , , , , , , ,1,2, ,1,3,1,2,1,1,3,2,1,1,2,5,1, ,1,4,3, ,1, ,1,FR;,,,,,
12000_112B,1161,3,1,H3L2J5,1,6,20,POUR UNE INFORMATION SUR LA PLANTATION D'ARBRES DANS LA RUE., , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,1,1,1,1,1,1,1,2,2,1,5,4, ,1,4,3, ,1, ,2,FR;,,,,,
12000_112B,1162,5,2,H1K3G7,2,1,25,1-informations piscines 2-Permis vente de garage (plus récent), , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,1,2,2,1,2,2,2,2,1,8,2, ,2,2,5,congé de maternité,3, ,2,FR;,,,,,
12000_112B,1164,1,2,H3J0B1,16,5,10, , , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,2,2,1,1,1,2,1,2,2,1,7,4, ,1,4,1, ,2, ,2,EN;,,,,,
12000_112B,1168,1,2,999999,16,6,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,2,2, ,1,2,2,2,2,2,2,9,2,2,2,7,1, ,1,4,3, ,2, ,2,FR;,,,,,
12000_112B,1169,5,2,H2K3P6,11,2,13, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,1,1,1,1,1,1,1,1,1,2,3, ,2,4,4, ,8, ,2,FR;,,,,,
12000_112B,1171,2,2,H2A2X7,19,4,1, ,27,bouton pour le passage piéton qui ne fonctionnait plus, , , , , , ,1, ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,2,1,1,1,1,1,1,9,1,2,2,1,2, ,1,4,1, ,1, ,2,FR;,,,,,
12000_112B,1175,1,1,H1P3W8,7,4,7, , , , , , , , , , , ,5,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,2,2,2,2,2,1,2,2,1,2,2,3,2, ,1,2,2, ,2, ,1,EN;,,,,,
12000_112B,1177,5,2,H3E1C4,17,4,4, ,3, , , , , , , ,3, ,1,2,2,2,1,2, , , ,1, ,1,10, , , , , , , , , ,1,2, ,4,9,9,9,1,1,9,9,1,9,3,7,1, ,1,4,3, ,2, ,2,FR;,,,,,
12000_112B,1183,5,2,H9A3K5,10,3,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,3,2,2,2,2,2,1,9,1,3,3,4,2, ,1,4,1, ,2, ,2,EN;,,,,,
12000_112B,1185,3,2,H1Y2R8,13,6,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,2,2, ,1,2,2,2,2,2,2,2,2,2,2,5,4, ,2,1,3, ,1, ,1,FR;,,,,,
12000_112B,1188,5,2,H1G5X1,8,4,14,ramassage de branches/information sur travaux,4, , , , , , , ,25,informations sur courriel des conseillers de Montréal Nord,1,2,1,2,1,2, ,2, ,5, ,2, , , , , , , , , , ,1,2, ,4,2,1,1,2,1,9,1,1,2,2,8,1, ,1,4,3, ,1, ,1,FR;,,,,,
12000_112B,1189,5,2,H2K3X1,18,3,6,Danger Voiture roulait trop vite, , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,4,4,2,9,9,2,4,2,2,4,4,98,2, ,1,4,1, ,1, ,1,FR;,,,,,
12000_112B,1190,3,2,H1M3V8,13,5,1, , , , , , , , , , , ,4,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,2,2, ,4,4,2,3,3,2,4,9,4,4,4,10,2, ,1,4,1, ,99,Vietnamien,1,FR;,,,,,
12000_112B,1191,5,2,H1L2A8,7,5,16,Stationnement, , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,2,9,1,1,1,1,1,1,1,2,2,2,9,Retraité,1,4,3, ,7, ,1,FR;,,,,,
12000_112B,1193,2,2,H1A3L8,12,4,1, , , , , , , , , , , ,3,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,2,1,1,1,1,1,2,1,3,5, ,1,2,1, ,1, ,1,FR;,,,,,
12000_112B,1203,1,2,H4C1P6,16,3,22,danger lié a travaux sur la rue.,1, , , , , , , ,6,danger lié a travaux sur la rue.,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,3,3,9,2,2,2,3,3,2,3,3,5,5, ,2,4,1, ,1, ,2,FR;,,,,,
12000_112B,1204,1,2,H4C2N2,16,6,4, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,2,2,2,2,2,2,2,2,1,9,4, ,2,1,3, ,1, ,1,FR;,,,,,
12000_112B,1205,3,1,H7N5C1,3,3,4, ,16,problème enseigne stationnement., , , , , , ,4, ,99,2,1,2,2,2, ,5, , , ,1,11,longue attente, , , , , , , , ,1,2, ,2,3,2,3,2,2,3,9,9,3,3,7,4, ,2,2,1, ,2, ,2,FR;,,,,,
12000_112B,1210,1,2,H2G1W8,13,4,1, , , , , , , , , , , ,3,2,2,2,2,2, , , , , ,1,4, , , , , , , , , ,9,2, ,1,1,1,1,1,1,2,1,2,2,1,2,4, ,2,4,1, ,1, ,1,FR;,,,,,
12000_112B,1212,5,2,H2L2P5,18,3,7, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,1,2,1,2,1, ,1,4,1, ,1, ,1,FR;,,,,,
12000_112B,1217,5,1,H2S2R2,13,3,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,1,2,1,1,2, ,2,4,1, ,1, ,2,FR;,,,,,
12000_112B,1218,5,1,H8P1L1,5,3,4,grosse roche sur la rue, , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,9,9,9,9,9,9,9,9,1,2,2,4,5, ,2,4,8,autonome,1, ,2,FR;,,,,,
12000_112B,1220,3,2,H3W1T8,3,6,16,Savoir si nous pouvons réserver un stationnement pour un déménager., , , , , , , , , , ,1,2,2,2,2,2, , , , , ,1,6, , , , , , , , , ,1,1,4,4,9,9,2,3,2,3,3,3,4,4,7,1, ,1,4,3, ,1, ,1,FR;,,,,,
12000_112B,1221,2,2,H1E2A5,12,5,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,2,2,1,1,2, ,1,3,1, ,1, ,2,FR;,,,,,
12000_112B,1225,1,2,H1R2L2,15,5,7, , , , , , , , , , , ,4,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,2,3,1,1,1,1,2,2,1,2,2,7,1, ,1,1,3, ,7, ,2,FR;,,,,,
12000_112B,1227,5,2,H1H3S3,8,6,1, , , , , , , , , , , ,3,1,2,2,2,2,2, , , , ,2, , , , , , , , , , ,9,2, ,9,2,1,1,1,1,9,1,1,2,1,6,4, ,2,4,3, ,1, ,1,FR;,,,,,
12000_112B,1228,2,2,H2A2V3,19,2,6,Homelessness, , , , , , , , , , ,1,2,2,1,2,2, , ,1, , ,2, , , , , , , , , , ,1,2, ,2,2,2,2,2,1,2,2,2,3,2,7,5, ,2,4,6, ,2, ,2,EN;,,,,,
12000_112B,1231,5,2,H1S1W1,15,3,4, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,2,2,2,2,2,1,1,2,2,3,9, ,2,3,1, ,1, ,1,FR;,,,,,
12000_112B,1233,3,2,H1X2R2,13,5,4,Trou à coté d'une borne fontaine, , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,1,2,1,3,1, ,1,2,3, ,1, ,1,FR;,,,,,
12000_112B,1237,3,2,H1K2C3,2,6,14,branche d'arbre, , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,2,3,2,3,2,2,2,2,2,2,2,5,1, ,1,3,3, ,1, ,1,FR;,,,,,
12000_112B,1241,5,1,H2W2K8,11,4,1, , , , , , , , , , , ,4,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,2,2,1,1,2,3,2,2,2,5,4, ,2,2,1, ,1, ,2,FR;,,,,,
12000_112B,1242,1,2,H2R2W7,13,2,10, , , , , , , , , , , ,3,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,2,1,2,1,1,1,1,2,2,2,2,4, ,1,4,1, ,1, ,2,FR;,,,,,
"""12000_112B",1244,4,1,H8Z3M3,10,6,4, ,22,travaux publics, , , , , , ,22,travaux publics.,4,2,1,2,2,2, ,4, , , ,1,11,"""""le système est pourri"," il faut attendre 30 minutes pour parler à quelqu'un au 311.""""",4, , , , , , , ,9,2, ,2,9,9,2,2,2,9,3,4,2,2,5,1, ,1,4,3, ,1, ,1,"FR"";",,,,
12000_112B,1246,5,2,H2C1G6,1,1,25,offre d'emploi, , , , , , , , , , ,3,2,2,2,1,2, , , ,2, ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,1,2,1,1,4, ,2,2,6, ,1, ,1,FR;,,,,,
12000_112B,1250,5,2,H2R2L2,19,3,7,odeur d'essence dans les égoûts. (au parc), , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,1,9,1,1,1,1,1,1,2,1,2,3, ,2,4,1, ,1, ,2,FR;,,,,,
12000_112B,1251,1,2,H1Y1M9,13,2,25,demande de renseignement, , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,4,3,2,4,9,1,9,9,1,3,4,2,5, ,2,2,6, ,1, ,2,FR;,,,,,
