id,permit_permit_id,contractnumber,boroughid,permitcategory,currentstatus,duration_start_date,duration_end_date,reason_category,occupancy_name,submittercategory,organizationname,duration_days_mon_active,duration_days_mon_all_day_round,duration_days_tue_active,duration_days_tue_all_day_round,duration_days_wed_active,duration_days_wed_all_day_round,duration_days_thu_active,duration_days_thu_all_day_round,duration_days_fri_active,duration_days_fri_all_day_round,duration_days_sat_active,duration_days_sat_all_day_round,duration_days_sun_active,duration_days_sun_all_day_round,duration_days_sat_start_time,duration_days_sat_end_time,duration_days_mon_start_time,duration_days_mon_end_time,duration_days_tue_start_time,duration_days_tue_end_time,duration_days_wed_start_time,duration_days_wed_end_time,duration_days_thu_start_time,duration_days_thu_end_time,duration_days_fri_start_time,duration_days_fri_end_time,duration_days_sun_start_time,duration_days_sun_end_time,load_date,longitude,latitude
"66a165ba98d4d40019086bed","OCC-2407TC21289122","413","Le Sud-Ouest","Travaux","Permis émis","2024-08-04T20:00:00Z","2024-09-26T19:59:59Z","Autre","Lacroix entre Allard et Trinitaires","Entrepreneur sous contrat avec la Ville de Montréal","Les Pavages Céka","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00",,,"2024-07-27T00:01:17Z",-73.60160836042921,45.448019005139074
"66a23c239ddfb6001953ae5d","OCC-2407HW21174549","23005","Verdun","Travaux","Permis émis","2024-07-24T20:00:00Z","2024-08-31T19:59:59Z","Trottoirs - Construction","Verdun entre 4e et 5e","Entrepreneur sous contrat avec la Ville de Montréal","Environnement Routier NRJ Inc.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-27T00:01:17Z",-73.57186666600157,45.45661683940885
"66a23ebf9ddfb6001953ae85","OCC-2407GM21407005","1653046","Mercier-Hochelaga-Maisonneuve","Travaux","Permis émis","2024-07-28T20:00:00Z","2024-08-30T19:59:59Z","Trottoirs - Construction","De Contrecoeur entre Sherbrooke et De Grosbois","Entrepreneur sous contrat avec la Ville de Montréal","Construction Larotek inc","t","t","t","t","t","t","t","t","t","t","f","f","f","f",,,,,,,,,,,,,,,"2024-07-27T00:01:17Z",-73.52930313738696,45.612464832662354
"66a250979ddfb6001953b139","OCC-2407IS21262610",,"St-Laurent","Travaux","Permis émis","2024-08-04T20:00:00Z","2024-08-12T19:59:59Z","Construction/rénovation sans excavation","Montérégiennes entre William-Longhurst et Elsie-MacGill","Entreprise","Sol-Vert","t","t","t","t","t","t","t","t","t","t","f","f","f","f",,,,,,,,,,,,,,,"2024-07-27T00:01:17Z",-73.70819029385427,45.517089911347206
"66a15a599ddfb6001953ac87","OCC-2408CM04842041",,"St-Laurent","Travaux","Permis émis","2024-08-05T20:00:00Z","2024-10-31T19:59:59Z","Construction/rénovation sans excavation","40 entre 40 et 40","Organisation publique ou son sous-traitant","Loiselle inc.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-08-08T00:01:15Z",-73.67419424890585,45.496995896917326
"66a2530d9ddfb6001953b153","OCC-2407XU21221812",,"Pierrefonds-Roxboro","Travaux","Permis émis","2024-05-08T20:00:00Z","2024-08-16T19:59:59Z","Autre","Gouin entre 4e et Gouin","Organisation publique ou son sous-traitant","NouvLR","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-27T00:01:17Z",-73.81261324508526,45.51073419735674
"66a29f923d6718001964bc41","OCC-2407IB21418039","1653046","Mercier-Hochelaga-Maisonneuve","Travaux","Permis émis","2024-07-28T20:00:00Z","2024-08-30T19:59:59Z","Trottoirs - Construction","De Contrecoeur entre Marie-Ange-Bouchard et Myra-Cree","Entrepreneur sous contrat avec la Ville de Montréal","Construction Larotek inc","t","t","t","t","t","t","t","t","t","t","f","f","f","f",,,,,,,,,,,,,,,"2024-07-27T00:01:17Z",-73.53059189531668,45.61270177194063
"66a293909ddfb6001953b7a7","OCC-2407NA21396659",,"Ville-Marie","Travaux","Permis émis","2024-08-05T20:00:00Z","2024-08-26T19:59:59Z","S-3 Infrastructure souterraine majeure - Puits d'accès","Atateken entre Amherst et De La Gauchetière","CSEM (Commission des services électriques de Montréal) ou son sous-traitant
","CMS Entrepreneurs Généraux Inc.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-27T00:01:17Z",-73.55313797527491,45.51569584464681
"6696d2441d773e001956e20a","OCC-2407PF22323672","542402","Le Plateau-Mont-Royal","Travaux","Permis émis","2024-08-11T20:00:00Z","2024-08-23T19:59:59Z","Réseaux routier - Réfection et travaux corrélatifs","Rivard entre Rachel et Marie-Anne","Entrepreneur sous contrat avec la Ville de Montréal","Eurovia Québec Construction","t","t","t","t","t","t","t","t","t","t","f","f","f","f",,,,,,,,,,,,,,,"2024-07-28T00:01:09Z",-73.57858212705479,45.522755295452896
"66a06def39ccdb0019575b17","OCC-2407ND22266676","509803","Ahuntsic-Cartierville","Travaux","Permis émis","2024-07-27T20:00:00Z","2024-08-16T19:59:59Z","Autre","Cartier entre Sauriol et Prieur","Entrepreneur sous contrat avec la Ville de Montréal","Demix construction","t","f","t","f","t","f","t","f","t","f","t","f","t","f","08:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","09:00","19:00","2024-07-28T00:01:09Z",-73.65309562919174,45.568905415965446
