id_request,streetid,streetimpactwidth,streetimpacttype,nbfreeparkingplace,sidewalk_blockedtype,backsidewalk_blockedtype,bikepath_blockedtype,name,shortname,fromname,fromshortname,toname,toshortname,length,isarterial,stmimpact_blockedtype,otherproviderimpact_blockedtype,reservedlane_blockedtype
"66103e0b5db29f0019656ec5","rue Atateken ","0-3 mètres","Voie de circulation obstruée",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","rue Atateken ","Atateken","rue Amherst ","Amherst","rue Amherst ","Amherst",202.44,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"66103e0b5db29f0019656ec5","rue Sainte-Catherine Est ","9-12 mètres","Rue barrée",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","rue Sainte-Catherine Est ","Sainte-Catherine","rue Saint-Hubert ","Saint-Hubert","avenue Papineau ","Papineau",943.92,"t","Déplacer","Aucun impact / non applicable","Aucun impact / non applicable"
"6610446f5db29f0019657019","rue Saint-Christophe ","9-12 mètres","Rue barrée",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","rue Saint-Christophe ","Saint-Christophe","boulevard René-Lévesque Est ","René-Lévesque","rue Sainte-Catherine Est ","Sainte-Catherine",204.21,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"661141805db29f00196578ed","avenue Viger Ouest ","0-3 mètres","Aucun impact / non applicable",0,"Obstrué (un passage piéton de 1,5 m est conservé)","Obstrué","Aucun impact / non applicable","avenue Viger Ouest ","Viger","place Jean-Paul-Riopelle ","Jean-Paul-Riopelle","place Jean-Paul-Riopelle ","Jean-Paul-Riopelle",44.52,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"661141805db29f00196578ed","route 136 ","0-3 mètres","Aucun impact / non applicable",0,"Obstrué (un passage piéton de 1,5 m est conservé)","Obstrué","Aucun impact / non applicable","route 136 ","136","autoroute 720 ","720","autoroute 720 ","720",265.45,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"6669b7c36c27e80019163282","boulevard Pitfield ","3-6 mètres","Voie de circulation obstruée",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","boulevard Pitfield ","Pitfield","boulevard Pitfield ","Pitfield","boulevard Gouin Ouest ","Gouin",367.5,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"6669be1a1e902e001234ae24","boulevard Pitfield ","3-6 mètres","Voie de circulation obstruée",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","boulevard Pitfield ","Pitfield","boulevard Pitfield ","Pitfield","boulevard Pitfield ","Pitfield",184.51,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"660c5cefde30f500198df87c","avenue Pierre-Dupuy ","0-3 mètres","Aucun impact / non applicable",0,"Aucun impact / non applicable","Aucun impact / non applicable","Obstruée","avenue Pierre-Dupuy ","Pierre-Dupuy","avenue Pierre-Dupuy ","Pierre-Dupuy","pont de la Concorde ","Concorde",455.35,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"660c5cefde30f500198df87c","pont de la Concorde ","0-3 mètres","Aucun impact / non applicable",5,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","pont de la Concorde ","Concorde","avenue Pierre-Dupuy ","Pierre-Dupuy","avenue Pierre-Dupuy ","Pierre-Dupuy",664.34,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"66475912f3dd0000191bc596","rue Drummond ","0-3 mètres","Voie de stationnement obstruée",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","rue Drummond ","Drummond","avenue des Canadiens-de-Montréal ","Canadiens-de-Montréal","boulevard René-Lévesque Ouest ","René-Lévesque",141.48,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
