"Établissement","Adresse","TYPE","DATE","Heure","pH","T°","Cd (mg/L)","Cr (mg/L)","Cu (mg/L)","Ni (mg/L)","Pb (mg/L)","Zn (mg/L)","M. t. (mg/L)","Sn (mg/L)","CN (mg/L)","CPt. (mg/L)","H&G t. (mg/L)","H&G m. (mg/L)","Al (mg/L)","As (mg/L)","Hg (mg/L)","F (mg/L)","Se (mg/L)","S-2 (mg/L)","BPC (µg/L)","NH3 (mg/L)","Ag (mg/L)","Co (mg/L)","Mo (mg/L)","Cl- (mg/L)","NTK (mg/L)","Benzène (µg/L)","Éthylbenzène (µg/L)","Xylènes totaux (µg/L)","Toluène (µg/L)","Fluoranthène (µg/L)","Naphtalène (µg/L)","Phénanthrène (µg/L) ","Anthracène (µg/L)","Benzo[a]anthracène (µg/L)","Benzo[a]pyrène (µg/L)","Benzo[bjk]fluoranthène (µg/L)","Benzo[ghi]pérylène (µg/L)","Chrysène (µg/L)","Dibenzo[ah]anthracène (µg/L)","Dibenzo[ai]pyrène (µg/L)","Fluorène (µg/L)","Indéno[123cd]pyrène (µg/L)","Benzo[e]pyrène (µg/L)","Pyrène (µg/L)","Chloroforme (µg/L)","1,1,2,2Tétrachloroéthane (µg/L)","Tétrachloroéthène (perchloroéthylène) (µg/L)","Trichloroéthylène (µg/L)","Chlorure de méthylène (µg/L)","1,2Dichlorobenzène (µg/L)","1,2Dichloroéthylène (µg/L)","1,3Dichloropropylène (µg/L)","1,4Dichlorobenzène (µg/L)","Cr6+ (mg/L)","NP (ng/L)","NPE (µg/L)","3,3Dichlorobenzidine (µg/L)","Bis(2-ethylhexyl)phthalate (µg/L)","Pentachlorophénol (µg/L)","Phtalate di-butyle (µg/L)","Acénaphtène (µg/L)","HAP G (µg/L)","HAP H (µg/L)"
"Cansew Inc.","8031 18e Avenue  Montréal H1Z 3S3","I",11/11/2015,"9h35","9,6","27,4",,,,,,,,,,,,,,,,,,"<0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chimie ParaChem s.e.c.","3500 avenue Broadway  Montréal-Est H1B 5B4","I",13/11/2015,"10h40","8,00","11,9",,,,,,,,,,"0,026","<5",,,,,,,"<0,02",,,,,,,,"<3","<3","<6","<3","<1","<1","<1","<1","<1","<1","<3,1","<1","<1","<1","<1","<1","<1","<1","<1","<3","<3","<3","<3","6,2","<3","<6","<6","<3",,,,,,,,"<1",,
"Chimie ParaChem s.e.c.","3500 avenue Broadway  Montréal-Est H1B 5B4","I",13/11/2015,"10h42","7,86","16,5",,,,,,,,,,"0,023","<6",,,,,,,,,,,,,,,"<3","<3","<6","<3",,,,,,,,,,,,,,,,"<3","<3","<3","<3","5,1","<3","<6","<6","<3",,,,,,,,,,
"Compagnie Rafraîchissements Coca-Cola Canada","1515 46e Avenue  Lachine H8T 2N8","I",12/11/2015,"13h45","6,85","13,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corporation d'Aliments Ronzoni du Canada","6890 rue Notre-Dame est  Montréal H1N 2E5","I",12/11/2015,"13h30","7,90",17,,,,,,,,,,,"<5",,,,,,,"0,52",,"0,76",,,,,"4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Di-Tech Inc.","2125 rue Lily-Simon  Montréal H4B 3A1","I",13/11/2015,"12h20","7,52","26,1",,,,,,,,,,,"30","<7",,,,,,,,,,,,,,,,,,"<1","<1","<1","<1","<1","<1","<3,1","<1","<1","<1","<1","<1","<1","<1","<1",,,,,,,,,,,,,,,,,"<1",,
"Edgewell Personal Care Canada ULC","7101 rue Notre-Dame est  Montréal H1N 2G4","I",11/11/2015,"13h05","7,78","15,7","<0,0005","<0,0015","0,062","0,0018","<0,001","<0,035","0,0638","<0,005",,"<0,01","<7",,"0,047","<0,001",,,"<0,0025","<0,02",,,"<0,0005","<0,0005","<0,005",,,"<3","<3","<6","<3",,,,,,,,,,,,,,,,"6,7","<3","<3","<3","<3","<3","<6","<6","<3",,,,,,,,,,
"Entreprise Indorama PTA Montréal S.E.C.","10200 rue Sherbrooke  Montréal-Est H1B 1B4","C",13/11/2015,0:00,"7,84","7,2","<0,0005","0,0252","0,0531","0,0498","0,0012","0,071","0,2026","<0,005",,"0,03","53","<5","1,59","0,0023",,,"0,0053",,,,"<0,0005","2,96","0,0239",,,"3","<3","<6","<3",,,,,,,,,,,,,,,,"<3","<3","<3","<3","5","<3","<6","<6","<3",,,,,,,,,,
"Entreprise Indorama PTA Montréal S.E.C.","10200 rue Sherbrooke  Montréal-Est H1B 1B4","I",13/11/2015,9:00,"7,05","26,5","<0,0005","0,0287","0,0465","0,0504","0,0011","0,06","0,1902","<0,005",,,,,"2,11","0,0035","0,026",,"0,007",,,"12,7","<0,0005","3,37","0,02",,"14,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glencore Canada Corporation, Affinerie CCR","220 avenue Durocher  Montréal-Est H1B 5H6","C",13/11/2015,"00h00","8,03","10,4","<0,0005","<0,0015","0,0597","0,191","0,0042","<0,035","0,3317","<0,005",,,,,"0,134","0,0768",,,"0,0937",,,,"0,0018","0,0012","<0,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glencore Canada Corporation, Affinerie CCR","220 avenue Durocher  Montréal-Est H1B 5H6","C",16/11/2015,"11h07","7,99","7,8","<0,0005","<0,0015","0,0244","0,156","<0,001","<0,035","0,2593","<0,005",,,,,"0,083","0,0789",,,"0,1",,,,"<0,0005","0,0011","0,0055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kruger Inc. (Emballages Krupack)","5845 place Turcot  Montréal H4C 1V9","I",12/11/2015,"11h35","8,03","29,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Brasserie Labatt du Canada S.C.S","50 avenue Labatt  LaSalle H8R 3E7","I",11/11/2015,"10h10","N.D.","24,2",,,,,,,,,,,,,,,,,,,,,,,,,"31,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Cie Matériaux de construction BP Canada","9510 rue Saint-Patrick  LaSalle H8R 1R9","I",11/11/2015,"11h05","6,47","15,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laiterie et boulangerie Parmalat inc.","7470 rue Saint-Jacques  Montréal H4B 1W4","I",13/11/2015,"10h45","10,01","31,2",,,,,,,,,,,"148","<5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lallemand Inc.","1620 rue Préfontaine  Montréal H1W 2N8","C",13/11/2015,"8h00","7,11",7,,,,,,,,,,,"43",,,,,,,,,,,,,,"535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lallemand Inc.","1620 rue Préfontaine  Montréal H1W 2N8","C",14/11/2015,"10h03","7,09","8,7",,,,,,,,,,,"36",,,,,,,,,,,,,,"465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lantic Inc","4026 rue Notre-Dame est  Montréal H1W 2K3","C",13/11/2015,"11h00","9,42","11,3",,,,,,,,,,"0,092","6",,,,,,,"<0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lantic Inc","4026 rue Notre-Dame est  Montréal H1W 2K3","C",14/11/2015,"13h24","9,12","13,9",,,,,,,,,,"0,079","9",,,,,,,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lavage de citerne Montréal inc.","7887 rue Grenache  Anjou H1J 1C4","I",12/11/2015,"10h40","8,6","26,6",,,,,,,,,,"0,403","18",,,,,"1,22",,"1,2",,,,,,"34,9",,"<30","78","140","271","<0,9","2,8","<0,9","<0,9","<0,9","<0,9","<2,6","<0,9","<0,9","<0,9","<0,9","<0,9","<0,9","<0,9","<0,9","<30","<30","<30","<30","75","<30","<60","<60","<30",,,,,,,,"<0,9",,"2,8"
"Les Aliments Levitts Inc.","7070 rue Saint-Patrick  LaSalle H8N 1V2","I",13/11/2015,"10h00","6,12",29,,,,,,,,,,,"39","<5",,,,,,,,,,,,,"133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Les Produits Chimiques Delmar Inc.","9321 rue Airlie  LaSalle H8R 2B2","I",11/11/2015,10:45,"6,44","18,6",,,,,,,,,,,,,,,,,,,,,,,,,,"<3","<3","<6","<3",,,,,,,,,,,,,,,,"25,4","<3","<3","<3","41,3","<3","<6","<6","<3",,,,,,,,,,
"Métro Location Linge Ltée","1090 rue Sherbrooke  Lachine H8S 1H6","I",11/11/2015,"13h00","11,06","26,9",,,,,,,,,,,"234","<7",,,,,,,,,,,,,,"<3","<3","<6","<3",,,,,,,,,,,,,,,,"74,6","<3","<3","<3","<3","<3","<6","<6","<3",,,,,,,,,,
"Mittal Canada Saint-Patrick S.E.C.","5900 rue Saint-Patrick  Montréal H4E 1B3","I",12/11/2015,"10h38","7,34","22,6","<0,0005","<0,0015","0,0105","0,0056","0,107","0,254","0,3771","<0,005",,,,,"0,035","<0,001",,,"<0,0025",,,,"<0,0005","<0,0005","0,0197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mittal Canada Saint-Patrick S.E.C.","5900 rue Saint-Patrick  Montréal H4E 1B3","I",12/11/2015,"10h52","7,88","17,5","0,0006","0,0056","0,0289","0,0028","0,0509","0,439","0,5278","<0,005",,,,,"0,137","<0,001",,,"<0,0025",,,,"<0,0005","<0,0005","0,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Molson Canada 2005","1555 rue Notre-Dame est  Montréal H2L 2R5","C",13/11/2015,"10h00","10,01","8,2",,,,,,,,,,,"19",,,,,,,"0,04",,"2,14",,,,,"37,4","<3","<3","<6","<3",,,,,,,,,,,,,,,,"12,6","<3","<3","<3","4","<3","<6","<6","<3",,,,,,,,,,
"Molson Canada 2005","1555 rue Notre-Dame est  Montréal H2L 2R5","C",13/11/2015,"11h35","10,02","7,9",,,,,,,,,,,"18",,,,,,,"0,08",,"1,59",,,,,"55,4","<3","<3","<6","<3",,,,,,,,,,,,,,,,"30,2","<3","<3","<3","<3","<3","<6","<6","<3",,,,,,,,,,
"Nexans Canada inc.","460 avenue Durocher  Montréal-Est H1B 5H6","I",13/11/2015,14:05,"8,05",16,"<0,0005","<0,0015","0,527","0,0022","0,0017","0,046","0,5769","<0,005",,,,,"0,078","<0,001","<0,025",,"<0,0025",,,,"<0,0005","0,0023","<0,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nexans Canada inc.","460 avenue Durocher  Montréal-Est H1B 5H6","I",13/11/2015,14:12,"8,08","13,1","<0,0005","<0,0015","0,29","0,0015","<0,001","<0,035","0,2915","<0,005",,,,,"0,035","<0,001","<0,025",,"<0,0025",,,,"<0,0005","<0,0005","<0,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O-I Canada Corporation","2376 rue Wellington  Montréal H3K 1X6","I",12/11/2015,"10h00","8,13","17,2",,,,,,,,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Placage DECO-SPEC international plating inc.","2310 rue Dandurand  Montréal H2G 1Z8","I",13/11/2015,"9h42","9,76","16,5",,,,,,,,,,,,,,,,"2,27",,,,,,,,"100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produits Shell Canada Ltée","10501 rue Sherbrooke  Montréal-Est H1B 1B3","I",12/11/2015,"16h25","7,98","12,9","<0,0005","0,0025","0,0171","0,018","0,0114","0,356","0,405","<0,005",,"<0,013","<7",,"1,15","<0,001","0,044","0,7","<0,0025","<0,02",,"0,17","<0,0005","0,001","0,0164","147","0,7","<3","<3","<6","<3","<1","<1","1","<1","<1","<1","<3","<1","<1","<1","<1","1","<1","<1","<1","<3","<3","<3","<3","5,2","<3","<6","<6","<3",,,,,,,,"<1",,"2"
"Produits Suncor Énergie S.E.N.C.","11450 rue Cherrier  Montréal-Est H1B 1A6","I",12/11/2015,"15h10","9,34","15,5","<0,0005","0,0138","0,0804","0,0118","0,0416","0,707","0,8562","<0,005",,"0,012","<6",,"2,1","0,0016",,"0,25","<0,0025","0,05",,,"<0,0005","0,006","<0,005","27,9","1,1","<3","<3","<6","<3","<1,1","<1,1","<1,1","<1,1","<1,1","<1,1","<3,4","<1,1","<1,1","<1,1","<1,1","<1,1","<1,1","<1,1","<1,1","<3","<3","<3","<3","3,6","<3","<6","<6","<3",,,,,,,,"<1,1",,
"Produits Suncor Énergie S.E.N.C.","11450 rue Cherrier  Montréal-Est H1B 1A6","I",12/11/2015,"15h20","8,88","14,8","<0,0005","0,0168","0,0706","0,0124","0,0232","0,385","0,5096","<0,005",,"<0,01","<6",,"11","0,0016",,"0,18","<0,0025","0,35",,,"<0,0005","0,0034","<0,005","14,6","1,1","<3","<3","<6","<3","0,5","<0,1","0,4","<0,1","0,1","<0,1","<0,3","<0,1","0,2","<0,1","<0,1","<0,1","<0,1","<0,1","0,3","<3","<3","<3","<3","3,3","<3","<6","<6","<3",,,,,,,,"<0,1","0,3","1,2"
"Québec Linge Co.","4375 rue de Rouen  Montréal H1V 1H2","I",11/11/2015,"10h30","9,20","24,7",,,,,,,,,,,"139","19",,,,"0,95",,,,,,,,"272",,"<3","6,3","43,7","34,6","<1","7,3","<1","<1","<1","<1","<3,1","<1","<1","<1","<1","<1","<1","<1","<1","220","<3","48,1","<3","<3","<3","<6","<6","<3",,,,,,,,"<1",,"7,3"
"Rolls Royce Canada Limitée","9500 chemin de la Côte-de-Liesse  Lachine H8T 1A2","I",12/11/2015,"14h20","8,30","14,2","0,0019","0,0294","0,218","0,0798","0,0222","0,215","0,5663","<0,005",,,,,"0,771","<0,001",,,"<0,0025",,,,"0,0053","0,079","<0,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rolls Royce Canada Limitée","9500 chemin de la Côte-de-Liesse  Lachine H8T 1A2","I",12/11/2015,"14h00","6,77","13,8","0,0006","0,0096","0,04","0,0756","0,0102","0,232","0,368","<0,005",,,"10",,"0,604","<0,001",,,"<0,0025",,,,"0,0012","0,0088","<0,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saputo Produits Laitiers Canada s.e.n.c.","6869 boul. Métropolitain est  Saint-Léonard H1P 1X8","I",11/11/2015,"9h55","9,5","29,1",,,,,,,,,,,"125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tecnickrome Aéronautique Inc.","12264 rue April  Montréal H1B 5N5","I",12/11/2015,11:33,"7,70","14,4","0,337","0,58","0,042","0,0961","0,0154","0,055","1,1255","<0,005","0,13",,,,"0,489","<0,001",,"3,01","<0,0025",,,,"<0,0005","0,0139","<0,005","26,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,47",,,,,,,,,
"Teinturerie Perfection Canada Inc.","5300 rue Molson  Montréal H1Y 3B5","I",11/11/2015,"13h45","9,81","33,7","<0,0005","0,0042","0,0133","0,0021","<0,001","0,197","0,2177","<0,005",,"0,015","56","<5","0,053","0,0011",,,"<0,0025","0,97",,,"<0,0005","<0,0005","<0,005",,,"<3","<3","<6","<3",,,,,,,,,,,,,,,,"7,3","<3","<3","<3","<3","<3","<6","<6","<3",,,,,,,,,,
"Tekalia Aeronautik (2010) inc.","3900 boul. du Tricentenaire  Montréal H1B 5L6","I",12/11/2015,13:10,"8,11","18,8","0,562","1,85","0,0496","0,123","0,0021","<0,035","2,5867","<0,005","<0,005",,,,"<0,025","<0,001",,"4,09","<0,0025",,,,"<0,0005","0,004","<0,005","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<0,03",,,,,,,,,
"Traitement de Fourrure Splendor Inc.","2425 rue Holt  Montréal H2G 1Y2","I",13/11/2015,"9h20","6,9","23,5","<0,0005","0,237","0,0316","0,0053","0,132","0,09","0,4959","<0,005",,,"56","11","3,15","<0,001",,,"<0,0025","5,9",,"7,94","<0,0005","<0,0005","<0,005",,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
