NOM_CLIENT_PARTENAIRE,TYPE_CLIENT_PARTENAIRE,STATUT,SOUS_PROGRAMME,SOUS_TYPE_CLIENT_PARTENAIRE,CATEGORIE_INSTITUTION,CHAMP_INTERVENTION,SECTEUR_INTERVENTION,NO_CIVIQUE,RUE,MUNICIPALITE,CODE_REGION_ADMIN,REGION_ADMIN,PROVINCE,PAYS,CODE_POSTAL,LONGITUDE,LATITUDE
Camp des Arts Créations Etc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Camp de formation spécialisée en arts,Arts de la scène / multiple,Arts de la scène,7378,rue Lajeunesse,Montréal,6,Montréal,Québec,Canada,H2R 2H8,-73.617519046336596,45.540291710330827
Camp d'été qui danse,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,855,boulevard de la Gappe,Gatineau,7,Outaouais,Québec,Canada,J8T 8H9,-75.682140731984418,45.484855205207325
Camp musical d'Asbestos inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Camp de formation spécialisée en arts,Musique,Arts de la scène,100,rue des Mésanges,Asbestos,5,Estrie,Québec,Canada,J1T 3M7,-71.913614175620808,45.799895785129294
Camp musical de l'Abitibi-Témiscamingue inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Camp de formation spécialisée en arts,Musique,Arts de la scène,88,rue Allard,Val-d'Or,8,Abitibi-Témiscamingue,Québec,Canada,J9P 2Y1,-77.774428298099508,48.095150502931276
Camp musical de l'Outaouais,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,855,boulevard de la Gappe,Gatineau,7,Outaouais,Québec,Canada,J8T 8H9,-75.682140731984418,45.484855205207325
Camp musical du lac Matapédia,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Camp de formation spécialisée en arts,Arts de la scène / multiple,Arts de la scène,1,chemin St-Pierre,Sayabec,1,Bas-Saint-Laurent,Québec,Canada,G0J 3K0,-67.63132576355801,48.570524723550072
Camp musical du Saguenay-Lac-Saint-Jean inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,1589,route 169,Métabetchouan-Lac-à-la-Croix,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G8G 1A8,-71.841404578881338,48.435173499052979
Camp musical Père Lindsay inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Camp de formation spécialisée en arts,Musique,Arts de la scène,100,rang Petit Beloeil,Sainte-Béatrix,14,Lanaudière,Québec,Canada,J0K 2B0,-73.695735183464961,46.284410582309519
Camp musical St-Alexandre inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Camp de formation spécialisée en arts,Musique,Arts de la scène,267,rang Saint-Gérard Est,Saint-Alexandre-de-Kamouraska,1,Bas-Saint-Laurent,Québec,Canada,G0L 2G0,-69.533582944488302,47.681026740675492
Centre de musique et de danse de Val-d'Or inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Arts de la scène / multiple,Arts de la scène,88,rue Allard,Val-d'Or,8,Abitibi-Témiscamingue,Québec,Canada,J9P 2Y1,-77.774428298099508,48.095150502931276
Centre musical En sol mineur inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,14,avenue Murdoch,Rouyn-Noranda,8,Abitibi-Témiscamingue,Québec,Canada,J9X 1C3,-79.010023481700529,48.245711094416173
Centre musical Jean-Charles Loiselle inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,550,4e Avenue,Malartic,8,Abitibi-Témiscamingue,Québec,Canada,J0Y 1Z0,-78.122300086917534,48.140909532841981
Compagnie de danse L'Astragale,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,7420,boulevard des Forges,Trois-Rivières,4,Mauricie,Québec,Canada,G8Y 1Y9,-72.611138540948758,46.374077835980046
Corporation du Camp Théâtre de l'Anse,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Camp de formation spécialisée en arts,Théâtre,Arts de la scène,37,Chrétien,Gaspé,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G4X 1E1,-64.48125100514423,48.834078045815268
École de ballet de Sept-Îles inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,500,avenue Jolliet,Sept-Îles,9,Côte-Nord,Québec,Canada,G4R 2B4,-66.376552815124143,50.212416442427021
École de ballet Suzanne Maltais-Gagnon inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,3865,rue du Roi-Georges,Saguenay,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G7X 9K7,-71.24449298025516,48.424476448941256
École de cirque de Québec,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Arts du cirque,Arts de la scène,750,2e Avenue,Québec,3,Capitale-Nationale,Québec,Canada,G1L 3B7,-71.229372301483352,46.824361793269055
École de cirque des Îles,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Arts du cirque,Arts de la scène,1-1349,chemin de La Vernière,L'Étang-du-Nord,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G4T 3G1,-61.9104998,47.3712643
École de danse Calypso de Havre-Saint-Pierre,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,957,rue de la Berge,Havre-Saint-Pierre,9,Côte-Nord,Québec,Canada,G0G 1P0,-63.608307841973712,50.237776477697302
École de danse Élédanse inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,17,rue Notre-Dame,Lévis,12,Chaudière-Appalaches,Québec,Canada,G6V 4A3,-71.181547240608964,46.810982013260585
École de formation musicale d'Alma,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,400,rue Saint-Sacrement Ouest,Alma,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G8B 7K8,-71.646028442616398,48.554872316842932
École de musique Alain-Caron,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,75,rue Sainte-Anne,Rivière-du-Loup,1,Bas-Saint-Laurent,Québec,Canada,G5R 5C2,-69.539779372413122,47.828110785729884
École de musique Côte de Beaupré inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,2033,Casier postal 2033,Beaupré,3,Capitale-Nationale,Québec,Canada,G0A 1E0,,
École de musique Côte-Nord inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,1660,rue de Bretagne,Baie-Comeau,9,Côte-Nord,Québec,Canada,G5C 3S3,-68.260630526726132,49.204232931720583
École de musique d'Abitibi-Ouest inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,500,rue Principale Sud,La Sarre,8,Abitibi-Témiscamingue,Québec,Canada,J9Z 2A2,-79.206917648124659,48.796210499747957
École de musique de Charlevoix,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,100,rue Carsy,La Malbaie,3,Capitale-Nationale,Québec,Canada,G5A 1K3,-70.159083299687168,47.654503970206754
École de musique de Forestville,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Arts de la scène / multiple,Arts de la scène,5-10,10e Rue,Forestville,9,Côte-Nord,Québec,Canada,G0T 1E0,-69.07920604812989,48.741131208673167
École de musique de La Baie inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,3346,boulevard de la Grande-Baie Sud,La Baie,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G7B 1G2,-70.853956940289038,48.317565814653747
École de musique de l'Outaouais inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,855,boulevard de la Gappe,Gatineau,7,Outaouais,Québec,Canada,J8T 8H9,-75.682140731984418,45.484855205207325
École de musique de Matane inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,611,avenue Saint-Rédempteur,Matane,1,Bas-Saint-Laurent,Québec,Canada,G4W 1K7,-67.502098056118768,48.839117436387724
École de musique Denys Arcand,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,115,rue de l'Église,Deschambault-Grondines,3,Capitale-Nationale,Québec,Canada,G0A 1S0,-71.927682351479206,46.647440499215094
École de musique de Port-Cartier,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,49,boulevard du Portage-des-Mousses,Port-Cartier,9,Côte-Nord,Québec,Canada,G5B 2G9,-66.859155280286558,50.025448040532062
École de musique de Saint-Félicien,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,1058,boulevard Sacré-Coeur,Saint-Félicien,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G8K 1R2,-72.44297962450797,48.650785818507437
École de musique Destroismaisons,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Arts de la scène / multiple,Arts de la scène,100,4e Avenue Painchaud,La Pocatière,1,Bas-Saint-Laurent,Québec,Canada,G0R 1Z0,-70.040929760788529,47.366843872689763
École de musique du Bas-Saint-Laurent inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,22,rue Sainte-Marie,Rimouski,1,Bas-Saint-Laurent,Québec,Canada,G5L 4E2,-68.529266135544518,48.449261250177344
École de musique du Témiscouata,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,34B,rue du Vieux-Chemin,Témiscouata-sur-le-Lac,1,Bas-Saint-Laurent,Québec,Canada,G0L 1E0,-68.881910754921321,47.681306986088252
École de musique et de solfège de Chicoutimi inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,534,rue Jacques-Cartier Est,Saguenay,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G7H 1Z6,-71.0540122,48.4250913
École de musique Fernand-Lindsay,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,20,rue Saint-Charles-Borromée Sud,Joliette,14,Lanaudière,Québec,Canada,J6E 4T1,-73.435402515686178,46.026989763945878
École de musique Grande-Vallée,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,6,rue du Couvent,Grande-Vallée,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G0E 1K0,-65.12386690303147,49.227025945465805
École de musique Harricana inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,662,1re Rue Est,Amos,8,Abitibi-Témiscamingue,Québec,Canada,J9T 2H6,-78.112389551740861,48.575758138982323
École de musique Havre-Saint-Pierre,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,C. P.,4002,Havre-Saint-Pierre,9,Côte-Nord,Québec,Canada,G0G 1P0,,
École de musique Jésus-Marie,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,294,rue Saint-Joseph,Lévis,12,Chaudière-Appalaches,Québec,Canada,G6V 1G2,-71.16411929048499,46.824785956383238
École de musique l'Accroche Notes,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,17,rue Notre-Dame,Lévis,12,Chaudière-Appalaches,Québec,Canada,G6V4A3,-71.181547240608964,46.810982013260585
École de musique Mi-La-Ré-Sol inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,96,rue Jacques-Cartier,Gaspé,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G4X 2R6,-64.484947484974811,48.83417822216753
École de musique Miransol inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Arts de la scène / multiple,Arts de la scène,6,1re Avenue Ouest,Sainte-Anne-des-Monts,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G4V 1A1,-66.487453882314057,49.129780184904263
École Florence Fourcaudot Spirale Expression Danse,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,2034,boul. Tadoussac,Saguenay,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G7G 1K7,-71.0602917,48.4404422
Ensemble folklorique des Farandoles de Chicoutimi inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,582,rue Jacques-Cartier Est,Chicoutimi,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G7H 1Z5,-71.051017059591473,48.425043303035508
Ensemble folklorique Mackinaw inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,175,rue Ringuet,Drummondville,17,Centre-du-Québec,Québec,Canada,J2C 2P7,-72.50043059588009,45.877319477349694
L'Académie de danse du Saguenay inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,582,rue Jacques-Cartier Est,Saguenay,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G7H 5B5,-71.051017059591473,48.425043303020807
L'Académie « Les Joies de la danse » Port-Cartier,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,C. P. 95,,Port-Cartier,9,Côte-Nord,Québec,Canada,G5B 2G7,,
La Maîtrise du Cap inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Ensemble musical / maîtrise,Chanson,Arts de la scène,775,rue Berlinguet,Trois-Rivières,4,Mauricie,Québec,Canada,G8T 2H1,-72.536813078387539,46.379314815547097
L'Association des parents des petits musiciens de Saint-Noël de Thetford inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,358,rue Saint-Laurent,Thetford Mines,12,Chaudière-Appalaches,Québec,Canada,G6G 1C5,-71.310989056430941,46.110075323684356
Le Centre d'art de Préville inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Champ multiple,Secteurs multiples ou autres,394,rue Dulwich,Saint-Lambert,16,Montérégie,Québec,Canada,J4P 2Z3,-73.509073814597031,45.509739026756606
Le Centre d'art La Maison Jaune,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Champ multiple,Secteurs multiples ou autres,206,rue Christophe-Colomb Est,Québec,3,Capitale-Nationale,Québec,Canada,G1K3S7,-71.232407547152434,46.809413415870736
Le Centre d'art La Maison Jaune,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Arts de la scène / multiple,Arts de la scène,206,rue Christophe-Colomb Est,Québec,3,Capitale-Nationale,Québec,Canada,G1K3S7,-71.232407547152434,46.809413415870736
L'École de cirque de Gaspé,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Arts du cirque,Arts de la scène,194,rue Monseigneur-Leblanc,Gaspé,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G4X 1S1,-64.489375369890539,48.828927639153299
L'École de cirque de Verdun,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Arts du cirque,Arts de la scène,5190,boul. LaSalle,Montréal,6,Montréal,Québec,Canada,H4H 1N8,-73.565077484514831,45.453544241536697
L'École de danse Quatre Temps inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,22,rue Sainte-Marie,Rimouski,1,Bas-Saint-Laurent,Québec,Canada,G5L 4E2,-68.529266135544518,48.449261250177344
L'École de musique de Sept-Îles inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,500,avenue Jolliet,Sept-Îles,9,Côte-Nord,Québec,Canada,G4R 2B4,-66.376552815124143,50.212416442427021
Le Prisme culturel inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,565,avenue de la Coopérative,Saint-Bruno,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G0W 2L0,-71.646714521525269,48.46936638023535
Les Amis de la musique de Richmond / Ecole,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Département ou service d'un organisme privé (université, collège, autre)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,1010,"rue Principale Nord, bureau 216",Richmond,5,Estrie,Québec,Canada,J0B 2H0,-72.1492385614537,45.668259360022091
