District,Bureau,Candidat1,Vote1,Candidat2,Vote2,Candidat3,Vote3,Candidat4,Vote4,Candidat5,Vote5,Rejetes
4,81,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,82,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,83,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,84,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,85,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,86,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,87,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,88,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,89,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,90,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,91,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,92,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,93,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,94,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,95,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,96,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,97,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,98,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,BVA-04-1,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,BVA-04-2,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,BVA-04-3,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,99,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,100,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,101,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,102,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,103,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,104,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,105,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,106,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,107,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,108,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,109,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,BVA-04-4,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,BVA-04-5,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
4,BVA-04-6,Maude MARQUIS-BISSONNETTE,0,,0,,0,,0,,0,0
5,110,Jocelyn BLONDIN,72,Mélisa FERREIRA,90,,0,,0,,0,9
5,111,Jocelyn BLONDIN,85,Mélisa FERREIRA,90,,0,,0,,0,0
