"ProblÃ¨me","Date rÃ©alisÃ©e","secteur","District","CoordonnÃ©e x","CoordonnÃ©e y","Emplacement pour tri"
"EGAUTRES","2018-11-07","04","17","277373,90000000002","5041872,2999999998","IL;Comtois;Rue;65"
"EGPUISARD","2018-03-29","01","","292682,09999999998","5052518","VP;Seigneur-Lussier;Avenue"
"EGPUISARD","2018-11-07","04","18","276919,40000000002","5046551,5999999996","FA;12e;Avenue;875"
"EGPUISARD","2018-11-07","04","16","280032,70000000001","5043113,7000000002","DO;BÃ©gonias;Rue;646"
"EGPUISARD","2018-08-13","04","","279473","5043169","DO;PrimevÃ¨res;Rue"
"EGENTRÃESERVICE","2018-04-30","05","20","281913,20000000001","5048344,7999999998","FA;Ãlie;Rue;361"
"EGCONDUITEMAITR","2018-11-09","03","13","285243,29999999999","5043638,7999999998","CH;92e;Avenue;297"
"EGENTRÃESERVICE","2018-03-07","01","03","291250,70000000001","5050487,9000000004","DU;Dollard;Rue;2800"
"EGENTRÃESERVICE","2018-03-07","05","19","279743,20000000001","5048562,7999999998","FA;Marian;Rue;3775"
"EGPUISARD","2018-11-07","04","18","276449,29999999999","5045705,9000000004","LO;51e;Avenue;5665"
"EGENTRÃESERVICE","2018-09-26","05","20","282965","5050025,4000000004","RO;Grives;Place;2722"
"EGCONDUITEMAITR","2018-03-07","02","05","289566,29999999999","5046568,9000000004","LR;MoliÃ¨re;Rue;288"
"EGCONDUITEMAITR","2018-03-07","06","10","284862,5","5054767","AU;Sardou;Rue;5995"
"EGPUISARD","2018-02-27","05","19","280084,6581","5049620,2872000001","FA;Sainte-Rose;Boulevard;3583"
"EGREGARD","2018-04-09","01","03","290786,59999999998","5050226","DU;Cap-SantÃ©;Rue;2260"
"EGPUISARD","2018-11-07","04","16","281613","5042097,4000000004","DO;Bord-de-l'Eau;Chemin;423"
"EGENTRÃESERVICE","2018-03-07","04","16","279832,59999999998","5043579,4000000004","DO;Violette;Rue;1028"
"EGENTRÃESERVICE","2018-11-07","04","","0","0","DO;Muguet;Rue"
"EGPUISARD","2018-11-07","04","17","275283,82809999998","5045634,0916999998","LO;20e;Rue;2540"
"EGCONDUITEMAITR","2018-10-18","03","14","284793,40000000002","5044466,5999999996","CH;Shorecrest;Avenue;1202"
"EGPUISARD","2018-11-07","04","17","275724,59999999998","5042645,7999999998","LL;Peupliers;Rue;46"
"EGPUISARD","2018-11-07","04","18","278302,70000000001","5048246,7000000002","FA;42e;Avenue;1129"
"EGENTRÃESERVICE","2018-03-07","04","16","280541,09999999998","5042856","DO;Ladouceur;Rue;545"
"EGENTRÃESERVICE","2018-03-07","02","11","288440,20000000001","5045466,7000000002","LR;Brien;Avenue;54"
"EGENTRÃESERVICE","2018-03-07","06","09","287127,90000000002","5053312","AU;Rucher;Place;2203"
"EGENTRÃESERVICE","2018-03-07","05","21","282210,90000000002","5050398","RO;Galarneau;Rue;6616"
"EGCONDUITEMAITR","2018-11-07","04","17","275300,79999999999","5046166,4000000004","LO;Riviera;Rue;3435"
"EGREGARD","2018-03-20","05","20","283272,20000000001","5050597,4000000004","RO;Pluvier;Rue;2553"
"EGENTRÃESERVICE","2018-11-07","04","16","279924,5","5043207","DO;Maurice;Rue;951"
"EGPUISARD","2018-11-07","04","16","281325,5","5043015,2999999998","DO;Drouin;Rue;815"
"EGPUISARD","2018-03-23","05","21","282584,20000000001","5051892,2999999998","RO;Marc-AurÃ¨le-Fortin;Boulevard;231"
"EGPUISARD","2018-03-05","05","","284672,05190000002","5048703","CH;Saint-ElzÃ©ar Ouest;Boulevard"
"EGFOSSÃ","2018-11-07","04","18","277164,29999999999","5046472,4000000004","FA;Panneton;Rue;4500"
"EGPUISARD","2018-11-07","04","18","276011,29999999999","5046223,2000000002","LO;51e;Avenue;1886"
"EGPUISARD","2018-11-07","04","17","279619,29999999999","5042248,5","DO;Dufour;Rue;766"
"EGPUISARD","2018-11-07","04","16","280086,44630000001","5043535,7794000003","DO;Marguerite;Rue;502"
