Donnee,Annee,Resolution_m,Etendu,Saison,Format,Satellite,Taille_Mo,URL_Mosaique
Mosaique_2020_Landsat_Provincial,2020,30,Provincial,Ete,GeoTIFF,Landsat,451,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2020/Mosaique_2020_Landsat_Provincial.zip
Mosaique_2019_Sentinel_Meridional,2019,10,Meridional ,Ete,JPEG,Sentinel,1020,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2019/Mosaique_2019_Sentinel_Meridional.zip
Mosaique_2019_Landsat_Provincial,2019,30,Provincial,Ete,JPEG,Landsat,766,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2019/Mosaique_2019_Landsat_Provincial.zip
Mosaique_2018_Sentinel_Meridional,2018,10,Meridional ,Ete,ECW,Sentinel,438,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2018/Mosaique_2018_Sentinel_Meridional.zip
Mosaique_2018_Landsat_Provincial,2018,30,Provincial,Ete,JPEG,Landsat,313,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2018/Mosaique_2018_Landsat_Provincial.zip
Mosaique_2017_Landsat_Provincial,2017,30,Provincial,Ete,JPEG,Landsat,381,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2017/Mosaique_2017_Landsat_Provincial.zip
Mosaique_2016_Landsat_Meridional,2016,15,Meridional ,Ete,ECW,Landsat,635,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2016/Mosaique_2016_Landsat_Meridional.zip
Mosaique_2015_Landsat_Provincial,2015,30,Provincial,Ete,ECW,Landsat,353,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2015/Mosaique_2015_Landsat_Provincial.zip
Mosaique_2015_Landsat_Meridional,2015,15,Meridional ,Ete,ECW,Landsat,580,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2015/Mosaique_2015_Landsat_Meridional.zip
Mosaique_2014_Landsat_Meridional,2014,15,Meridional ,Ete,ECW,Landsat,902,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2014/Mosaique_2014_Landsat_Meridional.zip
Mosaique_2013_Landsat_Meridional,2013,15,Meridional ,Ete,ECW,Landsat,2240,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2013/Mosaique_2013_Landsat_Meridional.zip
Mosaique_2012_Landsat_Meridional,2012,30,Meridional ,Ete,ECW,Landsat,758,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2012/Mosaique_2012_Landsat_Meridional.zip
Mosaique_2011_Landsat_Provincial,2011,30,Provincial,Ete,ECW,Landsat,689,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2011/Mosaique_2011_Landsat_Provincial.zip
Mosaique_1986_Landsat_Provincial,1986,30,Provincial,N/A,ECW,Landsat,640,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_1986/Mosaique_1986_Landsat_Provincial.zip
