titre,url_fiche,description,date_debut,date_fin,type_evenement,public_cible,emplacement,inscription,cout,arrondissement,titre_adresse,adresse_principale,adresse_secondaire,code_postal,lat,long,X,Y
"Tentalire","https://montreal.ca/evenements/tentalire-71200","tente à lire tentalire bibliomobile parc bibliothèque montréal-nord","2024-08-06","2024-08-06","Atelier et cours","Enfants","En salle","Entrée libre","Gratuit","Montréal-Nord","nan","nan","nan","nan",45.616164546813,-73.622587505994,295239.5,5052925.5
"Tentalire","https://montreal.ca/evenements/tentalire-71201","tente à lire tentalire bibliomobile parc bibliothèque montréal-nord","2024-08-13","2024-08-13","Atelier et cours","Enfants","En salle","Entrée libre","Gratuit","Montréal-Nord","nan","nan","nan","nan",45.616164546813,-73.622587505994,295239.5,5052925.5
"Tentalire","https://montreal.ca/evenements/tentalire-71203","tente à lire tentalire bibliomobile parc bibliothèque montréal-nord","2024-07-18","2024-07-18","Atelier et cours","Enfants","En salle","Entrée libre","Gratuit","Montréal-Nord","nan","nan","nan","nan",45.581924078683,-73.64228789135,293696.3,5049122.8
"Tentalire","https://montreal.ca/evenements/tentalire-71204","tente à lire tentalire bibliomobile parc bibliothèque montréal-nord","2024-07-25","2024-07-25","Atelier et cours","Enfants","En salle","Entrée libre","Gratuit","Montréal-Nord","nan","nan","nan","nan",45.581924078683,-73.64228789135,293696.3,5049122.8
"Tentalire","https://montreal.ca/evenements/tentalire-71205","tente à lire tentalire bibliomobile parc bibliothèque montréal-nord","2024-08-01","2024-08-01","Atelier et cours","Enfants","À l'extérieur","Entrée libre","Gratuit","Montréal-Nord","nan","nan","nan","nan",45.581924078683,-73.64228789135,293696.3,5049122.8
"Tentalire","https://montreal.ca/evenements/tentalire-71206","tente à lire tentalire bibliomobile parc bibliothèque montréal-nord","2024-08-08","2024-08-08","Atelier et cours","Enfants","À l'extérieur","Entrée libre","Gratuit","Montréal-Nord","nan","nan","nan","nan",45.581924078683,-73.64228789135,293696.3,5049122.8
"Tentalire","https://montreal.ca/evenements/tentalire-71207","tente à lire tentalire bibliomobile parc bibliothèque montréal-nord","2024-08-15","2024-08-15","Atelier et cours","Enfants","À l'extérieur","Entrée libre","Gratuit","Montréal-Nord","nan","nan","nan","nan",45.581924078683,-73.64228789135,293696.3,5049122.8
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71210","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-22","2024-07-22","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.570450140217,-73.642291625821,293693.8,5047847.7
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71211","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-05","2024-08-05","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.570450140217,-73.642291625821,293693.8,5047847.7
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71215","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-22","2024-07-22","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.55698638427,-73.631071804224,294567,5046350
