ï»¿CATEG,TERRITOIRE,ETAT,NOM_USUEL,WKT 
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie gÃ©nÃ©rale,Boulevard des Mille-Ãles,Existant,,"POLYGON  (( 295627.71900000 5061234.54290000, 295632.21700000 5061234.54290000, 295632.34930000 5061244.59710000, 295618.98780000 5061244.72940000, 295618.72320000 5061225.94400000, 295618.48150000 5061208.78560000, 295626.83580000 5061208.78810000, 295627.16130000 5061224.19130000, 295626.49910000 5061224.20250000, 295626.52840000 5061225.81170000, 295626.66070000 5061229.64810000, 295627.85130000 5061229.25130000, 295627.71900000 5061234.54290000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Avenue des Perron,Existant,,"POLYGON  (( 288338.50000000 5056796.60000000, 288341.80000000 5056797.60000000, 288337.00000000 5056814.50000000, 288331.30000000 5056812.80000000, 288332.00000000 5056810.30000000, 288315.90000000 5056805.60000000, 288320.10000000 5056791.10000000, 288336.30000000 5056795.80000000, 288336.80000000 5056794.00000000, 288339.00000000 5056794.60000000, 288338.50000000 5056796.60000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Avenue des Perron,Existant,,"POLYGON  (( 288318.40000000 5056842.50000000, 288317.30000000 5056848.10000000, 288307.70000000 5056846.30000000, 288308.70000000 5056840.60000000, 288318.40000000 5056842.50000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Boulevard des Mille-Ãles,Existant,,"POLYGON  (( 294499.90000000 5060849.40000000, 294499.80000000 5060854.50000000, 294499.70000000 5060856.30000000, 294491.30000000 5060856.10000000, 294491.30000000 5060854.50000000, 294491.40000000 5060849.30000000, 294499.90000000 5060849.40000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 289007.40000000 5059918.20000000, 289005.30000000 5059934.20000000, 288973.60000000 5059929.70000000, 288976.20000000 5059913.10000000, 289007.40000000 5059918.20000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 279361.60000000 5043193.70000000, 279366.60000000 5043186.00000000, 279381.60000000 5043195.50000000, 279376.40000000 5043203.50000000, 279361.60000000 5043193.70000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 278224.20000000 5045131.00000000, 278230.40000000 5045134.10000000, 278226.90000000 5045141.00000000, 278220.70000000 5045137.80000000, 278224.20000000 5045131.00000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 293121.80000000 5056230.70000000, 293110.70000000 5056243.10000000, 293095.40000000 5056229.40000000, 293106.60000000 5056217.00000000, 293121.80000000 5056230.70000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 280213.80000000 5050409.00000000, 280212.10000000 5050417.80000000, 280202.00000000 5050415.90000000, 280203.60000000 5050407.10000000, 280213.80000000 5050409.00000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 281033.30000000 5043832.30000000, 281038.50000000 5043836.90000000, 281039.90000000 5043835.30000000, 281059.90000000 5043853.20000000, 281049.50000000 5043864.70000000, 281024.40000000 5043842.20000000, 281033.30000000 5043832.30000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 297231.90000000 5060838.90000000, 297222.50000000 5060839.00000000, 297222.50000000 5060828.50000000, 297231.90000000 5060828.40000000, 297231.90000000 5060838.90000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 285465.60000000 5056827.20000000, 285479.30000000 5056820.80000000, 285487.20000000 5056837.90000000, 285482.80000000 5056839.90000000, 285488.00000000 5056851.00000000, 285485.50000000 5056852.20000000, 285487.60000000 5056856.80000000, 285480.80000000 5056860.00000000, 285465.60000000 5056827.20000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 291006.40000000 5054514.80000000, 291024.90000000 5054528.60000000, 291015.20000000 5054541.60000000, 290997.20000000 5054528.10000000, 291001.90000000 5054521.80000000, 291001.45930000 5054521.47320000, 291006.40000000 5054514.80000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Hors territoire patrimonial,Existant,,"POLYGON  (( 291651.80000000 5050197.80000000, 291644.80000000 5050207.60000000, 291627.90000000 5050195.60000000, 291622.20000000 5050196.50000000, 291616.90000000 5050192.80000000, 291615.80000000 5050186.20000000, 291619.50000000 5050181.00000000, 291626.40000000 5050179.80000000, 291638.30000000 5050188.30000000, 291641.80000000 5050183.40000000, 291646.30000000 5050186.60000000, 291642.90000000 5050191.40000000, 291651.80000000 5050197.80000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Hors territoire patrimonial,Existant,,"POLYGON  (( 286500.00000000 5053137.60000000, 286458.60000000 5053106.60000000, 286478.60000000 5053080.10000000, 286500.00000000 5053096.20000000, 286522.00000000 5053112.70000000, 286515.70000000 5053121.10000000, 286538.10000000 5053137.90000000, 286538.30000000 5053136.80000000, 286545.10000000 5053138.10000000, 286544.60000000 5053140.60000000, 286550.40000000 5053141.80000000, 286540.40000000 5053193.70000000, 286544.40000000 5053194.50000000, 286542.10000000 5053206.50000000, 286543.40000000 5053206.80000000, 286542.20000000 5053212.70000000, 286548.20000000 5053213.90000000, 286546.20000000 5053223.90000000, 286527.90000000 5053220.30000000, 286529.80000000 5053210.40000000, 286537.10000000 5053211.80000000, 286538.20000000 5053206.00000000, 286500.80000000 5053198.70000000, 286503.00000000 5053187.30000000, 286501.00000000 5053186.90000000, 286504.20000000 5053170.80000000, 286506.10000000 5053171.10000000, 286508.30000000 5053159.80000000, 286527.50000000 5053163.50000000, 286526.90000000 5053166.40000000, 286529.10000000 5053166.80000000, 286532.50000000 5053149.20000000, 286508.40000000 5053131.10000000, 286502.00000000 5053139.10000000, 286500.00000000 5053137.60000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Hors territoire patrimonial,Existant,,"POLYGON  (( 289797.90000000 5046456.80000000, 289797.90000000 5046457.00000000, 289799.00000000 5046465.00000000, 289799.60000000 5046464.90000000, 289800.80000000 5046473.90000000, 289817.50000000 5046471.60000000, 289818.70000000 5046479.90000000, 289819.20000000 5046479.80000000, 289820.40000000 5046488.80000000, 289837.10000000 5046486.50000000, 289838.20000000 5046494.90000000, 289838.90000000 5046494.80000000, 289839.60000000 5046500.00000000, 289839.80000000 5046501.60000000, 289839.30000000 5046501.60000000, 289839.50000000 5046502.90000000, 289830.50000000 5046504.20000000, 289830.00000000 5046500.70000000, 289828.20000000 5046500.90000000, 289827.50000000 5046501.80000000, 289825.00000000 5046500.00000000, 289819.00000000 5046495.50000000, 289815.60000000 5046500.00000000, 289792.90000000 5046530.50000000, 289792.10000000 5046529.90000000, 289789.60000000 5046533.30000000, 289789.30000000 5046533.10000000, 289789.00000000 5046533.60000000, 289779.20000000 5046532.30000000, 289779.30000000 5046531.50000000, 289753.00000000 5046528.30000000, 289747.80000000 5046524.50000000, 289753.60000000 5046516.70000000, 289754.50000000 5046516.80000000, 289754.60000000 5046516.20000000, 289762.30000000 5046517.30000000, 289765.70000000 5046512.60000000, 289773.00000000 5046517.80000000, 289779.40000000 5046509.30000000, 289776.20000000 5046506.90000000, 289781.40000000 5046500.00000000, 289791.70000000 5046486.10000000, 289793.80000000 5046487.70000000, 289794.20000000 5046487.80000000, 289796.10000000 5046485.20000000, 289778.70000000 5046472.30000000, 289775.90000000 5046472.70000000, 289774.20000000 5046460.50000000, 289775.60000000 5046460.30000000, 289775.50000000 5046459.90000000, 289797.90000000 5046456.80000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Hors territoire patrimonial,Existant,,"POLYGON  (( 289694.20000000 5047113.70000000, 289680.20000000 5047118.40000000, 289676.80000000 5047108.90000000, 289659.60000000 5047100.20000000, 289664.30000000 5047090.70000000, 289660.80000000 5047089.00000000, 289661.00000000 5047088.50000000, 289657.20000000 5047086.60000000, 289656.40000000 5047086.10000000, 289655.60000000 5047085.60000000, 289655.10000000 5047085.20000000, 289654.60000000 5047084.70000000, 289654.20000000 5047084.30000000, 289653.50000000 5047083.30000000, 289653.00000000 5047082.40000000, 289652.50000000 5047081.40000000, 289652.00000000 5047080.50000000, 289650.00000000 5047074.80000000, 289650.60000000 5047074.60000000, 289645.80000000 5047061.00000000, 289655.50000000 5047057.60000000, 289662.00000000 5047076.20000000, 289665.50000000 5047075.00000000, 289665.10000000 5047073.80000000, 289679.70000000 5047068.70000000, 289681.40000000 5047073.50000000, 289691.50000000 5047078.50000000, 289689.70000000 5047082.10000000, 289699.20000000 5047086.80000000, 289690.70000000 5047103.80000000, 289694.20000000 5047113.70000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Hors territoire patrimonial,Existant,,"POLYGON  (( 290677.94920000 5046821.30600000, 290679.48400000 5046819.23830000, 290676.72560000 5046817.19060000, 290675.22580000 5046819.21080000, 290657.61320000 5046806.13630000, 290659.66840000 5046803.36770000, 290659.29630000 5046803.09150000, 290668.65280000 5046790.48730000, 290667.53700000 5046789.65900000, 290672.33520000 5046783.19520000, 290673.42440000 5046784.00380000, 290677.69210000 5046778.25490000, 290679.57940000 5046779.65590000, 290683.69850000 5046774.10710000, 290699.73620000 5046786.01240000, 290698.19900000 5046788.08300000, 290701.13760000 5046790.26440000, 290702.48230000 5046788.45280000, 290720.30620000 5046801.68410000, 290695.86660000 5046834.60680000, 290677.94920000 5046821.30600000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Hors territoire patrimonial,Existant,,"POLYGON  (( 286092.10000000 5045122.10000000, 286079.00000000 5045152.20000000, 286074.20000000 5045150.10000000, 286074.60000000 5045149.30000000, 286072.80000000 5045148.50000000, 286072.50000000 5045149.30000000, 286057.30000000 5045142.70000000, 286058.80000000 5045139.10000000, 286058.30000000 5045138.10000000, 286060.20000000 5045135.80000000, 286059.70000000 5045134.90000000, 286061.60000000 5045132.50000000, 286061.10000000 5045131.40000000, 286063.10000000 5045129.00000000, 286062.60000000 5045128.10000000, 286064.60000000 5045125.70000000, 286064.10000000 5045124.70000000, 286066.80000000 5045121.40000000, 286067.30000000 5045120.30000000, 286059.60860000 5045116.46240000, 286061.40000000 5045112.60000000, 286059.10000000 5045111.60000000, 286062.80000000 5045103.00000000, 286075.00000000 5045108.30000000, 286075.50000000 5045107.10000000, 286079.20000000 5045108.70000000, 286078.40000000 5045110.60000000, 286085.30000000 5045113.60000000, 286084.80000000 5045114.60000000, 286089.00000000 5045116.40000000, 286087.40000000 5045120.10000000, 286092.10000000 5045122.10000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Hors territoire patrimonial,Existant,,"POLYGON  (( 284150.73660000 5045761.42530000, 284141.69490000 5045757.73380000, 284141.00880000 5045759.41440000, 284138.58700000 5045758.42570000, 284139.35980000 5045756.53280000, 284112.42060000 5045745.53410000, 284111.66880000 5045747.37560000, 284108.98250000 5045746.27880000, 284109.73920000 5045744.42510000, 284101.51530000 5045741.06750000, 284104.37800000 5045734.05530000, 284102.69050000 5045733.36620000, 284103.59120000 5045731.16010000, 284105.24480000 5045731.83510000, 284118.41940000 5045700.35070000, 284119.95290000 5045696.61370000, 284118.22580000 5045695.90490000, 284120.18330000 5045691.13420000, 284121.89970000 5045691.83850000, 284123.80730000 5045687.18970000, 284153.34540000 5045699.31100000, 284159.44740000 5045684.60280000, 284156.17420000 5045683.08010000, 284157.88790000 5045679.03830000, 284154.17370000 5045679.33960000, 284150.78220000 5045675.42860000, 284150.16380000 5045675.18120000, 284145.14200000 5045675.60940000, 284141.75070000 5045671.66790000, 284141.21320000 5045671.49200000, 284136.12060000 5045671.86910000, 284132.71870000 5045667.97820000, 284132.21230000 5045667.69080000, 284127.05840000 5045668.12840000, 284123.69760000 5045664.17690000, 284123.24150000 5045663.99130000, 284118.09800000 5045664.37820000, 284114.39270000 5045660.25190000, 284114.08840000 5045660.14860000, 284120.39470000 5045644.80190000, 284120.76980000 5045644.94630000, 284126.19860000 5045644.41890000, 284129.70170000 5045648.37130000, 284130.16780000 5045648.59750000, 284135.31120000 5045648.22080000, 284138.69240000 5045652.17240000, 284139.15880000 5045652.32760000, 284144.29200000 5045651.96100000, 284147.76510000 5045655.82170000, 284148.24170000 5045655.99720000, 284153.30340000 5045655.70130000, 284156.73580000 5045659.56180000, 284157.23260000 5045659.74760000, 284162.34560000 5045659.35040000, 284165.82800000 5045663.37370000, 284166.37560000 5045663.56990000, 284180.56490000 5045662.67650000, 284180.92690000 5045661.56090000, 284184.37350000 5045662.95250000, 284183.92010000 5045664.06760000, 284189.73130000 5045670.78930000, 284189.77470000 5045670.78700000, 284193.21620000 5045674.82020000, 284193.63210000 5045674.95470000, 284199.04930000 5045674.66090000, 284202.60330000 5045678.60330000, 284202.97850000 5045678.73750000, 284208.12200000 5045678.34050000, 284211.60550000 5045682.16060000, 284212.04130000 5045682.34600000, 284217.11310000 5045682.06040000, 284220.52500000 5045685.96140000, 284221.05220000 5045686.14730000, 284226.12380000 5045685.90230000, 284229.56670000 5045689.72210000, 284230.04320000 5045689.89760000, 284235.18650000 5045689.54110000, 284238.76940000 5045693.73770000, 284239.12430000 5045693.87190000, 284232.87900000 5045709.21870000, 284232.44300000 5045709.06380000, 284226.92130000 5045709.51090000, 284223.64310000 5045705.65970000, 284223.06870000 5045705.42490000, 284217.95980000 5045705.77250000, 284214.61230000 5045701.90180000, 284214.06770000 5045701.66690000, 284208.98890000 5045702.13280000, 284205.59130000 5045698.12400000, 284205.03680000 5045697.87920000, 284199.95780000 5045698.30570000, 284196.51130000 5045694.40580000, 284195.99630000 5045694.16080000, 284190.91710000 5045694.53790000, 284187.39640000 5045690.39310000, 284183.29070000 5045688.76400000, 284182.46370000 5045690.85180000, 284180.16100000 5045689.91170000, 284169.33120000 5045716.43850000, 284171.03220000 5045717.13290000, 284168.93830000 5045722.26200000, 284167.08150000 5045721.50390000, 284154.17030000 5045753.12930000, 284155.87960000 5045753.82720000, 284154.72730000 5045756.64980000, 284152.97790000 5045755.93560000, 284150.73660000 5045761.42530000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Hors territoire patrimonial,Existant,,"POLYGON  (( 290435.10000000 5048440.20000000, 290436.70000000 5048438.90000000, 290450.20000000 5048453.70000000, 290436.20000000 5048463.10000000, 290440.50000000 5048470.00000000, 290393.70000000 5048500.00000000, 290374.00000000 5048512.60000000, 290366.20000000 5048500.00000000, 290362.50000000 5048494.00000000, 290419.40000000 5048459.20000000, 290417.70000000 5048457.00000000, 290394.80000000 5048432.10000000, 290412.40000000 5048415.10000000, 290435.10000000 5048440.20000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Hors territoire patrimonial,Existant,,"POLYGON  (( 282679.50000000 5051680.20000000, 282712.30000000 5051686.10000000, 282705.50000000 5051722.00000000, 282704.20000000 5051728.80000000, 282692.00000000 5051726.60000000, 282691.10000000 5051731.80000000, 282684.40000000 5051730.70000000, 282679.80000000 5051755.50000000, 282730.40000000 5051764.80000000, 282730.20000000 5051767.60000000, 282734.20000000 5051768.10000000, 282734.00000000 5051769.00000000, 282735.40000000 5051770.20000000, 282736.20000000 5051771.30000000, 282736.40000000 5051771.70000000, 282736.60000000 5051772.00000000, 282736.90000000 5051772.60000000, 282737.10000000 5051773.10000000, 282737.20000000 5051773.60000000, 282737.30000000 5051773.90000000, 282737.40000000 5051774.30000000, 282737.50000000 5051774.60000000, 282737.60000000 5051775.80000000, 282737.60000000 5051776.20000000, 282737.60000000 5051776.60000000, 282737.60000000 5051777.10000000, 282736.90000000 5051783.30000000, 282736.30000000 5051786.60000000, 282679.70000000 5051776.20000000, 282672.80000000 5051812.30000000, 282684.30000000 5051814.30000000, 282684.60000000 5051813.10000000, 282690.10000000 5051813.60000000, 282689.60000000 5051815.20000000, 282694.80000000 5051816.20000000, 282691.90000000 5051829.10000000, 282682.20000000 5051827.20000000, 282681.30000000 5051828.30000000, 282679.50000000 5051830.00000000, 282678.80000000 5051830.70000000, 282677.70000000 5051831.60000000, 282676.80000000 5051832.20000000, 282675.20000000 5051833.20000000, 282674.20000000 5051833.90000000, 282673.00000000 5051834.50000000, 282671.60000000 5051835.10000000, 282670.10000000 5051835.70000000, 282667.80000000 5051836.50000000, 282666.30000000 5051836.80000000, 282662.10000000 5051837.30000000, 282660.80000000 5051837.30000000, 282658.90000000 5051837.20000000, 282657.90000000 5051837.10000000, 282656.10000000 5051836.90000000, 282650.60000000 5051835.90000000, 282644.00000000 5051834.60000000, 282646.20000000 5051822.50000000, 282643.20000000 5051822.00000000, 282632.20000000 5051820.20000000, 282641.70000000 5051769.30000000, 282585.00000000 5051758.80000000, 282585.80000000 5051754.30000000, 282586.10000000 5051752.10000000, 282586.50000000 5051750.90000000, 282586.80000000 5051750.00000000, 282587.10000000 5051749.40000000, 282587.50000000 5051748.70000000, 282587.90000000 5051747.90000000, 282588.90000000 5051746.60000000, 282590.00000000 5051745.30000000, 282590.90000000 5051744.50000000, 282591.50000000 5051744.10000000, 282592.20000000 5051743.50000000, 282593.30000000 5051742.90000000, 282593.50000000 5051742.40000000, 282597.80000000 5051743.20000000, 282598.50000000 5051740.40000000, 282648.50000000 5051749.80000000, 282653.10000000 5051724.90000000, 282646.70000000 5051723.50000000, 282647.30000000 5051720.80000000, 282647.70000000 5051718.40000000, 282635.70000000 5051716.30000000, 282643.50000000 5051673.50000000, 282676.30000000 5051679.50000000, 282679.50000000 5051680.20000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Hors territoire patrimonial,Existant,,"POLYGON  (( 283724.40000000 5043812.70000000, 283733.20000000 5043798.50000000, 283733.60000000 5043798.10000000, 283734.10000000 5043797.90000000, 283734.60000000 5043797.90000000, 283735.20000000 5043798.00000000, 283735.50000000 5043798.20000000, 283735.90000000 5043798.40000000, 283751.30000000 5043807.90000000, 283751.60000000 5043808.20000000, 283751.70000000 5043808.40000000, 283751.80000000 5043808.70000000, 283751.90000000 5043809.40000000, 283751.90000000 5043809.60000000, 283751.80000000 5043809.90000000, 283751.70000000 5043810.00000000, 283751.50000000 5043810.20000000, 283751.30000000 5043810.30000000, 283738.70000000 5043830.60000000, 283738.70000000 5043830.80000000, 283738.60000000 5043830.90000000, 283738.60000000 5043831.10000000, 283738.50000000 5043831.20000000, 283738.20000000 5043831.40000000, 283738.00000000 5043831.50000000, 283737.70000000 5043831.60000000, 283737.50000000 5043831.50000000, 283736.40000000 5043831.10000000, 283735.90000000 5043830.90000000, 283735.60000000 5043830.70000000, 283730.70000000 5043827.90000000, 283729.80000000 5043829.20000000, 283723.90000000 5043825.70000000, 283724.90000000 5043824.20000000, 283721.00000000 5043821.70000000, 283720.40000000 5043821.10000000, 283720.30000000 5043820.90000000, 283720.20000000 5043820.70000000, 283720.20000000 5043820.30000000, 283720.20000000 5043820.10000000, 283720.20000000 5043819.80000000, 283720.20000000 5043819.50000000, 283720.60000000 5043819.00000000, 283720.80000000 5043818.80000000, 283724.40000000 5043812.70000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Hors territoire patrimonial,Existant,,"POLYGON  (( 275923.30000000 5045175.70000000, 275913.40000000 5045168.40000000, 275912.80000000 5045169.20000000, 275901.10000000 5045160.60000000, 275901.90000000 5045159.40000000, 275900.60000000 5045158.40000000, 275902.70000000 5045155.50000000, 275903.60000000 5045156.20000000, 275913.20000000 5045143.20000000, 275907.90000000 5045139.40000000, 275930.70000000 5045108.20000000, 275929.30000000 5045107.20000000, 275929.60000000 5045106.80000000, 275927.50000000 5045105.30000000, 275928.80000000 5045103.60000000, 275931.40000000 5045105.40000000, 275934.50000000 5045101.10000000, 275931.20000000 5045098.70000000, 275934.80000000 5045093.80000000, 275938.10000000 5045096.20000000, 275939.80000000 5045093.80000000, 275953.10000000 5045103.50000000, 275954.10000000 5045102.20000000, 275961.80000000 5045107.90000000, 275956.90000000 5045114.50000000, 275949.30000000 5045108.90000000, 275943.10000000 5045117.20000000, 275939.60000000 5045114.60000000, 275936.90000000 5045118.30000000, 275933.60000000 5045115.90000000, 275922.50000000 5045131.10000000, 275927.20000000 5045134.50000000, 275928.00000000 5045133.30000000, 275944.40000000 5045145.30000000, 275943.30000000 5045146.70000000, 275944.20000000 5045147.40000000, 275942.60000000 5045149.70000000, 275945.40000000 5045151.70000000, 275936.80000000 5045163.50000000, 275933.80000000 5045161.30000000, 275923.30000000 5045175.70000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie gÃ©nÃ©rale,Hors territoire patrimonial,Existant,,"POLYGON  (( 290804.50000000 5048106.70000000, 290804.50000000 5048109.00000000, 290795.00000000 5048113.10000000, 290797.40000000 5048117.70000000, 290800.40000000 5048116.20000000, 290801.70000000 5048118.80000000, 290800.20000000 5048119.50000000, 290803.90000000 5048127.00000000, 290790.30000000 5048133.90000000, 290786.10000000 5048124.50000000, 290790.60000000 5048122.80000000, 290789.80000000 5048121.20000000, 290788.50000000 5048121.60000000, 290785.80000000 5048111.20000000, 290793.00000000 5048101.30000000, 290795.55230000 5048103.25930000, 290798.35900000 5048104.83270000, 290801.36230000 5048105.98750000, 290804.50000000 5048106.70000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Hors territoire patrimonial,Existant,,"POLYGON  (( 285655.50000000 5045248.30000000, 285652.70000000 5045252.40000000, 285651.10000000 5045273.60000000, 285652.40000000 5045273.70000000, 285654.10000000 5045276.00000000, 285652.10000000 5045278.90000000, 285637.10000000 5045279.00000000, 285632.00000000 5045275.60000000, 285625.50000000 5045273.40000000, 285621.20000000 5045268.00000000, 285615.80000000 5045264.40000000, 285610.40000000 5045250.80000000, 285612.30000000 5045247.60000000, 285615.70000000 5045248.70000000, 285615.80000000 5045249.70000000, 285631.50000000 5045241.70000000, 285631.70000000 5045235.10000000, 285630.10000000 5045235.00000000, 285631.70000000 5045216.70000000, 285642.80000000 5045217.20000000, 285642.00000000 5045235.50000000, 285641.20000000 5045235.50000000, 285641.00000000 5045239.30000000, 285655.50000000 5045248.30000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Hors territoire patrimonial,Existant,,"POLYGON  (( 299000.00000000 5058874.80000000, 298991.60000000 5058868.30000000, 298996.40000000 5058862.30000000, 298988.60000000 5058863.20000000, 298982.70000000 5058863.90000000, 298970.70000000 5058854.50000000, 298968.80000000 5058839.30000000, 298978.30000000 5058827.20000000, 298988.50000000 5058826.00000000, 298993.40000000 5058825.40000000, 299000.00000000 5058830.60000000, 299005.40000000 5058834.80000000, 299007.40000000 5058848.10000000, 299012.30000000 5058852.00000000, 299003.50000000 5058863.30000000, 299015.40000000 5058872.60000000, 299008.40000000 5058881.40000000, 299000.00000000 5058874.80000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Hors territoire patrimonial,Existant,,"POLYGON  (( 290793.00000000 5048101.30000000, 290791.00000000 5048098.90000000, 290789.20000000 5048096.10000000, 290791.30000000 5048095.00000000, 290791.00000000 5048094.60000000, 290792.30000000 5048093.90000000, 290791.70000000 5048092.60000000, 290791.20000000 5048091.10000000, 290790.90000000 5048090.00000000, 290790.70000000 5048088.80000000, 290789.30000000 5048088.80000000, 290789.30000000 5048088.00000000, 290790.70000000 5048088.00000000, 290790.80000000 5048085.30000000, 290791.40000000 5048082.60000000, 290790.10000000 5048082.30000000, 290790.30000000 5048081.50000000, 290791.60000000 5048081.80000000, 290793.00000000 5048078.90000000, 290794.20000000 5048077.10000000, 290793.30000000 5048076.20000000, 290793.80000000 5048075.60000000, 290794.90000000 5048076.50000000, 290796.60000000 5048074.70000000, 290798.80000000 5048073.10000000, 290797.10000000 5048070.00000000, 290798.60000000 5048069.20000000, 290801.30000000 5048068.20000000, 290803.80000000 5048067.60000000, 290803.70000000 5048067.40000000, 290803.30000000 5048065.50000000, 290807.00000000 5048065.10000000, 290809.70000000 5048065.40000000, 290812.70000000 5048066.10000000, 290815.10000000 5048066.90000000, 290814.40000000 5048068.70000000, 290815.90000000 5048069.70000000, 290817.60000000 5048070.80000000, 290820.00000000 5048072.70000000, 290817.50000000 5048075.60000000, 290819.30000000 5048077.40000000, 290820.80000000 5048079.80000000, 290821.90000000 5048079.10000000, 290822.30000000 5048079.70000000, 290821.30000000 5048080.60000000, 290822.20000000 5048083.20000000, 290822.60000000 5048085.70000000, 290823.90000000 5048085.60000000, 290824.00000000 5048086.30000000, 290822.60000000 5048086.50000000, 290822.50000000 5048089.50000000, 290822.10000000 5048091.70000000, 290823.40000000 5048092.20000000, 290823.20000000 5048092.80000000, 290821.80000000 5048092.50000000, 290820.80000000 5048095.00000000, 290819.30000000 5048097.30000000, 290820.30000000 5048098.10000000, 290819.90000000 5048098.60000000, 290821.20000000 5048099.60000000, 290817.00000000 5048103.30000000, 290814.70000000 5048104.70000000, 290812.00000000 5048105.80000000, 290807.70000000 5048106.70000000, 290805.30000000 5048106.70000000, 290804.50000000 5048106.70000000, 290801.36230000 5048105.98750000, 290798.35900000 5048104.83270000, 290795.55230000 5048103.25930000, 290793.00000000 5048101.30000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Hors territoire patrimonial,Existant,,"POLYGON  (( 285188.60000000 5043512.50000000, 285201.90000000 5043520.50000000, 285200.00000000 5043523.60000000, 285205.00000000 5043530.00000000, 285199.50000000 5043539.10000000, 285189.40000000 5043537.40000000, 285185.80000000 5043543.50000000, 285200.10000000 5043552.20000000, 285199.40000000 5043553.20000000, 285202.20000000 5043554.90000000, 285202.90000000 5043553.80000000, 285232.40000000 5043571.70000000, 285237.60000000 5043563.10000000, 285246.80000000 5043568.60000000, 285212.40000000 5043625.40000000, 285197.80000000 5043616.60000000, 285213.40000000 5043590.80000000, 285216.00000000 5043592.40000000, 285218.40000000 5043588.20000000, 285189.50000000 5043569.40000000, 285191.20000000 5043566.40000000, 285181.00000000 5043560.30000000, 285160.10000000 5043594.90000000, 285152.40000000 5043590.30000000, 285150.90000000 5043592.70000000, 285147.30000000 5043590.50000000, 285148.80000000 5043588.10000000, 285141.20000000 5043583.50000000, 285170.80000000 5043534.60000000, 285174.80000000 5043537.00000000, 285178.50000000 5043530.80000000, 285172.20000000 5043522.70000000, 285177.60000000 5043513.80000000, 285186.70000000 5043515.60000000, 285188.60000000 5043512.50000000))"
