ï»¿OBJECTID,Numero,Grille
706,8237,QUADRILLAGE MATRICE (NAD 83)
707,8137,QUADRILLAGE MATRICE (NAD 83)
708,8038,QUADRILLAGE MATRICE (NAD 83)
709,7938,QUADRILLAGE MATRICE (NAD 83)
710,7838,QUADRILLAGE MATRICE (NAD 83)
711,7738,QUADRILLAGE MATRICE (NAD 83)
712,7638,QUADRILLAGE MATRICE (NAD 83)
713,7539,QUADRILLAGE MATRICE (NAD 83)
714,7439,QUADRILLAGE MATRICE (NAD 83)
715,7340,QUADRILLAGE MATRICE (NAD 83)
716,7240,QUADRILLAGE MATRICE (NAD 83)
717,7141,QUADRILLAGE MATRICE (NAD 83)
718,7042,QUADRILLAGE MATRICE (NAD 83)
719,6943,QUADRILLAGE MATRICE (NAD 83)
720,6642,QUADRILLAGE MATRICE (NAD 83)
721,6542,QUADRILLAGE MATRICE (NAD 83)
722,6442,QUADRILLAGE MATRICE (NAD 83)
723,8236,QUADRILLAGE MATRICE (NAD 83)
724,8136,QUADRILLAGE MATRICE (NAD 83)
725,8037,QUADRILLAGE MATRICE (NAD 83)
726,7937,QUADRILLAGE MATRICE (NAD 83)
727,7837,QUADRILLAGE MATRICE (NAD 83)
728,7737,QUADRILLAGE MATRICE (NAD 83)
729,7637,QUADRILLAGE MATRICE (NAD 83)
730,7538,QUADRILLAGE MATRICE (NAD 83)
731,7438,QUADRILLAGE MATRICE (NAD 83)
732,7339,QUADRILLAGE MATRICE (NAD 83)
733,7239,QUADRILLAGE MATRICE (NAD 83)
734,7140,QUADRILLAGE MATRICE (NAD 83)
735,7041,QUADRILLAGE MATRICE (NAD 83)
736,6942,QUADRILLAGE MATRICE (NAD 83)
737,6742,QUADRILLAGE MATRICE (NAD 83)
738,6842,QUADRILLAGE MATRICE (NAD 83)
739,6641,QUADRILLAGE MATRICE (NAD 83)
740,6541,QUADRILLAGE MATRICE (NAD 83)
741,6441,QUADRILLAGE MATRICE (NAD 83)
742,6341,QUADRILLAGE MATRICE (NAD 83)
743,8135,QUADRILLAGE MATRICE (NAD 83)
744,8036,QUADRILLAGE MATRICE (NAD 83)
745,7936,QUADRILLAGE MATRICE (NAD 83)
746,7836,QUADRILLAGE MATRICE (NAD 83)
747,7736,QUADRILLAGE MATRICE (NAD 83)
748,7636,QUADRILLAGE MATRICE (NAD 83)
749,7537,QUADRILLAGE MATRICE (NAD 83)
750,7437,QUADRILLAGE MATRICE (NAD 83)
751,7338,QUADRILLAGE MATRICE (NAD 83)
