ï»¿Annee,No_MRC,Nombre_d_exploitants_declarants,Nom_MRC,Region_Administrative,Superficie_agricole_en_2015_,Charge_P2O5_produite_par_les_animaux,Charge_P2O5_importee_par_ententes_d_epandage_,Charge_P2O5_des_engrais,Charge_P2O5_des_MRF,Charge_P2O5_detruite,Charge_P2O5_traitee_en_produits_utiles,Charge_P2O5_exportee_par_ententes_d_epandage,Nombre_hectares_totaux_declares,Saturation_des_sols_en_P,Charge_P2O5_disponible_epandage,Nombre_de_lieux_d_elevage,Nombre_de_lieux_d_epandage,Superficie_classe_saturation_1,Superficie_classe_saturation_2,Superficie_classe_saturation_3,Superficie_classe_saturation_4,Longitude,Latitude,Charge_P2O5_de_dejections_animales_disponibles
2012,910,175,Le Domaine-du-Roy,02,402,300521.5,91906.8,329684.3,128921.9,0.0,0.0,72656.3,23009.1,5.28,32.8,121,70,19840.1,916.7,214.9,1497.9,-72.38829472930,48.61814629370,319772.0
2013,910,184,Le Domaine-du-Roy,02,402,332618.0,132369.4,362017.9,84068.3,0.0,0.0,88739.5,24099.9,4.86,32.0,124,77,21780.0,701.8,199.2,1105.3,-72.38829472930,48.61814629370,376248.0
2014,910,181,Le Domaine-du-Roy,02,402,312894.0,153395.9,356567.1,74573.7,0.0,0.0,119933.9,24876.2,5.38,29.1,120,80,21735.6,890.6,296.7,1801.1,-72.38829472930,48.61814629370,346356.0
2015,910,178,Le Domaine-du-Roy,02,402,303306.4,144432.6,356570.4,54123.0,0.0,0.0,117685.1,24575.1,5.32,28.0,117,79,21528.0,662.9,248.8,1802.0,-72.38829472930,48.61814629370,330054.0
2016,910,184,Le Domaine-du-Roy,02,402,308896.8,138897.4,362257.4,63969.9,0.0,0.0,101959.6,24156.4,4.80,29.8,115,84,22023.5,591.1,205.0,1063.5,-72.38829472930,48.61814629370,345835.0
2017,910,184,Le Domaine-du-Roy,02,402,310683.6,139316.4,390778.3,78998.8,0.0,0.0,108007.8,24106.5,4.77,31.5,113,87,22063.9,557.9,235.4,1072.9,-72.38829472900,48.61814629400,341992.0
2018,910,188,Le Domaine-du-Roy,02,402,311183.2,129106.0,329222.0,121547.9,0.0,0.0,137597.9,24593.5,5.05,30.6,116,87,22200.5,770.5,229.0,1393.5,-72.38829472900,48.61814629400,302691.0
2012,920,259,Maria-Chapdelaine,02,645,441980.0,72456.8,720926.2,57750.5,0.0,370.8,74164.1,38872.1,5.19,30.4,143,146,34633.5,711.0,614.2,2512.0,-72.32776553070,48.88511759350,439902.0
2013,920,273,Maria-Chapdelaine,02,645,498690.1,116907.4,766496.6,40039.4,0.0,0.0,101098.7,40818.6,4.85,30.4,150,155,37214.5,869.2,596.7,1794.7,-72.32776553070,48.88511759350,514499.0
2014,920,272,Maria-Chapdelaine,02,645,473474.1,144779.6,854904.6,45047.9,0.0,0.0,114858.8,41561.1,5.07,31.9,140,163,37107.3,924.3,315.5,2558.6,-72.32776553070,48.88511759350,503395.0
2015,920,270,Maria-Chapdelaine,02,645,448424.4,140437.5,801042.7,34396.6,0.0,0.0,112002.0,40481.7,5.13,30.4,133,167,36261.0,962.7,350.7,2605.9,-72.32776553070,48.88511759350,476860.0
2016,920,273,Maria-Chapdelaine,02,645,451433.3,135989.5,712234.3,31993.9,0.0,0.0,111394.2,39313.1,5.07,28.9,135,170,35200.8,939.0,413.7,2324.8,-72.32776553070,48.88511759350,476029.0
2017,920,271,Maria-Chapdelaine,02,645,478204.1,180897.9,761765.4,41287.5,0.0,0.0,116345.8,41394.4,5.00,30.3,139,168,37323.1,977.4,539.4,2120.2,-72.32776553100,48.88511759300,542756.0
2018,920,269,Maria-Chapdelaine,02,645,488759.6,228147.8,647411.3,83749.2,0.0,0.0,124153.3,41734.6,5.24,31.7,140,168,37307.2,1022.7,554.9,2849.8,-72.32776553100,48.88511759300,592754.0
2012,930,239,Lac-Saint-Jean-Est,02,519,834910.7,169068.6,728820.6,84766.3,0.0,2340.0,202974.8,36298.6,5.32,42.5,237,32,31858.3,1002.4,1358.1,1905.2,-71.70237721730,48.54975956550,798664.0
2013,930,241,Lac-Saint-Jean-Est,02,519,855264.9,220143.0,712552.1,49112.7,0.0,0.0,208545.4,35743.6,5.08,42.5,241,32,31909.9,1150.8,1395.7,1247.8,-71.70237721730,48.54975956550,866862.0
2014,930,234,Lac-Saint-Jean-Est,02,519,834604.0,234491.8,687224.9,49786.9,0.0,1371.6,212983.9,34781.3,5.09,42.3,230,32,30894.9,1323.7,658.2,1688.2,-71.70237721730,48.54975956550,854740.0
2015,930,240,Lac-Saint-Jean-Est,02,519,815119.0,265801.3,744847.6,86920.7,0.0,0.0,226501.9,36566.8,4.99,42.9,232,37,32842.0,1451.3,559.7,1649.2,-71.70237721730,48.54975956550,854418.0
2016,930,233,Lac-Saint-Jean-Est,02,519,812897.8,246655.0,636397.0,96672.7,0.0,0.0,232040.6,36626.9,4.88,39.3,221,40,32965.0,1182.2,415.8,1593.3,-71.70237721730,48.54975956550,827512.0
2017,930,229,Lac-Saint-Jean-Est,02,519,831359.3,272523.0,663921.8,138089.6,0.0,2924.9,224944.8,38481.2,5.36,40.3,221,39,34135.6,1007.7,400.1,2525.8,-71.70237721700,48.54975956500,876013.0
2018,930,216,Lac-Saint-Jean-Est,02,519,879277.6,237700.7,730746.1,126238.4,0.0,0.0,247047.5,39897.5,5.00,43.3,220,36,36307.0,941.3,451.8,2197.4,-71.70237721700,48.54975956500,869931.0
2012,941,120,Saguenay,02,229,321498.1,31924.5,366900.8,107382.3,0.0,0.0,18694.2,14017.5,4.73,57.0,111,20,13000.1,175.2,341.6,459.9,-71.07789576120,48.38839875420,334728.0
2013,941,116,Saguenay,02,229,350449.6,44928.5,406260.9,115219.8,0.0,0.0,27662.5,14420.6,4.40,58.9,107,19,13739.9,139.2,303.9,237.6,-71.07789576120,48.38839875420,367716.0
2014,941,119,Saguenay,02,229,339441.3,53696.6,358494.9,136845.5,0.0,0.0,22267.3,15022.5,4.55,53.8,108,21,14121.2,100.2,216.0,478.3,-71.07789576120,48.38839875420,370871.0
2015,941,116,Saguenay,02,229,347961.7,59236.2,371952.0,120178.6,0.0,0.0,19874.9,15437.5,4.62,53.0,106,18,14482.1,133.5,178.1,581.1,-71.07789576120,48.38839875420,387323.0
2016,941,118,Saguenay,02,229,346791.6,55667.9,341532.9,112996.8,0.0,0.0,24494.8,15053.3,4.56,51.2,107,20,14103.3,153.9,234.3,449.1,-71.07789576120,48.38839875420,377965.0
2017,941,119,Saguenay,02,229,343108.5,78836.7,393033.5,116462.0,0.0,0.0,23972.6,15121.9,4.93,56.1,107,20,14458.6,181.3,63.3,418.7,-71.07789576100,48.38839875400,397973.0
2018,941,116,Saguenay,02,229,353374.1,49603.3,367728.5,115811.5,0.0,0.0,29146.2,15376.1,4.52,55.8,105,21,14596.6,132.4,84.7,562.4,-71.07789576100,48.38839875400,373831.0
2012,942,57,Le Fjord-du-Saguenay,02,177,92714.1,26612.7,471654.5,44787.1,0.0,0.0,25449.1,9675.3,5.61,62.9,35,30,8412.7,14.6,35.5,1017.9,-71.08836148000,48.51566707680,93878.0
2013,942,61,Le Fjord-du-Saguenay,02,177,94302.2,40613.5,541716.1,42272.7,0.0,0.0,31226.0,10051.1,4.86,67.8,38,31,9262.2,6.5,49.5,601.9,-71.08836148000,48.51566707680,103690.0
2014,942,59,Le Fjord-du-Saguenay,02,177,111366.2,39381.7,471707.2,21011.3,0.0,0.0,33031.1,9125.4,4.58,64.9,39,28,8482.9,12.1,112.5,334.9,-71.08836148000,48.51566707680,117717.0
2015,942,56,Le Fjord-du-Saguenay,02,177,101749.1,43149.0,510169.6,14603.6,0.0,0.0,42931.1,8687.7,4.45,70.3,39,26,8117.0,16.8,12.8,321.6,-71.08836148000,48.51566707680,101967.0
2016,942,58,Le Fjord-du-Saguenay,02,177,85489.8,40318.0,371523.3,26301.1,0.0,0.0,36620.9,9609.0,4.43,49.4,40,27,8967.8,98.1,63.8,273.0,-71.08836148000,48.51566707680,89187.0
2017,942,60,Le Fjord-du-Saguenay,02,177,92423.7,29097.1,434417.2,12568.6,0.0,0.0,27501.5,8696.1,4.50,60.7,40,29,7953.9,145.1,65.9,313.1,-71.08836148000,48.51566707700,94019.0
2018,942,53,Le Fjord-du-Saguenay,02,177,91059.7,22175.2,417643.9,20101.6,0.0,0.0,24093.9,7711.5,5.20,68.3,37,29,7017.4,34.8,56.6,602.8,-71.08836148000,48.51566707700,89141.0
2012,150,40,Charlevoix-Est,03,91,197173.9,88655.3,17833.3,0.0,0.0,1292.2,140615.6,3530.6,5.04,45.8,48,3,3024.8,363.0,94.4,48.4,-70.19832427770,47.68755689310,143921.0
2013,150,34,Charlevoix-Est,03,91,183520.2,70669.8,15203.0,0.0,0.0,1809.2,132894.6,3059.0,5.22,43.8,42,2,2548.7,369.0,105.0,36.4,-70.19832427770,47.68755689310,119486.0
2014,150,32,Charlevoix-Est,03,91,186082.4,80354.4,14215.6,214.2,0.0,1965.7,142212.7,3073.0,5.36,43.4,43,1,2533.9,373.8,98.1,67.2,-70.19832427770,47.68755689310,122258.0
2015,150,35,Charlevoix-Est,03,91,196731.4,93945.6,21219.6,0.0,0.0,2178.8,160157.2,3138.7,5.27,45.5,44,3,2615.8,362.0,105.7,55.3,-70.19832427770,47.68755689310,128341.0
2016,150,35,Charlevoix-Est,03,91,197976.9,96058.7,18656.7,0.0,0.0,1054.1,161825.3,3145.1,5.34,45.4,43,4,2604.0,364.9,109.8,65.0,-70.19832427770,47.68755689310,131156.0
2017,150,33,Charlevoix-Est,03,91,196064.8,98347.3,8709.8,0.0,0.0,595.9,165614.4,2808.4,5.16,46.3,39,3,2364.0,316.5,86.1,40.5,-70.19832427800,47.68755689300,128202.0
2018,150,34,Charlevoix-Est,03,91,210332.0,97972.3,9399.5,0.0,0.0,1304.3,180359.3,2928.8,5.37,46.4,42,4,2438.6,309.6,103.6,77.0,-70.19832427800,47.68755689300,126641.0
2012,160,65,Charlevoix,03,123,295706.7,154712.1,29018.7,8921.7,0.0,36639.9,162609.0,5192.0,4.80,55.7,90,7,4709.2,262.0,41.2,179.6,-70.44962326550,47.50627080950,251170.0
2013,160,61,Charlevoix,03,123,302424.7,178339.2,31525.5,3485.6,0.0,39776.8,183359.5,4922.3,4.54,59.3,82,6,4525.6,271.8,54.5,70.4,-70.44962326550,47.50627080950,257628.0
2014,160,58,Charlevoix,03,123,287408.5,128655.7,26160.6,1663.4,0.0,35961.1,148471.4,4687.2,4.53,54.0,77,5,4302.3,270.4,54.5,59.9,-70.44962326550,47.50627080950,231632.0
2015,160,59,Charlevoix,03,123,289415.4,151904.8,31311.1,2431.0,0.0,36107.4,143733.5,5001.9,4.52,56.4,80,5,4604.4,275.9,58.7,62.9,-70.44962326550,47.50627080950,261479.0
2016,160,61,Charlevoix,03,123,291427.8,171999.6,38088.4,3845.8,0.0,24353.9,160837.2,4867.9,4.48,62.8,79,7,4490.4,261.8,85.1,30.6,-70.44962326550,47.50627080950,278236.0
2017,160,60,Charlevoix,03,123,295184.8,206574.9,33698.2,0.0,0.0,21367.3,177557.8,5113.4,4.36,63.2,77,7,4768.7,268.4,48.2,28.1,-70.44962326500,47.50627081000,302835.0
2018,160,53,Charlevoix,03,123,253055.7,228920.1,32598.7,2382.0,0.0,8958.6,187086.9,5200.8,4.79,61.7,78,7,4674.5,329.5,63.4,133.4,-70.44962326500,47.50627081000,285930.0
2012,200,93,L'Ãle-d'OrlÃ©ans,03,116,119361.2,50189.0,251415.3,0.0,0.0,0.0,68051.5,7481.0,9.32,47.2,50,45,3577.0,1817.2,1276.3,800.3,-70.95395219010,46.93330324810,101499.0
2013,200,92,L'Ãle-d'OrlÃ©ans,03,116,125982.8,72179.1,217361.8,461.7,0.0,631.5,75153.1,7454.8,9.29,45.0,50,44,3564.6,1854.6,1250.0,785.7,-70.95395219010,46.93330324810,122377.0
2014,200,92,L'Ãle-d'OrlÃ©ans,03,116,115609.4,64165.9,198306.4,0.0,0.0,4633.2,67862.4,7342.5,8.81,40.9,51,43,3763.1,1805.4,1122.4,651.7,-70.95395219010,46.93330324810,107280.0
2015,200,92,L'Ãle-d'OrlÃ©ans,03,116,120983.8,63034.9,208592.4,0.0,0.0,509.3,72813.9,7338.0,8.82,42.2,51,43,3757.9,1804.2,1109.8,666.1,-70.95395219010,46.93330324810,110696.0
2016,200,86,L'Ãle-d'OrlÃ©ans,03,116,112416.8,65222.0,239050.7,1735.0,0.0,2830.9,67292.7,7783.2,8.93,43.4,50,38,3979.9,1817.1,1217.4,768.8,-70.95395219010,46.93330324810,107515.0
2017,200,85,L'Ãle-d'OrlÃ©ans,03,116,118190.0,73652.9,237180.3,2099.0,0.0,4171.4,74839.3,7911.7,8.91,43.3,49,38,4044.2,1896.1,1278.1,693.2,-70.95395219000,46.93330324800,112832.0
2018,200,88,L'Ãle-d'OrlÃ©ans,03,116,120089.9,74650.6,225844.5,1235.0,0.0,8666.2,78443.0,7298.8,8.91,45.9,52,38,3745.4,1753.8,993.0,806.4,-70.95395219000,46.93330324800,107631.0
2012,210,23,La CÃ´te-de-BeauprÃ©,03,77,37984.6,14245.0,36703.4,4940.8,0.0,0.0,10832.9,1938.6,4.78,42.8,18,8,1734.8,126.2,54.1,23.5,-70.91209303910,47.10292400580,41397.0
2013,210,23,La CÃ´te-de-BeauprÃ©,03,77,39144.6,13689.1,41989.3,4612.6,0.0,0.0,11177.6,1947.6,4.83,45.3,17,8,1739.6,123.7,48.3,36.0,-70.91209303910,47.10292400580,41656.0
2014,210,22,La CÃ´te-de-BeauprÃ©,03,77,40664.2,18748.5,37257.9,1098.2,0.0,0.0,11938.2,1935.0,5.01,43.6,18,6,1706.0,106.7,99.7,22.6,-70.91209303910,47.10292400580,47475.0
2015,210,21,La CÃ´te-de-BeauprÃ©,03,77,41692.1,19959.2,35185.1,6111.5,0.0,0.0,13512.8,1915.1,5.79,45.1,17,6,1584.9,80.4,224.0,25.8,-70.91209303910,47.10292400580,48139.0
2016,210,20,La CÃ´te-de-BeauprÃ©,03,77,41246.0,19598.8,41421.8,0.0,0.0,0.0,12824.1,1904.9,4.75,45.4,17,5,1755.2,52.2,35.3,62.2,-70.91209303910,47.10292400580,48021.0
2017,210,20,La CÃ´te-de-BeauprÃ©,03,77,44451.6,19151.2,37953.2,0.0,0.0,0.0,11292.8,1964.3,5.54,44.1,18,4,1712.3,54.5,45.7,151.8,-70.91209303900,47.10292400600,52310.0
2018,210,19,La CÃ´te-de-BeauprÃ©,03,77,46146.8,11240.6,37524.1,6231.6,0.0,0.0,3748.3,1808.2,4.72,53.9,15,4,1653.9,71.0,47.1,36.3,-70.91209303900,47.10292400600,53639.0
2012,220,19,La Jacques-Cartier,03,48,141589.1,38518.8,20911.0,3360.0,0.0,0.0,168343.8,356.0,5.43,101.2,23,2,283.5,55.4,17.1,0.0,-71.53448132400,46.94415627510,11764.0
