NUMÉRO_DE_LOT,ÉTAT,SERVICE_RESPONSABLE,ARRONDISSEMENT,NUMÉRO_UEV,PUBLICATION_ASSUJ,LOC_X,LOC_Y,LONGITUDE,LATITUDE
"2162073","Assujetti","Habitation","Ville-Marie","1003009","27712451",300240.2,5041676.81,-73.558362,45.514996
"2162074","Assujetti","Habitation","Ville-Marie","1002965","27712451",300243.51,5041647.31,-73.558319,45.51473
"2162077","Assujetti","Habitation","Ville-Marie","1003409","27711239",300267.34,5041718.81,-73.558015,45.515374
"2162102","Assujetti","Habitation","Ville-Marie","1040710","2666500",300293.54,5041763.5,-73.55768,45.515776
"2339880","Assujetti","Habitation","Ville-Marie","1020605","27955039",299632.34,5041271.5,-73.566138,45.511344
"3361052","Assujetti","Habitation","Ville-Marie","1025440","27688256",300803.8,5044234.34,-73.551169,45.538013
"3361059","Assujetti","Habitation","Ville-Marie","1025454","27688264",300750.5,5044261.22,-73.551852,45.538255
"3361059","Assujetti","Habitation","Ville-Marie","1025454","27688264",300750.5,5044261.22,-73.551852,45.538255
"3361259","Assujetti","Habitation","Ville-Marie","5010616","27666500",300580.23,5044266.85,-73.554032,45.538304
"3361260","Assujetti","Habitation","Ville-Marie","5010617","27666500",300532.65,5044290.92,-73.554642,45.53852
"3361265","Assujetti","Habitation","Ville-Marie","1025882","27678051",300429.64,5044326.71,-73.555961,45.538842
"3361268","Assujetti","Habitation","Ville-Marie","1025390","27678062",300493.56,5044358.27,-73.555143,45.539126
"3361270","Assujetti","Habitation","Ville-Marie","1025880","27678065",300455.18,5044375.41,-73.555634,45.53928
"3361272","Assujetti","Habitation","Ville-Marie","5063912","27688253",300373.84,5044372.44,-73.556676,45.539253
"3362041","Assujetti","Habitation","Ville-Marie","1019127","2688259",300889.16,5043979.33,-73.550074,45.535719
"3362045","Assujetti","Habitation","Ville-Marie","1103636","25587362",300886.98,5044024.94,-73.550103,45.536129
"5097267","Assujetti","Habitation","Ville-Marie","1025387","27666500",300461.23,5044327.03,-73.555556,45.538845
"5097268","Assujetti","Habitation","Ville-Marie","1025385","27678052",300485.01,5044315.02,-73.555252,45.538737
"2248516","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3116811","27713931",294235.89,5043668.97,-73.635256,45.532857
"4590548","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4155490","25807907",272961.21,5040369.47,-73.907423,45.50252
"4590609","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","5025706","25807927",274675.61,5038394.09,-73.885364,45.484821
"4590778","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4139808","25807909",274261.46,5037462.46,-73.890604,45.47642
"4590779","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","5274287","25807922",274440.33,5037622.2,-73.888326,45.477866
"4590781","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","5218644","25827529",274325.53,5037096.31,-73.889762,45.473128
"5299024","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4154101","25807894",274296.06,5038767.26,-73.890243,45.488163
"6041254","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","5108830","25807982",274748.68,5040406.6,-73.884553,45.502934
"1416993","Assujetti","Grands parcs","Beaconsfield","4067703","25827528",273886.74,5032844.63,-73.895106,45.434851
"1559496","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","4080404","25807938",272062.52,5033069.15,-73.918436,45.436788
"1559500","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","4080396","25908947",273048,5033258.45,-73.905853,45.438537
"1559501","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","4080398","25807940",273089.12,5033230.98,-73.905326,45.438292
"1559523","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","4080379","25807887",273284.69,5033227.06,-73.902826,45.438266
"1976943","Assujetti","Grands parcs","Senneville","4085662","25807885",268170.13,5032769.21,-73.968163,45.433897
"1976958","Assujetti","Grands parcs","Senneville","4085727","25807941",268665.87,5033069.45,-73.96185,45.436624
"1977214","Assujetti","Grands parcs","Senneville","4085763","25827528",269768.19,5033412.67,-73.947785,45.439768
"2589538","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3078385","27688249",295444.05,5043249.32,-73.619779,45.529098
"2589537","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3078385","27688249",295450.61,5043245.41,-73.619695,45.529063
"2589394","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3110928","27841824",295213.22,5043690.38,-73.622743,45.533064
"2249853","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3016081","27695871",295180.1,5043648.27,-73.623166,45.532684
"2247870","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3081612","27695872",295375.22,5042966.42,-73.620655,45.526551
"2249341","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3081545","27439746",295574.01,5043108.57,-73.618113,45.527833
"1867987","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3111482","27660672",295374.45,5043661.6,-73.620678,45.532807
"1867976","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3016041","25743910",295433.14,5043743.04,-73.619928,45.533541
"1867983","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3043072","25743910",295405.44,5043760.3,-73.620283,45.533695
"2216558","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","2009871","27439747",297182.98,5047265.34,-73.597579,45.565257
"2216517","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","2009680","27462463",297120.95,5047368.61,-73.598375,45.566185
"2216514","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","2009682","27462463",297101.23,5047383.84,-73.598628,45.566322
"2249775","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3081581","27702683",295590.17,5043292.32,-73.617909,45.529487
"2249773","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3081585","27702683",295582.67,5043280.67,-73.618005,45.529382
"2245874","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3108527","27746496",295202.33,5042699.01,-73.622863,45.524143
"2245899","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3108527","27746496",295185.87,5042705.55,-73.623074,45.524201
"2245907","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3108527","27746496",295177.41,5042709.08,-73.623182,45.524233
"2245916","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3108527","27746496",295168.96,5042712.58,-73.62329,45.524264
"2249825","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3078484","27702680",295555.71,5043303.92,-73.618351,45.529591
"2249734","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3112415","27702680",295526.95,5043320.77,-73.618719,45.529742
"2249774","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3081583","27702683",295586.4,5043286.45,-73.617957,45.529434
"1868811","Assujetti","Habitation","Rosemont - La Petite-Patrie","3078916","27746495",295769.64,5043513.22,-73.615616,45.531477
"2332591","Assujetti","Habitation","Plateau-Mont-Royal","1025582","27439763",297477.52,5043495.5,-73.593749,45.531338
"2334501","Assujetti","Habitation","Plateau-Mont-Royal","1031462","27711240",297216.73,5042870.12,-73.597079,45.525707
"2334552","Assujetti","Habitation","Plateau-Mont-Royal","1031382","27847261",297037.64,5042938.92,-73.599372,45.526325
"2334553","Assujetti","Habitation","Plateau-Mont-Royal","1031384","27702675",297024.93,5042947.33,-73.599535,45.5264
"2334585","Assujetti","Habitation","Plateau-Mont-Royal","5032589","27678026",296846.49,5043068.48,-73.601822,45.527488
"2334587","Assujetti","Habitation","Plateau-Mont-Royal","1031412","27688248",296871.2,5043106.44,-73.601506,45.52783
"2334619","Assujetti","Habitation","Rosemont - La Petite-Patrie","3079585","27713927",296398.35,5043357.11,-73.607564,45.53008
"2335569","Assujetti","Habitation","Rosemont - La Petite-Patrie","3079570","27712453",296545.48,5043277.51,-73.605679,45.529366
"2335572","Assujetti","Habitation","Plateau-Mont-Royal","1031368","27702676",297226.17,5042816.61,-73.596957,45.525226
"2334586","Assujetti","Habitation","Plateau-Mont-Royal","1032090","27712454",296862.19,5043092.61,-73.601621,45.527705
"2334495","Assujetti","Habitation","Plateau-Mont-Royal","1031370","27702676",297214.32,5042827.21,-73.597109,45.525321
"1351136","Assujetti","Habitation","Outremont","3034130","27688244",295979.18,5042679.28,-73.612918,45.523976
"1868747","Assujetti","Habitation","Rosemont - La Petite-Patrie","3078579","27660671",295880.97,5043210.61,-73.614185,45.528755
"1868758","Assujetti","Habitation","Rosemont - La Petite-Patrie","3078567","27667071",295929.34,5043180.01,-73.613565,45.528481
"1867506","Assujetti","Habitation","Rosemont - La Petite-Patrie","3078953","27894230",296066.35,5043385.39,-73.611815,45.530331
"1868016","Assujetti","Habitation","Rosemont - La Petite-Patrie","3112711","27660675",296162.28,5043316.51,-73.610585,45.529712
"1868017","Assujetti","Habitation","Rosemont - La Petite-Patrie","3112712","27667066",296170.37,5043329.48,-73.610482,45.529829
"1867916","Assujetti","Habitation","Rosemont - La Petite-Patrie","3110958","27660675",295538.05,5043554.34,-73.618582,45.531844
"2334588","Assujetti","Habitation","Plateau-Mont-Royal","1031404","27713930",296783.66,5043092.87,-73.602626,45.527707
"1868774","Assujetti","Habitation","Rosemont - La Petite-Patrie","3078565","27767773",295942.26,5043171.93,-73.613399,45.528408
"2334554","Assujetti","Habitation","Plateau-Mont-Royal","1031386","27439754",296999.38,5042964.05,-73.599863,45.52655
"2334548","Assujetti","Habitation","Plateau-Mont-Royal","1031378","27847261",297064.63,5042915.48,-73.599027,45.526114
"2334549","Assujetti","Habitation","Plateau-Mont-Royal","1031380","27847261",297051.95,5042923.9,-73.599189,45.52619
"1867968","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3016222","27660846",295457.82,5043812.88,-73.619614,45.534169
"1977233","Assujetti","Grands parcs","Pierrefonds - Roxboro","4015402","25827525",270669.07,5034666.5,-73.936357,45.451095
"1977251","Assujetti","Grands parcs","Pierrefonds - Roxboro","4017746","25827528",270712.14,5035065.03,-73.935834,45.454683
"1977275","Assujetti","Grands parcs","Pierrefonds - Roxboro","4017748","25831278",270820.6,5034938.63,-73.934439,45.453551
"1977312","Assujetti","Grands parcs","Pierrefonds - Roxboro","4015303","25807916",271717.09,5035358.49,-73.923005,45.457372
"3756628","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","4080388","25807894",273202.24,5033194.95,-73.903878,45.437973
"3756629","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5166477","25807894",273203.73,5033217.01,-73.90386,45.438172
"3756630","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5166478","25807894",273200.33,5033237.99,-73.903905,45.43836
"3756631","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5166479","25807894",273196.41,5033256.77,-73.903956,45.438529
"3756632","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5166480","25807894",273193.88,5033274.63,-73.903989,45.43869
"3756633","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5166481","25807894",273189.29,5033291.88,-73.904049,45.438845
"3756655","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5171605","25807894",273116.73,5033287.43,-73.904976,45.438801
"3756656","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5166538","25807894",273125.71,5033276.82,-73.904861,45.438706
"3756657","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5166539","25807894",273124.97,5033258.98,-73.904869,45.438546
"3756658","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5166540","25807894",273126.43,5033240.98,-73.904849,45.438384
"3756659","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5166541","25807894",273128.7,5033215.34,-73.904819,45.438153
"4299555","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4053920","25807936",276820.79,5041303.13,-73.858088,45.511087
"4298493","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4053920","25807936",276801.83,5041326.97,-73.858333,45.511301
"4310116","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5172644","25807894",273159.47,5033296.94,-73.904431,45.438889
"4310117","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5166481","25807894",273211.15,5033299.86,-73.90377,45.438917
"4590210","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","5109082","25831277",273604.44,5041365.92,-73.899256,45.511515
"4590309","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4147639","25831276",273959.05,5041754.02,-73.894742,45.515023
"4590539","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4147639","25831276",273996.51,5041790.08,-73.894264,45.51535
"1350851","Assujetti","Habitation","Outremont","3033237","27695858",295948.38,5042857.77,-73.613316,45.525581
"1350852","Assujetti","Habitation","Outremont","3033605","27660842",295953.76,5042884.88,-73.613247,45.525825
"1351132","Assujetti","Habitation","Outremont","3032844","27688245",295971.96,5042654.89,-73.61301,45.523756
"1351133","Assujetti","Habitation","Outremont","3032845","27688244",295956.5,5042664.69,-73.613208,45.523844
"1866568","Assujetti","Habitation","Plateau-Mont-Royal","1031148","27670354",296731.78,5043080.11,-73.60329,45.527591
"1867755","Assujetti","Habitation","Rosemont - La Petite-Patrie","3081673","27670356",295726.04,5043581.4,-73.616175,45.53209
"1867845","Assujetti","Habitation","Rosemont - La Petite-Patrie","3079004","27667070",295663.62,5043646.05,-73.616976,45.532671
"1867885","Assujetti","Habitation","Rosemont - La Petite-Patrie","3078878","27660847",295528.11,5043647.56,-73.61871,45.532683
"1867902","Assujetti","Habitation","Rosemont - La Petite-Patrie","3078724","27667105",295592.67,5043509.01,-73.617881,45.531437
"1867965","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3016039","27660846",295482.52,5043793.71,-73.619297,45.533997
"1867969","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3016221","27660846",295435.31,5043827.38,-73.619902,45.5343
"1868733","Assujetti","Habitation","Rosemont - La Petite-Patrie","3078460","27667102",295866.15,5043116.28,-73.614373,45.527906
"1868830","Assujetti","Habitation","Rosemont - La Petite-Patrie","3078996","27695860",295818.74,5043535.55,-73.614987,45.531679
"2247872","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3081610","27712452",295383.81,5042977.44,-73.620545,45.526651
"2247874","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3081606","27695862",295391.97,5042990.02,-73.620441,45.526764
"2249691","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3078597","27702679",295534.11,5043371.63,-73.618628,45.5302
"2249812","Assujetti","Habitation","Villeray - Saint-Michel - Parc-Extension","3078595","27713926",295606.18,5043311.32,-73.617705,45.529658
"4590556","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4145966","25807898",274244.03,5039475.01,-73.890952,45.494529
"4590608","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4155490","25807907",273885.03,5040164.33,-73.895589,45.500716
"4590619","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","5109082","25831277",273544.89,5041430.26,-73.900022,45.512092
"4590620","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","5109082","25831277",273595.63,5041488.74,-73.899376,45.51262
"4590827","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4051364","25807915",273695.55,5041597.31,-73.898104,45.513602
"1164349","Assujetti","Arrondissement","Saint-Laurent","5084935","25528156",287942.26,5040392.21,-73.715722,45.503248
"1164362","Assujetti","Arrondissement","Saint-Laurent","4102364","25528155",288291.6,5040547.39,-73.711257,45.504652
"1238480","Assujetti","Arrondissement","Saint-Laurent","5025212","25572643",289382.34,5039562.77,-73.697268,45.495817
"1986409","Assujetti","Arrondissement","Saint-Laurent","5035400","25528159",287600.62,5039744.62,-73.720071,45.497412
"2422343","Assujetti","Arrondissement","Saint-Laurent","5084309","25528156",288050.6,5040692.89,-73.714346,45.505956
"2422348","Assujetti","Arrondissement","Saint-Laurent","5085083","25528156",287984.45,5040531.87,-73.715187,45.504505
"2422353","Assujetti","Arrondissement","Saint-Laurent","5084935","25528156",287845.64,5040478.46,-73.716961,45.504021
"2422357","Assujetti","Arrondissement","Saint-Laurent","5085150","25682777",287831.73,5040379.32,-73.717136,45.503129
"2447664","Assujetti","Arrondissement","Saint-Laurent","5085150","25682777",287935.89,5040285.62,-73.7158,45.502288
"2447665","Assujetti","Arrondissement","Saint-Laurent","5084935","25528156",287992.55,5040347.84,-73.715077,45.50285
"2447667","Assujetti","Arrondissement","Saint-Laurent","5085083","25528156",288081.72,5040445.48,-73.713939,45.50373
"2447668","Assujetti","Arrondissement","Saint-Laurent","5090872","25528156",288187.61,5040543.37,-73.712587,45.504614
"2447669","Assujetti","Arrondissement","Saint-Laurent","5090872","25528156",288231.3,5040585.49,-73.71203,45.504994
"2447670","Assujetti","Arrondissement","Saint-Laurent","5090872","25528156",288178.06,5040509.14,-73.712708,45.504305
"2447671","Assujetti","Arrondissement","Saint-Laurent","5085083","25528156",288102.25,5040428.05,-73.713676,45.503574
"2447672","Assujetti","Arrondissement","Saint-Laurent","5084935","25528156",288012.77,5040330.16,-73.714817,45.502691
"2447673","Assujetti","Arrondissement","Saint-Laurent","5085150","25682777",287955.88,5040268.02,-73.715543,45.50213
"2643083","Assujetti","Arrondissement","Saint-Laurent","5090873","25528156",288103,5040646.82,-73.713674,45.505543
"2643084","Assujetti","Arrondissement","Saint-Laurent","5090872","25528156",288130.06,5040583.72,-73.713325,45.504975
"2643085","Assujetti","Arrondissement","Saint-Laurent","5090872","25528156",288185.14,5040634.59,-73.712622,45.505435
"3721920","Assujetti","Arrondissement","Saint-Laurent","5143872","25587345",286956.91,5039894.09,-73.728313,45.498741
"1350800","Assujetti","Habitation","Outremont","5033803","27638196",296078.45,5042762.77,-73.611649,45.524728
"1350841","Assujetti","Habitation","Outremont","3033610","27670355",295746.52,5043016.2,-73.615903,45.527004
"1350848","Assujetti","Habitation","Outremont","3030100","27667052",295864.03,5042898.64,-73.614396,45.525948
"3756660","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5172644","25807894",273159.26,5033239.92,-73.90443,45.438376
"3756682","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5166481","25807894",273179.02,5033300.08,-73.904181,45.438918
"4213359","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5166585","25807894",273209.42,5033333.54,-73.903795,45.43922
"4213360","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5166585","25807894",273220.88,5033276.76,-73.903644,45.43871
"4213361","Assujetti","Grands parcs","Sainte-Anne-de-Bellevue","5166585","25807894",273232.22,5033220.46,-73.903496,45.438204
"4297254","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4051564","25807937",275825.5,5042080.89,-73.870872,45.518045
"4297259","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4051580","25807883",275929.1,5042102.41,-73.869548,45.518243
"4297280","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4148626","25807937",275997.44,5042076.56,-73.868671,45.518013
"4298447","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4054301","25807926",276573.07,5041401.11,-73.861264,45.511959
"4298492","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4054264","25807936",276755.83,5041311.69,-73.85892,45.511161
"4298496","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4053922","25807936",276763.32,5041375.44,-73.858828,45.511735
"4299509","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4139783","25827527",275927.49,5042155.05,-73.869571,45.518716
"4299554","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4053922","25807936",276782.88,5041350.81,-73.858576,45.511514
"1978995","Assujetti","Grands parcs","Senneville","4085732","25807891",268923.87,5033776.53,-73.958604,45.443
"1990949","Assujetti","Grands parcs","Pierrefonds - Roxboro","5093166","25807917",272531.22,5035678.41,-73.912617,45.460289
"1424665","Assujetti","Habitation","Ville-Marie","1019261","27660674",300671.31,5043015.11,-73.552856,45.527041
"6305836","Assujetti","Urbanisme","Sud-Ouest","5007082","28526102",300441.76,5038526.03,-73.555754,45.486645
"6285633","Assujetti","Urbanisme","Sud-Ouest","1123981","28526099",300310.72,5038455.22,-73.55743,45.486007
"1853643","Assujetti","Urbanisme","Sud-Ouest","1040850","28526100",300343.48,5038629.92,-73.557013,45.487579
"1125027","Assujetti","Urbanisme","Saint-Léonard","2154541","28526103",298936.19,5050311.24,-73.575156,45.592682
"2648712","Assujetti","Urbanisme","Côte-des-Neiges - Notre-Dame-de-Grâce","3005234","28526098",293073.8,5039391.32,-73.650032,45.494346
"1125022","Assujetti","Urbanisme","Saint-Léonard","2154541","28526103",298919.92,5050404.03,-73.575366,45.593516
"1248500","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2105937","28556591",301968.31,5058764.52,-73.536343,45.668765
"1248509","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2105938","28556591",301952.85,5058756.41,-73.536541,45.668692
"1249722","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2053406","28556595",300938.31,5057198.55,-73.549549,45.654669
"1270061","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2079015","28556594",303803.8,5059216.01,-73.512786,45.672833
"1455655","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2079015","28556594",303823.17,5059230.76,-73.512538,45.672965
"1455788","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2076393","28577472",303919.9,5059218.24,-73.511296,45.672853
"1455796","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2076484","28556598",303998.66,5059234.61,-73.510285,45.673
"1455797","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2076486","28556598",303983.54,5059238.26,-73.510479,45.673033
