Identifiant_unique;Nom_ministere_organisme;Nombre_sites;Nom_site;Adresse;Description_localisation;Longitude;Latitude;Probabilite_contamination;Activite_site;Eaux_souterraines_contaminants;Eaux_surface_contaminants;Sols_contaminants;Sediments_contaminants;Cote_classification_risques_exp;Cote_planif_intervention_exp;Etat_caract;Etat_rehab;Etat_post_rehab;Etat_avancement_global;Niveau_avancement;Annee_rehabilitation;Couts_encourus_caract;Couts_encourus_rehab;Couts_encourus_post_rehab;Couts_encourus_total_cumul;URL
0052-2011-018;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Parc national du Mont-Tremblant, site du garage de la station de ski;3005, chemin Principal, Mont-Tremblant;-;-74,55292067;46,22026235;Probable;Commerciale;Investigation à venir;Investigation à venir;Investigation à venir;Non appréhendée;Classification selon les risques à venir;Priorisation de l'intervention en réhabilitation à venir;Na pas commencé;Na pas commencé;Na pas commencé;Caractérisation;Na pas commencé;À venir;0;0;0;0;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0052-2011-019;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Centre de ski Mont Saint-Bruno, site du garage;-;Garage de la station de ski du Mont Saint-Bruno.;-73,33441319;45,55865291;Probable;Commerciale;Investigation à venir;Investigation à venir;Investigation à venir;Non appréhendée;Classification selon les risques à venir;Priorisation de l'intervention en réhabilitation à venir;Na pas commencé;Na pas commencé;Na pas commencé;Caractérisation;Na pas commencé;À venir;0;0;0;0;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0052-2020-002;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Ancienne mine Fletcher;-;Le site est localisé dans la portion sud de la ville de St-Denis-de-Brompton. Il s'étend du nord au sud de la baie Fiset jusqu'à la limite nord du lac de la Mélasse et d'est en ouest du Lac Montjoie jusqu'à la limite ouest du lac de la Mélasse. Le secteur est boisé avec quelques sentiers qui le traversent.;-72,164346;45,459182;Certaine;Autre;Respect des critères;Investigation à venir;Métaux et métalloïdes;Non appréhendée;Classification selon les risques à venir;Priorisation de l'intervention en réhabilitation à venir;Na pas commencé;Na pas commencé;Na pas commencé;Caractérisation;En cours;À venir;0;0;0;8050;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0052-2021-002;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Nibiischii - Camps Lagopède;-;Situé en bordure du lac Lagopède dans le secteur des monts Otish.;-70,42597141;52,34669063;Probable;Autre;Investigation à venir;Investigation à venir;Investigation à venir;Non appréhendée;Classification selon les risques à venir;Priorisation de l'intervention en réhabilitation à venir;Na pas commencé;Na pas commencé;Na pas commencé;Caractérisation;Na pas commencé;À venir;9642;0;0;13898;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0052-2021-003;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Parc national du Mont Orford - Garage de la station de ski;4380, chemin du Parc, Orford J1X 7N9;-;-72,21913746;45,31655815;Certaine;Autre;Métaux et métalloïdes;Non appréhendée;"Métaux et métalloïdes; Paramètres intégrateurs (HP C10 - C50)";Non appréhendée;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;Na pas commencé;Na pas commencé;Caractérisation;Terminé;À venir;0;0;0;0;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2007-001;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Anciennes lagunes - Tannerie Canadienne Inc. ;-;Le site est localisé sur la côte Duval à environ 1,3 kilomètre au nord-ouest de l'intersection de la côte Duval et de la Route du 1er-Rang/Route du Petit-Moulin et à environ 175 mètres au sud-est des lignes électriques haute tension.;-69,8039551;47,49107212;Certaine;Autre;"Métaux et métalloïdes; Autres composés inorganiques";Non appréhendée;"Autres composés inorganiques; Métaux et métalloïdes";Non appréhendée;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;Terminé;En cours;Suivi post-réhabilitation;En cours;En suivi post-réhabilitation;0;0;6597;4164101;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2007-002;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Dépôt de matériaux sec - Shipshaw;3551, route Saint-Léonard, Saguenay G7P1G6;-;-71,26285595;48,46209169;Probable;Autre;Non appréhendée;Non appréhendée;Non appréhendée;Non appréhendée;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;En cours;Non applicable;Réhabilitation;En cours;À venir;0;0;0;42292;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2007-003;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Atelier de récupération de cuivre - Récupération Portneuf Inc.;38, rang de l'Église Sud, Saint-Alban G0A3B0;-;-72,07753617;46,70509253;Certaine;Terrain/bâtiment vacant;Métaux et métalloïdes;Non appréhendée;"Métaux et métalloïdes; Hydrocarbures aromatiques monocycliques; Hydrocarbures aromatiques polycycliques; Biphényles polychlorés (BPC); Paramètres intégrateurs (HP C10 - C50); Dioxines et furanes";"Métaux et
métalloïdes;
Biphényles
polychlorés
(BPC)";Réhabilitation jugée moyennement prioritaire;Délai recommandé de moins de 5 ans pour commencer l'intervention en réhabilitation;Na pas commencé;En cours;Na pas commencé;Réhabilitation;En cours;À venir;0;38657;0;1503637;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2007-004;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Lieu d'enfouissement sanitaire F&M Bessette Inc.;888, rue Principale Ouest, Sainte-Anne-de-la-Rochelle J0E2B0;-;-72,4570679;45,40455472;Certaine;Autre;"Métaux et métalloïdes; Autres substances organiques";Non appréhendée;Non appréhendée;Non appréhendée;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;Terminé;En cours;Suivi post-réhabilitation;En cours;En suivi post-réhabilitation;0;0;61802;309072,57;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2007-005;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Récupération Rock Forest inc.;-;Le site est localisé derrière la propriété du 704, chemin d'Ayer's Cliff à Ste-Catherine-de-Hatley. Le site longe le chemin Leblanc.;-72,06685557;45,22471443;Certaine;Autre;"Autres substances organiques; Dioxines et furanes";Respect des critères;"Métaux et métalloïdes; Hydrocarbures aromatiques polycycliques; 
Dioxines et furanes; Paramètres intégrateurs (HP C10 - C50); 
Biphényles polychlorés (BPC)";Respect des critères;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;Terminé;En cours;Suivi post-réhabilitation;En cours;En suivi post-réhabilitation;0;320229;15890;2846981;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
