VELO_EXP,WKT 
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 275913.40000000 5045932.60000000, 275917.70000000 5045927.20000000, 275922.90000000 5045920.10000000, 275932.00000000 5045908.00000000, 275946.60000000 5045888.50000000, 275969.30000000 5045858.30000000, 276000.00000000 5045817.30000000, 276019.90000000 5045790.80000000, 276032.40000000 5045774.20000000, 276049.70000000 5045751.10000000, 276052.80000000 5045746.90000000, 276067.30000000 5045727.40000000, 276071.30000000 5045722.00000000, 276078.80000000 5045712.10000000, 276093.40000000 5045692.10000000, 276118.10000000 5045658.60000000, 276120.40000000 5045655.50000000, 276135.40000000 5045635.20000000, 276137.80000000 5045631.90000000, 276138.70000000 5045630.70000000, 276165.30000000 5045595.10000000, 276171.90000000 5045586.10000000, 276178.10000000 5045577.60000000, 276185.50000000 5045567.60000000, 276198.30000000 5045550.00000000, 276199.90000000 5045548.00000000, 276200.30000000 5045547.60000000, 276209.50000000 5045535.10000000, 276212.80000000 5045530.60000000, 276224.60000000 5045514.50000000, 276235.40000000 5045500.00000000, 276239.80000000 5045494.00000000, 276244.20210000 5045487.50720000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 275893.97620000 5045961.89720000, 275901.83980000 5045950.93990000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 281633.80000000 5044177.90000000, 281633.80000000 5044176.30000000, 281633.40000000 5044174.20000000, 281632.60000000 5044172.80000000, 281629.10000000 5044169.40000000, 281616.60000000 5044157.90000000, 281599.20950000 5044141.97850000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 281603.98430000 5044136.94660000, 281607.30000000 5044139.80000000, 281629.50000000 5044159.50000000, 281641.60000000 5044170.80000000, 281643.96900000 5044172.84850000, 281645.03590000 5044174.25090000, 281645.07820000 5044176.13060000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 276963.74200000 5044497.63540000, 276966.74850000 5044499.46840000, 276969.69020000 5044501.93460000, 276971.97060000 5044504.38770000, 276974.31940000 5044507.39800000, 276977.34840000 5044511.64790000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 276977.34840000 5044511.64790000, 276975.98130000 5044512.12590000, 276974.49400000 5044513.18340000, 276970.60000000 5044518.40000000, 276960.50000000 5044532.00000000, 276947.90000000 5044549.10000000, 276937.40000000 5044563.60000000, 276927.85810000 5044577.07950000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 276915.21330000 5044570.13800000, 276928.30000000 5044552.40000000, 276942.74570000 5044529.15030000, 276962.88990000 5044499.21650000, 276963.74200000 5044497.63540000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 280153.08120000 5043465.32840000, 280171.63900000 5043472.87660000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 275910.10000000 5045974.90000000, 275907.50000000 5045978.10000000, 275896.80000000 5045992.10000000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 285248.30000000 5046194.30000000, 285231.70000000 5046219.30000000, 285228.72980000 5046223.72230000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 275794.89010000 5046111.19550000, 275763.40000000 5046136.90000000, 275762.00000000 5046138.00000000, 275756.40000000 5046141.90000000, 275755.90000000 5046142.10000000, 275744.40000000 5046146.80000000, 275740.20000000 5046148.60000000, 275728.40000000 5046155.60000000, 275714.20000000 5046163.10000000, 275702.70000000 5046169.00000000, 275693.90000000 5046173.30000000, 275684.30000000 5046178.00000000, 275671.80000000 5046184.10000000, 275671.70000000 5046184.10000000, 275654.99670000 5046193.05680000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 275559.13120000 5046207.26320000, 275564.70000000 5046205.80000000, 275578.07520000 5046200.44930000, 275579.15820000 5046200.63440000, 275580.30000000 5046200.30000000, 275590.20000000 5046196.40000000, 275602.00000000 5046191.50000000, 275631.10000000 5046179.70000000, 275642.90000000 5046174.70000000, 275650.10000000 5046171.20000000, 275655.40000000 5046168.50000000, 275695.20000000 5046148.70000000, 275700.40000000 5046146.00000000, 275700.50000000 5046146.00000000, 275701.20000000 5046145.40000000, 275711.30000000 5046137.20000000, 275712.80000000 5046136.10000000, 275725.50000000 5046129.00000000, 275725.50000000 5046129.10000000, 275728.03440000 5046126.47800000, 275748.45430000 5046108.51160000, 275751.26010000 5046106.40950000, 275767.50000000 5046097.90000000, 275773.31820000 5046095.47110000, 275781.49670000 5046092.13430000, 275784.10140000 5046091.03430000, 275786.80000000 5046089.10000000, 275823.50000000 5046054.60000000, 275836.83420000 5046038.95260000, 275839.08450000 5046036.55570000, 275841.74250000 5046033.24770000, 275850.00000000 5046022.10000000, 275864.20000000 5046002.90000000, 275866.20000000 5046000.00000000, 275871.07370000 5045993.55660000, 275880.60000000 5045980.10000000, 275887.30000000 5045971.20000000, 275893.97620000 5045961.89720000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 276289.57340000 5045455.78440000, 276287.46230000 5045460.85020000, 276286.20000000 5045464.30000000, 276285.88210000 5045467.17030000, 276285.70000000 5045470.00000000, 276285.80000000 5045473.30000000, 276286.20000000 5045476.70000000, 276287.00000000 5045480.10000000, 276287.90160000 5045482.85000000, 276289.10000000 5045485.60000000, 276291.50000000 5045489.30000000, 276293.29960000 5045492.27170000, 276295.16300000 5045494.39910000, 276297.71090000 5045496.82620000, 276299.58700000 5045498.19120000, 276310.00000000 5045504.40000000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 276253.88460000 5045473.38010000, 276254.67390000 5045472.19320000, 276256.58490000 5045469.24700000, 276259.55390000 5045464.84470000, 276261.99970000 5045461.12490000, 276264.67280000 5045457.16620000, 276267.40300000 5045453.05980000, 276271.83930000 5045446.08670000, 276275.04720000 5045441.44540000, 276279.67700000 5045434.52920000, 276284.07940000 5045427.87450000, 276288.36780000 5045421.40200000, 276291.68950000 5045416.23750000, 276296.52400000 5045408.93450000, 276301.33580000 5045401.79080000, 276306.18180000 5045394.44220000, 276307.19420000 5045392.91790000, 276310.95940000 5045387.73070000, 276314.54270000 5045382.82790000, 276319.36590000 5045376.17330000, 276323.63170000 5045370.28080000, 276328.14770000 5045364.05840000, 276329.60380000 5045362.02230000, 276332.12910000 5045358.33670000, 276334.60900000 5045355.00370000, 276338.28320000 5045350.11220000, 276341.51380000 5045345.80090000, 276344.63070000 5045342.01290000, 276349.60170000 5045335.87020000, 276354.10640000 5045330.36450000, 276359.95340000 5045323.22070000, 276364.79930000 5045317.19170000, 276371.19230000 5045309.58160000, 276392.40000000 5045285.00000000, 276395.40000000 5045281.30000000, 276398.50000000 5045277.00000000, 276433.00000000 5045228.90000000, 276438.00000000 5045222.00000000, 276504.14860000 5045132.37930000, 276571.54130000 5045040.31900000, 276609.26860000 5044988.87890000, 276646.80000000 5044938.40000000, 276650.20000000 5044933.80000000, 276669.00000000 5044909.00000000, 276678.50000000 5044896.30000000, 276717.00000000 5044843.90000000, 276740.70000000 5044811.80000000, 276767.40000000 5044776.10000000, 276789.80000000 5044746.00000000, 276808.00000000 5044722.00000000, 276828.32820000 5044694.99600000, 276830.60000000 5044692.20000000, 276830.60000000 5044692.10000000, 276830.70000000 5044692.10000000, 276842.30000000 5044676.40000000, 276851.50000000 5044663.20000000, 276856.90000000 5044654.70000000, 276862.00000000 5044646.10000000, 276864.90000000 5044641.40000000, 276868.40000000 5044635.80000000, 276872.10000000 5044629.70000000, 276876.00000000 5044623.60000000, 276880.40000000 5044617.30000000, 276885.80000000 5044609.90000000, 276892.20000000 5044601.20000000, 276906.81000000 5044581.19330000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 276270.70280000 5045484.40140000, 276261.43870000 5045499.75390000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 276919.15270000 5044588.46910000, 276883.70000000 5044634.90000000, 276883.30000000 5044635.40000000, 276881.10000000 5044638.10000000, 276871.60000000 5044650.30000000, 276844.10000000 5044686.00000000, 276840.20250000 5044690.83290000, 276764.09970000 5044792.73050000, 276753.90000000 5044806.50000000, 276727.10000000 5044842.30000000, 276724.70000000 5044845.50000000, 276713.50000000 5044860.70000000, 276703.20000000 5044875.10000000, 276687.50870000 5044897.90400000, 276666.66550000 5044927.45440000, 276643.02870000 5044959.34820000, 276612.86390000 5045000.75080000, 276600.70000000 5045017.40000000, 276579.30000000 5045046.70000000, 276561.80000000 5045070.60000000, 276541.70000000 5045098.30000000, 276524.80000000 5045121.50000000, 276500.00000000 5045155.30000000, 276493.50000000 5045164.10000000, 276464.90000000 5045203.00000000, 276430.10000000 5045250.90000000, 276397.30000000 5045295.80000000, 276397.20000000 5045295.80000000, 276385.30000000 5045312.10000000, 276368.60000000 5045334.90000000, 276359.30000000 5045347.70000000, 276353.60000000 5045356.00000000, 276350.00000000 5045361.40000000, 276348.00000000 5045364.40000000, 276344.30000000 5045369.70000000, 276340.00000000 5045376.90000000, 276336.90000000 5045382.20000000, 276333.60000000 5045387.90000000, 276328.90000000 5045395.40000000, 276319.30000000 5045411.60000000, 276318.10000000 5045413.70000000, 276317.00000000 5045415.60000000, 276315.90000000 5045417.50000000, 276314.50000000 5045419.70000000, 276313.40000000 5045421.60000000, 276312.10000000 5045423.50000000, 276311.10000000 5045425.10000000, 276310.40000000 5045426.20000000, 276309.20000000 5045427.70000000, 276307.40000000 5045430.50000000, 276305.20000000 5045433.40000000, 276295.66940000 5045446.77790000, 276291.50000000 5045452.90000000, 276289.59190000 5045455.79650000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 276906.81000000 5044581.19330000, 276915.21330000 5044570.13800000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 275583.12120000 5046225.07920000, 275577.90570000 5046226.51540000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 276289.59190000 5045455.79650000, 276277.60000000 5045474.00000000, 276270.70280000 5045484.40140000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 279759.66520000 5043302.86230000, 279767.50000000 5043306.60000000, 279773.27200000 5043309.14480000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 280149.18720000 5043473.36490000, 280127.70000000 5043464.90000000, 280101.50000000 5043454.40000000, 280067.50000000 5043440.90000000, 280047.20000000 5043432.80000000, 280030.67320000 5043426.63750000, 280029.50000000 5043426.20000000, 280000.00000000 5043414.70000000, 279986.80000000 5043409.60000000, 279971.60000000 5043403.80000000, 279956.60000000 5043397.70000000, 279942.40000000 5043392.10000000, 279930.90000000 5043387.60000000, 279919.00000000 5043382.70000000, 279906.00000000 5043377.40000000, 279891.10000000 5043371.50000000, 279877.80000000 5043365.90000000, 279864.10000000 5043359.80000000, 279852.70000000 5043354.60000000, 279839.60000000 5043348.60000000, 279830.20000000 5043344.40000000, 279817.60000000 5043338.70000000, 279793.10000000 5043327.80000000, 279768.93870000 5043317.26320000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 281408.06770000 5044441.94150000, 281413.00000000 5044436.00000000, 281428.00000000 5044419.10000000, 281445.70000000 5044399.50000000, 281459.30000000 5044383.90000000, 281478.80000000 5044361.10000000, 281500.00000000 5044336.80000000, 281503.00000000 5044333.30000000, 281523.40000000 5044310.00000000, 281564.70000000 5044261.80000000, 281585.80000000 5044237.40000000, 281601.40000000 5044219.00000000, 281610.50000000 5044208.20000000, 281627.90000000 5044187.20000000, 281629.60000000 5044185.20000000, 281630.00000000 5044184.60000000, 281630.50000000 5044184.00000000, 281631.10000000 5044183.20000000, 281631.60000000 5044182.40000000, 281632.20000000 5044181.50000000, 281632.70000000 5044180.60000000, 281633.10000000 5044180.00000000, 281633.40000000 5044179.30000000, 281633.70000000 5044178.60000000, 281633.80000000 5044177.90000000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 276230.90000000 5045553.60000000, 276210.50000000 5045581.20000000, 276192.20000000 5045606.10000000, 276180.40000000 5045622.00000000, 276173.90000000 5045630.60000000, 276173.60000000 5045631.00000000, 276170.60000000 5045635.00000000, 276154.60000000 5045656.30000000, 276134.20000000 5045683.40000000, 276130.20000000 5045688.60000000, 276114.50000000 5045709.10000000, 276110.00000000 5045714.90000000, 276094.80000000 5045734.10000000, 276072.20000000 5045763.40000000, 276032.40000000 5045814.80000000, 276024.60000000 5045824.80000000, 276004.20000000 5045851.30000000, 276000.00000000 5045856.80000000, 275987.80000000 5045872.50000000, 275968.50000000 5045897.50000000, 275954.60000000 5045915.40000000, 275946.80000000 5045925.40000000, 275922.10000000 5045957.50000000, 275916.52760000 5045965.62770000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 276261.43870000 5045499.75390000, 276260.20000000 5045501.80000000, 276245.20000000 5045526.00000000, 276230.90000000 5045553.60000000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 279773.27200000 5043309.14480000, 279786.10000000 5043314.80000000, 279794.60000000 5043318.60000000, 279799.60000000 5043320.70000000, 279819.06620000 5043329.74370000, 279833.12960000 5043335.78540000, 279841.40000000 5043339.50000000, 279860.70000000 5043348.10000000, 279869.30000000 5043352.00000000, 279877.90000000 5043355.80000000, 279888.60000000 5043360.40000000, 279899.40000000 5043364.90000000, 279907.90000000 5043368.30000000, 279916.40000000 5043371.60000000, 279925.30000000 5043375.30000000, 279934.10000000 5043379.00000000, 279941.40000000 5043381.80000000, 279948.80000000 5043384.70000000, 279958.80000000 5043388.60000000, 279968.80000000 5043392.60000000, 279977.70000000 5043396.20000000, 279986.60000000 5043399.70000000, 280006.99980000 5043408.07820000, 280062.22870000 5043429.57100000, 280121.42210000 5043452.65050000, 280147.78400000 5043463.17380000, 280153.08120000 5043465.32840000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 281645.07820000 5044176.13060000, 281644.41350000 5044177.62590000, 281585.26360000 5044246.24350000, 281547.90000000 5044290.20000000, 281546.30000000 5044292.00000000, 281528.80000000 5044312.50000000, 281509.40000000 5044335.00000000, 281500.00000000 5044346.00000000, 281485.00000000 5044363.50000000, 281459.90000000 5044392.50000000, 281437.80000000 5044417.70000000, 281413.95850000 5044445.20200000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 279768.93870000 5043317.26320000, 279755.37950000 5043311.26180000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 275577.90570000 5046226.51540000, 275568.80000000 5046228.30000000, 275567.30000000 5046228.70000000, 275565.80000000 5046229.10000000, 275564.30000000 5046229.60000000, 275555.20000000 5046233.40000000, 275541.50000000 5046239.10000000, 275517.70000000 5046248.80000000, 275490.60000000 5046260.80000000, 275479.90000000 5046265.00000000, 275466.70000000 5046270.50000000, 275444.20000000 5046279.60000000, 275432.70000000 5046284.40000000, 275431.80000000 5046284.80000000, 275411.66780000 5046292.06540000, 275394.84430000 5046297.90890000, 275369.09010000 5046307.06180000, 275346.10000000 5046315.80000000, 275344.40000000 5046316.50000000, 275336.70000000 5046318.90000000, 275316.60000000 5046325.10000000, 275307.70000000 5046327.70000000, 275279.90000000 5046336.40000000, 275265.92860000 5046342.01090000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 285968.89880000 5051452.32330000, 285857.04410000 5051413.94520000, 285840.74090000 5051408.07210000, 285822.33520000 5051401.45180000, 285803.76750000 5051393.51110000, 285782.60510000 5051383.54330000, 285682.98270000 5051335.98220000, 285662.27060000 5051326.27900000, 285641.87350000 5051315.92970000, 285621.81180000 5051304.94450000, 285602.10530000 5051293.33420000, 285582.77330000 5051281.11040000, 285576.11380000 5051276.69920000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 285590.50200000 5051255.37270000, 285598.55030000 5051260.38830000, 285621.47540000 5051274.67530000, 285652.27510000 5051292.02300000, 285694.64450000 5051312.71300000, 285780.21370000 5051354.51560000, 285815.92460000 5051371.07460000, 285849.71250000 5051385.07100000, 285983.12490000 5051431.39650000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 286661.86900000 5044129.19410000, 286675.55820000 5044106.87340000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 285590.84710000 5051249.18140000, 285591.95320000 5051250.12940000, 285592.40880000 5051250.95370000, 285592.43690000 5051251.76640000, 285592.24960000 5051252.54350000, 285591.78370000 5051253.35460000, 285590.50200000 5051255.37270000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 285580.47780000 5051242.25510000, 285590.84710000 5051249.18140000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 285242.42510000 5050945.16510000, 285273.87360000 5050973.83410000, 285323.64340000 5051019.18210000, 285367.55440000 5051059.02900000, 285406.71050000 5051095.07740000, 285413.96550000 5051101.58500000, 285419.57040000 5051106.55160000, 285426.72110000 5051112.97780000, 285477.64910000 5051159.31440000, 285521.15600000 5051198.17430000, 285526.32120000 5051202.62940000, 285531.72410000 5051207.10250000, 285537.26060000 5051211.51200000, 285543.49260000 5051216.21310000, 285548.86790000 5051220.07700000, 285554.75300000 5051224.25520000, 285580.47780000 5051242.25510000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 279321.60120000 5043058.31620000, 279327.10960000 5043064.00560000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 279755.37950000 5043311.26180000, 279740.60000000 5043304.40000000, 279724.20000000 5043297.00000000, 279711.30000000 5043290.90000000, 279700.10000000 5043285.90000000, 279691.50000000 5043281.70000000, 279675.30000000 5043274.10000000, 279659.90000000 5043266.80000000, 279642.90000000 5043258.80000000, 279627.70000000 5043251.80000000, 279610.10000000 5043243.60000000, 279595.20000000 5043236.60000000, 279577.70000000 5043228.40000000, 279562.80000000 5043221.50000000, 279546.60000000 5043214.00000000, 279532.20000000 5043207.30000000, 279521.20000000 5043202.30000000, 279519.20000000 5043201.30000000, 279517.70000000 5043200.50000000, 279515.30000000 5043199.30000000, 279513.80000000 5043198.50000000, 279512.40000000 5043197.80000000, 279510.80000000 5043196.90000000, 279508.80000000 5043195.90000000, 279507.10000000 5043194.90000000, 279504.80000000 5043193.70000000, 279502.60000000 5043192.40000000, 279500.00000000 5043190.90000000, 279499.00000000 5043190.30000000, 279497.90000000 5043189.70000000, 279494.90000000 5043187.90000000, 279491.80000000 5043186.10000000, 279489.80000000 5043184.80000000, 279487.80000000 5043183.60000000, 279464.05620000 5043168.58000000, 279436.42410000 5043150.01330000, 279407.24940000 5043129.35060000, 279384.26580000 5043113.21670000, 279368.12280000 5043101.77130000, 279361.22030000 5043096.95460000, 279353.74250000 5043092.25050000, 279345.17990000 5043087.39860000, 279335.64760000 5043082.61610000, 279325.31810000 5043077.82850000, 279320.95860000 5043075.89950000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 286112.98120000 5044946.33290000, 286132.65860000 5044917.84650000, 286143.00000000 5044902.80000000, 286143.60000000 5044901.90000000, 286144.20000000 5044901.00000000, 286145.10000000 5044899.70000000, 286146.00000000 5044898.40000000, 286146.30000000 5044898.00000000, 286171.30000000 5044861.70000000, 286194.50000000 5044827.80000000, 286197.30000000 5044823.80000000, 286216.20000000 5044795.00000000, 286219.20000000 5044790.80000000, 286230.10000000 5044775.20000000, 286239.50000000 5044761.70000000, 286253.20000000 5044742.30000000, 286255.20000000 5044739.90000000, 286257.00000000 5044737.50000000, 286259.90000000 5044733.60000000, 286262.60000000 5044729.50000000, 286268.40000000 5044721.30000000, 286274.10000000 5044713.10000000, 286276.70000000 5044709.50000000, 286280.80000000 5044704.30000000, 286284.90000000 5044699.10000000, 286287.00000000 5044696.40000000, 286289.10000000 5044693.70000000, 286296.80000000 5044684.00000000, 286304.50000000 5044674.20000000, 286307.40000000 5044670.50000000, 286310.30000000 5044666.80000000, 286315.10000000 5044660.60000000, 286319.60000000 5044654.20000000, 286323.10000000 5044649.20000000, 286326.60000000 5044644.10000000, 286334.10000000 5044633.20000000, 286341.70000000 5044622.40000000, 286372.80000000 5044577.60000000, 286404.70000000 5044531.70000000, 286417.70000000 5044513.00000000, 286426.70000000 5044500.00000000, 286431.60000000 5044492.90000000, 286443.10000000 5044476.80000000, 286453.90000000 5044459.60000000, 286464.80000000 5044441.00000000, 286472.90000000 5044427.70000000, 286477.30000000 5044421.20000000, 286479.60000000 5044417.70000000, 286498.60000000 5044390.60000000, 286500.00000000 5044388.50000000, 286521.20000000 5044357.90000000, 286526.30000000 5044350.40000000, 286538.70000000 5044332.10000000, 286550.50000000 5044314.60000000, 286558.90000000 5044301.90000000, 286574.70000000 5044277.80000000, 286580.10000000 5044269.40000000, 286595.20000000 5044238.20000000, 286597.30000000 5044234.90000000, 286599.90000000 5044230.60000000, 286602.40000000 5044226.10000000, 286606.30000000 5044219.80000000, 286612.90000000 5044209.10000000, 286621.30000000 5044195.30000000, 286629.50000000 5044182.10000000, 286636.90000000 5044170.40000000, 286642.20000000 5044161.60000000, 286646.10000000 5044155.00000000, 286653.10000000 5044143.80000000, 286661.86310000 5044129.51180000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 275261.90800000 5046317.24270000, 275263.25900000 5046317.29950000, 275264.28870000 5046317.91520000, 275265.97650000 5046319.13930000, 275287.60000000 5046312.20000000, 275302.10000000 5046307.60000000, 275318.20000000 5046302.50000000, 275347.50000000 5046292.70000000, 275351.60000000 5046291.50000000, 275400.30000000 5046273.90000000, 275408.60000000 5046270.70000000, 275421.10000000 5046265.60000000, 275429.60000000 5046262.30000000, 275440.10000000 5046258.00000000, 275451.90000000 5046253.30000000, 275485.79660000 5046239.02880000, 275489.40000000 5046237.20000000, 275500.60000000 5046233.00000000, 275514.40000000 5046227.40000000, 275519.40000000 5046225.40000000, 275529.32640000 5046219.21130000, 275533.50000000 5046217.10000000, 275547.10000000 5046211.30000000, 275553.92290000 5046208.98350000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 280167.67150000 5043480.69690000, 280149.18720000 5043473.36490000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 276244.20210000 5045487.50720000, 276251.28400000 5045477.06190000, 276253.20640000 5045474.40000000, 276253.88460000 5045473.38010000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 283310.61200000 5048434.35870000, 283305.20370000 5048437.26990000, 283228.23480000 5048478.55820000, 283176.00000000 5048507.80000000, 283144.46160000 5048526.83920000, 283113.37110000 5048545.60790000, 283073.95140000 5048569.40490000, 283047.59760000 5048585.34840000, 283028.56850000 5048597.02120000, 282988.50000000 5048621.60000000, 282980.40620000 5048626.50410000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 284637.50020000 5046993.60570000, 284632.39500000 5046999.74000000, 284624.16170000 5047009.82690000, 284595.81720000 5047044.94590000, 284583.77900000 5047059.96730000, 284570.36280000 5047076.43020000, 284535.31630000 5047119.82900000, 284523.48840000 5047134.49280000, 284504.31610000 5047158.12920000, 284499.41680000 5047164.22850000, 284487.67490000 5047178.78490000, 284478.74670000 5047189.89020000, 284450.07760000 5047225.36010000, 284429.53050000 5047250.75670000, 284422.61960000 5047259.40890000, 284421.25810000 5047261.21600000, 284420.01100000 5047263.26340000, 284418.09330000 5047266.29800000, 284416.65030000 5047268.29320000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 277512.65640000 5044844.93020000, 277517.52580000 5044819.46790000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 279291.24080000 5043055.23180000, 279293.18450000 5043054.82570000, 279294.77570000 5043054.65860000, 279296.69020000 5043054.59310000, 279299.24110000 5043054.87370000, 279300.64650000 5043055.26660000, 279305.17980000 5043056.61050000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 286698.59300000 5044069.70000000, 286710.20590000 5044050.98230000, 286713.30590000 5044045.68230000, 286729.80590000 5044018.98230000, 286741.70590000 5043999.68230000, 286755.90590000 5043976.48230000, 286758.00590000 5043973.28230000, 286760.10590000 5043970.08230000, 286762.90590000 5043965.78230000, 286765.60590000 5043961.48230000, 286768.60590000 5043957.08230000, 286775.76840000 5043946.08850000, 286784.23230000 5043932.89140000, 286800.96170000 5043907.18130000, 286811.54340000 5043891.27370000, 286829.70590000 5043863.38230000, 286832.50590000 5043858.98230000, 286835.30590000 5043854.78230000, 286840.20590000 5043847.48230000, 286845.10590000 5043840.18230000, 286850.10590000 5043833.08230000, 286855.10590000 5043825.98230000, 286862.30590000 5043815.98230000, 286876.94000000 5043793.70180000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 285803.32310000 5045512.31440000, 285798.30000000 5045519.30000000, 285784.40000000 5045537.10000000, 285765.40000000 5045561.40000000, 285745.80000000 5045586.40000000, 285739.70000000 5045594.20000000, 285736.30000000 5045598.60000000, 285731.90000000 5045604.30000000, 285704.40000000 5045640.30000000, 285680.30000000 5045671.20000000, 285660.70000000 5045696.50000000, 285639.50000000 5045723.90000000, 285629.60000000 5045736.60000000, 285624.67790000 5045743.02810000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 285598.03240000 5045777.39770000, 285597.40000000 5045778.20000000, 285594.80000000 5045781.50000000, 285583.97510000 5045793.02070000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 285624.67790000 5045743.02810000, 285616.20000000 5045754.10000000, 285613.90000000 5045757.10000000, 285613.90000000 5045757.20000000, 285613.60000000 5045757.60000000, 285613.40000000 5045757.90000000, 285612.77710000 5045758.69030000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 283259.78780000 5049299.40170000, 283261.51440000 5049300.41490000, 283263.61240000 5049301.38250000, 283267.07870000 5049302.74760000, 283285.48830000 5049309.91190000, 283298.08120000 5049314.69870000, 283367.83350000 5049341.46500000, 283452.12990000 5049374.32630000, 283463.82380000 5049379.38870000, 283474.27490000 5049384.01890000, 283485.78420000 5049389.57510000, 283498.21970000 5049395.79290000, 283507.37500000 5049400.83750000, 283524.67880000 5049410.99760000, 283540.55380000 5049420.84010000, 283551.93020000 5049428.46900000, 283563.43960000 5049436.80340000, 283574.14880000 5049444.92660000, 283610.88020000 5049475.60890000, 283677.71410000 5049531.80660000, 283777.44880000 5049616.12660000, 283797.95190000 5049633.22290000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 283797.95190000 5049633.22290000, 283810.54880000 5049643.72660000, 283834.71810000 5049664.04560000, 283910.17670000 5049727.71330000, 284057.28610000 5049851.68850000, 284146.58250000 5049927.20960000, 284255.74880000 5050018.82660000, 284339.04880000 5050089.72660000, 284404.94880000 5050144.92660000, 284471.84880000 5050201.32660000, 284535.98250000 5050255.87330000, 284560.42290000 5050276.13280000)"
