id_station,timestamp_local,compte_dir_nord,compte_dir_sud,compte_dir_est,compte_dir_ouest,compte_total
V01,2020-06-18T06:15:00-04,,,0,1,1
V01,2020-06-18T06:30:00-04,,,1,0,1
V01,2020-06-18T06:45:00-04,,,5,1,6
V01,2020-06-18T07:00:00-04,,,2,0,2
V01,2020-06-18T07:15:00-04,,,2,1,3
V01,2020-06-18T07:30:00-04,,,0,1,1
V01,2020-06-18T07:45:00-04,,,5,1,6
V01,2020-06-18T08:00:00-04,,,3,4,7
V01,2020-06-18T08:15:00-04,,,3,2,5
V01,2020-06-18T08:30:00-04,,,2,0,2
V01,2020-06-18T08:45:00-04,,,1,1,2
V01,2020-06-18T09:00:00-04,,,0,3,3
V01,2020-06-18T09:15:00-04,,,5,0,5
V01,2020-06-18T09:30:00-04,,,3,5,8
V01,2020-06-18T09:45:00-04,,,5,0,5
V01,2020-06-18T10:00:00-04,,,0,0,0
V01,2020-06-18T10:15:00-04,,,3,2,5
V01,2020-06-18T10:30:00-04,,,7,4,11
V01,2020-06-18T10:45:00-04,,,2,2,4
V01,2020-06-18T11:00:00-04,,,1,2,3
V01,2020-06-18T11:15:00-04,,,1,4,5
V01,2020-06-18T11:30:00-04,,,6,2,8
V01,2020-06-18T11:45:00-04,,,5,2,7
V01,2020-06-18T12:00:00-04,,,2,1,3
V01,2020-06-18T12:15:00-04,,,4,0,4
V01,2020-06-18T12:30:00-04,,,0,1,1
V01,2020-06-18T12:45:00-04,,,5,1,6
V01,2020-06-18T13:00:00-04,,,0,2,2
V01,2020-06-18T13:15:00-04,,,3,2,5
V01,2020-06-18T13:30:00-04,,,4,1,5
V01,2020-06-18T13:45:00-04,,,5,2,7
V01,2020-06-18T14:00:00-04,,,4,4,8
V01,2020-06-18T14:15:00-04,,,4,3,7
V01,2020-06-18T14:30:00-04,,,5,3,8
V01,2020-06-18T14:45:00-04,,,4,1,5
V01,2020-06-18T15:00:00-04,,,2,0,2
V01,2020-06-18T15:15:00-04,,,1,4,5
V01,2020-06-18T15:30:00-04,,,1,3,4
V01,2020-06-18T15:45:00-04,,,6,6,12
V01,2020-06-18T16:00:00-04,,,7,0,7
V01,2020-06-18T16:15:00-04,,,6,3,9
V01,2020-06-18T16:30:00-04,,,3,5,8
V01,2020-06-18T16:45:00-04,,,5,1,6
V01,2020-06-18T17:00:00-04,,,3,5,8
V01,2020-06-18T17:15:00-04,,,5,3,8
V01,2020-06-18T17:30:00-04,,,2,2,4
V01,2020-06-18T17:45:00-04,,,8,3,11
V01,2020-06-18T18:00:00-04,,,3,4,7
V01,2020-06-18T18:15:00-04,,,9,3,12
V01,2020-06-18T18:30:00-04,,,7,7,14
V01,2020-06-18T18:45:00-04,,,1,1,2
V01,2020-06-18T19:00:00-04,,,4,3,7
V01,2020-06-18T19:15:00-04,,,9,1,10
V01,2020-06-18T19:30:00-04,,,2,1,3
