ï»¿id,nom_batiment,municipalite,usage,adresse,superficie
,RÃ©servoir St-Paul,94068,"Transports, communications et services publics",1918 Rue des Outardes,482.23
,RÃ©servoir Cap-Ã -l'Orignal,94068,"Transports, communications et services publics",3000 Rue de Vimy,17.36
,Centre communautaire Colinette,94068,"Transports, communications et services publics",124 Rue Colinette,98.65
,Poste de surpression S-86,94068,"Transports, communications et services publics",2503 Chemin Saint-Jean,47.17
,Patro de JonquiÃ¨re,94068,"Transports, communications et services publics",2565 Rue Saint-Dominique,2510.7
,Poste de pompage # S-12 Chemin St-Anicet,94068,"Transports, communications et services publics",4402 Chemin Saint-Anicet,7.78
,RÃ©servoir S-62,94068,"Transports, communications et services publics",5322 Chemin Saint-Anicet,9.73
,RÃ©servoir S-61,94068,"Transports, communications et services publics",1678 Rue des FrÃªnes,16.76
,Poste de surpression S-85,94068,"Transports, communications et services publics",1490 Boulevard de la Grande-Baie Nord,18.37
,Poste de pompage # S-2 6e avenue,94068,"Transports, communications et services publics",1031 6e Avenue,29.28
,Atelier immeubles La Baie,94068,"Transports, communications et services publics",273 Rue Joseph-GagnÃ© Sud,468.88
,RÃ©servoir S-60,94068,"Transports, communications et services publics",405 Rue de NÃ®mes,16.89
,Poste de surpression S-81,94068,"Transports, communications et services publics",3823 Chemin Saint-Anicet,34.12
,Poste de surpression S-88,94068,"Transports, communications et services publics",1232 Rue du Barachois,11.95
,Poste de pompage # S-13 Bagot,94068,"Transports, communications et services publics",1999 Rue Bagot,7.28
,Puits S-71,94068,"Transports, communications et services publics",5852 Chemin Saint-Louis,32.32
,Puits S-70,94068,"Transports, communications et services publics",5612 Chemin Saint-Louis,32.24
,Puits S-72,94068,"Transports, communications et services publics",5654 Chemin Saint-Louis,53.37
,Poste de pompage # 15 De la Fabrique,94068,"Transports, communications et services publics",14 Rue de la Fabrique,23.03
,Petite Maison Blanche,94068,"Transports, communications et services publics",235 Rue BossÃ©,78.15
,Poste de surpression CJPM,94068,"Transports, communications et services publics",1356 Rue Jolliet,11.41
,Quai l'Ãperlan,94068,"Transports, communications et services publics",4239 Chemin de l'Ãglise,26.92
,Poste de pompage # 30 Club Nautique,94068,"Transports, communications et services publics",745 Route de Tadoussac,11.29
,Poste de pompage # 23 Ste-GeneviÃ¨ve,94068,"Transports, communications et services publics",1951 Route Sainte-GeneviÃ¨ve,56.66
,Poste de pompage # 32 PichÃ©,94068,"Transports, communications et services publics",18 Rue PichÃ©,11.89
,Pavillon service Petite France,94068,"Transports, communications et services publics",2533 Rue de la Charente,42.19
,Pavillon Dubose,94068,"Transports, communications et services publics",2430 Rue Dubose,39.91
,Pavillon service Jean Allard,94068,"Transports, communications et services publics",3951 Boulevard Harvey,13.25
,Pavillon JettÃ©,94068,"Transports, communications et services publics",2555 Rue LafertÃ©,40.95
,Pavillon Mousseau,94068,"Transports, communications et services publics",4135 Rue de la Loire,42.06
,Pavillon des Peintres,94068,"Transports, communications et services publics",1840 Rue Pellan,39.76
,Pavillon des Hirondelles,94068,"Transports, communications et services publics",2520 Rue Pelletier,33.19
,Poste de pompage # 15 Du Royaume,94068,"Transports, communications et services publics",4365 Boulevard du Royaume,45.98
,Poste de pompage # 22 Chemin de la RÃ©serve,94068,"Transports, communications et services publics",2400 Chemin de la RÃ©serve,14.68
,Pavillon St-Damien,94068,"Transports, communications et services publics",3563 Chemin Saint-Damien,40.06
,Poste de pompage # 13 St-Dominique,94068,"Transports, communications et services publics",3263 Rue Saint-Dominique,18.57
,Poste de pompage # 7 St-Jean-Baptiste,94068,"Transports, communications et services publics",1793 Rue Saint-Jean-Baptiste,15.01
,Siphon Vieux-Pont,94068,"Transports, communications et services publics",4007 Rue du Vieux-Pont,6.11
,Poste de pompage # 4 D'Youville,94068,"Transports, communications et services publics",3625 Rue D'Youville,17.3
,Poste de pompage # 28 Boulevard Renaud,94068,"Transports, communications et services publics",1580 Boulevard Renaud,12.76
,Poste de pompage # 13 Roussel Ouest,94068,"Transports, communications et services publics",2875 Rue Roussel,22.55
,Poste de pompage # 4 HÃ´tel de ville,94068,"Transports, communications et services publics",101 Rue de l'HÃ´tel-de-Ville,19.09
,Ãcocentre Vimy,94068,"Transports, communications et services publics",2932 Rue de Vimy,31.97
,Poste de pompage # 3 Saguenay Ouest,94068,"Transports, communications et services publics",490 Boulevard du Saguenay Ouest,22.3
,Poste de pompage # 12 Giffard,94068,"Transports, communications et services publics",405 Rue ValliÃ¨res,28.26
,Puits S-73,94068,"Transports, communications et services publics",6045 Chemin des Chutes,50.56
,Abri arbitres Stade Adrien Gilbert,94068,"Transports, communications et services publics",639 5e Rue,26.29
