nom_evenement,date,elu_representant
"Accueil du ministre responsable, département de l'économie et des relations internationales de la ville de Moscou, M. Sergey Cheremin",2019-06-12,Magda Popeanu
"Accueil du maire de Casablanca, Maroc, M. Abdelaziz El Omari",2019-06-12,Magda Popeanu
Accueil du grand chef Abel Bosum,2019-06-14,Valérie Plante
Accueil de l'association des gens d'affaires et professionnels italo-canadiens pour souligner leur 70e anniversaire,2019-06-14,Christine Gosselin
Remise de la version en langue autochtone de la charte montréalaise des droits et responsabilités,2019-06-17,Valérie Plante
"Accueil de la haute-commisaire des Nations Unies aux droits de l'Homme, Mme Michelle Bachelet",2019-06-18,Valérie Plante
Annonce du plan d'action climat Montréal,2019-06-19,Valérie Plante
Accueil de l'Union générale arménienne de bienfaisance (UGAB),2019-06-20,Magda Popeanu
Cérémonie spéciale de citoyenneté dans le cadre de la journée nationale des Autochtones,2019-06-21,Valérie Plante
Fête nationale du Québec à Montréal,2019-06-24,Valérie Plante
Simulation CS-18 du conseil jeunesse de Montréal,2019-06-27,Nathalie Goulet
Réception dans le cadre du grand prix de Judo,2019-07-03,Hadrien Parizeau
"Accueil du bourgmestre de Namur, Belgique, M. Maxime Prévot et présentation d'une animation publique",2019-07-04,Valérie Plante
"Visite guidée avec accueil, conseil jeunesse",2019-07-09,Younes Boukala
"Accueil d'une délégation économique de Marseille, France",2019-07-10,Caroline Bourgeois
Remise du prix Nuits d'Afrique pour la Francophone,2019-07-10,Cathy Wong
"Visite de M. Vic Vogel, artiste",2019-07-11,Cathy Wong
"Visite guidée avec accueil, St Patrick's catholic secondary school",2019-07-22,Cathy Wong
Cérémonie de la paix à la mémoire de Hiroshima,2019-08-05,Sterling Downey 
Accueil des dirigeants des hôpitaux Shriners pour enfants,2019-08-06,Magda Popeanu
"Visite de courtoisie de départ du doyen du corps consulaire et consul général de Belgique, M. Hubert Roisin",2019-08-07,Valérie Plante
Accueil de M. Wesley Williams - Maestro Fresh Wes,2019-08-09,Sterling Downey
BPW Canada et congrès régional Amérique,2019-08-09,Émilie Thuillier
"Accueil du consul général de l'Uruguay, M. Pedro Eduardo Keuroglian Gomez",2019-08-14,Valérie Plante
"Accueil de la consule générale d'Italie, Mme Silvia Costantini",2019-08-14,Valérie Plante
"Visite de courtoisie de départ de la consule générale de France, Mme Catherie Feuillet",2019-08-14,Valérie Plante
Cérémonie d'accueil des nouveaux employés,2019-08-15,Benoit Dorais
"Visite de courtoisie du très honorable Justin Trudeau, premier ministre du Canada",2019-08-21,Valérie Plante
50e anniversaire de la Ligue des Noirs du Québec et commémoration de la journée internationale de la traite translatlantique des Noirs et de son abolition,2019-08-22,"Valérie Plante, Magda Popeanu"
Rencontre du comité conjoint Québec - Montréal dans le cadre de l'entente réflexe Montréal,2019-08-23,Valérie Plante
"Accueil du ministre du travail, de l'emploi et de la solidarité sociale, M. Jean Boulet (gouvernement du Québec)",2019-08-26,Valérie Plante
"Rencontre avec M. Richard Mills jr., chargé des affaires à l'ambassade des États-Unis au Canada, et M. Robert W. Thomas, consul général des États-Unis à Montréal",2019-08-28,Valérie Plante
"Accueil des étudiants du département de géographie, environnement et géomatique de l'université d'Ottawa",2019-08-29,Lionel Perez
Droit de cité : fusiliers Mont-Royal,2019-09-14,Valérie Plante
Déclaration pour souligner le mois de l'héritage latino-américain,2019-09-16,Magda Popeanu
Accueil d'une délégation de producteur américains de cinéma,2019-09-18,Valérie Plante
Petit déjeuner des leaders de la campagne Centraide,2019-09-19,Nathalie Goulet
Événement : Journée internationale de la Paix,2019-09-20,Valérie Plante
75e anniversaire de l'OACI,2019-09-23,Valérie Plante
"Accueil d'une délégation de la communauté urbaine de Limoges, France",2019-09-24,François Croteau
Inauguration des murales MU à l'hôtel de ville,2019-09-24,Cathy Wong
Cérémonie d'accueil des nouveaux employés,2019-09-26,Benoit Dorais
"Accueil de M. David Suzuki, généticien, animateur et militant écologiste",2019-09-26,Valérie Plante
"Accueil de Mme Greta Thunberg, militante écologiste",2019-09-27,Valérie Plante
Course-marche Centraide,2019-10-01,"Valérie Plante, Benoit Dorais"
Lancement du mois de l'héritage latino-américain,2019-10-01,Valérie Plante
Hommage aux pompiers décédés en service ou dû aux séquelle de leur service,2019-10-03,"Valérie Plante, Rosannie Filato"
Cérémonie de remise des certificats du programme tremplin-travail personne handicapée et liaison emploi autochtone,2019-10-08,"Benoit Dorais, Nathalie Goulet"
"Accueil du président de l'association des maires de Vaucluse et maire de la Tour d'Aigles, France, M. Jean-François Lovisolo",2019-10-10,Cathy Wong
"Accueil du ministre de la culture de la République Dominicaine, M. Eduardo Selman Hasbun",2019-10-16,Magda Popeanu
"Assermentation de M. Luc Rabouin, maire de l'arrondissement du Plateau Mont-Royal",2019-10-17,Valérie Plante
Accueil d'une délégation belge LOJIQ,2019-10-21,Younes Boukala
Soirée de reconnaissancedes bénévoles de l'hôtel de ville,2019-10-23,"Valérie Plante, Cathy Wong"
Accueil d'une délégation du Vermont,2019-10-25,Marianne Giguère
"Visite guidée avec accueil, étudiants de l'université York",2019-10-25,Sterling Downey
3e rencontre du bureau de gouvernance en itinérance,2019-10-25,"Valérie Plante, Nathalie Goulet"
Lancement de la campagne du Coquelicot,2019-10-25,"Valérie Plante, Rosannie Filato"
"Accueil du maire de Lyon, M. Gérard Collomb",2019-11-04,Valérie Plante
40e anniversaire des relations entre Montréal-Lyon,2019-11-04,Valérie Plante
"Accueil des présidents de Croix-Rouge du Mexique, des États-Unis et du Canada",2019-11-08,Alexander Norris
Cérémonie du Jour du Souvenir,2019-11-11,Valérie Plante
Cérémonie d'accueil des nouveaux employés,2019-11-12,Benoit Dorais
Accueil de M. Erick Marciano,2019-11-18,Valérie Plante
25e anniversaire du CERIU,2019-11-18,"Sylvain Ouellet, Suzie Miron"
Acceuil de la St. Andrew's society of Montréal,2019-11-20,"Sterling Downey, Craig Sauvé"
Table ronde « Les villes et les gouvernements locaux et infranationaux : partenaires pour la COP 15 et un cadre mondial de la biodiversité pour l'après 2020 »,2019-11-26,Valérie Plante
Cérémonie de reconnaissance de l'opération patrimoine Montréal,2019-11-26,Émilie Thuillier
Lancement de la période des fêtes par la mairesse,2019-12-03,Valérie Plante
Commémoration des 30 ans de la tragédie du 6 décembre 1989,2019-12-06,Valérie Plante
Cérémonie d'accueil des nouveaux employés,2019-12-10,Benoit Dorais
Signature du livre d'or par M. Andy Kim,2019-12-13,Valérie Plante
Activité gourmande de Noël,2019-12-16,Valérie Plante
Cocktail adoption de l'agenda montréalais 2030,2019-12-16,"Valérie Plante, Robert Beaudry"
Déjeuner scientifique - accueil fonds de recherche du Québec,2019-12-17,François Croteau
Annonce d'un nouveau membre du comité exécutif,2019-12-18,Valérie Plante
"Accueil de Mme Antonine Maillet, citoyenne d'honneur",2020-01-08,Valérie Plante
"Accueil de la ministre de l'infrastructure et des collectivités, l'honorable Catherine McKenna",2020-01-09,Valérie Plante
33e simulation du jeune conseil de Montréal,2020-01-11,Cathy Wong
"Accueil de M. Yves-François Blanchet, chef du Bloc québécois et député de Beloeil-Chambly",2020-01-14,Valérie Plante
Rencontre avec la communauté irlandaire de Montréal,2020-01-15,Valérie Plante
"Accueil du consul général de Russie, M. Alexander Noskov",2020-01-16,Valérie Plante
"Accueil du consul général du Royaume du Maroc, M. Fouad Kadmiri",2020-01-16,Valérie Plante
"Accueil du consul général de Belgique, M. Hendrik Van de Velde",2020-01-16,Valérie Plante
"Accueil du lieutenant-colonel Stéphane Tremblay, commandant du régiment de Maisonneuve",2020-01-16,Valérie Plante
"Accueil du ministre du patrimoine canadien, l'honorable Steven Guilbeault",2020-01-17,Valérie Plante
Simulation du jeune conseil de Montréal - cocktail d'ouverture,2020-01-17,"Valérie Plante, Cathy Wong"
Simulation du jeune conseil de Montréal - simulation du samedi,2020-01-18,Cathy Wong
Simulation du jeune conseil de Montréal - simulation du dimanche,2020-01-19,Cathy Wong
Journée Martin Luther King,2020-01-20,Magda Popeanu
Échange de voeux du nouvel an avec le corps diplomatique,2020-01-21,Valérie Plante
Lancement de la semaine de la sensibilisation musulmane,2020-01-23,Magda Popeanu
Commémoration de l'attentat de la grande mosquée de Québec du 29 janvier 2017,2020-01-29,"Valérie Plante, Magda Popeanu"
Accueil de membres de la communauté des affaires de Montréal,2020-01-29,Valérie Plante
Cérémonie de signature de la convention collective des professionnels,2020-01-30,Valérie Plante
Petit déjeuner Women4climate,2020-02-03,Valérie Plante
"Signature du livre d'or du maire-adjoint de la ville de Acquasanta Terme, Italie, M. Luigi Caprioti",2020-02-03,Christian Arseneault
Voeux du nouvel an - 3 conseils consultatifs,2020-02-04,"Valérie Plante, Cathy Wong"
Rencontre avec la délégation One Young World,2020-02-06,Cathy Wong
Rencontre du conseil consultatif de l'Ordre de Montréal,2020-02-10,Valérie Plante
"Accueil de la ministre des relations internationales et de la Francophonie, Mme Nadine Girault",2020-02-10,Valérie Plante
Vernissage d'exposition « Montréal sur les traces de Mandela » et journée montréalaise Nelson Mandela,2020-02-11,"Valérie Plante, Cathy Wong"
Mois de l'histoire des Noirs,2020-02-13,Magda Popeanu
Accueil des membres de la communauté juive (CIJA),2020-02-14,Valérie Plante
Cité Elles MTL - simulation du conseil de ville pour les femmes,2020-02-24,Cathy Wong
Cocktail rencontre de la Nation Crie et de Montréal,2020-02-26,Sterling Downey
Cérémonie d'accueil des nouveaux employés de la ville de Montréal,2020-03-04,Benoit Dorais
"Rencontre de travail avec la ministre de la Santé, l'honorable Patty Hadju",2020-03-06,Rosanie Filato
Journée internationale des femmes,2020-03-09,Valérie Plante
Remise des certificats du programme de parrainage professionnel de la ville de Montréal,2020-03-09,"Benois Dorais, Magda Popeanu"
"Accueil de la consule générale de France, Mme Sophie Lagoutte",2020-03-09,Valérie Plante
"Rencontre et conférence de presse avec le premier ministre du Québec, M. François Legault",2020-05-14,Valérie Plante
Atelier scientifique sur l'usage de l'espace public en période de pandémie - événement virtuel ,2020-05-29,Invitation générale à tous les élus
"Rencontre avec la ministre des affaires municipales et de l'habitation, Mme Andrée Laforest",2020-06-02,Valérie Plante
Atelier scientifique sur la diversité et l'inclusion - événement virtuel,2020-06-19,Invitation générale à tous les élus
"Rencontre avec le ministre de l'économie et de l'innovation, M. Pierre Fitzgibbon",2020-06-19,Valérie Plante
"Rencontre avec le minsitre de la justice, de la laïcité et de la réforme parlementaire et de la langue française, M. Simon Jolin-Barette",2020-07-07,Valérie Plante
Remise d'un certificat de citoyen d'honneur à M. André Lavallée,2020-07-17,Valérie Plante
75e commémoration de la bombe atomique sur Hiroshima,2020-07-20,Valérie Plante
"Rencontre avec la ministre de la sécurité publique et vice-première ministre du Québec, Mme Geneviève Guilbeault",2020-07-23,Valérie Plante
Agir pour le développement durable - impact du cadre bâti sur la santé de la population montréalaise - événement virtuel,2020-08-28,Invitation générale à tous les élus
"Accueil protocolaire avec le ministre Lionel Carmant, ministre délégué à la santé et aux services sociaux",2020-09-02,Valérie Plante
Rencontre du comité conjoint Québec - Montréal,2020-09-04,Valérie Plante
"Accueil de la cheffe de la 2e opposition officielle, Mme Manon Massé",2020-09-10,Valérie Plante
"Rencontre avec le maire de Québec, M. Régis Lebaume et le maire de Gatineau, M. Maxime Pedneaud-Jobin",2020-09-18,Valérie Plante
Lancement de la campagne du coquelicot de l'hôtel de ville de Montréal,2020-10-26,Valérie Plante
Remise d'un certificat de citoyen d'honneur à M. Armand Vaillancourt,2020-11-02,Valérie Plante
Lancement de la stratégie de réconciliation avec les peuples autochtones - événement virtuel,2020-11-04,Valérie Plante
Cérémonie Jour du Souvenir,2020-11-11,"Valérie Plante, Sterling Downey"
"Rencontre de courtoisie avec la consule générale des États-Unie, Mme Ana Escrogima - événement virtuel",2020-11-19,Valérie Plante
"Rencontre de courtoisie avec la secrétaire exécutive du secrétariat de la convention sur la diversité biologique, Mme Elizabeth Maruma Mrema - événement virtuel",2020-11-19,Valérie Plante
"Entretien bilatéral Montréal - Toulouse, représenté par M. Dardelet, adjoint au maire de Toulouse",2020-11-26,Luc Rabouin
"Atelier scientifique « Les différents visages de la rue, prévenir et réduire l'itinérance »",2020-12-04,Invitation générale à tous les élus
Commémoration de la tragédie du 6 décembre 1989,2020-12-06,Valérie Plante
"Assemblée publique, règlement pour une métropole mixte - événement virtuel",2020-12-07,Robert Beaudry
Séance de la commission permanente sur le vivre ensemble - événement virtuel,2020-12-14,Cathy Wong
Commémoration des attentats de la grande mosquée de Québec,2021-01-29,Valérie Plante
Signature de l'entente Montréal-Toulouse,2021-02-02,Valérie Plante
Rencontre avec les lauréats du mois de l'histoire des Noirs 2021,2021-02-02,"Valérie Plante, Cathy Wong"
Cité Elles MTL - simulation du conseil de ville pour les femmes,2021-02-12,"Valérie Plante, Suzie Miron et Émilie Thuillier"
"Signature du livre d'or par Mme Suzie Miron, présidente du conseil municipal de la ville de Montréal",2021-02-23,Valérie Plante
Conférence de presse sur la restitution de la coiffe crie ,2021-02-24,Valérie Plante
Exposition éphémère pour soutenir la lutte contre la violence envers les femmes et les filles,2021-03-07,"Valérie Plante, Suzie Miron et Nathalie Goulet"
Journée de commémoration nationale en mémoire des victimes de la covid-19,2021-03-11,Valérie Plante
Lancement de la semaine d'actions contre le racisme et pour l'égalité des chances,2021-03-19,Valérie Plante
Rencontre sur la persévérance en français des nouveaux montréalais et des étudiants internationaux,2021-03-22,"Cathy Wong, Magda Popeanu"
Événement Yom Hashoah,2021-04-08,Valérie Plante
"Accueil de la directrice générale par interim de transplant Québec, Mme Marie-Josée Simard",2021-04-13,Jocelyn Pauzé
"Accueil du consul général de la République de Turquie, M. Sencer Yondem",2021-04-14,Valérie Plante
"Accueil du consul général de l'Iraq, M. Sarmad Al-Taie",2021-04-14,Valérie Plante
"Annonce de l'entente triennale entre le ministère de l'immigration, de la francisation et de l'intégration (MIFI) et la ville de Montréal",2021-04-22,Valérie Plante
Prise de photographies officielles pour souligner la signature de la convention collective des cols bleus de Montréal,2021-05-10,Valérie Plante
"Signature du livre d'or et citoyenneté d'honneur, Dre Mylène Drouin",2021-05-14,Valérie Plante
"Accueil de Mme Marjorie Villefranche, citoyenne d'honneur",2021-05-25,Valérie Plante
"Accueil de Mme Louise Lecavalier, citoyenne d'honneur",2021-06-10,Valérie Plante
Accueil de M. Robert Perreault,2021-06-11,Valérie Plante
Coopération pour Montréal-Paris,2021-06-21,Nathalie Goulet
Signature du Livre d'or par Mme Nakuset,2021-06-21,Valérie Plante
"Accueil de M. Lucien Bouchard, citoyen d'honneur",2021-06-24,Valérie Plante
Réception de la Fête nationale du Québec à Montréal,2021-06-24,Valérie Plante
Remise des insignes de l'Ordre de Montréal,2021-06-28,Valérie Plante
"Rencontre du consul général de l'Argentine, M. Gerardo Ezequiel Bompadre",2021-06-29,Valérie Plante
"Rencontre du consul général du Brésil, M. Nedilson Jorge",2021-06-29,Valérie Plante
Rencontre Montréal-Strasbourg,2021-06-29,François William Croteau
Réception annuelle avec le Corps consulaire,2021-06-29,Valérie Plante
Lancement Women4Climate,2021-06-30,Sophie Mauzerolle
Accueil de M. Paul De Lagrave,2021-07-09,Valérie Plante
Hommage à la mémoire d'Hiroshima,2021-08-05,Sterling Downey
"Accueil de Mme Louise Forestier, citoyenne d'honneur",2021-08-30,Valérie Plante
"Rencontre du consul général d'Haïti, M. Fritz Dorvilier",2021-09-14,Valérie Plante
"Rencontre avec le secrétaire général de l'OACI, M. Juan Carlos Salazar",2021-09-14,Valérie Plante
"Rencontre consul général d'Israël, M. Paul Hirschson",2021-09-14,Valérie Plante
"Lancement du plan d'action solidarité, équité et inclusion",2021-09-16,Valérie Plante
Journée internationale de la Paix,2021-09-21,Valérie Plante
Signature conventions collectives,2021-09-21,Valérie Plante et Benoit Dorais
Accueil des athlètes olympiens Tokyo 2020,2021-10-06,Valérie Plante
Accueil par la présidence des élus (es) ne se représentant pas ,2021-10-07,Suzie Miron
Photo-op pour la Fondation Douglas,2021-10-12,Valérie Plante
Séance de la commission permanente sur le Vivre ensemble AIMF,2021-10-21,Cathy Wong
Funérailles civiques du pompier Pierre Lacroix,2021-10-28,Valérie Plante
Lancement de la campagne du coquelicot (100 ans),2021-10-28,Valérie Plante
Cérémonie du Jour du souvenir,2021-11-11,Valérie Plante
Assermentation des élus(es),2021-11-18,Tous les élus-es de la ville de Montréal
"Rencontre entre la Mairesse et le Premier-Ministre du Québec, François Legault",2021-11-22,Valérie Plante
Présentation Comité exécutif 2021-2025,2021-11-24,Valérie Plante
Visite de courtoisie du premier ministre Justin Trudeau,2021-11-26,Valérie Plante
Accueil de la Ministre des Affaires municipales et de l'Habitation,2021-11-26,Valérie Plante
Signature du Livre d'or par la Présidente du conseil municipal (2021-2025),2021-11-26,Martine Musau Muele
"Accueil du Ministre des Transports, M. François Bonnardel",2021-12-06,Valérie Plante
Commémoration de la tragédie du 6 décembre 1989,2021-12-06,Valérie Plante
Rencontre avec la mairesse de Longueuil et du maire de Laval,2021-12-08,Valérie Plante
Commémoration des attentats de la grande Mosquée de Québec,2022-01-28,Valérie Plante
"Accueil de l’adjoint à la Maire de Paris, Monsieur Jean-Luc Romero-Michel",2022-02-28,"Josefina Blanco, Alia Hassan-Cournol"
Remise des Grands Prix de l'Opération Patrimoine Montréal,2022-03-10,Ericka Alneus
Journée de commémoration nationale en mémoire des victimes de la COVID-19,2022-03-11,Valérie Plante
"Déjeuner de travail ministre fédérale responsables des Sports, Madame Pascale St-Onge",2022-03-14,Valérie Plante
Rencontre du Conseil consultatif de l'Ordre de Montréal,2022-03-17,Valérie Plante
Lancement de la Semaine d'actions contre le racisme et pour l'égalité des chances,2022-03-21,Dominique Ollivier
Accueil des médias de la diversité montréalaise dans le cadre de la Semaine d'actions contre le racisme,2022-03-21,Dominique Ollivier
Rencontre comité directeur Plan économique MTL-MEI,2022-03-28,"Valérie Plante, Luc Rabouin"
"Accueil consule générale Allemagne, Mme Suzanne Aschi-Glesius",2022-03-30,Valérie Plante
"Accueil consul général Belgique, M. Geert Vansintjan",2022-03-30,Valérie Plante
"Accueil consul général Israël, M. Paul Hirschson",2022-03-30,Valérie Plante
Forum montréalais pour la lutte contre la violence armée: s'unir pour la jeunesse,2022-03-31,"Valérie Plante, Alain Vaillancourt"
Séance de photographies - Drapeau Trans dans le cadre de la Journée internationale de la visibilité trans,2022-03-31,Robert Beaudry
Accueil d'une délégation de l'International Sustainability Standards Board (ISSB),2022-04-06,Valérie Plante
Lancement du 200e anniversaire de la Chambre de commerce du Montréal métropolitain,2022-04-11,Valérie Plante
Rencontre courtoisie Ambassadrice désignée de l'Ukraine au Canada,2022-04-11,Valérie Plante
"Accueil de courtoisie du Capitaine de frégate Gareth Jarvis, CD Commandant du Navire canadien de Sa Majesté Donnacona",2022-04-12,"Martine Musau Muele, Sterling Downey"
Remise des certificats du programme de parrainage professionnel,2022-04-13,"Dominique Ollivier, Josefina Blanco"
Reconnaissance des athlètes olympiques - Beijing 2022,2022-04-13,Valérie Plante
"Accueil de M. Luis Gutierrez, Président de l'Institut des Mexicains à l'étranger",2022-04-20,Josefina Blanco 
"Photographie avec M. Louis Beaulieu, directeur général de Transplant Québec, dans le cadre de la Semaine nationale du don d'organes et de tissus",2022-04-25,Jocelyn Pauzé
"Rencontre de courtoisie avec le Ministre de la Santé du Gouvernement du Canada, L'honorable Jean-Yves Duclos",2022-04-25,Valérie Plante
"Accueil de la mairesse de Gatineau, Madame France Bélisle",2022-04-29,"Valérie Plante, Josefina Blanco"
Chapelle Ardente Guy Lafleur,2022-05-01,Valérie Plante
Inauguration de l'œuvre d’art public «Entrelacs» - Parc Ukraine,2022-05-06,Valérie Plante
"Accueil de la Grande Cheffe de Kahnawà:ke, Kahsennenhawe Sky-Deer",2022-05-06,"Valérie Plante, Alia Hassan-Cournol"
Cérémonie de remise des insignes de l'Ordre de Montréal,2022-05-15,Valérie Plante
Rencontre de démarrage et d’arrimage - Seconde édition du budget participatif de Montréal,2022-05-18,Robert Beaudry
"Accueil de Mme Fatima Jenn de la Collectivité européenne d'Alsace et élue conseillère départementale du Haut-Rhin, canton de Mulhouse",2022-05-24,Alia Hassan-Cournol
Women4Climate,2022-05-25,"Valérie Plante, Marie-Andrée Mauger"
"Accueil de Mme Órfhlaith Begley, députée britannique",2022-05-27,"Sterling Downey, Craig Sauvé"
"Accueil de Mme Victoria Alsina Burgués, ministre Catalogne",2022-05-27,Martine Musau Muele
"Accueil du Maire de Dakar, M. Barthélémy Toye Dias",2022-05-30,Valérie Plante
"Accueil du maire d'Illkirch-Graffenstaden, M. Thibaud Philipps",2022-05-31,Marie-Andrée Mauger
"Accueil du Maestro Rafael Payare, Orchestre symphonique de Montréal",2022-06-01,Valérie Plante
Accueil de la Capitaine Milly Ingham de la Royal Navy,2022-06-08,"Martine Musau Muele, Sterling Downey"
"Accueil du Ministre des Affaires intergouvernementales, de l’Infrastructure et des Collectivités du Gouvernement du Canada, l'honorable Dominic LeBlanc",2022-06-10,Valérie Plante
Accueil de l'équipe féminine de hockey de l'Université Concordia,2022-06-10,Valérie Plante
"Rencontre avec le Ministre des Relations Couronne-Autochtones, l'honorable Marc Miller, et le Président de l’Inuit Tapiriit Kanatami, M. Natan Obed",2022-06-10,Josefina Blanco et Alia Hassan-Cournol
Séance de photo pour le dévoilement de l’exposition renouvelée sur la Charte montréalaise des droits et responsabilités,2022-06-13,"Martine Musau Muele, Dominique Ollivier, Robert Beaudry"
Soirée à l'hôtel de Ville arrondissement Villeray - Saint-Michel - Parc-Extension ,2022-06-13,Martine Musau Muele
Photographie officielle des membres du conseil municipal,2022-06-14,Tous(tes) les élus(es)
Rencontre de la Table des établissements d'enseignement supérieur,2022-06-15,Luc Rabouin
"Accueil du maire de Jérusalem, Monsieur Moshe Lion",2022-06-17,Valérie Plante
"Accueil d'une délégation de la ville de Mérida, Mexique",2022-06-21,Ericka Alneus
Vin d'honneur pour souligner les membres sortants des trois conseils consultatifs de Montréal,2022-06-22,Martine Musau Muele
Réception de la Fête nationale du Québec à Montréal,2022-06-24,Valérie Plante
"Accueil de l'ambassadrice de la République d'Arménie au Canada, S.E. Madame Anahit Harutyunyan",2022-06-30,Martine Musau Muele
"Rencontre avec le Ministre responsable des Affaires autochtones, M. Ian Lafrenière",2022-07-07,"Josefina Blanco, Alia Hassan-Cournol"
"Accueil de la mairesse de Phoenix, Mme Katharine Sarah Gallego",2022-07-11,Dominique Ollivier
Remise du Prix Nuits d'Afrique pour la francophonie,2022-07-14,Dominique Ollivier
Simulation CS-18 du conseil jeunesse de Montréal,2022-07-26,Sterling Downey 
Réception dans le cadre de la 24e Conférence internationale sur le sida,2022-07-30,Robert Beaudry
Accueil de la ministre des affaires étrangères de l'Allemagne,2022-08-03,Dominique Ollivier et Josefina Blanco
Cérémonie à la mémoire de Hiroshima,2022-08-05,Martine Musau Muele
"Accueil de la Ministre des Femmes et de l’Égalité des genres et de la Jeunesse du Gouvernement du Canada, L'honorable Marci Ien",2022-08-08,Valérie Plante
"Accueil de Monsieur Nicolas Fuertes, élu de la ville de Langres",2022-08-08,Julie Roy
"Accueil du maire-adjoint d’Helsinki, Finlande, Monsieur Daniel Sazonov",2022-08-15,Robert Beaudry
"Rencontre avec le président de l'UMQ et maire de Gaspé, Monsieur Daniel Côté",2022-08-16,Valérie Plante
Journée du souvenir de la Traite transatlantique des Noirs et de son abolition,2022-08-22,Valérie Plante
"Rencontre de courtoisie avec l’Ambassadeur de Chine au Canada, Son Excellence CONG Peiwu",2022-08-24,Valérie Plante
Inauguration Place des Fleurs-de-Macadam,2022-08-25,Luc Rabouin
"Accueil de la délégation de Bécon-Les-Granits, France",2022-08-25,Martine Musau Muele
"Accueil du maire de la ville de Niamey, Niger, M. Oumarou Dogari Moumouni",2022-08-29,Alia Hassan-Cournol
Rencontre avec le Grupe Ibéro-américain,2022-08-31,"Valérie Plante, Josefina Blanco"
Commémoration du 50e anniversaire du tragique incendie Blue Bird - Wagon Wheel,2022-09-01,Valérie Plante
"Accueil de l'élu responsable de la culture, l'éducation, l'économie et l'innovation à la Ville de Lisbonne, Monsieur Diogo Moura",2022-09-06,Ericka Alneus
"Accueil du maire du Havre, Monsieur Édouard Philippe",2022-09-06,Valérie Plante
"Accueil du gouverneur de l'État du Vermont, Monsieur Philip Scott",2022-09-06,Luc Rabouin
Réception en l'honneur du Corps consulaire de Montréal,2022-09-07,Valérie Plante
"Accueil de Guy Manoukian, artiste libano-arménien",2022-09-13,Aref Salem
"Rencontre avec M. François Legault, chef de la CAQ et premier ministre du Québec",2022-09-13,Valérie Plante
Accueil de la délégation française dans le cadre de l'événement Destination Démocratie suivi d'un cocktail de réseautage,2022-09-14,"Robert Beaudry, Despina Sourias"
"Vin d'honneur pour souligner l'engagement des équipes du CCMU, de la sécurité civile et de l'itinérance pendant la pandémie",2022-09-16,"Valérie Plante, Alain Vaillancourt"
Réception pour la Journée internationale de la Paix,2022-09-21,Valérie Plante
Réception pour la Journée internationale de la Paix,2022-09-21,Valérie Plante
"Accueil de M. Abderrahmane Abdelkader, humoriste algérien",2022-09-22,Abdelhaq Sari
"Accueil du maire de Trois-Rivières, M. Jean Lamarche",2022-09-22,Benoit Dorais
"Rencontre avec M. Éric Duhaime, chef du Parti conservateur du Québec",2022-09-23,Valérie Plante
"Rencontre avec M. Gabriel Nadeau-Dubois, co-porte-parole de Québec Solidaire",2022-09-26,Valérie Plante
"Rencontre avec M. Paul St-Pierre Plamondon, chef du Parti Québécois",2022-09-27,Valérie Plante
Lauréates 4e édition 2022 - Femme mérite Mwali,2022-09-27,Martine Musau Muele
"Rencontre avec Mme Dominique Anglade, cheffe du Parti Libéral du Québec",2022-09-30,Valérie Plante
"Accueil de Mme Jean Braseghian, maire de Strasbourg",2022-10-03,Valérie Plante
"Accueil de madame Ana Blandiana, poète roumaine",2022-10-06,Magda Popeanu
Photo-op Fondation Douglas,2022-10-11,Valérie Plante
Petit déjeuner des Leaders de la campagne Centraide 2022,2022-10-12,Dominique Ollivier
Réception d'accueil des délégations internationales dans le cadre de MTL connecte - Printemps numérique,2022-10-17,"Ericka Alneus, Luc Rabouin"
"Accueil de M. Abdelhafid Douzi, chanteur belgo-marocain",2022-10-20,"Abdelhaq Sari, Jocelyn Pauzé"
Accueil du Groupe des Trentes,2022-10-20,"Martine Musau Muele, Despina Sourias"
Soirée à l'hôtel de ville - Arrondissement Saint-Laurent,2022-10-24,Martine Musau Muele 
"Accueil de M. Pierre Fitzgibbon, ministre de l’Économie, de l’Innovation et de l’Énergie et ministre responsable de la Métropole et de la région de Montréal du Gouvernement du Québec",2022-10-25,Valérie Plante
100e anniversaire de la Société d’entraide des femmes grecques (Hellenic Ladies Benevolent Society),2022-10-25,"Valérie Plante, Despina Sourias"
Lancement de la Campagne Noeudvembre,2022-10-26,Valérie Plante
Lancement de la campagne du coquelicot,2022-10-28,"Valérie Plante, Sterling Downey"
Accueil d'un groupe d'étudiants de la York University de Toronto,2022-10-28,Martine Musau Muele
Accueil de la chambre des joueuses,2022-10-28,Valérie Plante
"Accueil de Mme Sylvie Robert, sénatrice française",2022-10-31,Ericka Alneus
"Accueil de M. François Bonnardel, ministre de la Sécurité publique du Gouvernement du Québec",2022-11-01,Valérie Plante
"Accueil de Mme Nadia Pellefigue, vice-présidente de la région d'Occitanie",2022-11-02,Despina Sourias
"Accueil de Mme Geneviève Guilbault, vice-première ministre et Ministre des Transports et de la Mobilité durable du Gouvernement du Québec",2022-11-03,Valérie Plante
Forum sur la fiscalité montréalaise,2022-11-07,"Valérie Plante, Dominique Ollivier"
Rencontre de la Table des établissements d'enseignement supérieur,2022-11-08,"Valérie Plante, Luc Rabouin"
"Accueil du député français représentant les Français d'Amérique du Nord, Monsieur Christopher Weissberg",2022-11-11,Alia Hassan-Cournol
