INSTANCE|SOUS_INSTANCE|TYPE_RENCONTRE|DATE_RENCONTRE|ENDROIT|NOM|SALLE|RUE|NUMERO_CIVIC
Conseil d'arrondissement|Charlesbourg|0|2019.05.28 17:30:00|Bureau d'arrondissement de Charlesbourg|Bureau d'arrondissement de Charlesbourg|Salle du conseil|76e Rue Est|160
Conseil d'arrondissement|Charlesbourg|0|2019.06.25 17:30:00|Bureau d'arrondissement de Charlesbourg|Bureau d'arrondissement de Charlesbourg|Salle du conseil|76e Rue Est|160
Conseil d'arrondissement|Charlesbourg|0|2019.07.03 17:30:00|Bureau d'arrondissement de Charlesbourg|Bureau d'arrondissement de Charlesbourg|Salle du conseil|76e Rue Est|160
Conseil d'arrondissement|Charlesbourg|0|2019.08.27 17:30:00|Bureau d'arrondissement de Charlesbourg|Bureau d'arrondissement de Charlesbourg|Salle du conseil|76e Rue Est|160
Conseil d'arrondissement|Charlesbourg|0|2019.09.24 17:30:00|Bureau d'arrondissement de Charlesbourg|Bureau d'arrondissement de Charlesbourg|Salle du conseil|76e Rue Est|160
Conseil d'arrondissement|Charlesbourg|0|2019.10.22 17:30:00|Bureau d'arrondissement de Charlesbourg|Bureau d'arrondissement de Charlesbourg|Salle du conseil|76e Rue Est|160
Conseil d'arrondissement|Charlesbourg|0|2019.11.26 17:30:00|Bureau d'arrondissement de Charlesbourg|Bureau d'arrondissement de Charlesbourg|Salle du conseil|76e Rue Est|160
Conseil d'arrondissement|Charlesbourg|0|2019.12.09 17:30:00|Bureau d'arrondissement de Charlesbourg|Bureau d'arrondissement de Charlesbourg|Salle du conseil|76e Rue Est|160
Conseil d'arrondissement|Les Rivières|0|2019.05.28 17:30:00|Bureau d’arrondissement des Rivières|Bureau d’arrondissement des Rivières|Salle du conseil|rue, Chabot|330
Conseil d'arrondissement|Les Rivières|0|2019.06.25 17:30:00|Bureau d’arrondissement des Rivières|Bureau d’arrondissement des Rivières|Salle du conseil|rue, Chabot|330
Conseil d'arrondissement|Les Rivières|0|2019.07.09 17:30:00||Bureau d’arrondissement des Rivières|Salle du conseil|rue, Chabot|330
Conseil d'arrondissement|Les Rivières|0|2019.08.27 17:30:00|Bureau d’arrondissement des Rivières|Bureau d’arrondissement des Rivières|Salle du conseil|rue, Chabot|330
Conseil d'arrondissement|Les Rivières|0|2019.09.24 17:30:00|Bureau d’arrondissement des Rivières|Bureau d’arrondissement des Rivières|Salle du conseil|rue, Chabot|330
Conseil d'arrondissement|Les Rivières|0|2019.10.23 17:30:00||Bureau d’arrondissement des Rivières|Salle du conseil|rue, Chabot|330
Conseil d'arrondissement|Les Rivières|0|2019.11.26 17:30:00|Bureau d’arrondissement des Rivières|Bureau d’arrondissement des Rivières|Salle du conseil|rue, Chabot|330
Conseil d'arrondissement|Les Rivières|0|2019.12.10 17:30:00|Bureau d’arrondissement des Rivières|Bureau d’arrondissement des Rivières|Salle du conseil|rue, Chabot|330
Conseil d'arrondissement|La Haute-Saint-Charles|0|2019.05.22 17:30:00|Édifice Denis-Giguère|Édifice Denis-Giguère|Salle du conseil|rue Racine|305
Conseil d'arrondissement|La Haute-Saint-Charles|0|2019.06.18 17:30:00|Édifice Denis-Giguère|Édifice Denis-Giguère|Salle du conseil|rue Racine|305
Conseil d'arrondissement|La Haute-Saint-Charles|0|2019.07.04 17:30:00|Édifice Denis-Giguère|Édifice Denis-Giguère|Salle du conseil|rue Racine|305
Conseil d'arrondissement|La Haute-Saint-Charles|0|2019.08.28 17:30:00|Édifice Denis-Giguère|Édifice Denis-Giguère|Salle du conseil|rue Racine|305
Conseil d'arrondissement|La Haute-Saint-Charles|0|2019.09.17 17:30:00|Édifice Denis-Giguère|Édifice Denis-Giguère|Salle du conseil|rue Racine|305
Conseil d'arrondissement|La Haute-Saint-Charles|0|2019.10.15 17:30:00|Édifice Denis-Giguère|Édifice Denis-Giguère|Salle du conseil|rue Racine|305
Conseil d'arrondissement|La Haute-Saint-Charles|0|2019.11.19 17:30:00|Édifice Denis-Giguère|Édifice Denis-Giguère|Salle du conseil|rue Racine|305
Conseil d'arrondissement|La Haute-Saint-Charles|0|2019.12.17 17:30:00|Édifice Denis-Giguère|Édifice Denis-Giguère|Salle du conseil|rue Racine|305
Conseil d'arrondissement|La Cité|0|2019.05.13 17:30:00|Bureau d’arrondissement de La Cité-Limoilou|Bureau d’arrondissement de La Cité-Limoilou|Salle Armand-Trottier|rue Saint-Joseph Est|399
Conseil d'arrondissement|La Cité|0|2019.05.27 17:30:00|Bureau d’arrondissement de La Cité-Limoilou|Bureau d’arrondissement de La Cité-Limoilou|Salle Armand-Trottier|rue Saint-Joseph Est|399
Conseil d'arrondissement|La Cité|0|2019.06.10 17:30:00|Bureau d’arrondissement de La Cité-Limoilou|Bureau d’arrondissement de La Cité-Limoilou|Salle Armand-Trottier|rue Saint-Joseph Est|399
Conseil d'arrondissement|La Cité|0|2019.06.25 17:30:00|Bureau d’arrondissement de La Cité-Limoilou|Bureau d’arrondissement de La Cité-Limoilou|Salle Armand-Trottier|rue Saint-Joseph Est|399
Conseil d'arrondissement|La Cité|0|2019.07.05 17:30:00|Bureau d’arrondissement de La Cité-Limoilou|Bureau d’arrondissement de La Cité-Limoilou|Salle Armand-Trottier|rue Saint-Joseph Est|399
Conseil d'arrondissement|La Cité|0|2019.08.19 17:30:00|Bureau d’arrondissement de La Cité-Limoilou|Bureau d’arrondissement de La Cité-Limoilou|Salle Armand-Trottier|rue Saint-Joseph Est|399
Conseil d'arrondissement|La Cité|0|2019.09.09 17:30:00|Bureau d’arrondissement de La Cité-Limoilou|Bureau d’arrondissement de La Cité-Limoilou|Salle Armand-Trottier|rue Saint-Joseph Est|399
Conseil d'arrondissement|La Cité|0|2019.09.23 17:30:00|Bureau d’arrondissement de La Cité-Limoilou|Bureau d’arrondissement de La Cité-Limoilou|Salle Armand-Trottier|rue Saint-Joseph Est|399
Conseil d'arrondissement|La Cité|0|2019.10.15 17:30:00|Bureau d’arrondissement de La Cité-Limoilou|Bureau d’arrondissement de La Cité-Limoilou|Salle Armand-Trottier|rue Saint-Joseph Est|399
Conseil d'arrondissement|La Cité|0|2019.10.28 17:30:00|Bureau d’arrondissement de La Cité-Limoilou|Bureau d’arrondissement de La Cité-Limoilou|Salle Armand-Trottier|rue Saint-Joseph Est|399
Conseil d'arrondissement|La Cité|0|2019.11.11 17:30:00|Bureau d’arrondissement de La Cité-Limoilou|Bureau d’arrondissement de La Cité-Limoilou|Salle Armand-Trottier|rue Saint-Joseph Est|399
Conseil d'arrondissement|La Cité|0|2019.11.25 17:30:00|Bureau d’arrondissement de La Cité-Limoilou|Bureau d’arrondissement de La Cité-Limoilou|Salle Armand-Trottier|rue Saint-Joseph Est|399
Conseil d'arrondissement|La Cité|0|2019.12.09 17:30:00|Bureau d’arrondissement de La Cité-Limoilou|Bureau d’arrondissement de La Cité-Limoilou|Salle Armand-Trottier|rue Saint-Joseph Est|399
Conseil d'arrondissement|Sainte-Foy–Sillery|0|2019.05.13 17:30:00|Bureau d’arrondissement de Sainte-Foy–Sillery–Cap-Rouge|Bureau d’arrondissement de Sainte-Foy–Sillery–Cap-Rouge|Salle du conseil|route de l’Église|1130
Conseil d'arrondissement|Sainte-Foy–Sillery|0|2019.06.10 17:30:00|Bureau d’arrondissement de Sainte-Foy–Sillery–Cap-Rouge|Bureau d’arrondissement de Sainte-Foy–Sillery–Cap-Rouge|Salle du conseil|route de l’Église|1130
Conseil d'arrondissement|Sainte-Foy–Sillery|0|2019.07.04 17:30:00|Bureau d’arrondissement de Sainte-Foy–Sillery–Cap-Rouge|Bureau d’arrondissement de Sainte-Foy–Sillery–Cap-Rouge|Salle du conseil|route de l’Église|1130
Conseil d'arrondissement|Sainte-Foy–Sillery|0|2019.08.28 17:30:00|Bureau d’arrondissement de Sainte-Foy–Sillery–Cap-Rouge|Bureau d’arrondissement de Sainte-Foy–Sillery–Cap-Rouge|Salle du conseil|route de l’Église|1130
Conseil d'arrondissement|Sainte-Foy–Sillery|0|2019.09.09 17:30:00|Bureau d’arrondissement de Sainte-Foy–Sillery–Cap-Rouge|Bureau d’arrondissement de Sainte-Foy–Sillery–Cap-Rouge|Salle du conseil|route de l’Église|1130
Conseil d'arrondissement|Sainte-Foy–Sillery|0|2019.10.15 17:30:00|Bureau d’arrondissement de Sainte-Foy–Sillery–Cap-Rouge|Bureau d’arrondissement de Sainte-Foy–Sillery–Cap-Rouge|Salle du conseil|route de l’Église|1130
Conseil d'arrondissement|Sainte-Foy–Sillery|0|2019.11.11 17:30:00|Bureau d’arrondissement de Sainte-Foy–Sillery–Cap-Rouge|Bureau d’arrondissement de Sainte-Foy–Sillery–Cap-Rouge|Salle du conseil|route de l’Église|1130
Conseil d'arrondissement|Sainte-Foy–Sillery|0|2019.12.09 17:30:00|Bureau d’arrondissement de Sainte-Foy–Sillery–Cap-Rouge|Bureau d’arrondissement de Sainte-Foy–Sillery–Cap-Rouge|Salle du conseil|route de l’Église|1130
Conseil municipal||0|2019.05.06 17:00:00||Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil municipal||0|2019.05.21 17:00:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil municipal||0|2019.06.03 17:00:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil municipal||0|2019.06.17 17:00:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil municipal||0|2019.07.02 17:00:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil municipal||0|2019.08.26 17:00:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil municipal||0|2019.09.16 17:00:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil municipal||0|2019.10.07 17:00:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil municipal||0|2019.10.21 17:00:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil municipal||0|2019.11.04 17:00:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil municipal||0|2019.11.18 17:00:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil municipal||0|2019.12.02 17:00:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil municipal||0|2019.12.16 17:00:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil d'agglomération||0|2019.05.08 10:30:00||Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil d'agglomération||0|2019.05.22 10:30:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil d'agglomération||0|2019.06.05 10:30:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil d'agglomération||0|2019.06.19 10:30:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil d'agglomération||0|2019.07.04 10:30:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil d'agglomération||0|2019.08.28 10:30:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil d'agglomération||0|2019.09.18 10:30:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil d'agglomération||0|2019.10.09 10:30:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil d'agglomération||0|2019.10.23 10:30:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil d'agglomération||0|2019.11.06 10:30:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil d'agglomération||0|2019.11.20 10:30:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil d'agglomération||0|2019.12.18 10:30:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil d'agglomération||0|2019.12.04 10:30:00|Hôtel de ville|Hôtel de ville|Salle du conseil|rue des Jardins|2
Conseil de quartier|Vieux-Québec-Cap-Blanc-colline Parlementaire|4|2019.05.14 13:30:00|Monastère des Augustines, 32 rue Charlevoix, salle Le Noviciat||||
Conseil de quartier|Vieux-Québec-Cap-Blanc-colline Parlementaire|4|2019.05.15 19:00:00|Monastère des Augustines, 32 rue Charlevoix, salle Le Noviciat||||
Conseil d'arrondissement|La Haute-Saint-Charles|1|2019.05.13 16:30:00||Édifice Denis-Giguère|Salle du conseil|rue Racine|305
Conseil de quartier|Duberger-Les-Saules|4|2019.05.08 18:15:00|Centre communautaire Duberger|Centre communautaire Duberger|Salle RC-06|rue de la Rivière-du-Berger|2341
