"Station","Date","%OD","O2 (mg/L)","COND.","pH","TEMP  (oC)","Signe COLI","COLI","MÉTÉO","Cd (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","TURBIDITE NTU"
"RDP-43C",2002/06/25,108,"10,07",83,"7,5","19,1","=",52,-2,"0,2","1,0","1,0",680,51,"1,1",46,"1,0","9,2","11,0"
"RDP-43C",2002/07/03,107,"9,14",97,"7,5","23,6","=",62,1,,,,,,,33,,"6,6","7,2"
"RDP-43C",2002/07/10,101,"8,69",91,"7,7","23,0","=",34,-1,"0,2","1,0","1,7",320,42,"1,4",30,"1,0","6,8","6,4"
"RDP-43C",2002/07/24,100,"8,52",87,"7,9","23,7","=",34,-1,"0,2","1,4","1,9",320,35,"1,0",57,"1,0","7,5","7,8"
"RDP-43C",2002/07/30,107,"8,93",85,"7,6","24,9","=",600,0,"0,2","1,0","2,1",280,28,"1,0",28,"1,0","4,9","6,0"
"RDP-43C",2002/08/20,91,"7,65",76,"7,7","24,2","=",42,1,"0,2","1,5","2,0",440,35,"1,0",37,"1,0","5,2","7,0"
"RDP-43C",2002/08/28,107,"9,38",76,"7,7","22,3","=",36,1,"0,2","1,1","1,2",390,21,"1,0",39,"1,0","3,1","5,9"
"RDP-43C",2002/09/23,98,"8,77",75,"7,7","20,9","=",440,0,"0,2","1,0","1,7",420,25,"1,5",28,"1,0","3,9","6,4"
"RDP-46L",2002/06/25,103,"9,49",83,"7,5","19,3","=",90,-2,"0,2","1,0","1,0",540,34,"1,0",38,"1,0","6,0","9,3"
"RDP-46L",2002/07/03,105,"8,86",96,"7,5","23,9","=",36,1,"0,2","1,0","1,0",270,39,"1,0",28,"1,0","4,3","5,9"
"RDP-46L",2002/07/10,96,"8,27",92,"7,6","23,3","=",32,-1,"0,2","1,0","1,1",340,31,"1,0",34,"1,5","5,1","6,7"
"RDP-46L",2002/07/24,102,"8,63",88,"7,8","23,9","=",96,-1,"0,2","1,7","4,0",330,23,"1,0",42,"1,0","8,8","9,0"
"RDP-46L",2002/07/30,111,"9,19",85,"7,7","25,4","=",360,0,"0,2","1,0","1,7",230,20,"1,3",26,"1,0","4,3","5,7"
"RDP-46L",2002/08/20,91,"7,87",76,"8,1","25,1","=",54,1,"0,2","1,1","2,0",470,20,"1,0",37,"1,0","4,5","7,1"
"RDP-46L",2002/08/28,110,"9,59",77,"8,1","22,6","=",50,1,"0,2","1,0","1,6",400,20,"2,6",34,"1,0","3,6","6,1"
"RDP-46L",2002/09/23,98,"8,78",74,"8,0","21,1","=",560,0,"0,2","1,0","1,7",410,29,"1,0",30,"1,0","4,2","6,9"
"RDP-46R",2002/06/25,106,"9,41",83,"7,6","19,3","=",72,-2,,,,,,,42,,"7,5","9,8"
"RDP-46R",2002/07/03,108,"8,87",98,"7,5","23,9","=",32,1,,,,,,,30,,"6,2","6,8"
"RDP-46R",2002/07/10,102,"8,75",92,"7,7","23,2","=",88,-1,,,,,,,36,,"8,3","7,8"
"RDP-46R",2002/07/24,104,"8,80",88,"7,7","24,0","=",120,-1,,,,,,,39,,"7,3","8,8"
"RDP-46R",2002/07/30,112,"9,25",85,"7,7","25,1","=",520,0,,,,,,,44,,"5,1","6,2"
"RDP-46R",2002/08/20,93,"7,58",77,"7,6","24,7","=",80,1,,,,,,,37,,"4,7","7,0"
"RDP-46R",2002/08/28,111,"9,60",77,"7,8","22,5","=",62,1,,,,,,,30,,"4,1","6,3"
"RDP-46R",2002/09/23,102,"9,13",75,"7,8","21,1","=",1300,0,,,,,,,34,,"3,7","6,6"
"RDP-48C",2002/06/25,107,"9,48",83,"7,4","19,2","=",60,0,,,,,,,43,,"9,0","10,0"
"RDP-48C",2002/07/03,110,"9,41",98,"7,5","23,8","=",20,1,,,,,,,35,,"6,7","6,8"
"RDP-48C",2002/07/10,102,"8,33",91,"7,8","23,1","=",50,-1,,,,,,,32,,"6,5","6,6"
"RDP-48C",2002/07/24,105,"8,83",88,"7,6","24,1","=",88,-1,,,,,,,43,,"8,6","8,5"
"RDP-48C",2002/07/30,,"9,77",85,"7,8","25,1","=",550,0,,,,,,,27,,"4,7","5,8"
"RDP-48C",2002/08/20,91,"7,54",77,"7,6","24,6","=",50,1,,,,,,,36,,"5,4","6,6"
"RDP-48C",2002/08/28,110,"9,52",77,"7,8","22,7","=",48,1,,,,,,,29,,"3,4","5,6"
"RDP-48C",2002/09/23,96,"8,65",73,"7,7","20,9","=",1400,0,,,,,,,32,,"3,7","6,1"
"RDP-48L",2002/06/25,103,"9,73",98,"7,6","19,2","=",180,-2,"0,2","1,0","1,0",700,82,"1,8",45,"1,0","9,7","11,0"
"RDP-48L",2002/07/03,107,"9,02",105,"7,5","23,7","=",88,1,"0,2","1,0","1,0",260,160,"1,9",33,"1,0","6,1","6,6"
"RDP-48L",2002/07/10,98,"8,69",106,"7,6","23,1","=",120,-1,"0,2","1,0","6,8",370,220,"2,3",36,"1,9","6,3","6,3"
"RDP-48L",2002/07/24,105,"8,85",88,"7,7","24,3","=",1100,-1,"0,2","1,5","2,0",360,190,"1,0",48,"1,0","9,8","9,3"
"RDP-48L",2002/07/30,111,"9,21",85,"8,0","25,8","=",550,0,"0,2","1,3","2,2",300,220,"1,0",49,"1,0","8,6","7,7"
"RDP-48L",2002/08/20,92,"7,56",97,"7,7","24,6","=",600,1,"0,2","1,2","2,5",450,350,"1,0",50,"1,0","6,9","8,7"
"RDP-48L",2002/08/28,108,"9,35",77,"7,8","22,8","=",4200,1,"0,2","2,4","1,8",470,390,"1,0",54,"1,0","5,6","6,8"
"RDP-48L",2002/09/23,98,"8,75",84,"7,7","20,9","=",4900,0,"0,2","1,3","10,0",480,610,"2,5",58,"1,0","8,1","9,3"
"RDP-48R",2002/06/25,106,"9,91",84,"7,6","19,5","=",340,0,,,,,,,48,,"10,0","10,0"
"RDP-48R",2002/07/03,111,"9,41",98,"7,6","24,9","=",110,1,,,,,,,32,,"6,6","7,0"
"RDP-48R",2002/07/10,107,"9,10",112,"7,9","23,6","=",180,-1,,,,,,,35,,"6,3","6,6"
"RDP-48R",2002/07/24,106,"8,93",89,"7,9","24,1","=",410,-1,,,,,,,41,,"7,2","8,3"
"RDP-48R",2002/07/30,,,129,"8,8","25,9","=",550,0,,,,,,,46,,"6,7","7,2"
"RDP-48R",2002/08/20,93,"7,65",80,"7,7","24,7","=",270,1,,,,,,,35,,"4,8","6,5"
"RDP-48R",2002/08/28,106,"9,21",83,"8,0","22,6","=",270,1,,,,,,,53,,"3,3","5,5"
"RDP-48R",2002/09/23,98,"8,76",88,"7,8","20,9","=",2400,0,,,,,,,36,,"4,2","6,6"
"RDP-50C",2002/06/25,105,"9,30",82,"7,6","19,2","=",180,0,,,,,,,43,,"9,1","11,0"
"RDP-50C",2002/07/03,105,"8,91",99,"7,5","23,7","=",98,1,,,,,,,29,,"6,3","6,7"
"RDP-50C",2002/07/10,98,"8,40",91,"7,6","23,1","=",18,-1,,,,,,,31,,"6,1","6,4"
"RDP-50C",2002/07/24,103,"8,72",87,"7,7","24,1","=",52,-1,,,,,,,44,,"8,8","8,8"
"RDP-50C",2002/07/30,110,"9,11",85,"7,6","25,0","=",570,0,,,,,,,32,,"4,9","5,8"
"RDP-50C",2002/08/20,90,"7,63",78,"7,7","24,6","=",110,1,,,,,,,34,,"4,6","7,0"
"RDP-50C",2002/08/28,108,"9,39",77,"7,8","22,4","=",52,1,,,,,,,25,,"3,1","5,6"
"RDP-50C",2002/09/23,96,"8,65",73,"7,7","20,9","=",800,0,,,,,,,29,,"3,3","6,3"
"RDP-50L",2002/06/25,101,"9,76",102,"7,6","19,4","=",3300,0,"0,2","1,0","1,0",720,210,"1,0",60,"1,0","13,0","12,0"
"RDP-50L",2002/07/03,105,"9,25",117,"7,5","24,0","=",140,1,,,,,,,45,,"7,7","7,2"
"RDP-50L",2002/07/10,96,"8,82",111,"7,7","23,4","=",100,-1,,,,,,,45,,"7,9","7,2"
"RDP-50L",2002/07/24,107,"9,25",100,"7,7","24,5","=",200,-1,,,,,,,48,,"8,8","9,3"
"RDP-50L",2002/07/30,,"9,68",103,"7,7","25,3","=",1100,0,,,,,,,40,,"5,7","6,2"
"RDP-50L",2002/08/20,100,"7,87",94,"7,6","24,6","=",600,1,,,,,,,44,,"7,0","7,8"
"RDP-50L",2002/08/28,110,"9,32",89,"7,8","22,7","=",420,1,,,,,,,45,,"5,3","6,6"
"RDP-50L",2002/09/23,92,"9,03",108,"7,6","21,1","=",2800,0,,,,,,,51,,"8,1","8,2"
"RDP-50R",2002/06/25,106,,85,"7,6","19,4","=",260,-2,,,,,,,46,,"9,8","11,0"
"RDP-50R",2002/07/03,110,"9,06",98,"7,5","24,4","=",230,1,,,,,,,32,,"5,9","6,7"
"RDP-50R",2002/07/10,104,"8,10",94,"7,6","23,4","=",200,-1,,,,,,,32,,"6,1","6,6"
"RDP-50R",2002/07/24,110,"8,93",91,"7,8","24,5","=",62,-1,,,,,,,40,,"7,8","8,4"
"RDP-50R",2002/07/30,118,"9,31",87,"7,8","25,5","=",1000,0,,,,,,,25,,"4,7","5,3"
"RDP-50R",2002/08/20,91,"7,55",79,"7,8","24,7","=",160,1,,,,,,,29,,"4,4","5,5"
"RDP-50R",2002/08/28,109,"9,45",79,"7,9","22,4","=",66,1,,,,,,,48,,"3,1","5,4"
"RDP-50R",2002/09/23,92,"8,20",108,"7,8","20,8","=",4400,0,,,,,,,37,,"4,3","6,4"
"RDP-54C",2002/06/25,102,"9,36",90,"7,6","19,3","=",1200,0,,,,,,,50,,"12,0","11,0"
"RDP-54C",2002/07/03,104,"9,27",104,"7,6","24,1","=",100,1,,,,,,,37,,"8,1","7,3"
"RDP-54C",2002/07/10,97,"8,17",99,"7,7","23,2","=",66,-1,,,,,,,34,,"7,6","6,3"
"RDP-54C",2002/07/24,106,"8,89",96,"8,1","24,0","=",180,-1,,,,,,,49,,"11,0","10,0"
"RDP-54C",2002/07/30,,"9,51",96,"8,1","25,4","=",600,0,,,,,,,33,,"5,4","5,8"
"RDP-54C",2002/08/20,88,"8,04",85,"8,2","24,5","=",270,1,,,,,,,37,,"6,0","6,9"
"RDP-54C",2002/08/28,108,"9,39",85,"8,1","22,6","=",580,1,,,,,,,38,,"4,3","5,9"
"RDP-54C",2002/09/23,97,"8,65",85,"7,7","21,0","=",2600,0,,,,,,,33,,"5,1","6,9"
"RDP-54R",2002/06/25,106,"9,77",84,"7,6","19,4","=",56,0,,,,,,,46,,"9,7","11,0"
"RDP-54R",2002/07/03,111,"8,77",97,"7,6","24,6","=",98,1,,,,,,,34,,"6,9","7,0"
"RDP-54R",2002/07/10,106,"9,04",94,"7,8","23,5","=",200,-1,,,,,,,31,,"6,8","6,7"
"RDP-54R",2002/07/24,,"10,03",91,"8,6","24,8","=",100,-1,,,,,,,39,,"8,0","8,6"
"RDP-54R",2002/07/30,,"10,14",88,"8,5","25,8","=",2100,0,,,,,,,24,,"4,6","5,5"
"RDP-54R",2002/08/20,99,"8,19",80,"8,3","24,9","=",1400,1,,,,,,,33,,"3,9","6,0"
"RDP-54R",2002/08/28,112,"9,74",80,"8,3","22,6","=",1100,1,,,,,,,29,,"2,8","5,2"
"RDP-54R",2002/09/23,114,"10,20",80,"8,6","21,2","=",3000,0,,,,,,,27,,"3,4","5,8"
"RDP-58C",2002/06/25,105,"9,57",85,"7,6","19,3","=",300,0,"0,2","1,0","1,0",630,70,"1,1",45,"1,0","9,3","11,0"
"RDP-58C",2002/07/03,106,"8,79",100,"7,6","24,1","=",32,1,,,,,,,34,,"7,2","7,3"
"RDP-58C",2002/07/10,97,,96,"7,7","23,2","=",42,-1,"0,2","1,0","1,0",290,62,"1,0",31,"1,0","4,7","5,7"
"RDP-58C",2002/07/24,105,"8,81",94,"7,8","24,5","=",130,-1,,,,,,,40,,"8,7","9,5"
"RDP-58C",2002/07/30,113,"9,30",92,"8,0","25,4","=",300,0,"0,2","1,2","1,5",270,41,"1,0",27,"1,0","4,9","6,0"
"RDP-58C",2002/08/20,91,"7,96",84,"8,0","24,7","=",190,1,"0,2","1,1","3,0",480,49,"1,0",40,"3,2","5,0","7,0"
"RDP-58C",2002/08/28,110,"9,52",84,"8,2","22,7","=",240,1,"0,2","1,0","1,4",400,61,"1,0",31,"1,0","3,7","6,0"
"RDP-58C",2002/09/23,96,"8,61",88,"8,0","21,1","=",2800,0,"0,2","1,0","3,7",440,75,"1,9",35,"1,0","5,7","7,0"
"RDP-58L",2002/06/25,101,"9,28",93,"7,5","19,4","=",380,0,"0,2","1,0","1,0",640,120,"1,6",46,"1,0","12,0","11,0"
"RDP-58L",2002/07/03,105,"9,29",97,"7,5","24,4","=",38,1,"0,2","1,0","16,0",310,59,"1,0",44,"1,1","8,3","7,7"
"RDP-58L",2002/07/10,97,"8,29",100,"7,6","23,4","=",52,-1,"0,2","1,0","1,0",340,70,"1,0",30,"1,0","4,0","5,3"
"RDP-58L",2002/07/24,106,"8,86",97,"7,9","24,6","=",110,-1,"0,2","2,2","9,6",360,59,"1,9",52,"1,0","7,3","9,0"
"RDP-58L",2002/07/30,113,"9,26",94,"7,8","25,3","=",450,0,"0,2","1,3","1,6",270,47,"1,0",28,"1,0","5,2","6,2"
"RDP-58L",2002/08/20,92,"7,79",87,"7,8","24,8","=",130,1,"0,2","1,0","1,7",500,45,"12,0",39,"1,0","3,6","6,1"
"RDP-58L",2002/08/28,,"9,85",86,"8,3","23,2","=",130,1,"0,2","1,0","1,7",500,42,"1,0",41,"1,0","3,5","7,3"
"RDP-58L",2002/09/23,101,"8,94",96,"8,0","21,5","=",3600,0,"0,2","2,8","2,1",570,100,"1,0",45,"1,0","6,5","9,6"
"RDP-58R",2002/06/25,105,"9,78",85,"7,5","19,5","=",66,0,"0,2","1,0","1,0",590,33,"1,0",47,"1,0","11,0","11,0"
"RDP-58R",2002/07/03,112,"8,89",97,"7,6","24,9","=",200,1,"0,2","1,0","1,0",360,31,"1,0",36,"1,0","6,4","6,9"
"RDP-58R",2002/07/10,104,"8,90",94,"7,8","23,3","=",56,-1,"0,2","1,0","1,5",350,25,"1,0",31,"1,0","6,4","6,6"
"RDP-58R",2002/07/24,,"9,80",92,"8,4","24,9","=",84,-1,"0,2","1,6","2,5",410,33,"1,0",41,"1,3","7,1","9,0"
"RDP-58R",2002/07/30,,"10,03",89,"8,5","26,3","=",1900,0,"0,2","1,3","2,3",270,20,"1,0",27,"1,0","2,5","5,5"
"RDP-58R",2002/08/20,98,"8,37",84,"8,3","25,0","=",900,1,"0,2","1,0","2,0",410,35,"1,0",33,"1,0","3,7","6,1"
"RDP-58R",2002/08/28,114,"9,84",79,"8,6","22,8","=",600,1,"0,2","1,0","2,3",420,20,"1,0",28,"1,0","2,9","5,5"
"RDP-58R",2002/09/23,110,"9,86",79,"8,6","20,9","=",1200,0,"0,2","1,0","1,7",520,25,"9,8",28,"1,0","4,2","7,8"
"RDP-62C",2002/06/25,104,"9,72",85,"7,5","19,4","=",180,0,,,,,,,44,,"11,0","11,0"
"RDP-62C",2002/07/03,105,"8,47",98,"7,5","24,2","=",46,1,,,,,,,39,,"8,1","7,5"
"RDP-62C",2002/07/10,99,"8,74",93,"7,7","23,3","=",38,-1,,,,,,,33,,"7,1","6,8"
"RDP-62C",2002/07/24,104,"9,00",90,"7,8","24,4","=",100,-1,,,,,,,50,,"11,0","11,0"
"RDP-62C",2002/07/30,111,"9,18",85,"7,8","25,2","=",200,0,,,,,,,29,,"5,9","6,5"
"RDP-62C",2002/08/20,94,"7,80",78,"7,7","24,4","=",120,1,,,,,,,37,,"5,8","7,5"
"RDP-62C",2002/08/28,107,"9,31",78,"7,9","22,6","=",130,1,,,,,,,47,,"3,8","6,0"
"RDP-62C",2002/09/23,100,"8,99",74,"7,9","20,9","=",1400,0,,,,,,,29,,"4,6","7,0"
"RDP-62L",2002/06/25,98,"8,67",128,"7,5","20,2","=",1300,0,"0,2","1,0","1,2",790,110,"1,0",84,"1,0","17,0","15,0"
"RDP-62L",2002/07/03,105,"9,19",115,"7,6","26,7","=",1400,1,,,,,,,59,,"12,0","10,0"
"RDP-62L",2002/07/10,100,"8,50",138,"7,8","24,0","=",1600,-1,"0,2","1,0","1,0",390,54,"1,0",57,"1,2","11,0","8,6"
"RDP-62L",2002/07/24,109,"9,09",148,"8,1","24,7","=",230,-1,"0,2","2,2","15,0",760,64,"1,3",67,"1,0","11,0","12,0"
"RDP-62L",2002/07/30,107,"8,82",176,"7,7","25,5","=",2100,0,"0,2","2,8","3,6",610,120,"1,6",107,"1,2","31,0","31,0"
"RDP-62L",2002/08/20,98,"7,99",138,"7,9","24,3","=",200,1,"0,2","1,1","2,4",580,45,"2,1",48,"1,0","7,5","9,4"
"RDP-62L",2002/08/28,109,"9,40",151,"8,4","22,9","=",2200,1,"0,2","1,0","2,3",490,42,"1,0",69,"1,0","6,0","8,5"
"RDP-62L",2002/09/23,100,"8,89",147,"8,1","21,3","=",3800,0,"0,2","1,2","3,8",610,140,"3,0",52,"1,0","8,7","10,0"
"RDP-62R",2002/06/25,106,"9,53",84,"7,5","19,5","=",120,0,,,,,,,44,,"11,0","12,0"
"RDP-62R",2002/07/03,110,"8,97",96,"7,6","24,6","=",220,1,,,,,,,31,,"6,8","7,5"
"RDP-62R",2002/07/10,102,"8,44",93,"7,7","23,3","=",120,-1,,,,,,,37,,"7,0","7,0"
"RDP-62R",2002/07/24,107,"8,72",90,"7,8","24,4","=",80,-1,,,,,,,44,,"11,0","11,0"
"RDP-62R",2002/07/30,114,"9,39",86,"7,9","25,5","=",600,0,,,,,,,25,,"5,0","6,9"
"RDP-62R",2002/08/20,92,"7,75",79,"7,7","24,4","=",260,1,,,,,,,30,,"4,9","7,2"
"RDP-62R",2002/08/28,108,"9,40",79,"8,0","22,6","=",330,1,,,,,,,43,,"3,4","5,9"
"RDP-62R",2002/09/23,98,"8,76",76,"7,8","20,9","=",1100,0,,,,,,,27,,"3,5","6,3"
"RDP-9R",2002/06/25,105,"9,74",83,"7,5","18,7","=",20,-2,"0,2","1,0","1,0",490,47,"1,4",34,"1,0","5,4","8,6"
"RDP-9R",2002/07/03,103,,104,"7,5","23,1","=",2,1,"0,2","1,0","1,4",300,,"1,0",25,"1,0","3,9","5,5"
"RDP-9R",2002/07/10,95,"8,23",93,"7,6","22,5","<",2,-1,"0,2","1,0","1,0",310,87,"1,0",27,"1,2","5,2","6,3"
"RDP-9R",2002/07/24,99,"8,56",87,"7,7","22,8","<",10,-1,"0,2","1,4","3,0",300,76,"1,0",32,"1,0","5,7","6,5"
"RDP-9R",2002/07/30,105,"8,82",83,"7,6","24,4","<",2,0,"0,2","1,1","1,3",290,38,"1,0",24,"1,0","4,5","5,6"
"RDP-9R",2002/08/20,92,"7,87",75,"7,9","23,6","<",2,1,"0,2","1,0","1,7",370,26,"1,0",29,"1,1","4,1","5,5"
"RDP-9R",2002/08/28,91,"8,05",75,"7,6","21,5","<",2,1,"0,2","1,0","1,2",390,24,"1,0",47,"1,0","4,2","5,8"
"RDP-9R",2002/09/23,94,"8,60",71,"7,7","20,1","=",12,0,"0,2","1,0","2,5",670,34,"1,0",39,"1,0","12,2","12,0"
"RUISSEAU LAPINIERE",2002/06/25,106,"9,74",84,"7,6","19,5","=",2200,0,"0,2","1,0","1,1",460,68,"1,9",63,"1,2","6,5","6,5"
"RUISSEAU LAPINIERE",2002/07/03,,,,"8,1","27,4","=",530,1,"0,2","1,0","3,2",250,120,"4,6",86,"2,2","5,5","4,2"
"RUISSEAU LAPINIERE",2002/07/10,,,,"8,2","18,8","=",700,-1,"0,2","1,0","4,3",420,380,"4,5",113,"2,5","16,0","10,0"
"RUISSEAU LAPINIERE",2002/07/24,111,"9,63",,"8,0","22,2","=",590,-1,"0,2","1,8","8,0",390,810,"4,4",115,"2,4","12,0","9,1"
"RUISSEAU LAPINIERE",2002/07/30,89,"7,20",,"7,8","26,1","=",2500,0,"0,2","1,5","5,1",290,270,"3,5",137,"1,8","12,0","9,1"
"RUISSEAU LAPINIERE",2002/08/20,,"8,06",,"8,1","23,3","=",380,1,"0,2","1,0","6,4",380,310,"4,8",75,"1,2","11,1","6,3"
"RUISSEAU LAPINIERE",2002/08/28,74,"6,63",,"7,7","20,9",">",60000,1,"0,2","1,0","7,8",440,2900,"3,5",482,"1,0","9,1","7,1"
"RUISSEAU LAPINIERE",2002/09/23,80,"7,40",,"7,7","19,1","=",44000,0,"0,6","1,1","5,9",530,440,"3,7",124,"1,7","10,0","11,0"
