"Station","Date","%OD","O2 (mg/L)","COND.","pH","TEMP  (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn (µg/L)","U (µg/L)","V (µg/L)","Zn (µg/L)"
"EMIS-16RN",13/09/2017 11:47,"100,5","9,3",107,"7,77","19,08","=",460,1,"0,1",256,"0,4",17,"0,1",11400,"0,1","0,2","6,4","1,4","1,6",381,981,2850,"16,6",1,5460,90,"0,8",23,"0,3","4,5","0,5","0,5","1,0","0,1","0,4","7,0"
"EMIS-16RN",25/09/2017 11:15,"97,5","8,47",114,"7,6","22,34","=",2900,1,"0,1",265,"0,5",18,"0,1",12700,"0,1","0,2",6,"0,9","1,6",391,1070,3180,"17,6",1,5870,70,"0,9",25,"0,3",4,"0,5","0,5","1,0","0,1","0,4","7,0"
"EMIS-16RN",02/10/2017 13:01,"95,4","9,12",106,"7,75","17,56","=",1400,1,"0,1",319,"0,4",19,"0,1",11500,"0,1","0,2","6,1","1,3",2,430,1110,2950,"17,9",1,5650,90,"0,9",27,"0,3",5,"0,5","0,5","1,0","0,1","0,4","7,0"
"EMIS-1P1",21/06/2017 10:22,"97,3","9,13",310,,"18,41","=",280000,-1,"0,1",231,"0,8",25,"0,1",31700,"0,1","0,5","4,2","0,8",2,298,1780,7920,"14,4",1,16300,280,1,36,"0,3","8,3","0,5","0,5","1,0","0,3","0,6","7,0"
"EMIS-1P1",14/08/2017 09:54,"96,1","8,32",308,"8,1","22,48",">",60000,-1,"0,1",130,"0,8",24,"0,1",33200,"0,1","0,1","3,2","0,5","1,5",146,1870,8690,"7,8","1,1",15400,240,"0,8",22,"0,2","4,1","0,5","0,5","1,0","0,3","0,4","7,0"
"EMIS-1P1",30/08/2017 10:27,"94,3","8,26",326,"7,91","21,84","=",190000,1,"0,1",136,"0,9",24,"0,1",33400,"0,1","0,1","5,3","0,6","1,9",161,2290,8740,"10,7","1,2",16700,720,1,45,"0,3","4,7","0,5","0,5","1,0","0,3","0,5","7,0"
"EMIS-1P1",06/09/2017 10:02,90,"8,21",325,"7,85","19,8","=",290000,-1,"0,1",135,"0,8",24,"0,1",34100,"0,1","0,1","4,6","0,6","1,9",180,2410,9100,"10,4","1,3",17600,590,"0,9",37,"0,2","4,8","0,5","0,5","1,0","0,4","0,4","7,0"
"EMIS-1P1",13/09/2017 10:10,96,"8,82",307,"7,93","19,46","=",210000,1,"0,1",117,"0,8",23,"0,1",32100,"0,1","0,1","5,2","0,4","1,5",143,2140,8390,"8,8","1,1",15000,460,"0,8",28,"0,2","3,3","0,5","1,3","1,0","0,3","0,4","7,0"
"EMIS-1P1",25/09/2017 09:44,"92,3","8,09",324,"7,72","21,85","=",170000,1,"0,1",96,"0,8",24,"0,1",34300,"0,1","0,2","4,7","0,5","2,2",162,2470,9150,"10,3","1,2",17000,660,"0,8",38,"0,2",3,"0,5","0,6","1,0","0,4","0,5","7,0"
"EMIS-1P1",02/10/2017 10:32,,,333,"8,3",19,"=",260000,1,"0,1",104,"0,8",26,"0,1",34900,"0,1","0,2",5,"0,4","2,3",181,2670,9240,"10,7","1,2",17500,700,"0,9",37,"0,2","3,4","0,5","1,6","1,0","0,4","0,9","7,0"
