Variable,Imposition,Prop_affaires_QC,Annee_imposition,Nombre,Unite_nombre,Montant,Unite_montant
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2008,168330,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2009,170531,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2010,160637,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2011,168709,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2012,170898,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2013,176129,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2014,181905,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2015,189796,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2016,197115,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2017,204849,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2018,211069,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2019,214430,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1986,88584,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1987,95553,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1988,99297,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1989,100350,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1990,101068,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1991,94167,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1992,92692,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1993,92541,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1994,100176,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1995,111226,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1996,117265,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1997,124709,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1998,131400,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1999,129731,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2000,131867,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2001,132533,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2002,129993,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2003,144116,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2004,141912,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2005,161935,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2006,169058,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2007,170319,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2008,172925,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2009,175595,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2010,165883,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2011,174359,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2012,176779,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2013,182253,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2014,188227,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2015,196354,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2016,204291,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2017,212504,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2018,219046,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2019,222578,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,1986,163349,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,1987,177446,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,1988,192907,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,1989,207637,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,1990,209690,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,1991,216930,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,1992,218196,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,1993,223029,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,1994,234874,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,1995,243479,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,1996,259256,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,1997,260596,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,1998,264444,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,1999,260232,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2000,264319,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2001,271997,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2002,273635,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2003,278545,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2004,289686,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2005,309608,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2006,323865,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2007,336171,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2008,351956,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2009,363329,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2010,375694,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2011,397906,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2012,430285,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2013,444148,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2014,456835,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2015,468741,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2016,476715,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2017,486894,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2018,496627,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,100 %,2019,508472,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,1986,168994,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,1987,183527,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,1988,199074,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,1989,213668,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,1990,221680,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,1991,225530,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,1992,227730,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,1993,230355,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,1994,242663,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,1995,249511,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,1996,265150,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,1997,266663,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,1998,271739,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,1999,268279,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2000,271345,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2001,278911,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2002,282209,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2003,286981,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2004,299100,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2005,318612,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2006,335952,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2007,353951,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2008,375437,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2009,390336,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2010,405287,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2011,422449,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2012,442666,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2013,456973,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2014,470139,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2015,482493,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2016,493046,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2017,503001,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2018,512723,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Ensemble des soci̩t̩s,Ensemble des soci̩t̩s,2019,524099,Nombre de soci̩t̩s,,
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,1986,,,90560061,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,1987,,,110076594,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,1988,,,119100294,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,1989,,,117559285,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,1990,,,118746152,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,1991,,,109598717,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,1992,,,106549594,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,1993,,,116755711,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,1994,,,121002935,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,1995,,,142117654,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,1996,,,148068225,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,1997,,,157502200,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,1998,,,178059731,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,1999,,,174848630,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2000,,,214795866,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2001,,,202036314,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2002,,,228776959,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2003,,,235458206,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2004,,,238296342,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2005,,,253062059,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2006,,,248751981,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2007,,,252337126,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2008,,,255311455,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2009,,,250777799,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2010,,,250098987,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2011,,,271186149,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2012,,,281970354,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2013,,,291752344,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2014,,,297054836,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2015,,,323583400,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2016,,,325661526,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2017,,,342892359,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2018,,,366273377,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,100 %,2019,,,374991562,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1986,,,142275690,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1987,,,171335806,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1988,,,188449618,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1989,,,176869309,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1990,,,176015537,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1991,,,158311646,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1992,,,154957106,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1993,,,168708435,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1994,,,183087949,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1995,,,215743913,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1996,,,222797657,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1997,,,242165094,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1998,,,278175198,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,1999,,,279016227,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2000,,,318077662,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2001,,,309714515,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2002,,,349530468,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2003,,,415412078,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2004,,,406652879,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2005,,,410373307,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2006,,,424009224,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2007,,,478136803,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2008,,,399802075,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2009,,,412246824,Milliers de dollars
Revenu au Qu̩bec,Soci̩t̩s impos̩es,Ensemble des soci̩t̩s,2010,,,599777702,Milliers de dollars
