"EspÃ¨ce vÃ©gÃ©tale","Nom commercial du produit 
(semences enrobÃ©es de pesticides)","Nom de l'ingrÃ©dient actif","Concentration de l'ingrÃ©dient actif","QuantitÃ© de 
produits vendus
(kg)","QuantitÃ© d'ingrÃ©dients actifs contenus dans le produit vendu
(kg) ","RÃ©gion administrative
du domicile du client","MunicipalitÃ© rÃ©gionale de comtÃ© 
du domicile du client","MunicipalitÃ© du domicile du client"
"Canola","Invigor Canola","Clothianidine","0.00406","22.70","0.09","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","Alma"
"Canola","Invigor Canola","Clothianidine","0.00406","181.60","0.74","Saguenay--Lac-Saint-Jean","Ville-de-Saguenay","Saguenay"
"Canola","Invigor Canola","Clothianidine","0.00406","45.40","0.18","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","Saint-GÃ©dÃ©on"
"Canola","Invigor Canola","Clothianidine","0.00406","181.60","0.74","Saguenay--Lac-Saint-Jean","Ville-de-Saguenay","Saguenay"
"Canola","Invigor Canola","Clothianidine","0.00406","590.20","2.40","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","Labrecque"
"Canola","Invigor Canola","Clothianidine","0.00406","22.70","0.09","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","Saint-GÃ©dÃ©on"
"Canola","Invigor Canola","Clothianidine","0.00406","22.70","0.09","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","Alma"
"Canola","Invigor Canola","Clothianidine","0.00406","408.60","1.66","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","HÃ©bertville"
"Canola","Invigor Canola","Clothianidine","0.00406","45.50","0.18","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","Alma"
"Canola","Invigor Canola","Clothianidine","0.00406","90.80","0.37","Saguenay--Lac-Saint-Jean","Ville-de-Saguenay","Saguenay"
"Canola","Invigor Canola","Clothianidine","0.00406","90.80","0.37","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","Labrecque"
"Canola","Invigor Canola","Clothianidine","0.00406","1952.50","7.93","Saguenay--Lac-Saint-Jean","Le-Fjord-du-Saguenay","Saint-Ambroise"
"Canola","Invigor Canola","Clothianidine","0.00406","204.30","0.83","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","Alma"
"Canola","Invigor Canola","Clothianidine","0.00406","385.90","1.57","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","Saint-GÃ©dÃ©on"
"Canola","Invigor Canola","Clothianidine","0.00406","113.50","0.46","Saguenay--Lac-Saint-Jean","Ville-de-Saguenay","Saguenay"
"Canola","Invigor Canola","Clothianidine","0.00406","272.40","1.11","Saguenay--Lac-Saint-Jean","Maria-Chapdelaine","Saint-Augustin"
"Canola","Invigor Canola","Clothianidine","0.00406","181.60","0.74","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","Saint-Henri-de-Taillon"
"Canola","Invigor Canola","Clothianidine","0.00406","68.10","0.28","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","Alma"
"Canola","Invigor Canola","Clothianidine","0.00406","454.00","1.84","Saguenay--Lac-Saint-Jean","Le-Fjord-du-Saguenay","Saint-Ambroise"
"Canola","Invigor Canola","Clothianidine","0.00406","181.60","0.74","Inconnu","Inconnu","Inconnu"
"Canola","Invigor Canola","Clothianidine","0.00406","227.00","0.92","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","Alma"
"Canola","Invigor Canola","Clothianidine","0.00406","68.10","0.28","Saguenay--Lac-Saint-Jean","Ville-de-Saguenay","Saguenay"
"Canola","Invigor Canola","Clothianidine","0.00406","90.80","0.37","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","Alma"
"Canola","Invigor Canola","Clothianidine","0.00406","45.40","0.18","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","MÃ©tabetchouan--Lac-Ã -la-Croix"
"Canola","Invigor Canola","Clothianidine","0.00406","204.30","0.83","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","HÃ©bertville-Station"
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","150.00","0.61","ChaudiÃ¨re-Appalaches","",""
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","1100.00","4.47","Centre-du-QuÃ©bec","Drummond","Saint-FÃ©lix-de-Kingsey"
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","300.00","1.22","Centre-du-QuÃ©bec","Drummond","Saint-FÃ©lix-de-Kingsey"
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","200.00","0.81","Centre-du-QuÃ©bec","Drummond","Saint-FÃ©lix-de-Kingsey"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","90.80","0.37","LanaudiÃ¨re","D'Autray","Berthierville"
"Canola","Canola L345 ","ThiamÃ©thoxame","0.00403","22.70","0.09","Abitibi-TÃ©miscamingue ","TÃ©miscamingue","Saint-Ãdouard-de-Fabre"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","90.80","0.37","Abitibi-TÃ©miscamingue ","TÃ©miscamingue","Saint-Ãdouard-de-Fabre"
"Canola","INVIGOR L-255PC LUMIDERM (EVERGOL PROSPER)","Clothianidine","0.00406","68.10","0.28","Abitibi-TÃ©miscamingue ","TÃ©miscamingue","Saint-Ãdouard-de-Fabre"
"Canola","CANOLA 6204 RRTF CERT.# 1 HÃLIX","Clothianidine","0.00406","158.90","0.65","Bas-Saint-Laurent","La-Mitis","Sainte-Luce"
"Canola","CANOLA INVIGOR L352C CERT.# 1  PROSPER EVERGOL 400","Clothianidine","0.00406","45.40","0.18","Bas-Saint-Laurent","Rimouski-Neigette","Saint-Anaclet-de-Lessard"
"Canola","CANOLA INVIGOR L352C CERT.# 1  PROSPER EVERGOL 400","Clothianidine","0.00406","158.90","0.65","Bas-Saint-Laurent","La-Mitis","Sainte-Luce"
"Canola","CANOLA INVIGOR L352C CERT.# 1  PROSPER EVERGOL 400","Clothianidine","0.00406","136.20","0.55","Bas-Saint-Laurent","La-Matanie","Saint-LÃ©andre"
"Canola","CANOLA INVIGOR L352C CERT.# 1  PROSPER EVERGOL 400","Clothianidine","0.00406","68.10","0.28","Bas-Saint-Laurent","La-Mitis","Sainte-Luce"
"Canola","CANOLA INVIGOR L352C CERT.# 1  PROSPER EVERGOL 400","Clothianidine","0.00406","90.80","0.37","GaspÃ©sie--Ãles-de-la-Madeleine","Avignon","L'Ascension-de-PatapÃ©dia"
"Canola","CANOLA INVIGOR L352C CERT.# 1  PROSPER EVERGOL 400","Clothianidine","0.00406","272.40","1.11","Bas-Saint-Laurent","La-MatapÃ©dia","Saint-LÃ©on-le-Grand"
"Canola","CANOLA INVIGOR L352C CERT.# 1  PROSPER EVERGOL 400","Clothianidine","0.00406","113.50","0.46","Bas-Saint-Laurent","Rimouski-Neigette","Saint-Anaclet-de-Lessard "
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","158.90","0.65","MontÃ©rÃ©gie","Pierre-De-Saurel","Saint-Robert"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","136.20","0.55","GaspÃ©sie--Ãles-de-la-Madeleine","Avignon","L'Ascension-de-PatapÃ©dia"
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","340.50","1.38","GaspÃ©sie--Ãles-de-la-Madeleine","Bonaventure","Caplan"
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","181.60","0.74","GaspÃ©sie--Ãles-de-la-Madeleine","Avignon","L'Ascension-de-PatapÃ©dia"
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","45.40","0.18","Bas-Saint-Laurent","La-Mitis","Sainte-Luce"
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","90.80","0.37","Bas-Saint-Laurent","Rimouski-Neigette","Rimouski"
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","158.90","0.65","Bas-Saint-Laurent","Rimouski-Neigette","Saint-Anaclet-de-Lessard "
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","22.70","0.09","Bas-Saint-Laurent","La-Mitis","Sainte-Luce"
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","204.30","0.83","Bas-Saint-Laurent","Rimouski-Neigette","Saint-ValÃ©rien"
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","272.40","1.11","Bas-Saint-Laurent","La-Mitis","Les Hauteurs"
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","90.80","0.37","Inconnu","Inconnu","Inconnu"
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","113.50","0.46","Bas-Saint-Laurent","La-Mitis","Sainte-Luce"
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","136.20","0.55","Bas-Saint-Laurent","Rimouski-Neigette","Saint-Anaclet-de-Lessard"
"Canola","Canola InVigor L255","Clothianidine","0.00406","45.40","0.18","MontÃ©rÃ©gie","Brome-Missisquoi","Notre-Dame-de-Stanbridge"
"Canola","Canola InVigor L255","Clothianidine","0.00406","68.10","0.28","Capitale-Nationale ","Ville-de-QuÃ©bec ","Saint-Augustin-de-Desmaures"
"Canola","Canola InVigor L255","Clothianidine","0.00406","90.80","0.37","Capitale-Nationale ","Ville-de-QuÃ©bec ","Saint-Augustin-de-Desmaures"
"Canola","Canola L345 ","ThiamÃ©thoxame","0.00403","68.10","0.27","Capitale-Nationale ","Ville-de-QuÃ©bec ","Saint-Augustin-de-Desmaures"
"Canola","Canola L345 ","ThiamÃ©thoxame","0.00403","22.70","0.09","Capitale-Nationale ","Ville-de-QuÃ©bec ","Saint-Augustin-de-Desmaures"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","91.00","0.37","Bas-Saint-Laurent","Rimouski-Neigette","Rimouski"
"Canola","INVIGOR L-234PC PROSPER EVERGOL CANOLA","Clothianidine","0.00406","55.00","0.22","Bas-Saint-Laurent","Kamouraska","Saint-Alexandre-de-Kamouraska"
"Canola","CANOLA INVIGOR L352C CERT.# 1  PROSPER EVERGOL 400","Clothianidine","0.00406","22.70","0.09","Bas-Saint-Laurent","La-Mitis","Price"
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","158.90","0.65","Bas-Saint-Laurent","La-Mitis","Price"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","227.00","0.92","Abitibi-TÃ©miscamingue","TÃ©miscamingue","Saint-Bruno-de-Guigues"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","681.00","2.76","Abitibi-TÃ©miscamingue","TÃ©miscamingue","Saint-Bruno-de-Guigues"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","68.10","0.28","Abitibi-TÃ©miscamingue","Ville-de-Rouyn-Noranda","Rouyn-Noranda"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","22.70","0.09","Abitibi-TÃ©miscamingue","TÃ©miscamingue","NÃ©dÃ©lec"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","181.60","0.74","Abitibi-TÃ©miscamingue","TÃ©miscamingue","Saint-Bruno-de-Guigues"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","227.00","0.92","Abitibi-TÃ©miscamingue","TÃ©miscamingue","GuÃ©rin"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","68.10","0.28","Abitibi-TÃ©miscamingue","TÃ©miscamingue","Saint-Bruno-de-Guigues"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","249.70","1.01","Abitibi-TÃ©miscamingue","TÃ©miscamingue","Saint-Bruno-de-Guigues"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","158.90","0.65","Abitibi-TÃ©miscamingue","TÃ©miscamingue","NÃ©dÃ©lec"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","90.80","0.37","Abitibi-TÃ©miscamingue","TÃ©miscamingue","Saint-Bruno-de-Guigues"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","340.50","1.38","Abitibi-TÃ©miscamingue","TÃ©miscamingue","NÃ©dÃ©lec"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","272.40","1.11","Abitibi-TÃ©miscamingue","TÃ©miscamingue","Lorrainville"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","136.20","0.55","Inconnu","Inconnu","Inconnu"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","158.90","0.65","Abitibi-TÃ©miscamingue","TÃ©miscamingue","Lorrainville"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","522.10","2.12","Abitibi-TÃ©miscamingue","TÃ©miscamingue","Lorrainville"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","136.20","0.55","Abitibi-TÃ©miscamingue","Ville-de-Rouyn-Noranda","Rouyn-Noranda"
"Canola","INVIGOR L-345PC LUMIDERM (EVERGOL PROSPER)","Clothianidine","0.00406","113.50","0.46","Abitibi-TÃ©miscamingue","TÃ©miscamingue","NÃ©dÃ©lec"
"Canola","INVIGOR L-345PC LUMIDERM (EVERGOL PROSPER)","Clothianidine","0.00406","68.10","0.28","Abitibi-TÃ©miscamingue","TÃ©miscamingue","Lorrainville"
"Canola","INVIGOR L-345PC LUMIDERM (EVERGOL PROSPER)","Clothianidine","0.00406","136.20","0.55","Abitibi-TÃ©miscamingue","TÃ©miscamingue","Lorrainville"
"Canola","INVIGOR L-345PC PROSPER EVERVOL","Clothianidine","0.00406","22.70","0.09","Abitibi-TÃ©miscamingue","TÃ©miscamingue","Saint-Bruno-de-Guigues"
"Canola","INVIGOR L-345PC PROSPER EVERVOL","Clothianidine","0.00406","317.80","1.29","Abitibi-TÃ©miscamingue","TÃ©miscamingue","Lorrainville"
"Canola","INVIGOR L-345PC PROSPER EVERVOL","Clothianidine","0.00406","113.50","0.46","Abitibi-TÃ©miscamingue","TÃ©miscamingue","NÃ©dÃ©lec"
"Canola","INVIGOR L-345PC PROSPER EVERVOL","Clothianidine","0.00406","227.00","0.92","Abitibi-TÃ©miscamingue","TÃ©miscamingue","Lorrainville"
"Canola","INVIGOR L-345PC PROSPER EVERVOL","Clothianidine","0.00406","68.10","0.28","Abitibi-TÃ©miscamingue","TÃ©miscamingue","Saint-Bruno-de-Guigues"
"Canola","INVIGOR L-255PC PROSPER CANOLA","Clothianidine","0.00406","45.40","0.18","Centre-du-QuÃ©bec","Nicolet-Yamaska","Saint-LÃ©onard-d'Aston"
"Canola","Canola InVigor L255","Clothianidine","0.00406","75.00","0.30","Bas-Saint-Laurent","Kamouraska","Saint-AndrÃ©-de-Kamouraska"
"Canola","Canola InVigor L255","Clothianidine","0.00406","25.00","0.10","Bas-Saint-Laurent","TÃ©miscouata","Saint-Louis-du-Ha! Ha!"
"Canola","Canola L345 ","ThiamÃ©thoxame","0.00403","75.00","0.30","Bas-Saint-Laurent","La-MatapÃ©dia","Saint-NoÃ«l"
"Canola","INVIGOR L-233 PROSPER EVERGOL CANOLA","Clothianidine","0.00406","75.00","0.30","Bas-Saint-Laurent","Kamouraska","Saint-Pascal"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","125.00","0.51","Bas-Saint-Laurent","La-MatapÃ©dia","Saint-NoÃ«l"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","300.00","1.22","Bas-Saint-Laurent","La-MatapÃ©dia","Saint-NoÃ«l"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","175.00","0.71","Bas-Saint-Laurent","La-MatapÃ©dia","Saint-NoÃ«l"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","200.00","0.81","Bas-Saint-Laurent","La-MatapÃ©dia","Saint-NoÃ«l"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","150.00","0.61","Bas-Saint-Laurent","La-MatapÃ©dia","Saint-NoÃ«l"
"Canola","INVIGOR L-234 LUMIDERM EVERGOL CANOLA","Clothianidine","0.00406","125.00","0.51","Bas-Saint-Laurent","TÃ©miscouata","Saint-Louis-du-Ha! Ha!"
"Canola","INVIGOR L-234 LUMIDERM EVERGOL CANOLA","Clothianidine","0.00406","200.00","0.81","Bas-Saint-Laurent","Kamouraska","Saint-Pascal"
"Canola","INVIGOR L-234PC PROSPER EVERGOL CANOLA","Clothianidine","0.00406","200.00","0.81","Bas-Saint-Laurent","Les-Basques","Saint-Ãloi"
"Canola","INVIGOR L-234PC PROSPER EVERGOL CANOLA","Clothianidine","0.00406","650.00","2.64","Bas-Saint-Laurent","Rimouski-Neigette","Saint-Fabien"
"Canola","INVIGOR L-255PC LUMIDERM (EVERGOL PROSPER)","Clothianidine","0.00406","45.40","0.18","Bas-Saint-Laurent","La-MatapÃ©dia","Causapscal"
"Canola","prosper evergol","Clothianidine","0.00406","140.63","0.57","Bas-Saint-Laurent","Les-Basques","Notre-Dame-des-Neiges"
"Canola","prosper evergol","Clothianidine","0.00406","351.87","1.43","Bas-Saint-Laurent","Les-Basques","Saint-Jean-de-Dieu"
"Canola","prosper evergol","Clothianidine","0.00406","345.94","1.40","Bas-Saint-Laurent","RiviÃ¨re-du-Loup","L'Isle-Verte"
"Canola","INVIGOR L-255PC PROSPER CANOLA","Clothianidine","0.00406","113.40","0.46","Bas-Saint-Laurent","Kamouraska","Saint-Joseph-de-Kamouraska"
"Canola","prosper evergol","Clothianidine","0.00406","182.00","0.74","Bas-Saint-Laurent","Les-Basques","Saint-ClÃ©ment"
"Canola","Canola InVigor L255","Clothianidine","0.00406","159.00","0.65","ChaudiÃ¨re-Appalaches","La-Nouvelle-Beauce","Sainte-Marguerite"
"Canola","Canola InVigor L255","Clothianidine","0.00406","650.00","2.64","MontÃ©rÃ©gie","Acton","Saint-ThÃ©odore-d'Acton"
"Canola","4187 RR","ThiamÃ©thoxame","0.0040055","22.70","0.09","Inconnu","Inconnu","Inconnu"
"Canola","4187 RR","ThiamÃ©thoxame","0.0040055","158.90","0.64","Saguenay--Lac-Saint-Jean","Ville-de-Saguenay","Saguenay"
"Canola","Invigor Canola","Clothianidine","0.00406","681.00","2.76","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","MÃ©tabetchouan--Lac-Ã -la-Croix"
"Canola","Invigor Canola","Clothianidine","0.00406","68.10","0.28","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","HÃ©bertville"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","363.20","1.47","ChaudiÃ¨re-Appalaches","La-Nouvelle-Beauce","Saint-Lambert-de-Lauzon"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","68.10","0.28","ChaudiÃ¨re-Appalaches","La-Nouvelle-Beauce","Saint-Lambert-de-Lauzon"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","317.80","1.29","ChaudiÃ¨re-Appalaches","La-Nouvelle-Beauce","Saint-Lambert-de-Lauzon"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","363.20","1.47","ChaudiÃ¨re-Appalaches","La-Nouvelle-Beauce","Saint-Lambert-de-Lauzon"
"Canola","INVIGOR L-233P PROSPER EVERGOL CANOLA","Clothianidine","0.00406","227.00","0.92","MontÃ©rÃ©gie","Acton","Saint-Nazaire-d'Acton"
"Canola","INVIGOR L-255PC PROSPER CANOLA","Clothianidine","0.00406","227.00","0.92","MontÃ©rÃ©gie","Acton","Saint-Nazaire-d'Acton"
"Canola","INVIGOR L-345PC PROSPER EVERVOL","Clothianidine","0.00406","90.80","0.37","MontÃ©rÃ©gie","Acton","Saint-Nazaire-d'Acton"
"Canola","INVIGOR L-234PC PROSPER EVERGOL CANOLA","Clothianidine","0.00406","22.70","0.09","ChaudiÃ¨re-Appalaches","La-Nouvelle-Beauce","Sainte-Marguerite"
"Canola","Canola InVigor L255","Clothianidine","0.00406","50.00","0.20","MontÃ©rÃ©gie","Pierre-De-Saurel","Saint-Robert"
"Canola","4187 RR","ThiamÃ©thoxame","0.0040055","45.40","0.18","Bas-Saint-Laurent","Kamouraska","Kamouraska"
"Canola","4187 RR","ThiamÃ©thoxame","0.0040055","68.10","0.27","Bas-Saint-Laurent","Kamouraska","Kamouraska"
"Canola","4187 RR","ThiamÃ©thoxame","0.0040055","68.00","0.27","Bas-Saint-Laurent","Kamouraska","Kamouraska"
"Canola","Canola InVigor L255","Clothianidine","0.00406","453.60","1.84","MontÃ©rÃ©gie","La Haute-Yamaska ","Granby "
"Canola","Canola InVigor L255","Clothianidine","0.00406","340.20","1.38","Inconnu","Inconnu","Inconnu"
"Canola","Canola L345 ","ThiamÃ©thoxame","0.00403","226.80","0.91","Inconnu","Inconnu","Inconnu"
"Canola","Canola L345 ","ThiamÃ©thoxame","0.00403","22.70","0.09","Bas-Saint-Laurent","Kamouraska","Kamouraska"
"Canola","INVIGOR L-234PC PROSPER EVERGOL CANOLA","Clothianidine","0.00406","45.70","0.19","ChaudiÃ¨re-Appalaches","L'Islet","L'Islet"
"Canola","INVIGOR L-252 PROSPER CANOLA","Clothianidine","0.00406","113.40","0.46","Inconnu","Inconnu","Inconnu"
"Canola","INVIGOR L-255PC PROSPER CANOLA","Clothianidine","0.00406","68.04","0.28","Bas-Saint-Laurent","Kamouraska","Sainte-HÃ©lÃ¨ne-de-Kamouraska"
"Canola","prosper evergol","Clothianidine","0.00406","215.00","0.87","Bas-Saint-Laurent","Les-Basques","Saint-Ãloi"
"Canola","prosper evergol","Clothianidine","0.00406","53.32","0.22","Bas-Saint-Laurent","TÃ©miscouata","Saint-Louis-du-Ha! Ha!"
"Canola","prosper evergol","Clothianidine","0.00406","143.75","0.58","Bas-Saint-Laurent","RiviÃ¨re-du-Loup","Notre-Dame-du-Portage"
"Canola","prosper evergol","Clothianidine","0.00406","255.83","1.04","Bas-Saint-Laurent","TÃ©miscouata","RiviÃ¨re-Bleue"
"Canola","INVIGOR L-255PC LUMIDERM (EVERGOL PROSPER)","Clothianidine","0.00406","22.67","0.09","Saguenay--Lac-Saint-Jean","Maria-Chapdelaine","PÃ©ribonka"
