"Num̩ro
d'homologation du produit","
Nom commercial du produit","Nom de l'ingr̩dient actif","Concentration de l'ingr̩dient actif","Quantit̩ de 
produits vendus
(kg)","Quantit̩ d'ingr̩dients actifs contenus dans le produit vendu
(kg)","R̩gion administrative 
du domicile du client ","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","2.85","1.37","Centre-du-Qu̩bec","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Centre-du-Qu̩bec","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","4.00","1.92","Estrie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","40.00","19.20","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","40.00","19.20","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","60.00","28.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","60.00","28.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","50.00","24.00","Centre-du-Qu̩bec","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","400.00","192.00","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","21.93","10.53","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","11.30","5.42","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","60.00","28.80","Inconnu","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","100.00","48.00","Inconnu","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Inconnu","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Bas-Saint-Laurent","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","80.00","38.40","Chaudi̬re-Appalaches","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Lanaudi̬re","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","150.00","72.00","Laval","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","30.00","14.40","Bas-Saint-Laurent","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Chaudi̬re-Appalaches","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Outaouais","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Capitale-Nationale","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Capitale-Nationale ","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Capitale-Nationale","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Capitale-Nationale","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","30.00","14.40","Capitale-Nationale","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","30.00","14.40","Estrie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","50.00","24.00","Centre-du-Qu̩bec","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","80.00","38.40","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","30.00","14.40","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","50.00","24.00","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","16.00","7.68","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Centre-du-Qu̩bec","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","40.00","19.20","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","90.00","43.20","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Centre-du-Qu̩bec","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","50.00","24.00","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","100.00","48.00","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","35.50","17.04","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","30.00","14.40","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","60.00","28.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","100.00","48.00","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","34.00","16.32","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","42.50","20.40","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","17.50","8.40","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","35.00","16.80","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","70.00","33.60","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","250.00","120.00","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","730.00","350.40","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Capitale-Nationale","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","60.00","28.80","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Lanaudi̬re","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","30.00","14.40","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","40.00","19.20","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","120.00","57.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","60.00","28.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","70.00","33.60","Centre-du-Qu̩bec","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Chaudi̬re-Appalaches","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","230.00","110.40","Mont̩r̩gie ","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","120.00","57.60","Mont̩r̩gie ","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Centre-du-Qu̩bec","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","50.00","24.00","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","250.00","120.00","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","30.00","14.40","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","30.00","14.40","Chaudi̬re-Appalaches","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","50.00","24.00","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","70.00","33.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","60.00","28.80","Bas-Saint-Laurent","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Bas-Saint-Laurent","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","36.00","17.28","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","57.00","27.36","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","27.10","13.01","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","30.00","14.40","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Chaudi̬re-Appalaches","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","50.00","24.00","Chaudi̬re-Appalaches","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","50.00","24.00","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Chaudi̬re-Appalaches","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Capitale-Nationale","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","100.00","48.00","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","120.00","57.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","13.00","6.24","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","110.00","52.80","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mauricie ","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mauricie ","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","30.00","14.40","Mauricie ","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","50.00","24.00","Chaudi̬re-Appalaches","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","80.00","38.40","Chaudi̬re-Appalaches","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","40.00","19.20","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","30.00","14.40","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","80.00","38.40","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","40.00","19.20","Saguenay--Lac-Saint-Jean ","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","40.00","19.20","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","160.00","76.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","27.10","13.01","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","30.00","14.40","Bas-Saint-Laurent","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","25.00","12.00","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Chaudi̬re-Appalaches","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","170.00","81.60","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","30.00","14.40","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","67.00","32.16","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Centre-du-Qu̩bec","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Centre-du-Qu̩bec","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","27.50","13.20","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","27.50","13.20","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","87.00","41.76","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","140.00","67.20","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","300.00","144.00","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","10.00","4.80","Mauricie","","","",""
"19349","Marksman Herbicide suspension","Atrazine","0.26","20.00","5.22","Inconnu","","","",""
"19349","Marksman Herbicide suspension","Atrazine","0.26","100.00","26.10","Inconnu","","","",""
"19349","Marksman Herbicide suspension","Atrazine","0.26","50.00","13.05","Mauricie","","","",""
"19349","Marksman Herbicide suspension","Atrazine","0.26","220.00","57.42","Mont̩r̩gie","","","",""
"19349","Marksman Herbicide suspension","Atrazine","0.26","40.00","10.44","Mont̩r̩gie","","","",""
"20944","Lorsban 50W Insecticide","Atrazine","0.50","2.50","1.25","Saguenay--Lac-Saint-Jean","","","",""
"23704","Pyrate 480 EC Insecticide","Chlorpyrifos","0.48","120.00","57.60","Montr̩al","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","10.00","4.80","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","10.00","4.80","Mauricie","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","20.00","9.60","Laurentides","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","140.00","67.20","Inconnu","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","20.00","9.60","Inconnu","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","30.00","14.40","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","100.00","48.00","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","180.00","86.40","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","20.00","9.60","Chaudi̬re-Appalaches","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","70.00","33.60","Chaudi̬re-Appalaches","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","390.00","187.20","Laurentides","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","30.00","14.40","Capitale-Nationale","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","140.00","67.20","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","20.00","9.60","Laurentides","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","40.00","19.20","Laurentides","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","530.00","254.40","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","210.00","100.80","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","350.00","168.00","Chaudi̬re-Appalaches","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","830.00","398.40","Chaudi̬re-Appalaches","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","10.00","4.80","Bas-Saint-Laurent","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","10.00","4.80","Mauricie","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","10.00","4.80","Mont̩r̩gie","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","100.00","48.00","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","30.00","14.40","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","10.00","4.80","Mauricie","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","10.00","4.80","Laurentides","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","20.00","9.60","Laurentides","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","10.00","4.80","Laurentides","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","10.00","4.80","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","30.00","14.40","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","280.00","134.40","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","30.00","14.40","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","220.00","105.60","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","220.00","105.60","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","110.00","52.80","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","30.00","14.40","Lanaudi̬re","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","10.00","4.80","Mauricie","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","20.00","9.60","Mauricie","","","",""
"23705","Pyrinex 480 EC Pour les cultures vivri̬res Insecticide","Chlorpyrifos","0.48","10.00","4.80","Mont̩r̩gie","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","11.34","2.72","Mont̩r̩gie","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","68.04","16.33","Mont̩r̩gie","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","102.06","24.49","Mont̩r̩gie","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","1.00","0.24","Chaudi̬re-Appalaches","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","1.00","0.24","Capitale-Nationale","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","3.78","0.91","Capitale-Nationale","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","7.57","1.82","Capitale-Nationale","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","3.78","0.91","Inconnu","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","3.78","0.91","Lanaudi̬re ","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","18.90","4.54","Lanaudi̬re","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","7.56","1.81","Lanaudi̬re","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","18.78","4.51","Saguenay--Lac-Saint-Jean","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","3.78","0.91","Capitale-Nationale","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","37.80","9.07","Lanaudi̬re","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","7.57","1.82","Capitale-Nationale","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","34.02","8.16","Mont̩r̩gie","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","1.00","0.24","Saguenay--Lac-Saint-Jean","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","7.56","1.81","Lanaudi̬re","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","11.35","2.72","Mont̩r̩gie","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","45.36","10.89","Mont̩r̩gie","","","",""
"24094","Admire 240 Insecticide syst̩mique en suspension aqueuse","Imidaclopride","0.24","3.78","0.91","Mont̩r̩gie","","","",""
