ï»¿Produi_Desc_FR,Produit_Desc_EN,Date_Emission,Valeur_Nominale,Devise_Nominale,Montant_CAD,Taux_Coupon,Taux_Rendement_Investisseur,Date_Echeance,Encours_Cumulatif_CAD,Prefixe,ISIN,Type_Produits_Ref,Type_Produit_Desc_FR,Type_Produit_Desc_EN
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-09-16,600 000 000,"CAD",638 100 000,1.9,1.22,2030-09-01,7 200 000 000,"B127-12","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-09-18,500 000 000,"CAD",643 600 000,3.1,1.879,2051-12-01,10 000 000 000,"B125-20","CA74814ZFE84",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-09-25,600 000 000,"CAD",638 200 000,1.9,1.217,2030-09-01,7 800 000 000,"B127-13","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-10-16,600 000 000,"CAD",636 400 000,1.9,1.246,2030-09-01,8 400 000 000,"B127-14","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-11-17,600 000 000,"CAD",628 300 000,1.9,1.383,2030-09-01,9 000 000 000,"B127-15","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-11-23,600 000 000,"CAD",629 700 000,1.9,1.358,2030-09-01,9 600 000 000,"B127-16","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-11-26,500 000 000,"CAD",619 700 000,3.1,2.053,2051-12-01,10 500 000 000,"B125-21","CA74814ZFE84",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-11-27,500 000 000,"CAD",621 100 000,3.1,2.042,2051-12-01,11 000 000 000,"B125-22","CA74814ZFE84",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-12-04,600 000 000,"CAD",627 200 000,1.9,1.401,2030-09-01,10 200 000 000,"B127-17","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-12-14,600 000 000,"CAD",627 800 000,1.9,1.389,2030-09-01,10 800 000 000,"B127-18","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2021-01-12,600 000 000,"CAD",602 300 000,1.5,1.461,2031-09-01,600 000 000,"B128-01","CA74814ZFH16",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2021-01-14,600 000 000,"CAD",599 000 000,1.5,1.517,2031-09-01,1 200 000 000,"B128-02","CA74814ZFH16",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2021-01-28,600 000 000,"CAD",599 900 000,1.5,1.501,2031-09-01,1 800 000 000,"B128-03","CA74814ZFH16",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2021-02-03,500 000 000,"CAD",596 500 000,3.1,2.231,2051-12-01,11 500 000 000,"B125-23","CA74814ZFE84",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2021-02-11,500 000 000,"CAD",583 700 000,3.1,2.335,2051-12-01,12 000 000 000,"B125-24","CA74814ZFE84",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2021-02-23,600 000 000,"CAD",581 400 000,1.5,1.826,2031-09-01,2 400 000 000,"B128-04","CA74814ZFH16",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2021-03-02,500 000 000,"CAD",551 600 000,3.1,2.61,2051-12-01,12 500 000 000,"B125-25","CA74814ZFE84",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2021-03-05,600 000 000,"CAD",569 700 000,1.5,2.037,2031-09-01,3 000 000 000,"B128-05","CA74814ZFH16",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© europÃ©en","Medium Term Note - European Program",2020-04-07,1 600 000 000,"Euros",2 439 400 000,0.2,0.198,2025-04-07,1 600 000 000,"E210-01","XS2152799529",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© europÃ©en","Medium Term Note - European Program",2020-10-29,2 250 000 000,"Euros",3 514 200 000,0,-0.021,2030-10-29,2 250 000 000,"E211-01","XS2250201329",3,"Emprunts publics","Public issues"
"Produits d'Ã©pargne","Saving Products",,,,794 300 000,,,,,,,,,
"Programme des immigrants investisseurs","Immigrant Investor Program",,,,576 100 000,,,,,,,,,
