ï»¿ID,TYPE,OBJECTID,SHAPE__Area,SHAPE__Length
1861,Zone d'expansion urbaine,175,38095.38671875,1206.6727575894
1862,Zone prioritaire de dÃ©veloppement,176,24238.2109375,901.320813030175
1863,Zone d'expansion urbaine,177,2207.1875,219.397592844771
1864,Zone prioritaire de dÃ©veloppement,178,177301.78515625,2682.53871433223
1865,Zone d'expansion urbaine,179,12651.65625,517.891526283145
1866,Zone d'expansion urbaine,180,1.42578125,7.5242771876189
1867,Zone prioritaire de dÃ©veloppement,181,39376.40625,1045.62041105874
1868,Zone d'expansion urbaine,182,1.59375,310.843969157899
1869,Zone prioritaire de dÃ©veloppement,183,76709.26953125,1273.22207431588
1870,Zone prioritaire de dÃ©veloppement,184,113676.3984375,2789.98321042043
1871,Zone d'expansion urbaine,185,477204.9609375,5956.79641469588
1872,Zone d'expansion urbaine Ã  long terme,186,572344.6484375,3072.14431765231
1873,Zone prioritaire de dÃ©veloppement,187,17887.12109375,812.167832487331
1874,Zone d'expansion urbaine,188,15984.28125,543.829139520808
1875,Zone d'expansion urbaine,189,35168.65625,953.94587624825
1876,Zone d'expansion urbaine,190,1838.6875,417.269950734492
1877,Zone prioritaire de dÃ©veloppement,191,0.00390625,0.551801106711888
1878,Zone prioritaire de dÃ©veloppement,192,0.01953125,4.79538900274927
1879,Zone prioritaire de dÃ©veloppement,193,0.01953125,2.86550598708381
1880,Zone d'expansion urbaine,194,66112.24609375,1212.29794772596
1881,Zone prioritaire de dÃ©veloppement,195,90230.9765625,1310.26925035164
1882,Zone prioritaire de dÃ©veloppement,196,87464.5078125,1511.30479276434
1883,Zone prioritaire de dÃ©veloppement,197,18840.72265625,763.618058825788
1884,Zone prioritaire de dÃ©veloppement,198,3039.2421875,227.712027775529
1885,Zone d'expansion urbaine,199,47324.9140625,954.467205860765
1886,Zone prioritaire de dÃ©veloppement,200,824.9140625,284.492699863838
1887,Zone prioritaire de dÃ©veloppement,201,15590.37109375,1209.75934503595
1888,Zone d'expansion urbaine,202,495.31640625,435.155396075624
1889,Zone prioritaire de dÃ©veloppement,203,79029.22265625,1145.57097393116
1890,Zone prioritaire de dÃ©veloppement,204,34757.76171875,2942.73721048981
1891,Zone d'expansion urbaine,205,200624.23046875,2534.32522855219
1892,Zone d'expansion urbaine Ã  long terme,206,608762.6015625,3492.09350759068
1893,Zone prioritaire de dÃ©veloppement,207,3578.07421875,310.500403358692
1894,Zone prioritaire de dÃ©veloppement,208,1176.6328125,143.559654216462
1895,Zone prioritaire de dÃ©veloppement,209,4928.5,394.337305701348
1896,Zone prioritaire de dÃ©veloppement,210,5939.76171875,345.444843852939
1897,Zone prioritaire de dÃ©veloppement,211,5382.13671875,474.114450641345
